,retorno_diario
1991-07-01,0.0
1991-07-02,-0.000479814054830896
1991-07-03,0.000683583735844151
1991-07-05,-0.0013816811449765209
1991-07-08,0.00012561563129997455
1991-07-09,0.0010100494815998673
1991-07-10,0.0001438876293214042
1991-07-11,0.0009555142466561306
1991-07-12,0.0005021800131383813
1991-07-15,0.0013911744746413547
1991-07-16,-0.0007625496125831188
1991-07-17,0.0005117704940418744
1991-07-18,0.0004420409168725936
1991-07-19,0.0008087809881133446
1991-07-22,-0.000823536181421225
1991-07-23,4.1810127121510995e-06
1991-07-24,0.0009859994869633626
1991-07-25,-0.0009488865587037653
1991-07-26,0.0009670111080325894
1991-07-29,0.0012658501125253241
1991-07-30,-0.0007393163143791237
1991-07-31,0.0005812571892722218
1991-08-01,0.0005041498920212439
1991-08-02,0.0004751708573838886
1991-08-05,-0.000565288782362261
1991-08-06,0.0018716774408761294
1991-08-07,-0.0010934610471067252
1991-08-08,-0.0005482819791684773
1991-08-09,-0.000368339611842286
1991-08-12,-0.00025399348874670656
1991-08-13,0.000652248814900494
1991-08-14,0.0005037386688893309
1991-08-15,0.000230502837755453
1991-08-16,0.00192585999164627
1991-08-19,-8.943941783899067e-05
1991-08-20,-0.0020338669610760196
1991-08-21,0.0015568031703062312
1991-08-22,0.0013313439002639593
1991-08-23,-0.0003705151096352249
1991-08-26,-0.0001478355790984348
1991-08-27,0.0020180612162706835
1991-08-28,0.0009268538968244894
1991-08-29,0.0001843082443663935
1991-08-30,0.00022357557075624034
1991-09-03,-0.0004354841596913313
1991-09-04,0.0006601179340578467
1991-09-05,0.0022499127063566474
1991-09-06,0.001019022478969339
1991-09-09,0.0016693101219436123
1991-09-10,-0.00012732529166676517
1991-09-11,-0.00014555582578583507
1991-09-12,0.0009985243484473031
1991-09-13,0.0011120828096318387
1991-09-16,0.0009319429368268499
1991-09-17,-0.0003671510715584136
1991-09-18,-7.194017799110885e-05
1991-09-19,0.0025889723726615723
1991-09-20,-0.001278217723250441
1991-09-23,-0.001248382525271624
1991-09-24,0.00369584860964212
1991-09-25,0.0026741702251805426
1991-09-26,-0.0010267658104868942
1991-09-27,0.0006410905303673627
1991-09-30,-0.00035528495608533697
1991-10-01,0.001951893908307699
1991-10-02,0.0008310904155825041
1991-10-03,-0.0007538993298159796
1991-10-04,0.001838563537976727
1991-10-07,-0.003518346629286871
1991-10-08,0.0025401496343363363
1991-10-09,0.001444498126087354
1991-10-10,0.0011291819080123916
1991-10-11,0.001050249677965212
1991-10-14,0.005053939135989975
1991-10-15,0.0009564799063946263
1991-10-16,-0.0018099792598889816
1991-10-17,0.0009370987183886751
1991-10-18,0.0007708506395741304
1991-10-21,0.002274632143747507
1991-10-22,-0.0024294255549002345
1991-10-23,0.0005768715272080144
1991-10-24,-0.00015923265993939977
1991-10-25,0.0008200998738026474
1991-10-28,0.001552863826054507
1991-10-29,-0.004219699695794899
1991-10-30,0.001884446039479465
1991-10-31,0.003955817367422607
1991-11-01,-0.0016950759991067176
1991-11-04,-0.00041372923662269854
1991-11-05,-0.0013704525363541665
1991-11-06,0.0008156523825175944
1991-11-07,-0.0012776063638490042
1991-11-08,0.001940662330413926
1991-11-11,0.0020295916525244605
1991-11-12,-0.0030649276896684108
1991-11-13,-0.007636155698423663
1991-11-14,-0.0011781320608277768
1991-11-15,-0.0009036800636938714
1991-11-18,0.001446754690056199
1991-11-19,-0.0005683738825462003
1991-11-20,3.885292548495234e-05
1991-11-21,0.0014696250046527803
1991-11-22,0.0008901739653335294
1991-11-25,-0.0012927707135967936
1991-11-26,0.0036588741300876216
1991-11-27,0.0011704538892658779
1991-11-29,0.004466191029065115
1991-12-02,0.0012897096735952286
1991-12-03,-0.0006940973068571369
1991-12-04,0.0014641984696993598
1991-12-05,-5.3861172210216876e-05
1991-12-06,0.0014025264625289941
1991-12-09,-0.0022042921485408667
1991-12-10,-0.0012134810142345595
1991-12-11,0.0030533384293984027
1991-12-12,0.0008698846267404895
1991-12-13,0.0007669170293756338
1991-12-16,0.0010794467958888424
1991-12-17,-0.002510638530625614
1991-12-18,0.00040667745669598353
1991-12-19,0.0005871783376684925
1991-12-20,-0.00034338531952055604
1991-12-23,0.0037041159929357497
1991-12-24,0.006616833712382717
1991-12-26,0.002509437165060403
1991-12-27,-0.0006386349357337016
1991-12-30,-0.00031950228714390885
1991-12-31,-0.0006468568873629695
1992-01-02,-0.0014597501075771697
1992-01-03,0.0003464323018626573
1992-01-06,0.0007320307266438351
1992-01-07,0.005062699173886926
1992-01-08,0.001764186110405396
1992-01-09,0.002102373941995492
1992-01-10,0.0017305983565818325
1992-01-13,0.0002848137093325607
1992-01-14,-0.004762060563270401
1992-01-15,0.0005118892998733295
