janela,formacao_inicio,formacao_fim,negociacao_inicio,negociacao_fim,rank,ativo1,ativo2,ssd,spread_media,spread_desvio
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,1,PPL,FPC,0.07769088468216978,0.0031359840293764285,0.01727494544783247
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,2,PPL,ES,0.0836184350671374,0.006376027164429198,0.017058843456628725
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,3,FPC,ES,0.08381363789499119,0.0032400431350527704,0.01794587037181369
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,4,BLS,3054Q,0.08786691007327363,-0.0030334396125089253,0.01842389599920521
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,5,AYE,SCG,0.09668454133577598,-0.0051286812380042035,0.018901350880957814
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,6,45200Q,CNP,0.10387815263231914,-0.004900003296960395,0.019700496978043797
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,7,CIN,SCG,0.10412453490118878,-0.0021702882254233044,0.020210486306798
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,8,8375930Q,COP,0.10710367543561006,0.016604032179935384,0.012174837866578326
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,9,XEL,UEP,0.11040856453450942,-0.0042780180131815285,0.020487927212568705
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,10,AEP,TEG,0.11634519035578705,-0.0023500771423545733,0.02135749247034059
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,11,UEP,FPC,0.11695026187703661,-0.006522281407846842,0.020527527271508472
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,12,FPC,AYE,0.11704836321302992,-0.006251970123160536,0.02062123647401269
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,13,SO,0961514D,0.12050659603471559,0.0022853113063674682,0.021747583896941643
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,14,AEP,CNP,0.12487180352798077,0.005243010048954493,0.021631569327099767
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,15,45200Q,AEP,0.12593626900684285,-0.010143013345914886,0.019911256180257207
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,16,AEP,GPUI,0.1269441620931957,-0.011035672613920211,0.019531444567068523
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,17,45200Q,D,0.1300100671845712,0.014134203658714655,0.017757941637094432
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,18,UEP,AYE,0.13748075124510706,-0.012774251531007379,0.019537898783258692
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,19,PPW,DTE,0.14165580373082776,-0.012146496602840682,0.020347072510929015
1990-11_a_1991-10,1990-11,1991-10,1991-11,1992-04,20,CIN,AYE,0.14215547306343979,0.0029583930125809,0.023565275308427995
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,1,FPC,ES,0.08449819429301897,0.00491330367978649,0.017675108538599462
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,2,FPC,WEC,0.0885858240790185,0.003811473985866423,0.018394193601927473
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,3,BLS,3054Q,0.0969809267733126,0.0067563301894903866,0.018453951667710713
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,4,PPL,ES,0.0980407289609957,-0.010383653274284683,0.016803294191846674
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,5,XEL,UEP,0.09870547956529663,0.00043044331590660065,0.019825814055238224
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,6,AEP,PPL,0.10040808041026139,-0.009456961526249988,0.017613681055339114
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,7,PEG,0961514D,0.10239296476788695,-0.005904562600929748,0.01931158562441452
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,8,AYE,SCG,0.10571784677688356,-0.0020667682639321488,0.020418082462249874
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,9,AEP,GPUI,0.11197898710190657,0.004092593213336647,0.02071992695817188
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,10,WEC,ES,0.11331574867153904,0.0011018296939200674,0.021218819490744754
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,11,1005945D,SCG,0.11369215985803294,-0.007146694162363371,0.02004190828566141
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,12,FPC,TE,0.11445779649613996,0.002889261375564865,0.021157175325804172
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,13,300583Q,COP,0.11599870165923676,0.0018686355036612542,0.021415893900465374
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,14,AEP,CNP,0.11906527790836208,0.0027770834292439963,0.021601405944203886
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,15,8375930Q,COP,0.1208029785235567,0.0184593856090284,0.011797469413212063
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,16,UEP,AYE,0.12415056363283838,0.0019184552584598181,0.02215690920879298
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,17,45200Q,DTE,0.12699617641067107,0.011711261940662097,0.019190121861077044
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,18,PCG,UEP,0.12764333659049498,-0.0029982722277421985,0.02234980398055881
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,19,PPL,WEC,0.1338422454174406,-0.011485482968204749,0.02001984404240874
1990-12_a_1991-11,1990-12,1991-11,1991-12,1992-05,20,SO,PPL,0.13537560942654636,-0.00509430993019351,0.022655897011910897
1991-01_a_1991-12,1991-01,1991-12,1992-01,1992-06,1,AEP,FPC,0.081701452138077,-0.0014960589048525629,0.01794338423196297
1991-01_a_1991-12,1991-01,1991-12,1992-01,1992-06,2,FPC,WEC,0.0962719929573268,-0.007176911962209808,0.018174687223874036
1991-01_a_1991-12,1991-01,1991-12,1992-01,1992-06,3,45200Q,FPC,0.09789591461378677,-0.005699162401197432,0.018864424424941694
1991-01_a_1991-12,1991-01,1991-12,1992-01,1992-06,4,AEP,WEC,0.09799604324462052,-0.00867297086706237,0.01770181544565144
1991-01_a_1991-12,1991-01,1991-12,1992-01,1992-06,5,D,UEP,0.09993137592164203,-0.005410602536855477,0.019161479330058507
1991-01_a_1991-12,1991-01,1991-12,1992-01,1992-06,6,NEE,AYE,0.10103489063203597,-0.0036733278234491033,0.019682104140454584
1991-01_a_1991-12,1991-01,1991-12,1992-01,1992-06,7,AEP,ES,0.10225053538260909,0.009775810493490758,0.017601431474615417
1991-01_a_1991-12,1991-01,1991-12,1992-01,1992-06,8,45200Q,DTE,0.10674523548038906,0.002882476254194482,0.020377697711508512
1991-01_a_1991-12,1991-01,1991-12,1992-01,1992-06,9,XEL,UEP,0.10942786347720812,-0.003151000742832797,0.020597799585782364
1991-01_a_1991-12,1991-01,1991-12,1992-01,1992-06,10,45200Q,D,0.11022480593271666,0.004905064349669499,0.02032842572466587
1991-01_a_1991-12,1991-01,1991-12,1992-01,1992-06,11,D,DTE,0.11049058453818361,-0.0020225880954750164,0.02084100775782365
1991-01_a_1991-12,1991-01,1991-12,1992-01,1992-06,12,FPC,ES,0.1136578430176769,0.01127186939834332,0.017985103841211027
1991-01_a_1991-12,1991-01,1991-12,1992-01,1992-06,13,45200Q,ES,0.11386960663321588,0.00557270699714589,0.020510612392898135
1991-01_a_1991-12,1991-01,1991-12,1992-01,1992-06,14,PEG,0961514D,0.11988221355875339,0.002009555258304857,0.021717935728153254
1991-01_a_1991-12,1991-01,1991-12,1992-01,1992-06,15,PCG,UEP,0.12099266670770703,0.00566015608074512,0.02116518675861686
1991-01_a_1991-12,1991-01,1991-12,1992-01,1992-06,16,PPL,TE,0.12173290496241407,-0.002186510113042512,0.021869322924478723
1991-01_a_1991-12,1991-01,1991-12,1992-01,1992-06,17,45200Q,AEP,0.1257317502557953,-0.0042031034963448686,0.021936256161865956
1991-01_a_1991-12,1991-01,1991-12,1992-01,1992-06,18,300583Q,COP,0.12701053586295075,-0.004119126065479404,0.022067522136573776
1991-01_a_1991-12,1991-01,1991-12,1992-01,1992-06,19,DTE,ES,0.1302196427183162,0.0026902307429514075,0.022571631595911183
1991-01_a_1991-12,1991-01,1991-12,1992-01,1992-06,20,1005945D,SCG,0.13126342662178558,0.0029311427465773254,0.022633181882695204
1991-02_a_1992-01,1991-02,1992-01,1992-02,1992-07,1,PPL,FPC,0.06347915165076756,-0.0029242936780834723,0.015598588635696681
1991-02_a_1992-01,1991-02,1992-01,1992-02,1992-07,2,PPL,WEC,0.07194618633093341,-0.0024202589116363834,0.016721837266065742
1991-02_a_1992-01,1991-02,1992-01,1992-02,1992-07,3,PPL,ES,0.08376076413071587,0.001377552155894939,0.01817907600361096
1991-02_a_1992-01,1991-02,1992-01,1992-02,1992-07,4,FPC,WEC,0.08703612406702632,0.0005040347664470886,0.01857757749342119
1991-02_a_1992-01,1991-02,1992-01,1992-02,1992-07,5,FPC,ES,0.10049891156677404,0.004301845833978411,0.01949938181146164
1991-02_a_1992-01,1991-02,1992-01,1992-02,1992-07,6,USW,BLS,0.10981672136040288,0.01277796395825381,0.01648806705851408
1991-02_a_1992-01,1991-02,1992-01,1992-02,1992-07,7,45200Q,DTE,0.11467731579170959,0.004061235656348962,0.02094062146807939
1991-02_a_1992-01,1991-02,1992-01,1992-02,1992-07,8,PCG,UEP,0.1164838983311256,-0.0005601554884133307,0.021492386384089013
1991-02_a_1992-01,1991-02,1992-01,1992-02,1992-07,9,45200Q,PPL,0.11863521734358073,-0.010877297247810195,0.018761385083469938
1991-02_a_1992-01,1991-02,1992-01,1992-02,1992-07,10,AYE,TE,0.11952487284600011,-0.006371459746422115,0.020821826491090642
1991-02_a_1992-01,1991-02,1992-01,1992-02,1992-07,11,AEP,FPC,0.12172726122742006,0.012265108573469609,0.01822127446654768
1991-02_a_1992-01,1991-02,1992-01,1992-02,1992-07,12,AEP,WEC,0.12503630917171904,0.012769143339916699,0.01823397325182141
1991-02_a_1992-01,1991-02,1992-01,1992-02,1992-07,13,45200Q,ES,0.12623176773979594,-0.009499745091915255,0.02025626917131274
1991-02_a_1992-01,1991-02,1992-01,1992-02,1992-07,14,AEP,PPL,0.12677976958002546,0.015189402251553083,0.016476068571922273
1991-02_a_1992-01,1991-02,1992-01,1992-02,1992-07,15,45200Q,FPC,0.13339931996506493,-0.013801590925893666,0.01838810975023048
1991-02_a_1992-01,1991-02,1992-01,1992-02,1992-07,16,EIX,AYE,0.13661878923198856,-0.0058203079258415235,0.022541686708130847
1991-02_a_1992-01,1991-02,1992-01,1992-02,1992-07,17,FPC,AYE,0.13710824539703026,-0.011110400037578972,0.020497548748272584
1991-02_a_1992-01,1991-02,1992-01,1992-02,1992-07,18,WEC,ES,0.13763747127359238,0.003797811067531323,0.0230586174144696
1991-02_a_1992-01,1991-02,1992-01,1992-02,1992-07,19,D,AYE,0.13823656151407704,-0.0010150610170024462,0.023399216786703363
1991-02_a_1992-01,1991-02,1992-01,1992-02,1992-07,20,PEG,0961514D,0.1418511339666111,0.0015568939898223816,0.023674200887119516
1991-03_a_1992-02,1991-03,1992-02,1992-03,1992-08,1,PPL,WEC,0.07017509645879727,-0.003833729355903977,0.016239359620483233
1991-03_a_1992-02,1991-03,1992-02,1992-03,1992-08,2,PPL,SCG,0.0728424722502723,0.00014696998837654166,0.017001051251998873
1991-03_a_1992-02,1991-03,1992-02,1992-03,1992-08,3,AEP,FPC,0.07660318052876391,0.0023129047560173947,0.017280339071205453
1991-03_a_1992-02,1991-03,1992-02,1992-03,1992-08,4,AEP,PPL,0.08307387417619339,-0.0084638431156147,0.01605419939426336
1991-03_a_1992-02,1991-03,1992-02,1992-03,1992-08,5,PPL,FPC,0.09060964613490796,0.010776747871632096,0.01558726810246864
1991-03_a_1992-02,1991-03,1992-02,1992-03,1992-08,6,USW,BLS,0.09631444042963722,-0.01054026824527909,0.016451809737279062
1991-03_a_1992-02,1991-03,1992-02,1992-03,1992-08,7,PPL,AYE,0.0983649328534284,-0.001992197740027248,0.019655849864200256
1991-03_a_1992-02,1991-03,1992-02,1992-03,1992-08,8,8375930Q,COP,0.10243230401772507,0.01691936206316957,0.010912223091202013
1991-03_a_1992-02,1991-03,1992-02,1992-03,1992-08,9,AEP,SCG,0.1091689572690484,-0.008316873127238158,0.01907263179660354
1991-03_a_1992-02,1991-03,1992-02,1992-03,1992-08,10,DTE,FPC,0.11363705949918312,-0.008294088705770255,0.01954164325433308
1991-03_a_1992-02,1991-03,1992-02,1992-03,1992-08,11,SCG,WEC,0.11619077401701361,-0.003980699344280519,0.02109894907276097
1991-03_a_1992-02,1991-03,1992-02,1992-03,1992-08,12,AYE,SCG,0.11781507262730884,0.0021391677284037895,0.021515713607008265
1991-03_a_1992-02,1991-03,1992-02,1992-03,1992-08,13,FPC,SCG,0.1184015418322133,-0.010629777883255554,0.018878740125254145
1991-03_a_1992-02,1991-03,1992-02,1992-03,1992-08,14,AEP,WEC,0.12274870750013633,-0.012297572471518678,0.018310315036867232
1991-03_a_1992-02,1991-03,1992-02,1992-03,1992-08,15,DUK,FPC,0.12326736468639865,-0.008995781297388447,0.020196806693524274
1991-03_a_1992-02,1991-03,1992-02,1992-03,1992-08,16,AYE,WEC,0.12415907359297762,-0.0018415316158767287,0.022119901457537113
1991-03_a_1992-02,1991-03,1992-02,1992-03,1992-08,17,45200Q,NEE,0.12449792922234337,-0.0040550780670964666,0.021852471048716342
1991-03_a_1992-02,1991-03,1992-02,1992-03,1992-08,18,D,UEP,0.12596396551055022,0.002905532278984341,0.022167124028708532
1991-03_a_1992-02,1991-03,1992-02,1992-03,1992-08,19,45200Q,D,0.12596705724695312,0.01143247226479121,0.019200239484638077
1991-03_a_1992-02,1991-03,1992-02,1992-03,1992-08,20,CEG,TE,0.13246234092389386,0.009640200294979608,0.020792834455921932
1991-04_a_1992-03,1991-04,1992-03,1992-04,1992-09,1,AEP,PPL,0.06517578746229447,0.0023919120931335694,0.01583836545835866
1991-04_a_1992-03,1991-04,1992-03,1992-04,1992-09,2,AEP,TXU,0.0675604086389967,0.0023878240084448947,0.016132628726851086
1991-04_a_1992-03,1991-04,1992-03,1992-04,1992-09,3,AEP,FPC,0.0826030011974126,-0.004097316390784608,0.017560027620421137
1991-04_a_1992-03,1991-04,1992-03,1992-04,1992-09,4,TXU,PPL,0.08633945615156335,4.088084688674722e-06,0.018436895127138895
1991-04_a_1992-03,1991-04,1992-03,1992-04,1992-09,5,PPL,FPC,0.0906412006058872,-0.006489228483918177,0.01773638199963846
1991-04_a_1992-03,1991-04,1992-03,1992-04,1992-09,6,TXU,FPC,0.09287663397628876,-0.006485140399229501,0.017984254623373656
1991-04_a_1992-03,1991-04,1992-03,1992-04,1992-09,7,USW,BLS,0.09389176786066855,0.007118284938139347,0.017854499735375038
1991-04_a_1992-03,1991-04,1992-03,1992-04,1992-09,8,FPC,AYE,0.10176947229956568,-0.006723196936997491,0.018849081636705515
1991-04_a_1992-03,1991-04,1992-03,1992-04,1992-09,9,CEG,DTE,0.1043335736840163,-0.0005815972925254639,0.020258887284172383
1991-04_a_1992-03,1991-04,1992-03,1992-04,1992-09,10,DTE,FPC,0.1162923948381831,0.007520188050238059,0.02002668707874427
1991-04_a_1992-03,1991-04,1992-03,1992-04,1992-09,11,CEG,SCG,0.11658501099532259,-0.008958592696910331,0.019453116798077087
1991-04_a_1992-03,1991-04,1992-03,1992-04,1992-09,12,CEG,FPC,0.11797224906013071,0.0069385907577125955,0.020399119792069702
1991-04_a_1992-03,1991-04,1992-03,1992-04,1992-09,13,DUK,PPL,0.12463137132158408,0.0077529623972627144,0.020744387601492074
1991-04_a_1992-03,1991-04,1992-03,1992-04,1992-09,14,8375930Q,COP,0.12593369231512952,0.019457946965526683,0.010756376754734516
1991-04_a_1992-03,1991-04,1992-03,1992-04,1992-09,15,CEG,AYE,0.12632914927678485,0.00021539382071510425,0.02230049950710596
1991-04_a_1992-03,1991-04,1992-03,1992-04,1992-09,16,DUK,FPC,0.130565883743202,0.0012637339133445371,0.02263704047520589
1991-04_a_1992-03,1991-04,1992-03,1992-04,1992-09,17,BLS,3054Q,0.13151528884776553,0.006938825593356726,0.021666561121473853
1991-04_a_1992-03,1991-04,1992-03,1992-04,1992-09,18,PPL,AYE,0.13353099139681035,-0.013212425420915667,0.018720499532066292
