date,TIF
2016-08-24,68.87
2016-08-25,73.28
2016-08-26,73.56
2016-08-29,72.98
2016-08-30,71.98
2016-08-31,71.37
2016-09-01,70.37
2016-09-02,70.08
2016-09-06,69.17
2016-09-07,69.78
2016-09-08,69.01
2016-09-09,67.27
2016-09-12,68.3
2016-09-13,68.74
2016-09-14,70.3
2016-09-15,72.66
2016-09-16,72.76
2016-09-19,71.77
2016-09-20,71.53
2016-09-21,72.27
2016-09-22,72.81
2016-09-23,72.69
2016-09-26,71.35
2016-09-27,71.65
2016-09-28,71.2
2016-09-29,71.37
2016-09-30,72.63
2016-10-03,71.71
2016-10-04,71.09
2016-10-05,72.8
2016-10-06,73.0
2016-10-07,73.35
2016-10-10,73.87
2016-10-11,73.47
2016-10-12,73.35
2016-10-13,72.82
2016-10-14,72.65
2016-10-17,71.9
2016-10-18,72.04
2016-10-19,73.25
2016-10-20,72.79
2016-10-21,73.37
2016-10-24,73.89
2016-10-25,73.39
2016-10-26,73.55
2016-10-27,72.83
2016-10-28,73.21
2016-10-31,73.42
2016-11-01,72.76
2016-11-02,72.45
2016-11-03,72.04
2016-11-04,72.93
2016-11-07,76.09
2016-11-08,75.62
2016-11-09,77.86
2016-11-10,80.23
2016-11-11,80.29
2016-11-14,78.1
2016-11-15,75.96
2016-11-16,76.19
2016-11-17,77.11
2016-11-18,76.35
2016-11-21,76.76
2016-11-22,76.88
2016-11-23,79.18
2016-11-25,78.06
2016-11-28,78.14
2016-11-29,80.6
2016-11-30,82.48
2016-12-01,82.51
2016-12-02,81.3
2016-12-05,83.24
2016-12-06,83.24
2016-12-07,84.35
2016-12-08,85.06
2016-12-09,85.02
2016-12-12,84.69
2016-12-13,84.21
2016-12-14,83.17
2016-12-15,81.03
2016-12-16,79.8
2016-12-19,79.94
2016-12-20,80.45
2016-12-21,80.04
2016-12-22,77.77
2016-12-23,77.13
2016-12-27,78.37
2016-12-28,77.38
2016-12-29,77.4
2016-12-30,77.43
2017-01-03,77.79
2017-01-04,79.26
2017-01-05,76.81
2017-01-06,77.16
2017-01-09,76.84
2017-01-10,77.14
2017-01-11,77.74
2017-01-12,80.55
2017-01-13,81.92
2017-01-17,79.9
2017-01-18,79.94
2017-01-19,79.03
2017-01-20,79.42
2017-01-23,78.74
2017-01-24,79.31
2017-01-25,80.34
2017-01-26,79.91
2017-01-27,79.17
2017-01-30,78.05
2017-01-31,78.72
2017-02-01,78.0
2017-02-02,78.18
2017-02-03,80.47
2017-02-06,78.49
2017-02-07,78.28
2017-02-08,79.04
2017-02-09,80.43
2017-02-10,81.37
2017-02-13,81.63
2017-02-14,82.96
2017-02-15,83.23
2017-02-16,83.01
2017-02-17,86.18
2017-02-21,88.41
2017-02-22,88.3
2017-02-23,90.23
2017-02-24,91.73
2017-02-27,91.97
2017-02-28,91.87
2017-03-01,91.52
2017-03-02,90.09
2017-03-03,90.32
2017-03-06,89.91
2017-03-07,88.76
2017-03-08,89.12
2017-03-09,88.47
2017-03-10,88.71
2017-03-13,88.86
2017-03-14,89.13
2017-03-15,90.47
2017-03-16,89.98
2017-03-17,92.42
2017-03-20,93.83
2017-03-21,94.01
2017-03-22,95.11
2017-03-23,95.36
2017-03-24,95.38
2017-03-27,95.07
2017-03-28,96.05
2017-03-29,96.41
2017-03-30,95.25
2017-03-31,95.3
2017-04-03,94.18
2017-04-04,93.65
2017-04-05,92.77
2017-04-06,93.69
2017-04-07,93.47
2017-04-10,93.21
2017-04-11,92.15
2017-04-12,91.74
2017-04-13,91.18
2017-04-17,91.52
2017-04-18,90.77
2017-04-19,91.55
2017-04-20,92.14
2017-04-21,91.69
2017-04-24,92.59
2017-04-25,92.83
2017-04-26,93.1
2017-04-27,92.37
2017-04-28,91.65
2017-05-01,91.3
2017-05-02,92.07
2017-05-03,92.17
2017-05-04,91.0
2017-05-05,92.49
2017-05-08,91.4
2017-05-09,92.46
2017-05-10,92.95
2017-05-11,92.02
2017-05-12,92.5
2017-05-15,92.25
2017-05-16,92.45
2017-05-17,91.06
2017-05-18,91.97
2017-05-19,92.92
2017-05-22,93.67
2017-05-23,93.14
2017-05-24,85.03
2017-05-25,85.82
2017-05-26,86.18
2017-05-30,85.93
2017-05-31,86.96
2017-06-01,89.24
2017-06-02,89.99
2017-06-05,91.04
2017-06-06,91.6
2017-06-07,92.27
2017-06-08,93.66
2017-06-09,94.69
2017-06-12,93.14
2017-06-13,91.84
2017-06-14,91.5
2017-06-15,91.02
2017-06-16,92.08
2017-06-19,93.9
2017-06-20,92.28
2017-06-21,91.31
2017-06-22,91.43
2017-06-23,91.79
2017-06-26,92.31
2017-06-27,93.69
2017-06-28,93.89
2017-06-29,92.52
2017-06-30,93.87
2017-07-03,93.68
2017-07-05,93.07
2017-07-06,93.05
2017-07-07,93.84
2017-07-10,91.33
2017-07-11,90.84
2017-07-12,92.46
2017-07-13,94.04
2017-07-14,91.9
2017-07-17,92.16
2017-07-18,91.79
2017-07-19,91.86
2017-07-20,92.63
2017-07-21,93.71
2017-07-24,93.44
2017-07-25,95.04
2017-07-26,95.09
2017-07-27,95.19
2017-07-28,96.34
2017-07-31,95.51
2017-08-01,95.86
2017-08-02,92.44
2017-08-03,92.85
2017-08-04,93.0
2017-08-07,92.16
2017-08-08,91.32
2017-08-09,91.24
2017-08-10,89.34
2017-08-11,90.29
2017-08-14,90.73
2017-08-15,88.11
2017-08-16,89.38
2017-08-17,88.37
2017-08-18,88.03
2017-08-21,87.82
2017-08-22,88.5
2017-08-23,88.72
2017-08-24,87.55
2017-08-25,88.0
2017-08-28,89.35
2017-08-29,88.28
2017-08-30,87.65
2017-08-31,91.4
2017-09-01,92.37
2017-09-05,92.25
2017-09-06,93.48
2017-09-07,93.51
2017-09-08,93.16
2017-09-11,95.6
2017-09-12,96.48
2017-09-13,95.51
2017-09-14,90.95
2017-09-15,90.31
2017-09-18,89.47
2017-09-19,90.32
2017-09-20,89.93
2017-09-21,89.85
2017-09-22,87.84
2017-09-25,88.03
2017-09-26,89.66
2017-09-27,89.87
2017-09-28,90.94
2017-09-29,91.78
2017-10-02,92.7
2017-10-03,93.02
2017-10-04,94.0
2017-10-05,94.14
2017-10-06,94.61
2017-10-09,93.44
2017-10-10,92.87
2017-10-11,93.27
2017-10-12,92.08
2017-10-13,94.4
2017-10-16,94.69
2017-10-17,94.94
2017-10-18,94.42
2017-10-19,93.6
2017-10-20,94.54
2017-10-23,93.67
2017-10-24,93.95
2017-10-25,93.48
2017-10-26,94.1
2017-10-27,94.05
2017-10-30,93.55
2017-10-31,93.62
2017-11-01,93.98
2017-11-02,93.01
2017-11-03,92.56
2017-11-06,92.99
2017-11-07,92.35
2017-11-08,90.87
2017-11-09,91.0
2017-11-10,91.57
2017-11-13,93.08
2017-11-14,93.55
2017-11-15,92.51
2017-11-16,92.94
2017-11-17,94.83
2017-11-20,94.33
2017-11-21,93.54
2017-11-22,94.09
2017-11-24,93.04
2017-11-27,93.29
2017-11-28,94.04
2017-11-29,92.55
2017-11-30,94.5
2017-12-01,97.25
2017-12-04,95.54
2017-12-05,95.02
2017-12-06,95.19
2017-12-07,95.52
2017-12-08,95.75
2017-12-11,96.34
2017-12-12,95.5
2017-12-13,96.1
2017-12-14,99.34
2017-12-15,101.34
2017-12-18,100.61
2017-12-19,100.42
2017-12-20,100.05
2017-12-21,102.46
2017-12-22,102.84
2017-12-26,105.2
2017-12-27,105.24
2017-12-28,104.22
2017-12-29,103.95
2018-01-02,106.43
2018-01-03,107.03
2018-01-04,106.75
2018-01-05,106.57
2018-01-08,106.84
2018-01-09,106.54
2018-01-10,105.84
2018-01-11,107.46
2018-01-12,108.46
2018-01-16,107.58
2018-01-17,108.99
2018-01-18,108.05
2018-01-19,107.77
2018-01-22,109.88
2018-01-23,108.86
2018-01-24,109.12
2018-01-25,109.13
2018-01-26,109.71
2018-01-29,109.3
2018-01-30,108.52
2018-01-31,106.65
2018-02-01,106.85
2018-02-02,105.51
2018-02-05,100.74
2018-02-06,103.05
2018-02-07,103.08
2018-02-08,99.62
2018-02-09,101.88
2018-02-12,100.73
2018-02-13,100.96
2018-02-14,103.11
2018-02-15,101.69
2018-02-16,101.47
2018-02-20,100.7
2018-02-21,101.5
2018-02-22,101.79
2018-02-23,104.17
2018-02-26,103.71
2018-02-27,102.4
2018-02-28,101.04
2018-03-01,101.44
2018-03-02,101.7
2018-03-05,101.03
2018-03-06,101.35
2018-03-07,100.58
2018-03-08,102.09
2018-03-09,101.76
2018-03-12,100.42
2018-03-13,101.29
2018-03-14,101.02
2018-03-15,102.71
2018-03-16,97.51
2018-03-19,97.62
2018-03-20,97.77
2018-03-21,97.04
2018-03-22,95.16
2018-03-23,95.94
2018-03-26,97.79
2018-03-27,96.54
2018-03-28,98.03
2018-03-29,97.66
2018-04-02,94.87
2018-04-03,94.2
2018-04-04,96.56
2018-04-05,98.12
2018-04-06,95.58
2018-04-09,96.06
2018-04-10,97.52
2018-04-11,97.7
2018-04-12,98.45
2018-04-13,99.02
2018-04-16,99.81
2018-04-17,100.52
2018-04-18,100.0
2018-04-19,98.03
2018-04-20,98.84
2018-04-23,100.48
2018-04-24,99.56
2018-04-25,100.82
2018-04-26,101.51
2018-04-27,103.32
2018-04-30,102.83
2018-05-01,101.59
2018-05-02,101.68
2018-05-03,102.32
2018-05-04,103.01
2018-05-07,102.08
2018-05-08,102.41
2018-05-09,103.36
2018-05-10,103.58
2018-05-11,103.75
2018-05-14,102.99
2018-05-15,101.88
2018-05-16,104.05
2018-05-17,104.18
2018-05-18,103.35
2018-05-21,103.24
2018-05-22,102.24
2018-05-23,126.05
2018-05-24,126.44
2018-05-25,129.21
2018-05-29,129.13
2018-05-30,130.7
2018-05-31,130.78
2018-06-01,132.43
2018-06-04,133.62
2018-06-05,133.88
2018-06-06,133.91
2018-06-07,131.99
2018-06-08,132.19
2018-06-11,133.59
2018-06-12,135.97
2018-06-13,136.02
2018-06-14,135.67
2018-06-15,136.27
2018-06-18,137.89
2018-06-19,136.07
2018-06-20,135.37
2018-06-21,135.0
2018-06-22,133.67
2018-06-25,133.07
2018-06-26,133.61
2018-06-27,132.31
2018-06-28,131.39
2018-06-29,131.6
2018-07-02,131.06
2018-07-03,132.05
2018-07-05,133.0
2018-07-06,133.67
2018-07-09,132.16
2018-07-10,133.11
2018-07-11,131.32
2018-07-12,131.76
2018-07-13,132.25
2018-07-16,132.71
2018-07-17,134.31
2018-07-18,134.6
2018-07-19,136.11
2018-07-20,136.37
2018-07-23,138.13
2018-07-24,137.93
2018-07-25,139.5
2018-07-26,139.07
2018-07-27,136.68
2018-07-30,136.26
2018-07-31,137.56
2018-08-01,136.02
2018-08-02,136.89
2018-08-03,135.8
2018-08-06,135.77
2018-08-07,137.04
2018-08-08,136.89
2018-08-09,137.1
2018-08-10,134.34
2018-08-13,130.89
2018-08-14,131.84
2018-08-15,125.66
2018-08-16,127.4
2018-08-17,128.56
2018-08-20,131.7
2018-08-21,131.9
2018-08-22,129.77
2018-08-23,129.83
2018-08-24,131.45
2018-08-27,129.78
2018-08-28,131.07
2018-08-29,125.48
2018-08-30,123.11
2018-08-31,122.65
2018-09-04,122.75
2018-09-05,120.72
2018-09-06,123.37
2018-09-07,122.87
2018-09-10,124.32
2018-09-11,123.37
2018-09-12,124.74
