date,EMC
2023-05-15,24.4558106417
2023-05-16,23.9112677408
2023-05-17,23.9404396819
2023-05-18,23.7070641529
2023-05-19,23.6681682314
2023-05-22,23.9307157015
2023-05-23,23.5709284277
2023-05-24,23.3667248398
2023-05-25,23.1430732912
2023-05-26,23.5125845454
2023-05-30,23.1916931931
2023-05-31,22.9680416445
2023-06-01,23.2597610557
2023-06-02,23.6973401725
2023-06-05,23.7167881333
2023-06-06,23.9695143832
2023-06-07,23.8237519174
2023-06-08,24.0255245102
2023-06-09,24.3099509361
2023-06-12,24.3391228773
2023-06-13,24.5192109938
2023-06-14,24.7183581119
2023-06-15,25.0060906911
2023-06-16,24.9322856801
2023-06-20,24.4266387006
2023-06-21,24.3974667595
2023-06-22,24.358570838
2023-06-23,23.9987835641
2023-06-26,23.9900319818
2023-06-27,24.3099509361
2023-06-28,24.1932631716
2023-06-29,24.0960233679
2023-06-30,24.2516070539
2023-07-03,24.514154524
2023-07-05,24.3846311054
2023-07-06,23.9487050652
2023-07-07,24.2207820361
2023-07-10,24.2209765157
2023-07-11,24.5530504455
2023-07-12,24.980905582
2023-07-13,25.2337290717
2023-07-14,25.1316272778
2023-07-17,25.214281111
2023-07-18,25.0198015035
2023-07-19,25.058697425
2023-07-20,24.8496318469
2023-07-21,24.7572540334
2023-07-24,25.0295254838
2023-07-25,25.1073173268
2023-07-26,25.3406928558
2023-07-27,25.1073173268
2023-07-28,25.6615842082
2023-07-31,25.6713081886
2023-08-01,25.3698647969
2023-08-02,24.747530053
2023-08-03,24.903113739
2023-08-04,24.8642178175
2023-08-07,24.8544938371
2023-08-08,24.5044305436
2023-08-09,24.6016703474
2023-08-10,24.7378060726
2023-08-11,24.4169147203
2023-08-14,24.3002269558
2023-08-15,23.9987835641
2023-08-16,23.8043039567
2023-08-17,23.7654080352
2023-08-18,23.5903763884
2023-08-21,23.7070641529
2023-08-22,23.6876161922
2023-08-23,24.0960233679
2023-08-24,23.9112677408
2023-08-25,23.9307157015
2023-08-28,24.1349192894
2023-08-29,24.4752586025
2023-08-30,24.436362681
2023-08-31,24.2418830735
2023-09-01,24.514154524
2023-09-05,24.2127111324
2023-09-06,24.0668514268
2023-09-07,23.7167881333
2023-09-08,23.7167881333
2023-09-11,23.9793356034
2023-09-12,23.9793356034
2023-09-13,23.9501636623
2023-09-14,24.0182315249
2023-09-15,23.8723718193
2023-09-18,23.89181978
2023-09-19,23.7459600744
2023-09-20,23.5612044473
2023-09-21,23.1916931931
2023-09-22,23.4639646436
2023-09-25,23.3958967809
2023-09-26,22.9777656248
2023-09-27,22.9777656248
2023-09-28,22.9680416445
2023-09-29,23.084729409
2023-10-02,23.006937566
2023-10-03,22.695770194
2023-10-04,22.7443900958
2023-10-05,22.8034146567
2023-10-06,23.1041773697
2023-10-09,22.9096977622
2023-10-10,23.2500370753
2023-10-11,23.3764488202
2023-10-12,23.1236253304
2023-10-13,23.0263855267
2023-10-16,23.1819692127
2023-10-17,23.0750054286
2023-10-18,22.8221819388
2023-10-19,22.7152181547
2023-10-20,22.5110145669
2023-10-23,22.617978351
2023-10-24,22.85135388
2023-10-25,22.6082543706
2023-10-26,22.4915666061
2023-10-27,22.4429467042
2023-10-30,22.6471502921
2023-10-31,22.540186508
2023-11-01,22.6471502921
2023-11-02,23.0652814482
2023-11-03,23.5223085258
2023-11-06,23.5223085258
2023-11-07,23.4834126043
2023-11-08,23.3861728006
