date,CXO
2015-07-01,109.3223592711
2015-07-02,110.0667817516
2015-07-06,105.188855498
2015-07-07,107.2458123519
2015-07-08,104.6599237355
2015-07-09,107.4808931352
2015-07-10,106.2173339249
2015-07-13,107.9118745713
2015-07-14,108.9697380962
2015-07-15,105.8843028152
2015-07-16,105.3063958896
2015-07-17,102.8870228281
2015-07-20,100.5460100276
2015-07-21,102.0446500212
2015-07-22,103.2494390357
2015-07-23,103.4551347211
2015-07-24,100.8986312026
2015-07-27,97.1569287349
2015-07-28,100.0954385263
2015-07-29,104.591358507
2015-07-30,106.2271289576
2015-07-31,104.375867789
2015-08-03,102.3580910656
2015-08-04,102.9947681871
2015-08-05,103.7783707981
2015-08-06,106.7266756221
2015-08-07,105.1202902695
2015-08-10,109.4692847607
2015-08-11,109.6358003155
2015-08-12,111.7515273653
2015-08-13,107.7159739185
2015-08-14,107.8726944407
2015-08-17,107.5298682984
2015-08-18,108.3036758768
2015-08-19,103.4257496231
2015-08-20,102.0152649233
2015-08-21,98.7045438917
2015-08-24,93.4250212999
2015-08-25,90.6334369981
2015-08-26,93.1409653534
2015-08-27,100.8790411373
2015-08-28,103.6608304065
2015-08-31,105.9430730111
2015-09-01,101.0455566921
2015-09-02,103.4061595579
2015-09-03,104.2387373321
2015-09-04,102.3287059677
2015-09-08,104.728488964
2015-09-09,99.4979415354
2015-09-10,99.9191279388
2015-09-11,96.5986118746
2015-09-14,94.2967792047
2015-09-15,96.0892701774
2015-09-16,102.779277469
2015-09-17,103.1123085787
2015-09-18,100.5656000929
2015-09-21,102.240550674
2015-09-22,100.8888361699
2015-09-23,98.9102395771
2015-09-24,99.6448670249
2015-09-25,98.8906495118
2015-09-28,93.1899405166
2015-09-29,94.6200152817
2015-09-30,96.2851708301
2015-10-01,96.1970155364
2015-10-02,100.5166249297
2015-10-05,105.3455760202
2015-10-06,105.3553710528
2015-10-07,108.7640424108
2015-10-08,114.0435650026
2015-10-09,113.5244282728
2015-10-12,112.7212355965
2015-10-13,113.2305772936
