date,LLTC
2016-01-04,40.7311585835
2016-01-05,40.6438983057
2016-01-06,39.315602965
2016-01-07,37.9970032109
2016-01-08,37.5316150623
2016-01-11,37.8709605873
2016-01-12,38.3072619765
2016-01-13,37.706135618
2016-01-14,38.3266531494
2016-01-15,37.7643091366
2016-01-19,38.3654354951
2016-01-20,39.8779469779
2016-01-21,40.7311585835
2016-01-22,40.4596821635
2016-01-25,39.5967749715
2016-01-26,39.8294690457
2016-01-27,39.9652072557
2016-01-28,40.0330763607
2016-01-29,41.4292408063
2016-02-01,41.264415837
2016-02-02,40.4984645092
2016-02-03,40.2754660214
2016-02-04,40.7214629971
2016-02-05,39.8197734593
2016-02-08,39.6258617307
2016-02-09,39.6646440764
2016-02-10,39.3640808972
2016-02-11,40.2729338077
2016-02-12,40.7029287331
2016-02-16,41.7583708227
2016-02-17,42.6525648152
2016-02-18,42.0710944048
2016-02-19,42.1883657481
2016-02-22,42.5499523899
2016-02-23,42.1004122406
2016-02-24,42.354500151
2016-02-25,42.8138129123
2016-02-26,42.8822211958
2016-02-29,42.6281332854
2016-03-01,41.4749650764
2016-03-02,41.3381485092
2016-03-03,41.533600748
2016-03-04,41.4554198525
2016-03-07,42.4815441063
2016-03-08,41.8365517182
2016-03-09,42.2176835839
2016-03-10,42.2763192555
2016-03-11,43.2242626138
2016-03-14,42.7160867928
2016-03-15,42.7454046287
2016-03-16,42.7649498526
2016-03-17,42.9897199272
2016-03-18,43.5467588078
2016-03-21,43.3317613451
2016-03-22,43.3903970168
2016-03-23,43.1167638824
2016-03-24,43.2535804496
2016-03-28,43.1265364944
2016-03-29,43.5565314198
2016-03-30,43.7617562705
2016-03-31,43.5467588078
2016-04-01,43.9767537332
2016-04-04,43.4099422406
2016-04-05,43.4490326884
2016-04-06,43.9278906735
2016-04-07,42.9897199272
2016-04-08,43.2828982854
2016-04-11,43.3415339571
2016-04-12,43.7324384347
2016-04-13,44.1526607481
2016-04-14,44.0940250765
2016-04-15,43.9181180616
2016-04-18,43.7715288824
2016-04-19,43.3415339571
2016-04-20,45.0517410467
2016-04-21,45.2765111213
2016-04-22,45.325374181
2016-04-25,44.8953792556
2016-04-26,44.9149244795
2016-04-27,45.3156015691
2016-04-28,44.5631104496
2016-04-29,43.4685779123
2016-05-02,43.839937166
2016-05-03,43.185172166
2016-05-04,42.9310842555
2016-05-05,42.8822211958
