date,DRE
2015-07-01,14.8657190185
2015-07-02,14.8972643109
2015-07-06,15.0628770957
2015-07-07,15.2679214959
2015-07-08,15.0628770957
2015-07-09,15.0392181264
2015-07-10,15.1496266496
2015-07-13,15.1969445882
2015-07-14,15.2127172343
2015-07-15,15.2600351728
2015-07-16,15.4966248654
2015-07-17,15.4019889884
2015-07-20,15.4098753115
2015-07-21,15.5518291271
2015-07-22,15.5597154501
2015-07-23,15.4335342808
2015-07-24,15.5360564809
2015-07-27,15.4966248654
2015-07-28,15.5518291271
2015-07-29,15.7647598504
2015-07-30,15.7884188197
2015-07-31,15.906713666
2015-08-03,15.9461452814
2015-08-04,15.8120777889
2015-08-05,15.638578681
2015-08-06,15.6306923579
2015-08-07,15.7095555888
2015-08-10,15.7963051427
2015-08-11,15.6701239734
2015-08-12,15.6543513272
2015-08-13,15.6782146676
2015-08-14,15.7259413485
2015-08-17,15.8213947102
2015-08-18,15.916848072
2015-08-19,15.9804836465
2015-08-20,15.8452580507
2015-08-21,15.3282190079
2015-08-24,14.5009565394
2015-08-25,14.007780837
2015-08-26,14.4532298585
2015-08-27,14.7554988374
2015-08-28,14.7395899437
2015-08-31,14.3657309435
2015-09-01,14.17482422
2015-09-02,14.429366518
2015-09-03,14.556637667
2015-09-04,14.1270975392
2015-09-08,14.3418676031
2015-09-09,14.1589153264
2015-09-10,14.3259587095
2015-09-11,14.5645921139
2015-09-14,14.5805010075
2015-09-15,14.7395899437
2015-09-16,14.9464055609
2015-09-17,15.1134489439
2015-09-18,15.0736767099
2015-09-21,15.2327656461
2015-09-22,14.938451114
2015-09-23,15.1054944971
2015-09-24,15.0895856035
2015-09-25,15.2248111993
2015-09-28,15.0020866885
2015-09-29,15.2089023057
2015-09-30,15.153221178
2015-10-01,15.2725378802
2015-10-02,15.4952623909
2015-10-05,15.8611669443
2015-10-06,15.8213947102
2015-10-07,16.2032081573
2015-10-08,16.3463881999
2015-10-09,16.4338871148
2015-10-12,16.6645660724
2015-10-13,16.4577504553
2015-10-14,16.2032081573
2015-10-15,16.3622970935
2015-10-16,16.4497960084
2015-10-19,16.7441105405
2015-10-20,16.7202472001
2015-10-21,16.6009304979
2015-10-22,16.7441105405
2015-10-23,16.6725205192
2015-10-26,16.6725205192
2015-10-27,16.5770671574
2015-10-28,16.7520649873
2015-10-29,16.6566116256
2015-10-30,16.4657049021
2015-11-02,16.8157005618
2015-11-03,16.6725205192
2015-11-04,16.6009304979
2015-11-05,16.7282016469
2015-11-06,16.1554814764
2015-11-09,15.7498046889
2015-11-10,15.8691213911
2015-11-11,15.8293491571
2015-11-12,15.6384424336
2015-11-13,15.4924403776
2015-11-16,15.7763332641
2015-11-17,15.8087781655
2015-11-18,15.946668996
2015-11-19,15.9872251227
2015-11-20,16.2224506572
2015-11-23,16.1818945306
2015-11-24,16.2954516852
2015-11-25,16.3522302625
2015-11-27,16.5225659944
2015-11-30,16.5063435437
2015-12-01,16.9281272608
2015-12-02,16.636123149
2015-12-03,16.4090088398
2015-12-04,16.8064588809
2015-12-07,16.8064588809
2015-12-08,16.6766792756
2015-12-09,16.5306772197
2015-12-10,16.636123149
2015-12-11,16.6442343743
2015-12-14,16.538788445
2015-12-15,16.7577915289
2015-12-16,17.1146854434
2015-12-17,17.130907894
2015-12-18,16.8956823595
2015-12-21,16.9443497115
2015-12-22,16.9119048101
2015-12-23,17.0173507394
2015-12-24,16.9849058381
2015-12-28,17.130907894
2015-12-29,17.2850211753
2015-12-30,17.2120201473
2015-12-31,17.0497956407
2016-01-04,16.9605721621
2016-01-05,17.1876864713
2016-01-06,16.9443497115
2016-01-07,16.4657874171
2016-01-08,16.1170047279
2016-01-11,16.2467843332
2016-01-12,16.0358924747
2016-01-13,15.8412230668
2016-01-14,15.7925557148
2016-01-15,15.7601108135
2016-01-19,15.7601108135
2016-01-20,15.3058821951
2016-01-21,15.3707719977
2016-01-22,15.8331118414
2016-01-25,15.7276659122
2016-01-26,16.1737833052
2016-01-27,15.9547802214
2016-01-28,15.9385577707
2016-01-29,16.3278965865
2016-02-01,16.2873404598
2016-02-02,15.9547802214
2016-02-03,16.2386731079
2016-02-04,16.2062282066
2016-02-05,15.9628914467
2016-02-08,15.6789985602
2016-02-09,15.378883223
2016-02-10,15.6627761095
2016-02-11,15.3626607724
2016-02-12,15.6984118873
2016-02-16,16.197944034
2016-02-17,16.4108593752
2016-02-18,16.5582623037
2016-02-19,16.6401528196
2016-02-22,16.9677148829
2016-02-23,16.8039338512
2016-02-24,16.6155856648
2016-02-25,17.0823616051
2016-02-26,17.0332272956
2016-02-29,16.9349586766
2016-03-01,17.4181127201
2016-03-02,17.5000032359
2016-03-03,17.6146499581
2016-03-04,17.7784309898
2016-03-07,17.7129185771
2016-03-08,17.3935455653
2016-03-09,17.3689784106
2016-03-10,17.2543316884
2016-03-11,17.6719733192
2016-03-14,17.5900828033
2016-03-15,17.5327594423
2016-03-16,17.8848886604
2016-03-17,18.1715054658
2016-03-18,18.0241025373
2016-03-21,17.8111871961
2016-03-22,17.8603215056
2016-03-23,17.8848886604
2016-03-24,17.8029981445
2016-03-28,17.9258339183
2016-03-29,18.5318237356
2016-03-30,18.3189083944
2016-03-31,18.4581222713
2016-04-01,18.2370178785
2016-04-04,18.384420807
2016-04-05,18.286152188
2016-04-06,18.3598536523
2016-04-07,18.3107193428
2016-04-08,18.5154456324
2016-04-11,18.4417441681
2016-04-12,18.3926098586
2016-04-13,18.2288288269
2016-04-14,18.187883569
2016-04-15,18.2697740849
2016-04-18,18.3762317555
2016-04-19,18.3352864975
2016-04-20,17.9585901246
2016-04-21,17.7702419382
2016-04-22,17.9422120215
2016-04-25,18.1551273627
2016-04-26,18.2042616722
2016-04-27,18.2288288269
2016-04-28,18.187883569
2016-04-29,17.9094558151
2016-05-02,18.2452069301
2016-05-03,18.1551273627
2016-05-04,18.4171770134
2016-05-05,18.5891470966
2016-05-06,18.8757639021
2016-05-09,19.2360821718
2016-05-10,19.1869478623
2016-05-11,18.9330872632
2016-05-12,19.3015945845
2016-05-13,19.2025697298
2016-05-16,19.4418797952
2016-05-17,19.1613093737
2016-05-18,18.9880158781
2016-05-19,18.8889910235
2016-05-20,19.1035448752
2016-05-23,19.0870407328
2016-05-24,19.5161484362
2016-05-25,19.2273259435
2016-05-26,19.3263507982
2016-05-27,19.5574087923
2016-05-31,19.5326525787
2016-06-01,19.6481815758
2016-06-02,19.7059460743
2016-06-03,19.9287519972
2016-06-06,19.8709874987
2016-06-07,20.0030206382
