date,MON
2021-03-16,9.7852
2021-03-17,9.68
2021-03-18,9.77
2021-03-19,9.75
2021-03-22,9.7
2021-03-23,9.66
2021-03-24,9.7
2021-03-25,9.6
2021-03-26,9.655
2021-03-29,9.8
2021-03-30,9.8
2021-03-31,9.6277
2021-04-01,9.75
2021-04-05,9.75
2021-04-06,9.77
2021-04-07,9.79
2021-04-08,9.79
2021-04-09,9.7899
2021-04-12,9.9099
2021-04-13,9.92
2021-04-14,9.79
2021-04-15,9.85
2021-04-16,9.81
2021-04-19,9.9
2021-04-20,9.9
2021-04-21,10.0
2021-04-22,9.87
2021-04-23,9.79
2021-04-26,9.76
2021-04-27,9.76
2021-04-28,9.71
2021-04-29,9.72
2021-04-30,9.72
2021-05-03,9.72
2021-05-04,9.74
2021-05-05,9.705
2021-05-06,9.73
2021-05-07,9.75
2021-05-10,9.75
2021-05-11,9.75
2021-05-12,9.75
2021-05-13,9.74
2021-05-14,9.72
2021-05-17,9.74
2021-05-18,9.75
2021-05-19,9.68
2021-05-20,9.73
2021-05-21,9.7
2021-05-24,9.7
2021-05-25,9.68
2021-05-26,9.72
2021-05-27,9.72
2021-05-28,9.72
2021-06-01,9.71
2021-06-02,9.71
2021-06-03,9.71
2021-06-04,9.71
2021-06-07,9.71
2021-06-08,9.75
2021-06-09,9.74
2021-06-10,9.7
2021-06-11,9.72
2021-06-14,9.74
2021-06-15,9.74
2021-06-16,9.74
2021-06-17,9.71
2021-06-18,9.7
2021-06-21,9.68
2021-06-22,9.77
2021-06-23,9.69
2021-06-24,9.72
2021-06-25,9.68
2021-06-28,9.68
2021-06-29,9.65
2021-06-30,9.685
2021-07-01,9.655
2021-07-02,9.655
2021-07-06,9.73
2021-07-07,9.73
2021-07-08,9.749
2021-07-09,9.663
2021-07-12,9.7
2021-07-13,9.68
2021-07-14,9.73
2021-07-15,9.67
2021-07-16,9.67
2021-07-19,9.67
2021-07-20,9.71
2021-07-21,9.7
2021-07-22,9.68
2021-07-23,9.68
2021-07-26,9.675
2021-07-27,9.665
2021-07-28,9.69
2021-07-29,9.67
2021-07-30,9.71
2021-08-02,9.705
2021-08-03,9.72
2021-08-04,9.68
2021-08-05,9.67
2021-08-06,9.71
2021-08-09,9.73
2021-08-10,9.73
2021-08-11,9.69
2021-08-12,9.69
2021-08-13,9.69
2021-08-16,9.69
2021-08-17,9.66
2021-08-18,9.65
2021-08-19,9.65
2021-08-20,9.65
2021-08-23,9.64
2021-08-24,9.64
2021-08-25,9.66
2021-08-26,9.66
2021-08-27,9.66
2021-08-30,9.66
2021-08-31,9.74
2021-09-01,9.68
2021-09-02,9.7
2021-09-03,9.7
2021-09-07,9.7
2021-09-08,9.7
2021-09-09,9.7
2021-09-10,9.72
2021-09-13,9.71
2021-09-14,9.72
2021-09-15,9.67
2021-09-16,9.7
2021-09-17,9.7
2021-09-20,9.72
2021-09-21,9.72
2021-09-22,9.71
2021-09-23,9.73
2021-09-24,9.73
2021-09-27,9.73
2021-09-28,9.73
2021-09-29,9.74
2021-09-30,9.76
2021-10-01,9.76
2021-10-04,9.74
2021-10-05,9.77
2021-10-06,9.76
2021-10-07,9.77
2021-10-08,9.76
2021-10-11,9.76
2021-10-12,9.76
2021-10-13,9.76
2021-10-14,9.95
2021-10-15,9.75
2021-10-18,9.78
2021-10-19,9.78
2021-10-20,9.75
2021-10-21,9.75
2021-10-22,9.76
2021-10-25,9.78
2021-10-26,9.76
2021-10-27,9.7704
2021-10-28,9.76
2021-10-29,9.76
2021-11-01,9.76
2021-11-02,9.77
2021-11-03,9.78
2021-11-04,9.78
2021-11-05,9.755
2021-11-08,9.77
2021-11-09,9.77
2021-11-10,9.75
2021-11-11,9.77
2021-11-12,9.76
2021-11-15,9.75
2021-11-16,9.75
2021-11-17,9.74
2021-11-18,9.74
2021-11-19,9.76
2021-11-22,9.75
2021-11-23,9.81
2021-11-24,9.81
2021-11-26,9.81
2021-11-29,9.78
2021-11-30,9.8
2021-12-01,9.78
2021-12-02,9.78
2021-12-03,9.79
2021-12-06,9.79
2021-12-07,9.8
2021-12-08,9.8
2021-12-09,9.76
2021-12-10,9.76
2021-12-13,9.75
2021-12-14,9.75
2021-12-15,9.76
2021-12-16,9.76
2021-12-17,9.77
2021-12-20,9.77
2021-12-21,9.73
2021-12-22,9.75
2021-12-23,9.75
2021-12-27,9.7516
2021-12-28,9.76
2021-12-29,9.77
2021-12-30,9.75
2021-12-31,9.76
2022-01-03,9.75
2022-01-04,9.75
2022-01-05,9.75
2022-01-06,9.76
2022-01-07,9.75
2022-01-10,9.74
2022-01-11,9.74
2022-01-12,9.74
2022-01-13,9.75
2022-01-14,9.74
2022-01-18,9.74
2022-01-19,9.74
2022-01-20,9.72
2022-01-21,9.735
2022-01-24,9.73
2022-01-25,9.71
2022-01-26,9.73
2022-01-27,9.71
2022-01-28,9.71
2022-01-31,9.77
2022-02-01,9.77
2022-02-02,9.74
2022-02-03,9.73
2022-02-04,9.73
2022-02-07,9.78
2022-02-08,9.74
2022-02-09,9.74
2022-02-10,9.76
2022-02-11,9.75
2022-02-14,9.75
2022-02-15,9.75
2022-02-16,9.75
2022-02-17,9.7798
2022-02-18,9.77
2022-02-22,9.76
2022-02-23,9.75
2022-02-24,9.78
2022-02-25,9.78
2022-02-28,9.77
2022-03-01,9.76
2022-03-02,9.75
2022-03-03,9.75
2022-03-04,9.76
2022-03-07,9.76
2022-03-08,9.76
2022-03-09,9.76
2022-03-10,9.78
2022-03-11,9.82
2022-03-14,9.82
2022-03-15,9.82
2022-03-16,9.78
2022-03-17,9.76
2022-03-18,9.7881
2022-03-21,9.76
