date,MYL
2015-07-01,69.7
2015-07-02,70.12
2015-07-06,70.75
2015-07-07,71.49
2015-07-08,68.96
2015-07-09,70.35
2015-07-10,71.22
2015-07-13,71.06
2015-07-14,71.42
2015-07-15,70.06
2015-07-16,68.44
2015-07-17,68.47
2015-07-20,66.98
2015-07-21,67.21
2015-07-22,67.9
2015-07-23,66.56
2015-07-24,65.94
2015-07-27,56.37
2015-07-28,56.35
2015-07-29,57.24
2015-07-30,56.35
2015-07-31,55.99
2015-08-03,55.2
2015-08-04,54.67
2015-08-05,54.6
2015-08-06,55.4
2015-08-07,56.35
2015-08-10,57.53
2015-08-11,57.13
2015-08-12,55.36
2015-08-13,54.22
2015-08-14,54.36
2015-08-17,55.49
2015-08-18,55.75
2015-08-19,55.09
2015-08-20,53.03
2015-08-21,51.5
2015-08-24,49.81
2015-08-25,49.11
2015-08-26,51.13
2015-08-27,51.49
2015-08-28,50.37
2015-08-31,49.59
2015-09-01,48.29
2015-09-02,48.62
2015-09-03,47.42
2015-09-04,48.05
2015-09-08,48.72
2015-09-09,47.56
2015-09-10,47.8
2015-09-11,48.65
2015-09-14,49.06
2015-09-15,49.56
2015-09-16,49.01
2015-09-17,49.37
2015-09-18,49.59
2015-09-21,48.16
2015-09-22,46.65
2015-09-23,45.41
2015-09-24,45.56
2015-09-25,43.61
2015-09-28,40.86
2015-09-29,39.8
2015-09-30,40.27
2015-10-01,41.41
2015-10-02,43.66
2015-10-05,43.9
2015-10-06,42.85
2015-10-07,42.23
2015-10-08,42.67
2015-10-09,42.55
2015-10-12,42.9
2015-10-13,41.42
2015-10-14,42.24
2015-10-15,42.73
2015-10-16,43.55
2015-10-19,43.74
2015-10-20,42.55
2015-10-21,40.89
2015-10-22,39.16
2015-10-23,40.96
2015-10-26,41.85
2015-10-27,44.09
2015-10-28,44.89
2015-10-29,45.78
2015-10-30,44.09
2015-11-02,45.81
2015-11-03,46.57
2015-11-04,46.58
2015-11-05,44.79
2015-11-06,44.96
2015-11-09,45.14
2015-11-10,45.44
2015-11-11,44.49
2015-11-12,43.2
2015-11-13,48.78
2015-11-16,50.0
2015-11-17,50.66
2015-11-18,52.02
2015-11-19,51.22
2015-11-20,51.87
2015-11-23,50.88
2015-11-24,50.39
2015-11-25,51.8
2015-11-27,51.74
2015-11-30,51.3
2015-12-01,53.08
2015-12-02,52.08
2015-12-03,51.07
2015-12-04,51.41
2015-12-07,51.09
2015-12-08,51.26
2015-12-09,50.7
2015-12-10,52.93
2015-12-11,52.56
2015-12-14,53.37
2015-12-15,53.99
2015-12-16,54.39
2015-12-17,52.97
2015-12-18,53.17
2015-12-21,53.64
2015-12-22,54.19
2015-12-23,54.79
2015-12-24,54.82
2015-12-28,54.33
2015-12-29,55.28
2015-12-30,54.62
2015-12-31,54.07
2016-01-04,53.28
2016-01-05,54.09
2016-01-06,53.36
2016-01-07,51.61
2016-01-08,49.42
2016-01-11,49.5
2016-01-12,50.09
2016-01-13,48.89
2016-01-14,50.7
2016-01-15,49.71
2016-01-19,50.22
2016-01-20,51.4
2016-01-21,51.44
2016-01-22,53.11
2016-01-25,52.62
2016-01-26,53.93
2016-01-27,51.23
2016-01-28,50.43
2016-01-29,52.69
2016-02-01,52.35
2016-02-02,50.82
2016-02-03,52.26
2016-02-04,52.31
2016-02-05,51.39
2016-02-08,50.45
2016-02-09,50.74
2016-02-10,50.54
2016-02-11,41.42
2016-02-12,41.825
2016-02-16,43.15
2016-02-17,46.27
2016-02-18,44.71
2016-02-19,45.34
2016-02-22,46.81
2016-02-23,46.71
2016-02-24,46.6
2016-02-25,47.42
2016-02-26,47.14
2016-02-29,45.07
2016-03-01,46.06
2016-03-02,46.12
2016-03-03,45.73
2016-03-04,44.78
2016-03-07,46.14
2016-03-08,44.75
2016-03-09,46.55
2016-03-10,47.29
2016-03-11,48.6
2016-03-14,47.87
2016-03-15,45.92
2016-03-16,46.4
2016-03-17,44.22
2016-03-18,45.05
2016-03-21,45.46
2016-03-22,46.21
2016-03-23,45.41
2016-03-24,45.88
2016-03-28,45.2
2016-03-29,47.01
2016-03-30,46.4
2016-03-31,46.35
2016-04-01,47.5
2016-04-04,47.23
2016-04-05,45.92
2016-04-06,48.34
2016-04-07,48.07
2016-04-08,47.0
2016-04-11,45.56
2016-04-12,46.25
2016-04-13,47.22
2016-04-14,47.59
2016-04-15,46.89
2016-04-18,47.6
2016-04-19,47.77
2016-04-20,47.93
2016-04-21,48.8
2016-04-22,48.29
2016-04-25,45.02
2016-04-26,44.99
2016-04-27,44.48
2016-04-28,42.6
2016-04-29,41.71
2016-05-02,42.71
2016-05-03,43.69
2016-05-04,41.94
2016-05-05,41.4
2016-05-06,39.65
2016-05-09,40.77
2016-05-10,40.81
2016-05-11,39.64
2016-05-12,38.62
2016-05-13,39.16
2016-05-16,40.45
2016-05-17,41.02
2016-05-18,42.04
2016-05-19,41.12
2016-05-20,41.51
2016-05-23,41.21
2016-05-24,42.44
2016-05-25,42.68
2016-05-26,42.86
2016-05-27,43.06
2016-05-31,43.34
2016-06-01,44.46
2016-06-02,44.96
2016-06-03,44.52
2016-06-06,46.52
2016-06-07,46.61
2016-06-08,46.51
2016-06-09,45.76
2016-06-10,44.53
2016-06-13,44.77
2016-06-14,44.87
2016-06-15,44.74
2016-06-16,45.05
2016-06-17,45.01
2016-06-20,45.38
2016-06-21,44.88
2016-06-22,45.0
2016-06-23,46.16
2016-06-24,43.56
2016-06-27,41.81
2016-06-28,42.82
2016-06-29,43.22
2016-06-30,43.24
2016-07-01,43.48
2016-07-05,42.67
2016-07-06,43.54
2016-07-07,43.7
2016-07-08,44.54
2016-07-11,44.55
2016-07-12,45.16
2016-07-13,45.3
2016-07-14,45.38
2016-07-15,45.45
2016-07-18,45.53
2016-07-19,44.93
2016-07-20,47.2
2016-07-21,46.86
