date,FTR
2020-04-23,0.26
2020-04-24,0.12
2020-04-27,0.11
2020-04-28,0.085
2020-04-29,0.0916
2020-04-30,0.0856
2020-05-01,0.0861
2020-05-04,0.0695
2020-05-05,0.07895
2020-05-06,0.078
2020-05-07,0.0745
2020-05-08,0.077
2020-05-11,0.082
2020-05-12,0.0836
2020-05-13,0.075
2020-05-14,0.067
2020-05-15,0.0675
2020-05-18,0.068885
2020-05-19,0.07
2020-05-20,0.072
2020-05-21,0.0688
2020-05-22,0.06655
2020-05-26,0.0655
2020-05-27,0.0655
2020-05-28,0.075
2020-05-29,0.094
2020-06-01,0.1038
2020-06-02,0.09145
2020-06-03,0.0905
2020-06-04,0.095
2020-06-05,0.1065
2020-06-08,0.104
2020-06-09,0.1006
2020-06-10,0.092
2020-06-11,0.0867
2020-06-12,0.10815
2020-06-15,0.13
2020-06-16,0.129
2020-06-17,0.1105
2020-06-18,0.117595
2020-06-19,0.1158
2020-06-22,0.115
2020-06-23,0.113
2020-06-24,0.098425
2020-06-25,0.089
2020-06-26,0.094045
2020-06-29,0.099
2020-06-30,0.0975
2020-07-01,0.0975
2020-07-02,0.0945
2020-07-06,0.0975
2020-07-07,0.093
2020-07-08,0.09
2020-07-09,0.09
2020-07-10,0.09
2020-07-13,0.088245
2020-07-14,0.09
2020-07-15,0.08
2020-07-16,0.083
2020-07-17,0.09
2020-07-20,0.077
2020-07-21,0.08
2020-07-22,0.0867
2020-07-23,0.087
2020-07-24,0.085
2020-07-27,0.0863
2020-07-28,0.0899
2020-07-29,0.092
2020-07-30,0.0913
2020-07-31,0.0935
2020-08-03,0.1
2020-08-04,0.1
2020-08-05,0.0967
2020-08-06,0.1
2020-08-07,0.1065
2020-08-10,0.1
2020-08-11,0.1
2020-08-12,0.11
2020-08-13,0.12
2020-08-14,0.1379
2020-08-17,0.16
2020-08-18,0.182
2020-08-19,0.169
2020-08-20,0.161
2020-08-21,0.1635
2020-08-24,0.18035
2020-08-25,0.19
2020-08-26,0.21
2020-08-27,0.205
2020-08-28,0.191
2020-08-31,0.1923
2020-09-01,0.195
2020-09-02,0.19
2020-09-03,0.1913
2020-09-04,0.1925
2020-09-08,0.1879
2020-09-09,0.17755
2020-09-10,0.1699
2020-09-11,0.1481
2020-09-14,0.1575
2020-09-15,0.17675
2020-09-16,0.1849
