date,DWDP
2017-08-03,41.0010784147
2017-08-04,41.4406296258
2017-08-14,40.9881504379
2017-08-25,41.718581127
2017-09-01,43.4250740643
2017-09-05,42.0029966165
2017-09-06,41.9318927442
2017-09-07,41.8090769646
2017-09-08,41.9189647674
2017-09-11,43.2117624472
2017-09-12,44.2912485098
2017-09-13,44.9247193729
2017-09-14,45.2608467696
2017-09-15,45.1574229552
2017-09-18,45.0992470597
2017-09-19,45.2802387348
2017-09-20,45.5129423172
2017-09-21,45.4547664216
2017-09-22,45.2220628392
2017-09-25,45.4676943984
2017-09-26,44.8277595469
2017-09-27,44.472240185
2017-09-28,44.6403038833
2017-09-29,44.7501916861
2017-10-02,45.5194063056
2017-10-03,45.4806223752
2017-10-04,45.5387982708
2017-10-05,45.8749256675
2017-10-06,46.0365253775
2017-10-09,46.3338688439
2017-10-10,46.2627649715
2017-10-11,46.2950849135
2017-10-12,46.1528771687
2017-10-13,46.1722691339
2017-10-16,45.8490697139
2017-10-17,45.8167497719
2017-10-18,45.752109888
2017-10-19,45.8232137603
2017-10-20,46.0106694239
2017-10-23,46.2498369947
2017-10-24,46.450220635
2017-10-25,45.9718854935
2017-10-26,47.2194352545
2017-10-27,46.8897718462
2017-10-30,46.3338688439
2017-10-31,46.741100113
2017-11-01,47.3939629413
2017-11-02,46.5665724262
2017-11-03,45.9977414471
2017-11-06,45.4030545144
2017-11-07,45.9848134703
2017-11-08,45.7715018532
2017-11-09,45.396590526
2017-11-10,45.2285268276
2017-11-13,45.5452622592
2017-11-14,44.5692000109
2017-11-15,44.8291924275
2017-11-16,45.9406600084
2017-11-17,45.9796588708
2017-11-20,46.0511567854
2017-11-21,46.3176490124
2017-11-22,45.888661525
2017-11-24,46.2526509082
2017-11-27,45.5831704356
2017-11-28,46.2071522353
2017-11-29,46.6556391539
2017-11-30,46.7726357414
2017-12-01,46.155153752
2017-12-04,46.8831325184
2017-12-05,46.499643704
2017-12-06,46.2006524249
2017-12-07,46.3891469269
2017-12-08,45.9731590604
2017-12-11,46.0251575437
2017-12-12,46.0121579229
2017-12-13,45.8626622834
2017-12-14,45.7066668334
2017-12-15,45.4986729002
2017-12-18,46.4021465478
2017-12-19,46.421645979
2017-12-20,46.3241488228
2017-12-21,46.5646418081
2017-12-22,46.8701328976
2017-12-26,46.4346455998
2017-12-27,46.4346455998
2017-12-28,46.4801442727
2017-12-29,46.2916497707
2018-01-02,46.7336368789
2018-01-03,47.4811150766
2018-01-04,48.3910885346
2018-01-05,49.0215701447
2018-01-08,48.852575074
2018-01-09,48.9695716614
2018-01-10,48.2285932742
2018-01-11,48.8915739365
2018-01-12,49.0150703343
2018-01-16,48.7160790553
2018-01-17,49.2490635092
2018-01-18,49.41805858
2018-01-19,49.4050589592
2018-01-22,49.5155557362
2018-01-23,49.4895564946
2018-01-24,49.4050589592
2018-01-25,49.8210468257
2018-01-26,50.061539811
2018-01-29,49.3140616134
2018-01-30,48.8330756427
2018-01-31,49.1255671114
2018-02-01,47.7736065452
2018-02-02,46.0771560271
2018-02-05,44.0947138507
2018-02-06,46.7271370685
2018-02-07,45.888661525
2018-02-08,44.335206836
2018-02-09,45.1606827586
2018-02-12,46.6946380164
2018-02-13,45.9861586813
2018-02-14,46.3631476853
2018-02-15,46.7011378268
2018-02-16,46.766135931
2018-02-20,46.5516421873
2018-02-21,46.1226547
2018-02-22,46.7531363101
2018-02-23,47.6176110953
2018-02-26,48.1375959284
2018-02-27,47.2796209537
2018-02-28,45.9336284279
2018-03-01,44.9274010058
2018-03-02,44.7117808439
2018-03-05,45.5154559927
2018-03-06,46.2537916986
2018-03-07,45.848687152
2018-03-08,46.1165788683
2018-03-09,47.1946796778
2018-03-12,46.6131586351
2018-03-13,46.110044924
2018-03-14,45.0776817247
2018-03-15,44.3524139074
2018-03-16,44.4046854618
2018-03-19,43.4899332598
2018-03-20,43.3788562067
2018-03-21,44.0583864139
2018-03-22,42.8757424956
2018-03-23,41.2030527548
2018-03-26,42.1308728454
2018-03-27,41.5820215242
2018-03-28,40.7783463754
2018-03-29,41.6277591343
2018-04-02,40.5365904363
2018-04-03,41.3729353066
2018-04-04,41.6146912457
2018-04-05,42.7581314982
2018-04-06,41.6277591343
2018-04-09,41.6146912457
2018-04-10,43.0521589917
2018-04-11,42.2942214529
2018-04-12,43.4311277611
2018-04-13,43.2351094321
2018-04-16,43.7839607533
2018-04-17,44.1367937455
2018-04-18,44.4700249048
2018-04-19,43.4703314269
2018-04-20,43.1501681562
2018-04-23,42.862674607
2018-04-24,41.2814600864
2018-04-25,41.5820215242
2018-04-26,41.8433792962
2018-04-27,42.0263297366
2018-04-30,41.3206637522
2018-05-01,41.2030527548
2018-05-02,41.4840123597
2018-05-03,41.4709444711
2018-05-04,42.1243389011
2018-05-07,42.4183663946
2018-05-08,41.9675242379
2018-05-09,43.1436342119
2018-05-10,43.7447570875
2018-05-11,43.7316891989
2018-05-14,44.1237258569
2018-05-15,43.8754359735
2018-05-16,44.4504230719
2018-05-17,44.5353643478
2018-05-18,44.1498616341
2018-05-21,44.8424597299
2018-05-22,44.0845221911
2018-05-23,43.8035625862
2018-05-24,43.3723222624
2018-05-25,42.9345479943
2018-05-29,41.7780398532
2018-05-30,42.5817150021
2018-05-31,42.1348008765
2018-06-01,43.4886877865
2018-06-04,44.1196253757
2018-06-05,44.6191176338
2018-06-06,46.0321549429
2018-06-07,45.6246744165
2018-06-08,45.6706802824
2018-06-11,45.6706802824
2018-06-12,45.8612760125
2018-06-13,45.0660317595
2018-06-14,44.9411586949
2018-06-15,44.527105902
2018-06-18,44.5533949683
2018-06-19,43.6135608511
2018-06-20,43.304664323
2018-06-21,42.9037560633
2018-06-22,44.0341859105
2018-06-25,43.363814722
2018-06-26,43.5806995183
2018-06-27,43.1206408595
2018-06-28,43.4755432534
2018-06-29,43.3243811227
2018-07-02,43.2257971244
2018-07-03,42.8183165981
2018-07-05,43.422965121
2018-07-06,43.3309533893
2018-07-09,43.8698792467
2018-07-10,44.5665395014
2018-07-11,43.5741272517
2018-07-12,43.541265919
2018-07-13,43.6135608511
2018-07-16,43.1929357916
2018-07-17,44.0736195098
2018-07-18,43.7647229818
2018-07-19,43.4689709869
2018-07-20,43.2586584572
