date,DWDP
2018-07-23,43.1797912585
2018-07-24,43.9816077781
2018-07-25,44.3825160379
2018-07-26,44.8557192297
2018-07-27,44.9345864284
2018-07-30,44.7242738987
2018-07-31,45.1974770905
2018-08-01,44.6651234997
2018-08-02,43.6661389835
2018-08-03,43.9158851125
2018-08-06,44.5336781686
2018-08-07,44.7834242976
2018-08-08,44.4679555031
2018-08-09,45.3617837544
2018-08-10,44.5205336355
2018-08-13,43.7647229818
2018-08-14,44.4022328375
2018-08-15,43.6792835166
2018-08-16,44.0867640429
2018-08-17,44.5533949683
2018-08-20,45.0068813605
2018-08-21,45.2369106899
2018-08-22,45.190904824
2018-08-23,44.763707498
2018-08-24,45.4866568189
2018-08-27,46.5382194675
2018-08-28,46.4922136016
2018-08-29,46.9522722604
2018-08-30,46.3870573368
2018-08-31,46.3408024363
2018-09-04,46.0698808763
2018-09-05,46.2879396929
2018-09-06,46.3077632217
2018-09-07,46.2549004783
2018-09-10,46.2945475358
2018-09-11,46.3077632217
2018-09-12,45.7527044159
2018-09-13,45.5412534423
2018-09-14,45.3165867828
2018-09-17,45.4751750131
2018-09-18,44.9531554219
2018-09-19,45.4157044267
2018-09-20,46.274724007
2018-09-21,46.0500573476
2018-09-24,45.0654887517
2018-09-25,44.9002926785
2018-09-26,44.1998613284
2018-09-27,43.1690378321
2018-09-28,42.4950378537
2018-10-01,42.8320378429
2018-10-02,42.8320378429
2018-10-03,42.5479005971
2018-10-04,42.2968025659
2018-10-05,41.754959446
2018-10-08,41.7351359172
2018-10-09,40.2021163585
2018-10-10,39.1977242339
2018-10-11,38.9730575744
2018-10-12,39.4223908933
2018-10-15,38.9466262027
2018-10-16,39.8188614689
2018-10-17,39.362920307
2018-10-18,38.7087438574
2018-10-19,37.9884889785
2018-10-22,37.0501752831
2018-10-23,36.1316851164
2018-10-24,34.8101165314
2018-10-25,34.9687047616
2018-10-26,34.3607832124
2018-10-29,34.4070381129
2018-10-30,34.7770773167
2018-10-31,35.6294890541
2018-11-01,38.5039007267
2018-11-02,38.1470772087
2018-11-05,38.0809987795
2018-11-06,38.3387046536
2018-11-07,39.5347242231
2018-11-08,39.277018349
2018-11-09,38.7748222866
2018-11-12,38.1272536799
2018-11-13,37.9752732927
2018-11-14,38.3122732819
2018-11-15,38.8078615013
2018-11-16,39.1118222758
2018-11-19,38.1933321092
2018-11-20,37.2484105709
2018-11-21,37.6448811464
2018-11-23,37.2880576284
2018-11-26,38.1008223082
2018-11-27,37.7836458478
2018-11-28,37.8100772195
2018-11-29,38.0743909365
2018-11-30,38.4801452774
2018-12-03,39.3515193537
2018-12-04,37.5755126486
2018-12-06,37.1963651497
2018-12-07,35.7529439699
2018-12-10,35.7862025225
2018-12-11,35.4270101551
2018-12-12,36.1520466003
2018-12-13,35.7728991014
2018-12-14,35.1077280508
2018-12-17,34.3760398952
2018-12-18,34.781794236
2018-12-19,34.6953219995
2018-12-20,33.9503304228
2018-12-21,33.65100345
2018-12-24,32.6532468741
2018-12-26,34.741883973
2018-12-27,35.4735721287
2018-12-28,35.267369103
2018-12-31,35.5733477863
2019-01-02,36.2651256789
2019-01-03,34.9281318672
2019-01-04,36.4048115995
2019-01-07,36.424766731
2019-01-08,36.8438244929
2019-01-09,36.9968138346
2019-01-10,37.0367240976
2019-01-11,36.7706556774
2019-01-14,36.8371727824
2019-01-15,36.5910594937
2019-01-16,36.8504762034
2019-01-17,37.9413567264
2019-01-18,38.619831198
2019-01-22,37.4092198859
2019-01-23,37.5356023855
2019-01-24,37.4690852805
2019-01-25,38.4202798828
2019-01-28,38.6663931716
2019-01-29,38.9258098813
2019-01-30,39.4313398798
2019-01-31,35.792854233
2019-02-01,35.5666960758
2019-02-04,35.3405379186
2019-02-05,36.0921812057
2019-02-06,35.3937516026
2019-02-07,34.7086254205
2019-02-08,34.3959950267
2019-02-11,34.5888946314
2019-02-12,35.4935272602
2019-02-13,35.3471896291
2019-02-14,35.0279075248
2019-02-15,36.0788777847
2019-02-19,36.3116876524
2019-02-20,37.4092198859
2019-02-21,36.7573522563
2019-02-22,36.5644526517
2019-02-25,37.3027925178
2019-02-26,37.1697583077
2019-02-27,36.6509248882
2019-02-28,35.6529373502
2019-03-01,35.7266142825
2019-03-04,36.3361234501
2019-03-05,35.9543429825
2019-03-06,36.4834773147
2019-03-07,36.5169668294
2019-03-08,36.6241332765
2019-03-11,37.2269445411
2019-03-12,37.2202466382
2019-03-13,37.4412774352
2019-03-14,36.8585598794
2019-03-15,37.0260074529
2019-03-18,36.9791221323
2019-03-19,36.8920493941
2019-03-20,36.8451640735
2019-03-21,37.4546732411
2019-03-22,36.115092653
2019-03-25,35.6797289619
2019-03-26,35.6194478355
2019-03-27,35.2711568826
2019-03-28,35.3113443002
2019-03-29,35.7065205737
2019-04-01,36.4499878
2019-04-02,36.3432433209
2019-04-03,37.1997845447
2019-04-04,37.6280551566
2019-04-05,37.7475725366
2019-04-08,37.9866072968
2019-04-09,38.0662855501
2019-04-10,38.3451594369
2019-04-11,38.7335909221
2019-04-12,39.3112582591
2019-04-15,38.7435507038
2019-04-16,38.9925452456
2019-04-17,39.042344154
2019-04-18,38.8431485205
2019-04-22,38.1658833668
2019-04-23,38.1260442402
2019-04-24,38.1360040218
2019-04-25,37.4487790865
2019-04-26,37.8471703533
2019-04-29,37.8073312267
2019-04-30,38.2953605286
2019-05-01,37.159945418
2019-05-02,34.67
2019-05-03,34.89
2019-05-06,33.62
2019-05-07,32.14
2019-05-08,31.68
2019-05-09,30.99
2019-05-10,31.48
2019-05-13,30.24
2019-05-14,30.76
2019-05-15,30.1
2019-05-16,30.8
2019-05-17,30.97
2019-05-20,31.03
2019-05-21,31.99
2019-05-22,31.72
2019-05-23,30.94
2019-05-24,31.08
2019-05-28,30.77
2019-05-29,31.09
2019-05-30,31.17
2019-05-31,30.52
