date,ATVI
2015-07-01,23.4006867373
2015-07-02,23.3060620437
2015-07-06,23.4858489616
2015-07-07,23.703485757
2015-07-08,23.4669240229
2015-07-09,23.7744542772
2015-07-10,23.9968223073
2015-07-13,24.4936019489
2015-07-14,24.6591951627
2015-07-15,24.3800523165
2015-07-16,24.4604833061
2015-07-17,24.4226334286
2015-07-20,24.8389820807
2015-07-21,24.6875825708
2015-07-22,24.5551079997
2015-07-23,24.5456455304
2015-07-24,24.7727447951
2015-07-27,24.2333840414
2015-07-28,24.328008735
2015-07-29,24.5834954078
2015-07-30,24.6591951627
2015-07-31,24.4037084899
2015-08-03,24.1482218171
2015-08-04,24.2901588575
2015-08-05,27.1667495442
2015-08-06,27.1667495442
2015-08-07,27.2329868298
2015-08-10,27.2613742379
2015-08-11,26.9301878101
2015-08-12,27.1194371974
2015-08-13,27.2992241153
2015-08-14,27.1383621361
2015-08-17,27.7250352367
2015-08-18,27.6493354818
2015-08-19,27.4222362171
2015-08-20,26.4759892806
2015-08-21,25.756841609
2015-08-24,24.7538198564
2015-08-25,24.7727447951
2015-08-26,25.8230788945
2015-08-27,26.4286769338
2015-08-28,27.6493354818
2015-08-31,27.0910497893
2015-09-01,26.3624396483
2015-09-02,26.8450255858
2015-09-03,27.0626623812
2015-09-04,26.589538913
2015-09-08,27.318149054
2015-09-09,27.1478246055
2015-09-10,27.497935972
2015-09-11,27.5830981962
2015-09-14,27.6398730124
2015-09-15,28.1981587049
2015-09-16,28.8794564991
2015-09-17,29.3052676205
2015-09-18,29.4282797222
2015-09-21,29.8257034355
2015-09-22,29.7216162725
2015-09-23,29.9203281292
2015-09-24,29.7973160274
2015-09-25,30.3366767812
2015-09-28,29.6269915789
2015-09-29,29.0119310702
2015-09-30,29.2295678656
2015-10-01,29.239030335
2015-10-02,29.7689286193
2015-10-05,30.2515145569
2015-10-06,30.1947397407
2015-10-07,30.2231271488
2015-10-08,30.0244152922
2015-10-09,30.3461392505
2015-10-12,30.8287251881
2015-10-13,31.112599269
2015-10-14,31.2450738401
2015-10-15,31.9831464505
2015-10-16,32.333257817
2015-10-19,31.9358341037
2015-10-20,32.0020713893
2015-10-21,31.9642215118
2015-10-22,32.8820810401
2015-10-23,33.0240180806
2015-10-26,33.0050931418
2015-10-27,33.0050931418
2015-10-28,33.3835919164
2015-10-29,33.1091803049
2015-10-30,32.8915435095
2015-11-02,32.7117565916
2015-11-03,33.8945652621
2015-11-04,35.0016741777
2015-11-05,35.3517855441
2015-11-06,33.1186427742
2015-11-09,32.2197081846
2015-11-10,32.0399212667
2015-11-11,32.7117565916
2015-11-12,33.1281052436
2015-11-13,32.7306815303
2015-11-16,33.0713304274
2015-11-17,34.178439343
2015-11-18,34.8881245453
2015-11-19,35.0205991164
2015-11-20,35.4937225846
2015-11-23,35.3423230748
2015-11-24,34.8597371372
