date,LB
2024-06-28,22.9286708573
2024-07-01,22.7404873816
2024-07-02,24.1766244331
2024-07-03,23.7705443013
2024-07-05,28.2275213578
2024-07-08,26.5140612894
2024-07-09,27.0588029297
2024-07-10,27.6827797176
2024-07-11,29.6141364421
2024-07-12,30.4857230664
2024-07-15,30.8620900179
2024-07-16,28.7326454242
2024-07-17,26.8904282409
2024-07-18,28.1779993905
2024-07-19,28.5741751289
2024-07-22,29.267482671
2024-07-23,27.950198341
2024-07-24,29.2080563102
2024-07-25,29.267482671
2024-07-26,29.8419374916
2024-07-29,31.6940590684
2024-07-30,30.8818988048
2024-07-31,32.6547852339
2024-08-01,31.7831986095
2024-08-02,31.55539756
2024-08-05,29.7230847701
2024-08-06,31.2879789366
2024-08-07,31.9614776918
2024-08-08,31.8030073965
2024-08-09,32.2883226759
2024-08-12,33.476849891
2024-08-13,32.9915346115
2024-08-14,33.3976147433
2024-08-15,33.5263718583
2024-08-16,35.4874417632
2024-08-19,35.7152428127
2024-08-20,36.7849173063
2024-08-21,37.2702325858
2024-08-22,39.6571914094
2024-08-23,41.6380701011
2024-08-26,38.1517236036
2024-08-27,36.4679767156
2024-08-28,37.0523359297
2024-08-29,36.4382635352
2024-08-30,36.6858733717
2024-09-03,33.9621651705
2024-09-04,34.3286277285
2024-09-05,34.6950902865
2024-09-06,34.4078628761
2024-09-09,34.922891336
2024-09-10,32.763733562
2024-09-11,34.2394881873
2024-09-12,36.2104624857
2024-09-13,37.6267907503
2024-09-16,37.1216666839
2024-09-17,37.9338269475
2024-09-18,37.4782248484
2024-09-19,38.5379949485
2024-09-20,38.3002895055
2024-09-23,40.7268659029
2024-09-24,42.1134809872
2024-09-25,40.8259098375
2024-09-26,39.4789123271
2024-09-27,39.4194859663
2024-09-30,38.7459872111
2024-10-01,43.708088334
2024-10-02,43.1633466938
2024-10-03,43.3218169891
2024-10-04,45.2135561398
2024-10-07,45.3720264351
2024-10-08,45.3423132548
2024-10-09,46.9270162082
2024-10-10,46.5407448633
2024-10-11,48.5513367354
2024-10-14,51.0571482805
2024-10-15,50.8986779852
2024-10-16,50.7699208702
2024-10-17,52.2456754956
2024-10-18,54.1473190397
2024-10-21,53.5134378583
2024-10-22,51.5028459862
2024-10-23,52.1862491348
2024-10-24,53.4441071041
2024-10-25,51.7306470357
2024-10-28,52.9786006115
2024-10-29,53.3252543826
2024-10-30,54.672251893
2024-10-31,55.5636473043
2024-11-01,55.75183078
2024-11-04,55.6527868454
2024-11-05,59.981006787
2024-11-06,60.9516373459
2024-11-07,68.0035654887
2024-11-08,74.7781706145
2024-11-11,66.5377152568
2024-11-12,69.3802761795
2024-11-13,69.9349222131
2024-11-14,64.9629166968
2024-11-15,68.2115577513
2024-11-18,66.0623043707
2024-11-19,62.9919423985
2024-11-20,65.4581363697
2024-11-21,66.8051338801
2024-11-22,76.7194317325
2024-11-25,72.8071963162
2024-11-26,75.1446331725
2024-11-27,78.3635610467
2024-11-29,75.2733902875
2024-12-02,72.1138887741
2024-12-03,74.1244806463
2024-12-04,69.845782672
2024-12-05,68.0927050298
2024-12-06,63.5895603709
2024-12-09,61.784334979
2024-12-10,62.5183277207
2024-12-11,62.200925454
2024-12-12,59.622032037
2024-12-13,59.741057887
2024-12-16,58.6896628786
2024-12-17,57.1324080075
2024-12-18,53.0458538236
2024-12-19,54.3154628905
2024-12-20,57.8168066451
2024-12-23,58.0449395243
2024-12-24,60.465131808
2024-12-26,63.1828887167
2024-12-27,64.2739590085
2024-12-30,64.6806306627
2024-12-31,64.0755825918
2025-01-02,64.2739590085
2025-01-03,69.4317458425
2025-01-06,72.6950378971
2025-01-07,71.8916134095
2025-01-08,71.3857535469
2025-01-10,73.1017095513
2025-01-13,69.7094728258
2025-01-14,72.1395839303
2025-01-15,73.7067576222
2025-01-16,74.6589644223
2025-01-17,74.1431857389
2025-01-21,82.0286483025
2025-01-22,79.4100796021
2025-01-23,79.8167512563
2025-01-24,77.0593190643
2025-01-27,63.6689109375
2025-01-28,63.5002909834
2025-01-29,67.5471698839
2025-01-30,64.6905494835
2025-01-31,64.3433907543
2025-02-03,64.4624166043
2025-02-04,64.5814424543
2025-02-05,69.1639376799
2025-02-06,66.1287785045
2025-02-07,64.8889259002
2025-02-10,72.8537390304
2025-02-11,70.602166701
2025-02-12,69.3325576341
2025-02-13,68.9258859799
2025-02-14,69.4317458425
2025-02-18,71.8122628428
2025-02-19,72.6950378971
2025-02-20,71.8122628428
2025-02-21,64.6806306627
2025-02-24,64.839331796
2025-02-25,60.8718034622
2025-02-26,64.2144460835
2025-02-27,64.363228396
2025-02-28,68.618402534
2025-03-03,63.4506968792
2025-03-04,64.7004683044
2025-03-05,64.9682764669
2025-03-06,61.1098551622
2025-03-07,67.2794568621
2025-03-10,67.2595869693
2025-03-11,67.7762041809
2025-03-12,68.7597638722
2025-03-13,67.0012783635
2025-03-14,72.0979058547
2025-03-17,73.1808150097
2025-03-18,71.8793370344
2025-03-19,79.67826994
2025-03-20,79.1616527284
2025-03-21,76.5487618314
2025-03-24,81.04929254
2025-03-25,78.6649054096
2025-03-26,77.9992640024
2025-03-27,75.7639010676
2025-03-28,69.2366412982
2025-03-31,71.472004233
2025-04-01,72.1575155329
2025-04-02,74.0550902909
2025-04-03,65.9382391012
2025-04-04,59.2520201898
2025-04-07,61.5171879637
2025-04-08,60.0964906318
2025-04-09,67.5477004142
2025-04-10,62.4411379767
2025-04-11,65.2626627476
2025-04-14,67.4781557896
2025-04-15,66.6038805084
2025-04-16,67.2099122374
2025-04-17,68.6008047301
2025-04-21,64.9844842491
2025-04-22,67.8556837519
2025-04-23,69.5247547432
2025-04-24,71.3527848764
2025-04-25,71.5316139112
2025-04-28,73.6874972749
2025-04-29,73.7868467387
2025-04-30,71.9786864982
2025-05-01,74.4624230923
2025-05-02,77.9297193777
2025-05-05,76.2109736546
2025-05-06,77.5720613082
2025-05-07,77.4826467908
2025-05-08,68.6703493548
2025-05-09,69.7035837779
2025-05-12,72.3661494069
2025-05-13,78.4364016429
2025-05-14,77.9297193777
2025-05-15,79.7974892965
2025-05-16,83.9502968819
2025-05-19,83.8410124718
2025-05-20,83.0462167617
2025-05-21,80.0259930632
2025-05-22,77.5621263618
2025-05-23,77.909849485
2025-05-27,75.5950069792
2025-05-28,75.6446817111
2025-05-29,73.6676273822
2025-05-30,70.9851918605
2025-06-02,72.4158241387
2025-06-03,72.1873203721
2025-06-04,71.8495321953
2025-06-05,71.5316139112
2025-06-06,72.9940822346
2025-06-09,72.6259779627
2025-06-10,72.8846458294
2025-06-11,70.4372498597
2025-06-12,72.7055680756
2025-06-13,72.1285397575
2025-06-16,70.26812087
2025-06-17,70.0591968238
2025-06-18,70.6262763777
2025-06-20,68.4773433311
2025-06-23,66.6865657923
2025-06-24,68.7758062543
2025-06-25,65.8608183717
2025-06-26,67.1840039976
2025-06-27,67.2337478181
2025-06-30,67.2337478181
2025-07-01,66.0398961255
2025-07-02,66.845746018
2025-07-03,66.5273855667
2025-07-07,63.9705531918
2025-07-08,63.0751644224
2025-07-09,61.3440794682
2025-07-10,62.2892120582
2025-07-11,59.3841729396
2025-07-14,58.8568884421
2025-07-15,56.6880578673
2025-07-16,55.6235401082
2025-07-17,55.6235401082
2025-07-18,55.5041549389
2025-07-21,54.1411742566
2025-07-22,52.081780087
2025-07-23,52.5195257076
2025-07-24,53.4646582975
2025-07-25,56.1309270775
2025-07-28,54.5888686413
2025-07-29,57.5734978726
2025-07-30,57.513805288
2025-07-31,56.3895949442
2025-08-01,55.1062043747
2025-08-04,57.6331904573
2025-08-05,58.747452037
2025-08-06,59.0459149601
2025-08-07,50.5795167072
2025-08-08,51.2958277227
2025-08-11,50.9376722149
2025-08-12,52.0320362664
2025-08-13,51.8629072767
2025-08-14,53.3552218923
2025-08-15,51.2460839022
2025-08-18,52.2310115485
2025-08-19,53.4746070616
2025-08-20,53.3950169488
2025-08-21,52.7781935743
2025-08-22,53.8128650411
2025-08-25,51.8330609843
2025-08-26,52.3503967178
2025-08-27,51.5843418817
2025-08-28,52.2608578408
2025-08-29,52.8776812153
2025-09-02,54.7977926875
2025-09-03,52.8577836871
2025-09-04,53.9819940309
2025-09-05,51.8988631682
2025-09-08,51.0516568365
2025-09-09,50.8024785036
2025-09-10,52.2277785676
2025-09-11,51.5898820355
2025-09-12,53.224491899
2025-09-15,51.3905393692
2025-09-16,51.9586659681
2025-09-17,51.7194547685
2025-09-18,52.3772855673
2025-09-19,51.1812295696
2025-09-22,52.018468768
2025-09-23,57.0618382251
2025-09-24,54.2810080303
2025-09-25,54.2012709638
2025-09-26,54.3707122302
2025-09-29,52.6862667
2025-09-30,53.1746562324
2025-10-01,55.3773926949
2025-10-02,56.4239416929
2025-10-03,56.4837444928
2025-10-06,56.8923969587
2025-10-07,54.2311723638
2025-10-08,53.9022569644
2025-10-09,52.9354450329
2025-10-10,48.6994133743
2025-10-13,51.6297505687
2025-10-14,51.3606379692
2025-10-15,52.9553792995
2025-10-16,53.1447548325
2025-10-17,53.8623884311
2025-10-20,55.6265710278
2025-10-21,56.4139745596
2025-10-22,56.5933829593
2025-10-23,59.5835229536
2025-10-24,59.3343446208
2025-10-27,59.4240488206
2025-10-28,59.8027998865
2025-10-29,59.9423397529
2025-10-30,59.0652320213
2025-10-31,58.9755278214
2025-11-03,60.7496775514
2025-11-04,58.8060865551
2025-11-05,61.0387244175
2025-11-06,66.0123239414
2025-11-07,68.9326940026
2025-11-10,74.7534998582
2025-11-11,85.2688255049
2025-11-12,81.2421036459
2025-11-13,72.8697116617
2025-11-14,74.2950117257
2025-11-17,61.6766209497
2025-11-18,61.8061936827
2025-11-19,64.4275497444
2025-11-20,59.5436544204
2025-11-21,57.2213123581
2025-11-24,56.4937116262
2025-11-25,55.9156178939
2025-11-26,56.6232843592
2025-11-28,56.7628242256
2025-12-01,55.5867024945
2025-12-02,55.0086087623
2025-12-03,60.3011565523
2025-12-04,59.2546075542
2025-12-05,59.4842378784
2025-12-08,57.4874524511
2025-12-09,56.6587864988
2025-12-10,56.5389793732
2025-12-11,56.4091883204
2025-12-12,55.1212617198
2025-12-15,52.2458907045
2025-12-16,50.3689124029
2025-12-17,53.0046691669
2025-12-18,52.5154567372
2025-12-19,52.4056335387
2025-12-22,53.4239941066
2025-12-23,52.8748781141
2025-12-24,53.014653094
2025-12-26,51.8764854005
2025-12-29,51.3673051165
2025-12-30,50.1392820788
2025-12-31,48.911259041
