date,MJN
2015-07-01,87.6792189493
2015-07-02,87.6021044207
2015-07-06,86.4646651248
2015-07-07,87.071942037
2015-07-08,85.2501113003
2015-07-09,84.9609318183
2015-07-10,85.2597506164
2015-07-13,86.358632648
2015-07-14,84.9512925022
2015-07-15,83.3897232993
2015-07-16,84.5849984916
2015-07-17,84.6235557559
2015-07-20,84.642834388
2015-07-21,84.9512925022
2015-07-22,85.7609950519
2015-07-23,87.8816445867
2015-07-24,86.6863693943
2015-07-27,86.2911574356
2015-07-28,86.8405984514
2015-07-29,87.0430240888
2015-07-30,86.2526001713
2015-07-31,85.2019147199
2015-08-03,84.8067027612
2015-08-04,84.5849984916
2015-08-05,84.7585061808
2015-08-06,84.8838172897
2015-08-07,84.9802104504
2015-08-10,86.1658463267
2015-08-11,83.8042138902
2015-08-12,81.8088754642
2015-08-13,80.9991729146
2015-08-14,80.8063865932
2015-08-17,81.3654669251
2015-08-18,80.6907148004
2015-08-19,79.4279643956
2015-08-20,76.7289558967
2015-08-21,75.6879097614
2015-08-24,74.0492260299
2015-08-25,72.7093610966
2015-08-26,75.3601730151
2015-08-27,75.5433200204
2015-08-28,75.7361063417
2015-08-31,75.5144020722
2015-09-01,73.2973593767
2015-09-02,73.9624721853
2015-09-03,74.5697490976
2015-09-04,72.8443115215
2015-09-08,73.4419491177
2015-09-09,72.4587388788
2015-09-10,72.5474205866
2015-09-11,73.2937333969
2015-09-14,72.8284994373
2015-09-15,73.4681961318
2015-09-16,72.50865109
2015-09-17,73.0029621721
2015-09-18,72.3341883551
2015-09-21,72.7315756957
2015-09-22,71.2777195717
2015-09-23,70.4829448906
2015-09-24,72.4311120967
2015-09-25,69.3392447397
2015-09-28,68.0598513506
2015-09-29,67.4976936493
2015-09-30,68.2343140855
2015-10-01,68.3312378271
2015-10-02,70.870639857
2015-10-05,72.8478841856
2015-10-06,72.7800375665
2015-10-07,70.1243270467
2015-10-08,69.9110948152
2015-10-09,69.8141710736
2015-10-12,69.1066277599
2015-10-13,69.358629488
2015-10-14,69.1647820048
2015-10-15,72.2178798652
2015-10-16,72.7897299406
2015-10-19,72.7315756957
2015-10-20,72.4601892192
2015-10-21,72.7897299406
2015-10-22,76.812065217
2015-10-23,78.6245391849
2015-10-26,77.2579144283
2015-10-27,76.8992965844
