date,CPGX
2015-07-01,27.59
2015-07-02,30.34
2015-07-06,30.44
2015-07-07,30.76
2015-07-08,30.24
2015-07-09,29.37
2015-07-10,29.8
2015-07-13,29.71
2015-07-14,29.63
2015-07-15,29.44
2015-07-16,29.19
2015-07-17,29.23
2015-07-20,29.22
2015-07-21,29.53
2015-07-22,28.87
2015-07-23,28.86
2015-07-24,28.76
2015-07-27,28.88
2015-07-28,29.49
2015-07-29,29.59
2015-07-30,29.6
2015-07-31,29.18
2015-08-03,28.47
2015-08-04,28.19
2015-08-05,27.4
2015-08-06,27.34
2015-08-07,27.5
2015-08-10,28.01
2015-08-11,27.82
2015-08-12,28.0
2015-08-13,27.69
2015-08-14,27.59
2015-08-17,27.7
2015-08-18,27.29
2015-08-19,27.35
2015-08-20,26.44
2015-08-21,25.76
2015-08-24,24.49
2015-08-25,23.42
2015-08-26,23.67
2015-08-27,25.17
2015-08-28,25.54
2015-08-31,25.36
2015-09-01,24.03
2015-09-02,24.31
2015-09-03,24.17
2015-09-04,24.22
2015-09-08,24.56
2015-09-09,23.89
2015-09-10,23.45
2015-09-11,23.5
2015-09-14,23.18
2015-09-15,23.04
2015-09-16,22.97
2015-09-17,22.69
2015-09-18,22.21
2015-09-21,21.55
2015-09-22,20.92
2015-09-23,19.98
2015-09-24,19.38
2015-09-25,18.99
2015-09-28,18.05
2015-09-29,17.7
2015-09-30,18.29
2015-10-01,18.21
2015-10-02,18.36
2015-10-05,18.46
2015-10-06,18.85
2015-10-07,18.99
2015-10-08,20.25
2015-10-09,21.18
2015-10-12,21.08
2015-10-13,20.89
2015-10-14,21.09
2015-10-15,21.3
2015-10-16,21.2
2015-10-19,21.15
2015-10-20,21.08
2015-10-21,20.9
2015-10-22,20.65
2015-10-23,20.94
2015-10-26,19.96
2015-10-27,19.7
2015-10-28,20.0
2015-10-29,20.56
2015-10-30,20.77
2015-11-02,21.12
2015-11-03,21.97
2015-11-04,21.09
2015-11-05,20.98
2015-11-06,20.62
2015-11-09,20.18
2015-11-10,19.98
2015-11-11,19.93
2015-11-12,19.36
2015-11-13,19.08
2015-11-16,20.07
2015-11-17,19.48
2015-11-18,19.82
2015-11-19,19.28
2015-11-20,19.07
2015-11-23,18.87
2015-11-24,19.38
2015-11-25,19.27
2015-11-27,19.29
2015-11-30,19.17
2015-12-01,19.05
2015-12-02,19.79
2015-12-03,19.0
2015-12-04,18.81
2015-12-07,17.97
2015-12-08,18.28
2015-12-09,19.39
2015-12-10,19.2
2015-12-11,18.75
2015-12-14,18.61
2015-12-15,19.56
2015-12-16,19.54
2015-12-17,19.67
2015-12-18,19.31
2015-12-21,19.35
2015-12-22,19.4
2015-12-23,20.04
2015-12-24,20.04
2015-12-28,19.97
2015-12-29,19.77
2015-12-30,19.49
2015-12-31,20.0
2016-01-04,20.1
2016-01-05,20.19
2016-01-06,19.19
2016-01-07,18.37
2016-01-08,18.55
2016-01-11,17.93
2016-01-12,17.46
2016-01-13,17.0
2016-01-14,17.51
2016-01-15,17.1
2016-01-19,16.49
2016-01-20,16.13
2016-01-21,16.63
2016-01-22,17.75
2016-01-25,17.25
2016-01-26,17.75
2016-01-27,17.75
2016-01-28,18.05
2016-01-29,18.55
2016-02-01,18.11
2016-02-02,17.89
2016-02-03,18.39
2016-02-04,18.06
2016-02-05,17.28
2016-02-08,16.61
2016-02-09,15.93
2016-02-10,16.22
2016-02-11,15.89
2016-02-12,16.28
2016-02-16,16.82
2016-02-17,17.46
2016-02-18,17.54
2016-02-19,17.08
2016-02-22,17.71
2016-02-23,16.96
2016-02-24,17.26
2016-02-25,17.58
2016-02-26,18.02
2016-02-29,18.15
2016-03-01,18.08
2016-03-02,19.25
2016-03-03,19.82
2016-03-04,19.61
2016-03-07,19.73
2016-03-08,18.93
2016-03-09,19.75
2016-03-10,21.43
2016-03-11,22.96
2016-03-14,22.9
2016-03-15,23.01
2016-03-16,23.0
2016-03-17,23.51
2016-03-18,24.84
2016-03-21,25.02
2016-03-22,24.99
2016-03-23,25.02
2016-03-24,25.04
2016-03-28,25.02
2016-03-29,25.06
2016-03-30,25.13
2016-03-31,25.1
2016-04-01,25.08
2016-04-04,25.11
2016-04-05,25.1
2016-04-06,25.13
2016-04-07,25.21
2016-04-08,25.25
2016-04-11,25.38
2016-04-12,25.55
2016-04-13,25.46
2016-04-14,25.46
2016-04-15,25.41
2016-04-18,25.39
2016-04-19,25.37
2016-04-20,25.47
2016-04-21,25.49
2016-04-22,25.61
2016-04-25,25.55
2016-04-26,25.94
2016-04-27,25.61
2016-04-28,25.63
2016-04-29,25.62
2016-05-02,25.63
2016-05-03,25.54
2016-05-04,25.5
2016-05-05,25.49
2016-05-06,25.37
2016-05-09,25.62
2016-05-10,25.53
2016-05-11,25.5
2016-05-12,25.47
2016-05-13,25.49
2016-05-16,25.55
2016-05-17,25.5
2016-05-18,25.51
2016-05-19,25.53
2016-05-20,25.52
2016-05-23,25.51
2016-05-24,25.52
2016-05-25,25.52
2016-05-26,25.58
2016-05-27,25.53
2016-05-31,25.54
2016-06-01,25.53
2016-06-02,25.56
2016-06-03,25.51
2016-06-06,25.51
2016-06-07,25.53
2016-06-08,25.53
2016-06-09,25.54
2016-06-10,25.53
2016-06-13,25.52
2016-06-14,25.55
2016-06-15,25.48
2016-06-16,25.46
2016-06-17,25.45
2016-06-20,25.46
2016-06-21,25.48
2016-06-22,25.48
2016-06-23,25.48
2016-06-24,25.47
2016-06-27,25.48
2016-06-28,25.48
2016-06-29,25.48
2016-06-30,25.49
