date,CA
2023-12-14,23.4227932292
2023-12-15,23.4506830406
2023-12-18,23.4506830406
2023-12-19,23.4878694557
2023-12-20,23.5436490784
2023-12-21,23.5436490784
2023-12-22,23.5343524746
2023-12-26,23.5436490784
2023-12-27,23.6180219086
2023-12-28,23.5761871916
2023-12-29,23.6087253049
2024-01-02,23.5668905878
2024-01-03,23.6087253049
2024-01-04,23.5622422859
2024-01-05,23.5575939841
2024-01-08,23.6180219086
2024-01-09,23.604077003
2024-01-10,23.5854837954
2024-01-11,23.6133736068
2024-01-12,23.604077003
2024-01-16,23.5436490784
2024-01-17,23.4878694557
2024-01-18,23.432182799
2024-01-19,23.3995517198
2024-01-22,23.4181449273
2024-01-23,23.3809585122
2024-01-24,23.390255116
2024-01-25,23.4042000217
2024-01-26,23.3949034179
2024-01-29,23.4697410783
2024-01-30,23.5018143614
2024-01-31,23.6366151162
2024-02-01,23.7481743616
2024-02-02,23.5759174607
2024-02-05,23.4734944386
2024-02-06,23.5200503577
2024-02-07,23.5107391739
2024-02-08,23.5107391739
2024-02-09,23.506083582
2024-02-12,23.5572950931
2024-02-13,23.4362497032
2024-02-14,23.5014279901
2024-02-15,23.5200503577
2024-02-16,23.5014279901
2024-02-20,23.5293615416
2024-02-21,23.5293615416
2024-02-22,23.5200503577
2024-02-23,23.5572950931
2024-02-26,23.5572950931
2024-02-27,23.506083582
2024-02-28,23.5666062769
2024-02-29,23.5666062769
2024-03-01,23.5955733698
2024-03-04,23.5909998607
2024-03-05,23.6142407538
2024-03-06,23.6206810013
2024-03-07,23.6422418298
2024-03-08,23.6609092138
2024-03-11,23.6609092138
2024-03-12,23.6422418298
2024-03-13,23.6504554787
2024-03-14,23.5955733698
2024-03-15,23.5842796025
2024-03-18,23.5862396778
2024-03-19,23.5955733698
2024-03-20,23.5675722938
2024-03-21,23.5582386018
2024-03-22,23.5862396778
2024-03-25,23.5489049098
2024-03-26,23.5209038338
2024-03-27,23.5302375258
2024-03-28,23.5483448883
2024-04-01,23.4597121491
2024-04-02,23.3942083656
2024-04-03,23.3193468989
2024-04-04,23.4409967824
2024-04-05,23.2959526905
2024-04-08,23.375492999
2024-04-09,23.3579941311
2024-04-10,23.2491642738
2024-04-11,23.2585219571
2024-04-12,23.3128900974
2024-04-15,23.2968884588
2024-04-16,23.2912738488
2024-04-17,23.3146680572
2024-04-18,23.3567776323
2024-04-19,23.2444854321
2024-04-22,23.2491642738
2024-04-23,23.3435832987
2024-04-24,23.3193468989
2024-04-25,23.2257700654
2024-04-26,23.2491642738
2024-04-29,23.268721832
2024-04-30,23.2500064653
2024-05-01,23.27959546
2024-05-02,23.3074574639
2024-05-03,23.3449820483
2024-05-06,23.4012689248
2024-05-07,23.4622463744
2024-05-08,23.4856992396
2024-05-09,23.4903898127
2024-05-10,23.4622463744
2024-05-13,23.4763180936
2024-05-14,23.4997709588
2024-05-15,23.5560578353
2024-05-16,23.4856992396
2024-05-17,23.4622463744
2024-05-20,23.420031217
2024-05-21,23.3918877787
2024-05-22,23.3262197561
2024-05-23,23.2605517335
2024-05-24,23.2558611604
2024-05-28,23.213646003
2024-05-29,23.1620496995
2024-05-30,23.1667402725
2024-05-31,23.181281049
2024-06-03,23.293911089
2024-06-04,23.3174260406
2024-06-05,23.3787530345
2024-06-06,23.4538127601
2024-06-07,23.4020798665
2024-06-10,23.3832679052
2024-06-11,23.4491097697
2024-06-12,23.496139673
2024-06-13,23.5949024699
2024-06-14,23.6137144312
2024-06-17,23.5666845279
2024-06-18,23.6278234022
2024-06-20,23.5619815376
2024-06-21,23.5949024699
2024-06-24,23.6091055007
2024-06-25,23.605060929
2024-06-26,23.5478725666
2024-06-27,23.5623577768
2024-06-28,23.5222882992
2024-07-01,23.4663509323
2024-07-02,23.4993556453
2024-07-03,23.5523517844
2024-07-05,23.6266595382
2024-07-08,23.6266595382
2024-07-09,23.6266595382
2024-07-10,23.6596642512
2024-07-11,23.6408044152
2024-07-12,23.6502343332
2024-07-15,23.6408044152
2024-07-16,23.7162437592
2024-07-17,23.7162437592
2024-07-18,23.6973839232
2024-07-19,23.6408044152
2024-07-22,23.7068138412
2024-07-23,23.6738091282
2024-07-24,23.6408044152
2024-07-25,23.6879540052
2024-07-26,23.7162437592
2024-07-29,23.6973839232
2024-07-30,23.6973839232
2024-07-31,23.7351035952
2024-08-01,23.7970958761
2024-08-02,23.975493972
2024-08-05,23.975493972
2024-08-06,23.9329507059
2024-08-07,23.8856804102
2024-08-08,23.7911398188
2024-08-09,23.7485965527
2024-08-12,23.7580506118
2024-08-13,23.8336830849
2024-08-14,23.8525912032
2024-08-15,23.7769587301
2024-08-16,23.7911398188
2024-08-19,23.8005938779
2024-08-20,23.8336830849
2024-08-21,23.8336830849
2024-08-22,23.8147749666
2024-08-23,23.8667722919
2024-08-26,23.8525912032
2024-08-27,23.8384101145
2024-08-28,23.8289560554
2024-08-29,23.8100479371
2024-08-30,23.8431371441
2024-09-03,23.8851509829
2024-09-04,23.9325421554
2024-09-05,23.936807361
2024-09-06,23.9770898577
2024-09-09,23.9809759338
2024-09-10,23.9894115626
2024-09-11,24.0178462661
2024-09-12,24.0131071488
2024-09-13,24.0273245006
2024-09-16,24.0178462661
2024-09-17,24.0320636179
2024-09-18,24.0175619191
2024-09-19,24.0652374387
2024-09-20,24.0273245006
