date,VIAB
2015-07-01,57.1880733677
2015-07-02,56.8251711842
2015-07-06,55.9754489982
2015-07-07,55.8072748156
2015-07-08,54.1432355348
2015-07-09,54.3114097175
2015-07-10,54.7008657193
2015-07-13,55.3204548133
2015-07-14,54.6212042644
2015-07-15,54.214045717
2015-07-16,54.6920144466
2015-07-17,53.7980358968
2015-07-20,53.1518929846
2015-07-21,52.8686522559
2015-07-22,51.7002842503
2015-07-23,51.5409613404
2015-07-24,49.9300296963
2015-07-27,49.9123271507
2015-07-28,50.1778653338
2015-07-29,50.0982038789
2015-07-30,49.8857733324
2015-07-31,50.4522547897
2015-08-03,49.6910453315
2015-08-04,49.2130766019
2015-08-05,45.5043933112
2015-08-06,39.0341129162
2015-08-07,40.2467372857
2015-08-10,41.6186845651
2015-08-11,40.7158547426
2015-08-12,40.7601111064
2015-08-13,40.4945729233
2015-08-14,38.6535081871
2015-08-17,39.0872205529
2015-08-18,38.272903458
2015-08-19,38.1755394575
2015-08-20,35.7768445368
2015-08-21,35.2900245345
2015-08-24,33.767605618
2015-08-25,34.1482103471
2015-08-26,34.1747641654
2015-08-27,34.7412456227
2015-08-28,36.2105569026
2015-08-31,36.0866390838
2015-09-01,35.7502907185
2015-09-02,36.9452125425
2015-09-03,38.1932420031
2015-09-04,38.3614161857
2015-09-08,38.9633027341
2015-09-09,39.2288409172
2015-09-10,39.5651892824
2015-09-11,39.5474867369
2015-09-14,39.1277189237
2015-09-15,39.6725239578
2015-09-16,40.5924406547
2015-09-17,40.4227472835
2015-09-18,40.7978589463
2015-09-21,40.0833605409
2015-09-22,39.422449516
2015-09-23,38.9490943224
2015-09-24,38.9401630923
2015-09-25,38.8687132518
2015-09-28,38.6007763498
2015-09-29,38.2524583772
2015-09-30,38.5382577393
2015-10-01,38.2524583772
2015-10-02,39.5921428872
2015-10-05,40.6013718848
2015-10-06,41.7892254837
2015-10-07,42.3786866682
2015-10-08,42.7984544813
2015-10-09,42.4054803584
2015-10-12,41.5302198118
2015-10-13,41.5480822719
2015-10-14,42.0482311557
2015-10-15,43.9773768502
2015-10-16,44.4328695836
2015-10-19,43.6737150279
2015-10-20,44.0577579208
2015-10-21,43.3343282853
2015-10-22,44.3435572829
2015-10-23,44.9598121575
2015-10-26,44.4239383535
2015-10-27,43.8076834789
2015-10-28,44.3435572829
2015-10-29,43.95058316
2015-10-30,44.0398954606
2015-11-02,45.29026767
2015-11-03,45.8082790139
2015-11-04,42.7984544813
2015-11-05,41.7802942537
2015-11-06,42.6108986499
2015-11-09,42.6734172604
2015-11-10,43.2271535245
2015-11-11,44.0756203809
2015-11-12,44.4685945038
2015-11-13,44.6472191052
2015-11-16,46.4156026585
2015-11-17,45.5314108818
