date,AGN
2015-07-01,289.7822804546
2015-07-02,290.3487962679
2015-07-06,289.5839999199
2015-07-07,289.8672578266
2015-07-08,282.9463229736
2015-07-09,287.1290980621
2015-07-10,294.7109680306
2015-07-13,300.5838486289
2015-07-14,303.2087052308
2015-07-15,302.2645122085
2015-07-16,299.6585394672
2015-07-17,298.5632755614
2015-07-20,300.0173328156
2015-07-21,299.3091880489
2015-07-22,297.7512695622
2015-07-23,297.3735923533
2015-07-24,291.0097313835
2015-07-27,308.7322344108
2015-07-28,320.5535310492
2015-07-29,319.1277995857
2015-07-30,310.5167592229
2015-07-31,312.6695193136
2015-08-03,316.2291270074
2015-08-04,312.5278903602
2015-08-05,317.8531390056
2015-08-06,301.6413448138
2015-08-07,303.133169789
2015-08-10,303.9451757881
2015-08-11,299.7718426298
2015-08-12,298.1855983525
2015-08-13,298.0345274689
2015-08-14,296.9487054933
2015-08-17,303.3220083934
2015-08-18,302.4250250223
2015-08-19,301.0653870703
2015-08-20,290.2354931052
2015-08-21,281.9077106491
2015-08-24,275.534407749
2015-08-25,274.4108180526
2015-08-26,288.9041809439
2015-08-27,294.5882229377
2015-08-28,290.820892779
2015-08-31,286.7891885741
2015-09-01,277.7910290722
2015-09-02,282.8896713922
2015-09-03,280.840772534
2015-09-04,277.3472583517
2015-09-08,283.4278614149
2015-09-09,278.4614061179
2015-09-10,277.2150713286
2015-09-11,278.7635478851
2015-09-14,279.4433668611
2015-09-15,286.7891885741
2015-09-16,286.7891885741
2015-09-17,284.2493093443
2015-09-18,278.8107575362
2015-09-21,269.6804110111
2015-09-22,271.7009840787
2015-09-23,270.6151621032
2015-09-24,274.344724541
2015-09-25,263.4581789946
2015-09-28,240.6464755774
2015-09-29,238.0310609058
2015-09-30,256.6411053741
2015-10-01,266.5928998284
2015-10-02,271.9275904041
2015-10-05,263.0332921346
2015-10-06,257.6513919079
2015-10-07,253.9784810514
2015-10-08,260.7483450208
2015-10-09,259.5020102314
2015-10-12,258.1423722794
2015-10-13,247.425781477
2015-10-14,254.2806228185
2015-10-15,258.7844235345
2015-10-16,262.6084052746
2015-10-19,258.0573949074
2015-10-20,248.7193259175
2015-10-21,244.5459927592
2015-10-22,238.9186023467
2015-10-23,253.5630361216
2015-10-26,256.4144990487
2015-10-27,269.8220399645
2015-10-28,271.1722359863
2015-10-29,287.3934721083
2015-10-30,291.2552215693
2015-11-02,297.3358246325
2015-11-03,292.0483437079
2015-11-04,290.4998671515
2015-11-05,292.1616468706
2015-11-06,284.7402897158
2015-11-09,280.2553728602
2015-11-10,289.5839999199
2015-11-11,292.4732305679
2015-11-12,283.2956743918
2015-11-13,282.9085552527
2015-11-16,282.0398976722
2015-11-17,280.7274693713
2015-11-18,293.4551913111
2015-11-19,285.1935023665
2015-11-20,295.022551728
2015-11-23,284.8819186692
2015-11-24,294.0500329151
2015-11-25,302.3872573014
2015-11-27,301.9151607903
2015-11-30,296.3727477498
2015-12-01,304.492807741
2015-12-02,299.7435168392
2015-12-03,295.4852063089
2015-12-04,298.8370915378
2015-12-07,298.846533468
2015-12-08,293.1436076137
2015-12-09,289.3101839434
2015-12-10,288.6398068977
2015-12-11,285.2123862269
2015-12-14,286.1093695981
2015-12-15,287.6578461545
2015-12-16,291.8217373826
2015-12-17,292.2371823124
2015-12-18,289.4706967572
2015-12-21,292.6243014515
2015-12-22,293.2569107764
2015-12-23,293.2380269159
2015-12-24,293.8611943106
2015-12-28,291.6423407084
2015-12-29,296.9392635631
2015-12-30,297.4774535858
2015-12-31,295.0603194489
2016-01-04,290.311028547
2016-01-05,291.500711755
2016-01-06,286.5153725976
2016-01-07,286.232114691
2016-01-08,282.7480424389
2016-01-11,282.6630650669
2016-01-12,279.5094603726
2016-01-13,271.2949810792
2016-01-14,282.4270168113
2016-01-15,278.7635478851
2016-01-19,275.5060819583
2016-01-20,276.5919039339
2016-01-21,279.2828540473
2016-01-22,281.4072883473
2016-01-25,279.4339249309
2016-01-26,278.1592643508
2016-01-27,273.834860309
2016-01-28,266.0358259453
2016-01-29,268.5568213147
2016-02-01,266.9233673862
2016-02-02,264.0719044591
2016-02-03,262.8538954604
2016-02-04,257.2453889083
2016-02-05,258.5200494883
2016-02-08,251.4386018215
2016-02-09,257.1415276758
2016-02-10,264.1568818311
2016-02-11,259.228194255
2016-02-12,264.8272588769
2016-02-16,268.5757051751
2016-02-17,267.3954638973
2016-02-18,262.4667763213
2016-02-19,260.3612258817
2016-02-22,269.8692496156
2016-02-23,270.7756749169
2016-02-24,268.8117534307
2016-02-25,279.8021602095
2016-02-26,281.435614138
2016-02-29,273.919837681
2016-03-01,279.39615721
2016-03-02,276.1575751437
2016-03-03,273.4571831001
2016-03-04,272.560199729
2016-03-07,272.2958256827
2016-03-08,268.5568213147
2016-03-09,273.7970925881
2016-03-10,273.1078316819
2016-03-11,282.2948297882
2016-03-14,276.6674393757
2016-03-15,267.2066252929
2016-03-16,257.5380887452
2016-03-17,257.4814371639
2016-03-18,254.3939259811
2016-03-21,259.0204717901
2016-03-22,261.7491896244
2016-03-23,265.6109390853
2016-03-24,263.7319949711
2016-03-28,260.6067160675
2016-03-29,258.2556754421
2016-03-30,259.5964295337
2016-03-31,253.07205575
2016-04-01,253.1287073313
2016-04-04,262.0607733217
2016-04-05,223.34885941
2016-04-06,231.0818002621
2016-04-07,227.550518359
2016-04-08,222.8295532478
2016-04-11,215.6253604881
2016-04-12,210.1490409591
2016-04-13,208.1001421009
2016-04-14,204.3139280817
2016-04-15,205.0409567088
2016-04-18,207.63748752
2016-04-19,213.0760393281
2016-04-20,215.2193574886
2016-04-21,214.7944706285
2016-04-22,216.3523891152
2016-04-25,212.3018010498
2016-04-26,207.6658133107
2016-04-27,207.7885584036
2016-04-28,206.6366429164
2016-04-29,204.4744408955
