date,TE
2022-08-31,14.24
2022-09-01,12.52
2022-09-02,11.95
2022-09-06,12.29
2022-09-07,12.98
2022-09-08,12.58
2022-09-09,12.94
2022-09-12,13.42
2022-09-13,12.98
2022-09-14,13.57
2022-09-15,14.53
2022-09-16,13.66
2022-09-19,13.5
2022-09-20,13.14
2022-09-21,15.39
2022-09-22,15.37
2022-09-23,13.88
2022-09-26,14.34
2022-09-27,13.65
2022-09-28,14.67
2022-09-29,13.71
2022-09-30,14.24
2022-10-03,14.61
2022-10-04,16.08
2022-10-05,15.94
2022-10-06,15.29
2022-10-07,14.74
2022-10-10,14.21
2022-10-11,14.41
2022-10-12,13.73
2022-10-13,13.94
2022-10-14,13.12
2022-10-17,13.32
2022-10-18,12.24
2022-10-19,12.43
2022-10-20,12.24
2022-10-21,12.58
2022-10-24,12.18
2022-10-25,12.5
2022-10-26,12.48
2022-10-27,12.92
2022-10-28,13.02
2022-10-31,13.31
2022-11-01,13.11
2022-11-02,12.65
2022-11-03,12.94
2022-11-04,12.8
2022-11-07,12.54
2022-11-08,12.8
2022-11-09,12.41
2022-11-10,13.16
2022-11-11,13.79
2022-11-14,15.16
2022-11-15,15.01
2022-11-16,15.02
2022-11-17,14.59
2022-11-18,13.75
2022-11-21,13.49
2022-11-22,14.13
2022-11-23,14.48
2022-11-25,14.61
2022-11-28,13.63
2022-11-29,13.14
2022-11-30,13.65
2022-12-01,12.01
2022-12-02,12.48
2022-12-05,12.06
2022-12-06,11.58
2022-12-07,11.24
2022-12-08,10.94
2022-12-09,10.98
2022-12-12,11.3
2022-12-13,11.09
2022-12-14,11.26
2022-12-15,10.89
2022-12-16,10.46
2022-12-19,9.86
2022-12-20,9.5
2022-12-21,9.49
2022-12-22,9.07
2022-12-23,8.94
2022-12-27,8.42
2022-12-28,8.16
2022-12-29,8.56
2022-12-30,8.68
2023-01-03,8.47
2023-01-04,9.05
2023-01-05,8.79
2023-01-06,9.19
2023-01-09,9.31
2023-01-10,9.57
2023-01-11,9.76
2023-01-12,10.62
2023-01-13,10.72
2023-01-17,10.6
2023-01-18,10.55
2023-01-19,9.75
2023-01-20,10.18
2023-01-23,10.4
2023-01-24,9.9
2023-01-25,8.79
2023-01-26,8.73
2023-01-27,8.71
2023-01-30,8.51
2023-01-31,8.81
2023-02-01,9.13
2023-02-02,9.45
2023-02-03,9.0
2023-02-06,9.12
2023-02-07,9.15
2023-02-08,8.91
2023-02-09,8.49
2023-02-10,8.62
2023-02-13,8.62
2023-02-14,8.7
2023-02-15,9.36
2023-02-16,8.92
2023-02-17,8.87
2023-02-21,8.31
2023-02-22,8.34
2023-02-23,8.53
2023-02-24,8.26
2023-02-27,9.35
2023-02-28,9.08
2023-03-01,8.73
2023-03-02,8.55
2023-03-03,8.98
2023-03-06,8.72
2023-03-07,8.58
2023-03-08,8.37
2023-03-09,7.7
2023-03-10,7.46
2023-03-13,7.52
2023-03-14,7.53
2023-03-15,7.18
2023-03-16,7.26
2023-03-17,7.28
2023-03-20,7.06
2023-03-21,7.29
2023-03-22,7.09
2023-03-23,7.05
2023-03-24,7.13
2023-03-27,7.22
2023-03-28,7.4
2023-03-29,8.34
2023-03-30,8.92
2023-03-31,8.89
2023-04-03,8.6
2023-04-04,8.23
2023-04-05,7.92
2023-04-06,7.71
2023-04-10,7.72
2023-04-11,8.43
2023-04-12,8.43
2023-04-13,8.35
2023-04-14,8.26
2023-04-17,7.86
2023-04-18,7.49
2023-04-19,7.58
2023-04-20,7.25
2023-04-21,7.38
2023-04-24,7.39
2023-04-25,6.9
2023-04-26,6.9
2023-04-27,6.95
2023-04-28,7.07
2023-05-01,6.72
2023-05-02,6.46
2023-05-03,6.59
2023-05-04,6.73
2023-05-05,7.07
2023-05-08,7.41
2023-05-09,7.42
2023-05-10,7.52
2023-05-11,7.23
2023-05-12,7.37
2023-05-15,7.47
2023-05-16,7.21
2023-05-17,7.64
2023-05-18,7.32
2023-05-19,7.19
2023-05-22,7.55
2023-05-23,7.46
2023-05-24,7.47
2023-05-25,7.16
2023-05-26,7.26
2023-05-30,7.36
2023-05-31,7.22
2023-06-01,7.44
2023-06-02,7.47
2023-06-05,7.32
2023-06-06,7.67
2023-06-07,7.59
2023-06-08,7.52
2023-06-09,7.39
2023-06-12,7.59
2023-06-13,7.67
2023-06-14,7.58
2023-06-15,7.68
2023-06-16,7.55
2023-06-20,7.47
2023-06-21,7.39
2023-06-22,7.19
2023-06-23,7.02
2023-06-26,7.27
2023-06-27,7.68
2023-06-28,7.55
2023-06-29,9.08
2023-06-30,9.35
2023-07-03,9.74
2023-07-05,9.13
2023-07-06,8.7
2023-07-07,8.93
2023-07-10,9.61
2023-07-11,9.69
2023-07-12,9.58
2023-07-13,9.85
2023-07-14,9.33
2023-07-17,9.61
2023-07-18,8.89
2023-07-19,8.23
2023-07-20,8.14
2023-07-21,8.3
2023-07-24,8.17
2023-07-25,7.83
2023-07-26,8.14
2023-07-27,8.05
2023-07-28,8.28
2023-07-31,8.42
2023-08-01,8.3
2023-08-02,8.01
2023-08-03,8.15
2023-08-04,7.9
2023-08-07,7.78
2023-08-08,7.8
2023-08-09,7.61
2023-08-10,7.73
2023-08-11,7.61
2023-08-14,7.92
2023-08-15,7.27
2023-08-16,6.91
2023-08-17,6.32
2023-08-18,6.55
2023-08-21,6.77
2023-08-22,6.54
2023-08-23,6.35
2023-08-24,6.19
2023-08-25,6.35
2023-08-28,6.35
2023-08-29,6.53
2023-08-30,6.42
2023-08-31,6.23
2023-09-01,6.25
2023-09-05,6.37
2023-09-06,6.48
2023-09-07,6.35
2023-09-08,6.19
2023-09-11,6.07
2023-09-12,6.14
2023-09-13,5.83
2023-09-14,5.79
2023-09-15,5.71
2023-09-18,5.52
2023-09-19,5.48
2023-09-20,5.27
2023-09-21,5.0
2023-09-22,5.11
2023-09-25,5.13
2023-09-26,5.0
2023-09-27,5.07
2023-09-28,5.01
2023-09-29,4.89
2023-10-02,4.71
2023-10-03,4.58
2023-10-04,4.71
2023-10-05,4.44
2023-10-06,4.58
2023-10-09,4.42
2023-10-10,4.45
2023-10-11,4.34
2023-10-12,4.08
2023-10-13,3.91
2023-10-16,3.83
2023-10-17,4.25
2023-10-18,3.9
2023-10-19,3.74
2023-10-20,3.52
2023-10-23,3.49
2023-10-24,3.41
2023-10-25,3.29
2023-10-26,3.24
2023-10-27,3.21
2023-10-30,3.18
2023-10-31,3.21
2023-11-01,3.17
2023-11-02,3.43
2023-11-03,3.56
2023-11-06,3.46
2023-11-07,3.49
2023-11-08,3.35
2023-11-09,2.07
2023-11-10,1.5
2023-11-13,1.75
2023-11-14,1.64
2023-11-15,1.69
2023-11-16,1.66
2023-11-17,1.6
2023-11-20,1.71
2023-11-21,1.62
2023-11-22,1.59
2023-11-24,1.63
2023-11-27,1.51
2023-11-28,1.43
2023-11-29,1.54
2023-11-30,1.63
2023-12-01,1.81
2023-12-04,2.02
2023-12-05,1.95
2023-12-06,2.02
2023-12-07,2.01
2023-12-08,2.04
2023-12-11,1.87
2023-12-12,1.7
2023-12-13,1.86
2023-12-14,2.06
2023-12-15,1.88
2023-12-18,1.82
2023-12-19,1.95
2023-12-20,1.8
2023-12-21,1.91
2023-12-22,1.9
2023-12-26,2.06
2023-12-27,1.91
2023-12-28,2.0
2023-12-29,1.87
2024-01-02,1.9
2024-01-03,1.87
2024-01-04,1.9
2024-01-05,1.72
2024-01-08,1.81
2024-01-09,1.75
2024-01-10,1.68
2024-01-11,1.58
2024-01-12,1.55
2024-01-16,1.43
2024-01-17,1.43
2024-01-18,1.38
2024-01-19,1.32
2024-01-22,1.37
2024-01-23,1.45
2024-01-24,1.31
2024-01-25,1.34
2024-01-26,1.32
2024-01-29,1.44
2024-01-30,1.37
2024-01-31,1.35
2024-02-01,1.37
2024-02-02,1.31
2024-02-05,1.26
2024-02-06,1.4
2024-02-07,1.55
2024-02-08,1.78
2024-02-09,1.84
2024-02-12,1.91
2024-02-13,1.7
2024-02-14,1.82
