date,PXD
2015-07-01,105.8281754643
2015-07-02,107.3430029043
2015-07-06,103.365609831
2015-07-07,105.6805768932
2015-07-08,104.7483753917
2015-07-09,107.7158835049
2015-07-10,104.4531782495
2015-07-13,106.0767625314
2015-07-14,106.4418747861
2015-07-15,102.9927292304
2015-07-16,101.042874423
2015-07-17,99.7144872832
2015-07-20,96.7625158616
2015-07-21,96.0012179687
2015-07-22,97.1043230789
2015-07-23,97.7102540549
2015-07-24,95.9468395478
2015-07-27,94.3154869201
2015-07-28,98.5026253312
2015-07-29,101.4235233694
2015-07-30,100.941885927
2015-07-31,98.4793202937
2015-08-03,95.8691560893
2015-08-04,96.9722611995
2015-08-05,97.5704238297
2015-08-06,99.6445721706
2015-08-07,96.7003690949
2015-08-10,98.7900541275
2015-08-11,99.372680066
2015-08-12,101.3147665276
2015-08-13,98.665760594
2015-08-14,99.1085563072
2015-08-17,98.7589807441
2015-08-18,100.2427348008
2015-08-19,97.1120914247
2015-08-20,95.5506539096
2015-08-21,92.4044738419
2015-08-24,86.32962739
2015-08-25,83.3077408558
2015-08-26,84.5662128829
2015-08-27,89.6311743747
2015-08-28,94.2067300782
2015-08-31,95.5972639847
2015-09-01,89.4991124953
2015-09-02,92.0005198579
2015-09-03,92.5365357213
2015-09-04,91.9616781286
2015-09-08,94.5407689496
2015-09-09,92.4044738419
2015-09-10,94.1989617324
2015-09-11,91.9461414369
2015-09-14,90.8896464018
2015-09-15,91.1226967772
2015-09-16,95.8147776684
2015-09-17,96.2031949607
2015-09-18,94.672830829
2015-09-21,96.187658269
2015-09-22,95.4652021053
2015-09-23,93.965911357
2015-09-24,95.6904841349
2015-09-25,95.0379430838
2015-09-28,90.9595615144
2015-09-29,92.0475015924
2015-09-30,94.5264507699
2015-10-01,95.4822838384
2015-10-02,102.7559403593
2015-10-05,103.7506284305
2015-10-06,105.740004573
2015-10-07,105.7555465741
2015-10-08,107.6516707099
2015-10-09,106.4316236225
2015-10-12,104.1314074578
2015-10-13,102.4917263404
2015-10-14,103.5408114155
2015-10-15,106.1363256014
2015-10-16,109.2369548235
2015-10-19,103.6962314266
2015-10-20,105.9731345897
2015-10-21,104.6442934945
2015-10-22,106.3772266186
2015-10-23,106.7657766465
2015-10-26,104.6598354957
2015-10-27,102.6860013543
2015-10-28,106.9833646621
2015-10-29,107.2631206821
2015-10-30,106.5715016326
2015-11-02,107.7060677138
2015-11-03,114.8398462247
2015-11-04,112.6173400656
2015-11-05,113.0058900934
2015-11-06,111.9801180199
2015-11-09,113.3478141179
2015-11-10,114.1249141735
2015-11-11,109.3379778307
2015-11-12,108.8017787923
2015-11-13,109.5167108435
2015-11-16,111.7392170027
2015-11-17,110.5968799209
2015-11-18,112.1588510327
2015-11-19,109.648817853
2015-11-20,109.7342988591
2015-11-23,111.5915679921
2015-11-24,114.9641822336
2015-11-25,113.9073261579
2015-11-27,112.3919810494
2015-11-30,112.4852330561
2015-12-01,115.9821833065
2015-12-02,111.7625300043
2015-12-03,112.81938608
2015-12-04,113.5343181312
2015-12-07,106.8590286532
2015-12-08,109.0659928112
2015-12-09,111.2030179643
2015-12-10,112.9825770917
2015-12-11,108.7862367912
2015-12-14,109.6565888535
2015-12-15,112.3531260466
2015-12-16,104.4422474801
2015-12-17,101.4193282636
2015-12-18,94.2466947499
2015-12-21,89.9182474399
2015-12-22,90.5710114866
2015-12-23,97.7902710037
2015-12-24,97.153048958
2015-12-28,94.4798247666
2015-12-29,96.7178729269
2015-12-30,96.7256439274
2015-12-31,97.4328049781
2016-01-04,96.6323919207
2016-01-05,97.2696139664
2016-01-06,90.2601714644
2016-01-07,90.4699884794
2016-01-08,90.0192704471
2016-01-11,88.2086273174
2016-01-12,87.9988103024
2016-01-13,88.7448263558
2016-01-14,90.1125224538
2016-01-15,87.9211002968
2016-01-19,86.7399082122
2016-01-20,84.7349900687
2016-01-21,86.8797862223
2016-01-22,88.2008563169
2016-01-25,83.7325309969
2016-01-26,88.2319403191
2016-01-27,88.5116963391
2016-01-28,93.2597776792
2016-01-29,96.3215518985
2016-02-01,95.0315658061
2016-02-02,94.4331987632
2016-02-03,98.940379086
2016-02-04,96.7411859285
2016-02-05,92.3194866118
2016-02-08,89.5141554109
2016-02-09,86.4834651939
2016-02-10,84.5407150547
2016-02-11,86.0638311638
2016-02-12,89.6462624204
2016-02-16,89.7162014254
2016-02-17,96.7878119319
2016-02-18,94.3088627543
2016-02-19,95.575535845
2016-02-22,97.1452779575
2016-02-23,92.9178536547
2016-02-24,92.7313496413
2016-02-25,93.6327857059
2016-02-26,95.8708338662
2016-02-29,93.6638697081
2016-03-01,99.5465171294
2016-03-02,101.9943823048
2016-03-03,99.6786241389
2016-03-04,100.0904871684
2016-03-07,101.5203512708
2016-03-08,97.6426219931
2016-03-09,99.9972351617
2016-03-10,100.6266862068
2016-03-11,106.493791627
2016-03-14,105.2115765352
2016-03-15,105.3669965463
2016-03-16,106.8357156515
2016-03-17,110.542482917
2016-03-18,111.1874759632
2016-03-21,110.4103759075
2016-03-22,108.9494278029
2016-03-23,106.283974612
2016-03-24,108.1645567467
2016-03-28,106.8201736504
2016-03-29,108.7007557851
2016-03-30,109.1438295179
2016-03-31,109.4003458895
2016-04-01,108.638569998
2016-04-04,107.6125045115
2016-04-05,109.633542591
2016-04-06,111.1026818103
2016-04-07,110.2087611213
2016-04-08,112.5329549128
2016-04-11,110.8072993218
2016-04-12,114.5850858858
2016-04-13,113.9943209087
2016-04-14,116.334061147
2016-04-15,112.0354686163
2016-04-18,114.5229000988
2016-04-19,118.285140216
2016-04-20,120.275085402
2016-04-21,117.0880638151
2016-04-22,119.0469161076
2016-04-25,119.318978926
2016-04-26,128.538021858
2016-04-27,131.1498249146
2016-04-28,128.2504125928
2016-04-29,129.1132403883
2016-05-02,128.7323524425
2016-05-03,123.7574894775
2016-05-04,122.3272163751
2016-05-05,125.7863007805
2016-05-06,123.9518200621
2016-05-09,124.3171615611
2016-05-10,125.3820931645
2016-05-11,127.5896886053
2016-05-12,129.8361501629
2016-05-13,127.1621613192
2016-05-16,129.1831993987
2016-05-17,128.6623934321
2016-05-18,126.975603958
2016-05-19,126.5791695655
2016-05-20,127.7451530729
2016-05-23,126.4081586511
2016-05-24,126.6802214695
2016-05-25,126.2993335237
2016-05-26,126.1594155028
2016-05-27,125.6230630894
2016-05-31,124.620317273
2016-06-01,123.9673665089
2016-06-02,123.9051807218
2016-06-03,124.1772435402
2016-06-06,125.0633910058
2016-06-07,128.7168059958
2016-06-08,129.8905627266
2016-06-09,127.6363279456
2016-06-10,124.0217790726
2016-06-13,124.9001533148
2016-06-14,126.7346340332
2016-06-15,126.3148799705
2016-06-16,118.650481715
2016-06-17,120.0418887006
2016-06-20,119.6687739782
2016-06-21,122.0629267801
2016-06-22,123.3999212019
2016-06-23,124.8301943044
2016-06-24,118.8681319698
2016-06-27,113.9632280152
2016-06-28,116.3729272639
2016-06-29,117.8653861534
2016-06-30,117.5389107713
2016-07-01,117.4611785375
2016-07-05,117.7332413559
2016-07-06,117.8032003663
2016-07-07,115.9998125415
2016-07-08,119.4899898404
2016-07-11,118.9303177568
2016-07-12,121.6509459408
2016-07-13,119.8320116692
2016-07-14,120.8736236025
2016-07-15,121.8064104085
2016-07-18,121.9230087592
2016-07-19,120.4072301996
2016-07-20,119.6143614145
2016-07-21,118.3473260031
2016-07-22,119.2412466921
2016-07-25,115.6888836062
2016-07-26,115.8987606375
2016-07-27,117.0880638151
2016-07-28,122.4593611726
2016-07-29,126.3692925342
2016-08-01,122.2183912477
2016-08-02,124.0450987427
2016-08-03,126.7890465968
2016-08-04,126.6258089058
2016-08-05,130.6601118415
2016-08-08,132.6500570275
2016-08-09,133.1553165473
2016-08-10,133.5206580463
2016-08-11,135.4095513284
2016-08-12,137.2129391532
2016-08-15,139.2572969028
2016-08-16,138.9619144143
2016-08-17,140.1512175919
2016-08-18,142.9573512331
2016-08-19,144.2632527614
2016-08-22,140.9829524938
2016-08-23,141.6669961515
2016-08-24,140.3688678466
2016-08-25,140.2367230491
2016-08-26,139.5293597212
2016-08-29,142.1878021182
2016-08-30,142.1489360012
2016-08-31,139.179564669
2016-09-01,140.0890318048
2016-09-02,142.8018867654
2016-09-06,142.6386490744
2016-09-07,146.3775695215
2016-09-08,145.7557116509
2016-09-09,140.3844142933
2016-09-12,142.4132255963
2016-09-13,137.4850019716
2016-09-14,137.0497014621
2016-09-15,138.7364909362
2016-09-16,137.6793325561
2016-09-19,137.1973927064
2016-09-20,136.6144009527
2016-09-21,141.7913677256
2016-09-22,139.179564669
2016-09-23,136.4433900383
2016-09-26,135.6971605935
2016-09-27,134.3290732781
2016-09-28,142.6153294042
2016-09-29,144.115888668
2016-09-30,144.3413613034
2016-10-03,144.1392134234
2016-10-04,141.892261987
2016-10-05,144.0925639126
2016-10-06,144.768981819
2016-10-07,144.9167052699
2016-10-10,150.2425244184
2016-10-11,149.6360807781
2016-10-12,148.4309684161
2016-10-13,146.2928658382
2016-10-14,144.5823837759
2016-10-17,143.2761974737
2016-10-18,143.0818245121
2016-10-19,146.9692837446
2016-10-20,147.2414058909
2016-10-21,145.3909752962
