date,STI
2024-02-02,226.5
2024-02-05,151.5
2024-02-06,105.0
2024-02-07,87.5
2024-02-08,58.0
2024-02-09,50.0
2024-02-12,45.0
2024-02-13,35.0
2024-02-14,40.5
2024-02-15,35.0
2024-02-16,34.0
2024-02-20,31.35
2024-02-21,25.0
2024-02-22,20.31
2024-02-23,24.01
2024-02-26,33.5
2024-02-27,31.785
2024-02-28,29.675
2024-02-29,25.015
2024-03-01,23.65
2024-03-04,26.5
2024-03-05,27.25
2024-03-06,27.05
2024-03-07,36.95
2024-03-08,38.76
2024-03-11,87.5
2024-03-12,72.0
2024-03-13,62.5
2024-03-14,65.0
2024-03-15,87.0
2024-03-18,136.0
2024-03-19,146.5
2024-03-20,135.0
2024-03-21,154.0
2024-03-22,161.5
2024-03-25,145.5
2024-03-26,144.5
2024-03-27,146.0
2024-03-28,137.5
2024-04-01,122.0
2024-04-02,131.0
2024-04-03,134.5
2024-04-04,147.5
2024-04-05,167.5
2024-04-08,195.0
2024-04-09,159.0
2024-04-10,161.0
2024-04-11,150.0
2024-04-12,138.5
2024-04-15,122.25
2024-04-16,110.0
2024-04-17,99.0
2024-04-18,75.0
2024-04-19,70.0
2024-04-22,68.5
2024-04-23,76.0
2024-04-24,99.0
2024-04-25,122.0
2024-04-26,115.0
2024-04-29,120.5
2024-04-30,105.0
2024-05-01,108.0
2024-05-02,122.0
2024-05-03,120.0
2024-05-06,119.0
2024-05-07,116.0
2024-05-08,121.0
2024-05-09,116.0
2024-05-10,111.5
2024-05-13,120.0
2024-05-14,118.0
2024-05-15,108.0
2024-05-16,110.0
2024-05-17,106.5
2024-05-20,106.5
2024-05-21,109.0
2024-05-22,107.0
2024-05-23,103.0
2024-05-24,121.0
2024-05-28,111.0
2024-05-29,107.5
2024-05-30,112.0
2024-05-31,104.5
2024-06-03,100.0
2024-06-04,103.0
2024-06-05,99.0
2024-06-06,94.0
2024-06-07,87.0
2024-06-10,70.5
2024-06-11,89.0
2024-06-12,90.5
2024-06-13,94.5
2024-06-14,106.0
2024-06-17,96.5
2024-06-18,34.4
2024-06-20,28.505
2024-06-21,26.5
2024-06-24,26.005
2024-06-25,24.355
2024-06-26,23.695
2024-06-27,22.0
2024-06-28,27.5
2024-07-01,25.0
2024-07-02,23.585
2024-07-03,22.405
2024-07-05,23.245
2024-07-08,22.6
2024-07-09,22.45
2024-07-10,21.21
2024-07-11,21.455
2024-07-12,22.745
2024-07-15,22.0
2024-07-16,23.315
2024-07-17,22.21
2024-07-18,22.5
2024-07-19,21.26
2024-07-22,21.73
2024-07-23,22.2
2024-07-24,21.485
2024-07-25,20.45
2024-07-26,21.5
2024-07-29,20.525
2024-07-30,20.01
2024-07-31,20.65
2024-08-01,20.915
2024-08-02,20.055
2024-08-05,19.53
2024-08-06,18.995
2024-08-07,18.73
2024-08-08,18.74
2024-08-09,18.36
2024-08-12,17.295
2024-08-13,17.545
2024-08-14,17.0
2024-08-15,16.25
2024-08-16,15.34
2024-08-19,15.155
2024-08-20,17.5
2024-08-21,16.765
2024-08-22,19.82
2024-08-23,21.0
2024-08-26,20.635
2024-08-27,20.0
2024-08-28,18.0
2024-08-29,16.37
2024-08-30,16.215
2024-09-03,15.635
2024-09-04,15.78
2024-09-05,16.0
2024-09-06,15.865
2024-09-09,18.045
2024-09-10,18.31
2024-09-11,18.905
2024-09-12,17.28
2024-09-13,18.5
2024-09-16,17.53
2024-09-17,17.8
2024-09-18,16.625
2024-09-19,17.69
2024-09-20,18.175
2024-09-23,18.285
2024-09-24,18.035
2024-09-25,18.245
2024-09-26,18.295
2024-09-27,17.875
2024-09-30,18.45
2024-10-01,18.195
2024-10-02,17.72
2024-10-03,18.27
2024-10-04,18.475
2024-10-07,18.625
2024-10-08,17.83
2024-10-09,17.785
2024-10-10,17.55
2024-10-11,17.555
2024-10-14,18.03
2024-10-15,17.73
2024-10-16,17.995
2024-10-17,17.91
2024-10-18,18.215
2024-10-21,17.855
2024-10-22,18.38
2024-10-23,18.24
2024-10-24,18.55
2024-10-25,18.175
2024-10-28,18.8
2024-10-29,19.8
2024-10-30,23.565
2024-10-31,24.115
2024-11-01,21.495
2024-11-04,18.275
2024-11-05,19.995
2024-11-06,19.175
2024-11-07,17.0
2024-11-08,17.595
2024-11-11,17.22
2024-11-12,16.5
2024-11-13,19.0
2024-11-14,17.5
2024-11-15,22.51
2024-11-18,25.47
2024-11-19,31.755
2024-11-20,25.555
2024-11-21,22.205
2024-11-22,19.225
2024-11-25,21.875
2024-11-26,22.61
2024-11-27,21.475
2024-11-29,20.4
2024-12-02,21.0
2024-12-03,20.73
2024-12-04,22.18
2024-12-05,21.0
2024-12-06,21.32
2024-12-09,21.14
2024-12-10,21.26
2024-12-11,20.95
2024-12-12,20.35
2024-12-13,20.5
2024-12-16,21.44
2024-12-17,20.365
2024-12-18,20.325
2024-12-19,19.625
2024-12-20,18.84
2024-12-23,20.0
2024-12-24,21.9
2024-12-26,20.775
2024-12-27,35.06
2024-12-30,40.5
2024-12-31,34.835
2025-01-02,40.175
2025-01-03,38.52
2025-01-06,33.675
2025-01-07,29.165
2025-01-08,25.26
2025-01-10,28.84
2025-01-13,25.025
2025-01-14,25.18
2025-01-15,24.7
2025-01-16,23.4
2025-01-17,22.3
2025-01-21,22.965
2025-01-22,21.73
2025-01-23,24.0
2025-01-24,23.67
2025-01-27,21.265
2025-01-28,20.5
2025-01-29,20.535
2025-01-30,20.5
2025-01-31,19.1
2025-02-03,19.505
2025-02-04,23.0
2025-02-05,21.04
2025-02-06,20.78
2025-02-07,20.235
2025-02-10,19.9
2025-02-11,19.68
2025-02-12,20.05
2025-02-13,21.5
2025-02-14,22.0
2025-02-18,20.98
2025-02-19,20.41
2025-02-20,20.245
2025-02-21,19.565
2025-02-24,17.83
2025-02-25,18.2
2025-02-26,17.41
2025-02-27,15.5
2025-02-28,16.85
2025-03-03,15.065
2025-03-04,8.165
2025-03-05,8.06
2025-03-06,6.565
2025-03-07,6.905
2025-03-10,6.5
2025-03-11,6.305
2025-03-12,8.525
2025-03-13,7.53
2025-03-14,7.26
2025-03-17,6.905
2025-03-18,7.285
2025-03-19,7.79
2025-03-20,7.425
2025-03-21,7.22
2025-03-24,7.0
2025-03-25,6.705
2025-03-26,6.72
2025-03-27,6.655
2025-03-28,6.07
2025-03-31,6.03
2025-04-01,5.76
2025-04-02,5.77
2025-04-03,5.1
2025-04-04,4.605
2025-04-07,4.56
2025-04-08,4.125
2025-04-09,4.95
2025-04-10,4.7
2025-04-11,5.755
2025-04-14,5.015
2025-04-15,5.85
2025-04-16,4.5
2025-04-17,4.705
2025-04-21,5.17
2025-04-22,4.85
2025-04-23,5.125
2025-04-24,5.555
2025-04-25,5.5
2025-04-28,5.0
2025-04-29,5.08
2025-04-30,5.425
2025-05-01,5.475
2025-05-02,5.85
2025-05-05,5.67
2025-05-06,5.2
2025-05-07,4.705
2025-05-08,7.88
2025-05-09,5.18
2025-05-12,3.82
2025-05-13,3.1
2025-05-14,3.16
2025-05-15,3.48
2025-05-16,3.52
2025-05-19,3.57
2025-05-20,3.41
2025-05-21,3.02
2025-05-22,3.29
2025-05-23,3.16
2025-05-27,3.41
2025-05-28,3.54
2025-05-29,3.4
2025-05-30,3.29
2025-06-02,3.34
2025-06-03,3.45
2025-06-04,3.74
2025-06-05,3.51
2025-06-06,3.84
2025-06-09,3.49
2025-06-10,3.5
2025-06-11,3.24
2025-06-12,3.41
2025-06-13,3.24
2025-06-16,3.28
2025-06-17,3.34
2025-06-18,3.49
2025-06-20,3.75
2025-06-23,3.79
2025-06-24,3.96
2025-06-25,3.88
2025-06-26,4.29
2025-06-27,3.99
2025-06-30,3.94
2025-07-01,3.75
2025-07-02,4.17
2025-07-03,4.21
2025-07-07,4.23
2025-07-08,4.57
2025-07-09,4.39
2025-07-10,4.44
2025-07-11,4.34
2025-07-14,4.19
2025-07-15,4.39
2025-07-16,4.28
2025-07-17,4.74
2025-07-18,4.64
2025-07-21,5.35
2025-07-22,5.38
2025-07-23,4.87
2025-07-24,4.6
2025-07-25,4.5
2025-07-28,4.02
2025-07-29,3.83
2025-07-30,3.96
2025-07-31,3.93
2025-08-01,3.49
2025-08-04,3.6833
2025-08-05,3.53
2025-08-06,3.5
2025-08-07,3.37
2025-08-08,3.28
2025-08-11,3.3
2025-08-12,3.41
2025-08-13,3.41
2025-08-14,3.18
2025-08-15,3.08
2025-08-18,3.22
2025-08-19,3.095
2025-08-20,3.1
2025-08-21,3.21
2025-08-22,3.39
2025-08-25,3.31
2025-08-26,3.35
2025-08-27,3.15
2025-08-28,3.12
2025-08-29,3.25
2025-09-02,3.28
2025-09-03,7.01
2025-09-04,6.86
2025-09-05,5.92
2025-09-08,4.75
2025-09-09,5.4
2025-09-10,5.0
2025-09-11,5.58
2025-09-12,5.28
2025-09-15,4.72
2025-09-16,4.55
2025-09-17,4.6
2025-09-18,4.73
2025-09-19,4.55
2025-09-22,4.45
2025-09-23,4.57
2025-09-24,4.7
2025-09-25,4.52
2025-09-26,4.86
2025-09-29,4.78
2025-09-30,4.64
2025-10-01,4.71
2025-10-02,4.86
2025-10-03,4.84
2025-10-06,5.06
2025-10-07,4.87
2025-10-08,5.08
2025-10-09,5.39
2025-10-10,5.49
2025-10-13,21.625
2025-10-14,28.0
2025-10-15,21.75
2025-10-16,18.02
2025-10-17,21.17
2025-10-20,17.8
2025-10-21,13.93
2025-10-22,10.67
2025-10-23,12.48
2025-10-24,14.62
2025-10-27,13.2
2025-10-28,12.12
2025-10-29,11.3
2025-10-30,10.68
2025-10-31,12.65
2025-11-03,11.29
2025-11-04,10.38
2025-11-05,11.01
2025-11-06,10.24
2025-11-07,11.86
2025-11-10,11.69
2025-11-11,10.3
2025-11-12,10.81
2025-11-13,10.12
2025-11-14,10.05
2025-11-17,10.14
2025-11-18,11.43
2025-11-19,11.145
2025-11-20,10.11
2025-11-21,11.28
2025-11-24,10.81
2025-11-25,10.49
2025-11-26,10.65
2025-11-28,10.92
2025-12-01,10.43
2025-12-02,8.71
2025-12-03,8.38
2025-12-04,8.73
2025-12-05,8.39
2025-12-08,7.97
2025-12-09,7.82
2025-12-10,7.86
2025-12-11,7.7
2025-12-12,7.48
2025-12-15,6.61
2025-12-16,6.52
2025-12-17,6.11
2025-12-18,6.04
2025-12-19,7.12
2025-12-22,7.33
2025-12-23,7.27
2025-12-24,6.81
2025-12-26,6.31
2025-12-29,7.705
2025-12-30,7.59
2025-12-31,7.09
