date,CTL
2015-07-01,15.307711213
2015-07-02,15.3284182962
2015-07-06,15.2455899636
2015-07-07,15.4681911074
2015-07-08,15.2662970468
2015-07-09,15.2662970468
2015-07-10,15.406069858
2015-07-13,15.5303123568
2015-07-14,15.5199588152
2015-07-15,15.3594789209
2015-07-16,15.7839741253
2015-07-17,16.0169288107
2015-07-20,15.7891508961
2015-07-21,15.3853627748
2015-07-22,15.1109939232
2015-07-23,14.9919281951
2015-07-24,14.5104885121
2015-07-27,14.5570794491
2015-07-28,14.608847157
2015-07-29,14.5777865323
2015-07-30,14.5777865323
2015-07-31,14.8055644468
2015-08-03,14.9608675704
2015-08-04,14.7175593435
2015-08-05,14.7848573637
2015-08-06,14.4587208042
2015-08-07,14.3137712222
2015-08-10,14.8883927794
2015-08-11,14.6192006986
2015-08-12,14.7693270513
2015-08-13,14.4794278873
2015-08-14,14.6347310109
2015-08-17,14.7123825727
2015-08-18,14.5570794491
2015-08-19,14.6864987188
2015-08-20,14.3448318469
2015-08-21,14.0342255998
2015-08-24,13.3871292516
2015-08-25,13.0299320674
2015-08-26,13.6511445616
2015-08-27,13.8426850807
2015-08-28,13.9979882043
2015-08-31,13.9979882043
2015-09-01,13.4078363347
2015-09-02,13.9772811211
2015-09-03,14.1377610155
2015-09-04,13.8261704664
2015-09-08,14.2381037347
2015-09-09,14.2433849304
2015-09-10,14.1430422112
2015-09-11,13.8789824239
2015-09-14,13.7680773132
2015-09-15,13.9793251431
2015-09-16,13.7997644877
2015-09-17,13.7522337259
2015-09-18,13.5357047003
2015-09-21,13.667734594
2015-09-22,13.4036748066
2015-09-23,13.2822073044
2015-09-24,13.2135517597
2015-09-25,13.3931124151
2015-09-28,12.9970227341
2015-09-29,13.0392723001
2015-09-30,13.2663637172
2015-10-01,12.9917415383
2015-10-02,13.0181475171
2015-10-05,13.540985896
2015-10-06,13.5304235046
2015-10-07,13.7627961174
2015-10-08,14.0004499261
2015-10-09,13.583235462
2015-10-12,13.6571722025
2015-10-13,13.6149226365
2015-10-14,13.8261704664
2015-10-15,14.2486661262
2015-10-16,14.1588857985
2015-10-19,14.2169789517
2015-10-20,14.3912584114
2015-10-21,14.3648524326
2015-10-22,14.7398173307
2015-10-23,14.7979104839
2015-10-26,14.9563463563
2015-10-27,14.5972250455
2015-10-28,14.8507224414
2015-10-29,14.8295976584
2015-10-30,14.8982532031
2015-11-02,15.003877118
2015-11-03,15.046126684
2015-11-04,14.7979104839
2015-11-05,15.1623129905
2015-11-06,15.08837625
2015-11-09,15.2151249479
2015-11-10,15.1042198372
2015-11-11,15.0144395095
2015-11-12,14.7873480924
2015-11-13,14.62891222
2015-11-16,15.0408454883
2015-11-17,14.8560036371
2015-11-18,15.046126684
2015-11-19,15.0355642925
2015-11-20,14.6658805902
2015-11-23,14.7089680102
2015-11-24,14.6658805902
2015-11-25,14.5312324026
2015-11-27,14.5743198227
