date,DISCA
2022-04-06,23.92
2022-04-07,23.07
2022-04-08,24.43
2022-05-25,24.43
2022-06-06,24.43
2022-06-07,24.43
2022-06-09,24.43
2022-06-10,24.43
2022-06-29,24.43
2022-07-01,24.43
2022-07-06,24.43
2022-07-07,24.43
2022-07-11,24.43
2022-07-15,24.43
2022-07-18,24.43
2022-07-19,24.43
2022-07-29,24.43
2022-08-03,24.43
2022-08-04,24.43
2022-08-05,24.43
2022-08-09,24.43
2022-08-25,24.43
2022-09-07,24.43
2022-09-08,24.43
2022-09-09,24.43
2022-09-12,24.43
2022-09-13,24.43
2022-09-15,24.43
2022-09-16,24.43
