date,LLL
2015-07-01,107.7896916632
2015-07-02,107.6873449556
2015-07-06,107.9385596016
2015-07-07,110.0134064934
2015-07-08,109.0550691398
2015-07-09,109.4086304936
2015-07-10,111.8556472314
2015-07-13,112.6278996619
2015-07-14,113.1954586772
2015-07-15,113.5583242771
2015-07-16,114.7120507998
2015-07-17,114.1351875384
2015-07-20,114.2561427384
2015-07-21,113.2791968925
2015-07-22,113.2791968925
2015-07-23,113.4466733232
2015-07-24,112.2557298159
2015-07-27,111.8277344929
2015-07-28,113.1210247079
2015-07-29,115.4098692612
2015-07-30,106.7662245866
2015-07-31,107.4268260633
2015-08-03,106.4498802174
2015-08-04,106.7755288327
2015-08-05,107.5105642787
2015-08-06,107.6594322171
2015-08-07,107.2500453864
2015-08-10,108.2455997246
2015-08-11,107.5849982479
2015-08-12,107.5012600325
2015-08-13,108.1153402785
2015-08-14,108.0030612579
2015-08-17,108.3398983198
2015-08-18,107.6475110259
2015-08-19,106.4592247243
2015-08-20,104.447558938
2015-08-21,101.5189478167
2015-08-24,98.8616776619
2015-08-25,97.6546781901
2015-08-26,100.2277390795
2015-08-27,100.2277390795
2015-08-28,100.0873903037
2015-08-31,98.6839025459
2015-09-01,96.4383221333
2015-09-02,99.1330186284
2015-09-03,99.4792122753
2015-09-04,97.8979494015
2015-09-08,100.134173229
2015-09-09,99.1236620433
2015-09-10,99.0300961928
2015-09-11,98.8148947366
2015-09-14,99.0300961928
2015-09-15,100.5926458965
2015-09-16,100.7236380873
2015-09-17,101.1259712445
2015-09-18,100.0125376233
2015-09-21,100.9949790538
2015-09-22,99.1704449686
2015-09-23,97.7201742855
2015-09-24,97.626608435
2015-09-25,97.5611123396
2015-09-28,95.3436016822
2015-09-29,95.5120202132
2015-09-30,97.7950269659
2015-10-01,97.2991279581
2015-10-02,98.4874142598
2015-10-05,100.2370956645
2015-10-06,100.7142815022
2015-10-07,103.3341253168
2015-10-08,105.5703491443
2015-10-09,106.3656588738
2015-10-12,106.2720930232
2015-10-13,104.3072101623
2015-10-14,102.4546063219
2015-10-15,103.2405594663
2015-10-16,103.2405594663
2015-10-19,102.8569394792
2015-10-20,103.539970188
2015-10-21,104.1855745566
2015-10-22,106.6744261805
2015-10-23,107.4510227398
2015-10-26,107.6381544409
2015-10-27,107.1796817733
2015-10-28,117.509351671
2015-10-29,120.1385520706
2015-10-30,118.2672350602
2015-11-02,116.2368561039
2015-11-03,115.7596702662
2015-11-04,115.1234224826
2015-11-05,115.0205000471
2015-11-06,114.2345469027
2015-11-09,112.9152684103
2015-11-10,112.1760981912
2015-11-11,112.4380825727
2015-11-12,111.8111913742
2015-11-13,111.3972500683
2015-11-16,116.3269147111
2015-11-17,117.0513119964
2015-11-18,117.7474860108
2015-11-19,117.9356411499
2015-11-20,118.8670090881
2015-11-23,118.5565531087
2015-11-24,117.2300593785
2015-11-25,116.2516526555
2015-11-27,117.0983507812
2015-11-30,115.1603528491
2015-12-01,115.6777794814
2015-12-02,115.1133140643
2015-12-03,113.5892574381
2015-12-04,116.6655939614
2015-12-07,118.0391264764
2015-12-08,116.8537491004
2015-12-09,113.4669565977
2015-12-10,114.0126065009
2015-12-11,112.1969094092
2015-12-14,112.432103333
2015-12-15,112.4038800621
2015-12-16,113.6174807089
2015-12-17,110.6822605399
2015-12-18,109.6568150322
2015-12-21,110.3153580188
2015-12-22,111.4631043669
2015-12-23,112.629666229
2015-12-24,112.8460446389
2015-12-28,112.3098024926
2015-12-29,113.5704419242
2015-12-30,113.7774125771
2015-12-31,112.432103333
2016-01-04,110.3341735327
2016-01-05,112.5167731456
2016-01-06,110.5223286717
2016-01-07,108.8289324204
2016-01-08,107.7658558848
2016-01-11,109.0264953164
2016-01-12,110.0143097963
2016-01-13,107.4177688776
2016-01-14,106.8250801896
2016-01-15,105.0752373965
2016-01-19,103.3630256313
2016-01-20,101.650813866
2016-01-21,102.4034344222
2016-01-22,104.9529365562
2016-01-25,103.7393359094
2016-01-26,105.2916158064
2016-01-27,103.6828893677
2016-01-28,105.3480623481
2016-01-29,109.9202322268
2016-02-01,110.6258139982
2016-02-02,109.8355624142
2016-02-03,110.6069984843
2016-02-04,110.4376588592
2016-02-05,110.6164062413
2016-02-08,110.2589114771
2016-02-09,111.1526483875
2016-02-10,111.1056096028
2016-02-11,107.9351955099
2016-02-12,108.4996609271
2016-02-16,109.3181357819
2016-02-17,110.2024649354
2016-02-18,110.475289887
2016-02-19,110.5975907273
2016-02-22,111.5854052073
2016-02-23,110.8233768942
2016-02-24,110.9362699776
2016-02-25,112.1310551105
2016-02-26,112.5355886595
2016-02-29,111.0120240972
2016-03-01,112.5261255255
2016-03-02,113.0560610254
2016-03-03,114.0780794895
2016-03-04,113.0844504272
2016-03-07,111.6744434721
2016-03-08,111.5798121328
2016-03-09,111.2769918472
2016-03-10,110.7186669455
2016-03-11,112.6964619362
2016-03-14,111.5230333293
2016-03-15,111.4946439275
2016-03-16,111.5987384007
2016-03-17,111.6555172042
2016-03-18,112.3652522488
2016-03-21,112.4125679184
2016-03-22,112.9708928201
2016-03-23,113.1601554986
2016-03-24,112.0624319631
2016-03-28,112.3179365791
2016-03-29,112.5829043291
2016-03-30,113.5670702575
2016-03-31,112.1381370345
2016-04-01,112.1759895702
2016-04-04,112.9898190879
2016-04-05,112.724851338
2016-04-06,113.7847223378
2016-04-07,112.6396831327
2016-04-08,112.9992822219
2016-04-11,112.9330402844
2016-04-12,113.3967338468
2016-04-13,113.6427753289
2016-04-14,113.4629757843
2016-04-15,114.0307638199
2016-04-18,115.9233906053
2016-04-19,116.5952731141
2016-04-20,116.9264828016
2016-04-21,116.2356740249
2016-04-22,117.3712500961
2016-04-25,117.2009136854
2016-04-26,118.1188376764
2016-04-27,123.8534968361
2016-04-28,123.8156443004
2016-04-29,124.4686005414
2016-05-02,126.3706904607
2016-05-03,126.8059946213
2016-05-04,127.1466674427
2016-05-05,128.4620430585
2016-05-06,129.2569463084
2016-05-09,128.6323794692
2016-05-10,129.8815131476
2016-05-11,128.5850637996
2016-05-12,128.4998955942
2016-05-13,127.9510338265
2016-05-16,129.6061880816
2016-05-17,129.8249728395
2016-05-18,129.9486337896
2016-05-19,130.1769309282
2016-05-20,131.4611023331
2016-05-23,131.2137804329
2016-05-24,131.5942756639
2016-05-25,131.0901194828
2016-05-26,131.0710947212
2016-05-27,131.166218529
2016-05-31,130.5193766362
2016-06-01,131.5372013793
2016-06-02,133.040157542
2016-06-03,135.0472698858
2016-06-06,134.6477498932
2016-06-07,137.2636546068
2016-06-08,139.7463859895
2016-06-09,140.6881116864
2016-06-10,139.0710069544
2016-06-13,137.9009841188
2016-06-14,138.6714869617
2016-06-15,138.3956279192
2016-06-16,137.5204888878
2016-06-17,136.6929117602
2016-06-20,136.3790031946
2016-06-21,136.7214489025
2016-06-22,136.8451098526
2016-06-23,137.2826793684
2016-06-24,134.4955518008
2016-06-27,133.2779670614
2016-06-28,134.3528660892
2016-06-29,136.3314412907
2016-06-30,139.5371136124
2016-07-01,139.5941878971
2016-07-05,140.0507821744
2016-07-06,142.9520583112
2016-07-07,139.641749801
2016-07-08,142.4193649877
2016-07-11,141.7630107141
2016-07-12,142.1054564221
2016-07-13,142.0008202336
2016-07-14,141.5347135755
2016-07-15,142.4859516532
2016-07-18,141.7534983334
2016-07-19,142.1815554683
2016-07-20,141.9722830912
2016-07-21,140.5929878786
2016-07-22,140.830797398
2016-07-25,140.2600545514
2016-07-26,140.7546983518
2016-07-27,140.2505421707
2016-07-28,142.5335135571
2016-07-29,144.2362297161
2016-08-01,144.1220811468
2016-08-02,142.9330335497
2016-08-03,142.7998602188
2016-08-04,143.1708430691
2016-08-05,143.6369497271
2016-08-08,142.6571745072
2016-08-09,142.6952240303
2016-08-10,143.3991402077
2016-08-11,141.7725230949
2016-08-12,140.9925078712
2016-08-15,143.7035363926
2016-08-16,141.5915139451
2016-08-17,142.7765401147
2016-08-18,143.9042263084
2016-08-19,142.2413670059
2016-08-22,142.3560469578
2016-08-23,140.559394378
2016-08-24,140.2726944983
2016-08-25,141.8017605236
2016-08-26,141.6679672464
2016-08-29,142.518510223
2016-08-30,142.0311204274
2016-08-31,142.2222536805
2016-09-01,142.7192001388
2016-09-02,143.244816585
2016-09-06,144.6687593211
2016-09-07,143.5601864527
2016-09-08,143.4550631635
2016-09-09,140.4924977394
2016-09-12,142.3464902951
2016-09-13,140.138901221
2016-09-14,139.4603781723
2016-09-15,141.0467841736
2016-09-16,140.2726944983
2016-09-19,140.7887542818
2016-09-20,140.5689510407
2016-09-21,143.0727966571
2016-09-22,143.4263931755
2016-09-23,143.4263931755
2016-09-26,143.971122947
2016-09-27,145.7295488761
2016-09-28,146.7998950939
