date,DO
2022-03-30,7.5
2022-03-31,7.13
2022-04-01,6.89
2022-04-04,7.0
2022-04-05,6.78
2022-04-06,6.75
2022-04-07,6.76
2022-04-08,6.64
2022-04-11,6.97
2022-04-12,7.0
2022-04-13,7.62
2022-04-14,7.48
2022-04-18,7.43
2022-04-19,7.93
2022-04-20,7.79
2022-04-21,7.45
2022-04-22,7.33
2022-04-25,7.26
2022-04-26,7.21
2022-04-27,7.38
2022-04-28,7.95
2022-04-29,7.85
2022-05-02,7.41
2022-05-03,7.85
2022-05-04,7.99
2022-05-05,7.89
2022-05-06,7.79
2022-05-09,7.05
2022-05-10,6.69
2022-05-11,6.75
2022-05-12,6.64
2022-05-13,7.06
2022-05-16,7.25
2022-05-17,7.68
2022-05-18,7.4
2022-05-19,7.32
2022-05-20,7.19
2022-05-23,7.4
2022-05-24,7.28
2022-05-25,7.56
2022-05-26,7.97
2022-05-27,8.1
2022-05-31,7.96
2022-06-01,8.07
2022-06-02,7.9
2022-06-03,8.16
2022-06-06,8.71
2022-06-07,8.81
2022-06-08,9.83
2022-06-09,9.27
2022-06-10,8.63
2022-06-13,7.98
2022-06-14,7.68
2022-06-15,7.85
2022-06-16,7.75
2022-06-17,7.55
2022-06-21,7.47
2022-06-22,7.1
2022-06-23,6.74
2022-06-24,6.54
2022-06-27,6.81
2022-06-28,6.71
2022-06-29,6.31
2022-06-30,5.89
2022-07-01,6.09
2022-07-05,5.72
2022-07-06,5.48
2022-07-07,5.9
2022-07-08,6.35
2022-07-11,6.1
2022-07-12,5.65
2022-07-13,5.6
2022-07-14,5.35
2022-07-15,5.61
2022-07-18,5.7
2022-07-19,5.94
2022-07-20,5.91
2022-07-21,5.59
2022-07-22,5.41
2022-07-25,5.88
2022-07-26,5.99
2022-07-27,6.64
2022-07-28,6.54
2022-07-29,6.75
2022-08-01,6.66
2022-08-02,7.31
2022-08-03,6.72
2022-08-04,6.4
2022-08-05,6.71
2022-08-08,6.63
2022-08-09,6.79
2022-08-10,6.99
2022-08-11,7.05
2022-08-12,7.28
2022-08-15,6.9
2022-08-16,6.94
2022-08-17,6.89
2022-08-18,7.42
2022-08-19,7.31
2022-08-22,7.15
2022-08-23,7.27
2022-08-24,7.29
2022-08-25,7.37
2022-08-26,7.22
2022-08-29,7.37
2022-08-30,6.9
2022-08-31,7.11
2022-09-01,6.94
2022-09-02,7.37
2022-09-06,6.99
2022-09-07,7.01
2022-09-08,7.4
2022-09-09,7.71
2022-09-12,8.03
2022-09-13,7.93
2022-09-14,8.36
2022-09-15,8.32
2022-09-16,7.6
2022-09-19,7.43
2022-09-20,7.17
2022-09-21,6.98
2022-09-22,6.73
2022-09-23,6.33
2022-09-26,6.25
2022-09-27,6.43
2022-09-28,7.02
2022-09-29,6.92
2022-09-30,6.63
2022-10-03,7.4
2022-10-04,7.61
2022-10-05,7.73
2022-10-06,7.94
2022-10-07,7.91
2022-10-10,7.94
2022-10-11,7.91
2022-10-12,7.91
2022-10-13,8.1
2022-10-14,8.0
2022-10-17,8.22
2022-10-18,8.3
2022-10-19,8.53
2022-10-20,8.47
2022-10-21,8.78
2022-10-24,9.04
2022-10-25,9.39
2022-10-26,9.44
2022-10-27,9.38
2022-10-28,9.68
2022-10-31,9.85
2022-11-01,9.72
2022-11-02,9.61
2022-11-03,9.97
2022-11-04,10.0
2022-11-07,10.13
2022-11-08,10.03
2022-11-09,9.41
2022-11-10,9.55
2022-11-11,9.9
2022-11-14,9.88
2022-11-15,10.01
2022-11-16,9.95
2022-11-17,9.86
2022-11-18,9.6
2022-11-21,9.19
2022-11-22,9.57
2022-11-23,9.5
2022-11-25,9.41
2022-11-28,9.07
2022-11-29,9.18
2022-11-30,9.57
2022-12-01,9.8
2022-12-02,9.94
2022-12-05,9.26
2022-12-06,9.19
2022-12-07,8.84
2022-12-08,8.75
2022-12-09,8.47
2022-12-12,8.78
2022-12-13,8.96
2022-12-14,8.86
2022-12-15,8.73
2022-12-16,8.62
2022-12-19,8.56
2022-12-20,9.17
2022-12-21,9.52
2022-12-22,9.6
2022-12-23,9.97
2022-12-27,10.0
2022-12-28,9.99
2022-12-29,10.13
2022-12-30,10.4
2023-01-03,9.58
2023-01-04,9.26
2023-01-05,9.37
2023-01-06,9.9
2023-01-09,10.14
2023-01-10,11.01
2023-01-11,10.69
2023-01-12,11.09
2023-01-13,11.34
2023-01-17,11.77
2023-01-18,11.34
2023-01-19,11.52
2023-01-20,11.88
2023-01-23,11.8
2023-01-24,11.88
2023-01-25,11.68
2023-01-26,11.68
2023-01-27,11.64
2023-01-30,11.28
2023-01-31,11.46
2023-02-01,12.2
2023-02-02,11.89
2023-02-03,12.31
2023-02-06,12.3
2023-02-07,12.64
2023-02-08,12.5
2023-02-09,12.24
2023-02-10,12.5
2023-02-13,12.45
2023-02-14,12.48
2023-02-15,12.33
2023-02-16,12.52
2023-02-17,12.26
2023-02-21,11.36
2023-02-22,10.83
2023-02-23,10.72
2023-02-24,11.25
2023-02-27,11.69
2023-02-28,11.88
2023-03-01,12.27
2023-03-02,12.5
2023-03-03,12.88
2023-03-06,13.12
2023-03-07,12.47
2023-03-08,12.41
2023-03-09,11.76
2023-03-10,11.28
2023-03-13,10.78
2023-03-14,11.17
2023-03-15,10.0
2023-03-16,10.23
2023-03-17,9.81
2023-03-20,10.2
2023-03-21,11.44
2023-03-22,11.13
2023-03-23,10.99
2023-03-24,10.67
2023-03-27,11.25
2023-03-28,11.65
2023-03-29,12.23
2023-03-30,11.84
2023-03-31,12.04
2023-04-03,12.75
2023-04-04,12.12
2023-04-05,11.74
2023-04-06,11.38
2023-04-10,11.4
2023-04-11,11.47
2023-04-12,11.77
2023-04-13,12.06
2023-04-14,12.49
2023-04-17,12.39
2023-04-18,12.31
2023-04-19,11.86
2023-04-20,11.49
2023-04-21,11.37
2023-04-24,11.7
2023-04-25,11.1
2023-04-26,11.06
2023-04-27,11.14
2023-04-28,11.49
2023-05-01,11.48
2023-05-02,10.68
2023-05-03,10.58
2023-05-04,11.03
2023-05-05,11.51
2023-05-08,11.59
2023-05-09,11.33
2023-05-10,11.43
2023-05-11,10.98
2023-05-12,11.58
2023-05-15,11.54
2023-05-16,11.55
2023-05-17,11.53
2023-05-18,11.7
2023-05-19,11.56
2023-05-22,12.28
2023-05-23,12.07
2023-05-24,12.15
2023-05-25,11.6
2023-05-26,11.55
2023-05-30,11.19
2023-05-31,10.95
2023-06-01,11.65
2023-06-02,12.05
2023-06-05,11.72
2023-06-06,11.97
2023-06-07,12.12
2023-06-08,12.17
2023-06-09,12.07
2023-06-12,11.51
2023-06-13,11.73
2023-06-14,12.22
2023-06-15,12.46
2023-06-16,12.22
2023-06-20,12.12
2023-06-21,12.48
2023-06-22,12.61
2023-06-23,12.37
2023-06-26,12.93
2023-06-27,12.61
2023-06-28,12.4
2023-06-29,13.39
2023-06-30,14.24
2023-07-03,14.47
2023-07-05,14.71
2023-07-06,14.48
2023-07-07,15.68
2023-07-10,15.66
2023-07-11,15.6
2023-07-12,15.63
2023-07-13,15.69
2023-07-14,15.15
2023-07-17,15.32
2023-07-18,16.26
2023-07-19,15.76
2023-07-20,15.45
2023-07-21,15.35
2023-07-24,15.98
2023-07-25,16.03
2023-07-26,15.74
2023-07-27,15.39
2023-07-28,15.44
2023-07-31,15.83
2023-08-01,15.64
2023-08-02,15.17
2023-08-03,15.44
2023-08-04,15.7
2023-08-07,15.11
2023-08-08,14.83
2023-08-09,14.86
2023-08-10,14.69
2023-08-11,15.28
2023-08-14,15.12
2023-08-15,14.85
2023-08-16,15.07
2023-08-17,15.19
2023-08-18,15.95
2023-08-21,15.6
2023-08-22,15.29
2023-08-23,15.23
2023-08-24,14.53
2023-08-25,14.56
2023-08-28,14.32
2023-08-29,14.33
2023-08-30,14.9
2023-08-31,14.87
2023-09-01,15.26
2023-09-05,15.71
2023-09-06,15.38
2023-09-07,15.21
2023-09-08,15.53
2023-09-11,16.02
2023-09-12,16.7
2023-09-13,15.73
2023-09-14,16.16
2023-09-15,15.65
2023-09-18,15.65
2023-09-19,15.15
2023-09-20,15.03
2023-09-21,14.52
2023-09-22,14.55
2023-09-25,14.66
2023-09-26,14.46
2023-09-27,14.92
2023-09-28,15.0
2023-09-29,14.68
2023-10-02,13.94
2023-10-03,14.13
2023-10-04,13.49
2023-10-05,13.46
2023-10-06,13.57
2023-10-09,13.97
2023-10-10,13.96
2023-10-11,14.03
2023-10-12,13.74
2023-10-13,14.09
2023-10-16,13.61
2023-10-17,13.76
2023-10-18,13.62
2023-10-19,13.65
2023-10-20,13.11
2023-10-23,13.04
2023-10-24,12.76
2023-10-25,12.61
2023-10-26,12.28
2023-10-27,12.38
2023-10-30,12.37
2023-10-31,12.41
2023-11-01,12.7
2023-11-02,13.59
2023-11-03,13.4
2023-11-06,13.0
2023-11-07,12.36
2023-11-08,12.98
2023-11-09,12.67
2023-11-10,12.61
2023-11-13,12.69
2023-11-14,13.0
2023-11-15,12.43
2023-11-16,11.93
2023-11-17,12.48
2023-11-20,12.24
2023-11-21,12.18
2023-11-22,12.28
2023-11-24,12.74
2023-11-27,12.28
2023-11-28,12.59
2023-11-29,12.59
2023-11-30,12.87
2023-12-01,13.2
2023-12-04,13.02
2023-12-05,12.62
2023-12-06,11.77
2023-12-07,11.68
2023-12-08,12.25
