date,AABA
2015-07-01,39.33
2015-07-02,39.38
2015-07-06,38.61
2015-07-07,38.23
2015-07-08,37.23
2015-07-09,37.61
2015-07-10,37.92
2015-07-13,38.76
2015-07-14,38.63
2015-07-15,38.38
2015-07-16,38.91
2015-07-17,39.68
2015-07-20,39.54
2015-07-21,39.73
2015-07-22,39.24
2015-07-23,39.21
2015-07-24,38.85
2015-07-27,37.835
2015-07-28,37.72
2015-07-29,37.67
2015-07-30,37.42
2015-07-31,36.67
2015-08-03,36.69
2015-08-04,37.12
2015-08-05,37.25
2015-08-06,36.46
2015-08-07,36.67
2015-08-10,37.15
2015-08-11,36.03
2015-08-12,34.49
2015-08-13,35.93
2015-08-14,36.24
2015-08-17,36.095
2015-08-18,35.69
2015-08-19,35.19
2015-08-20,34.1
2015-08-21,32.93
2015-08-24,31.31
2015-08-25,31.74
2015-08-26,32.52
2015-08-27,33.69
2015-08-28,33.14
2015-08-31,32.24
2015-09-01,31.6
2015-09-02,31.77
2015-09-03,32.54
2015-09-04,31.58
2015-09-08,30.9
2015-09-09,31.52
2015-09-10,31.15
2015-09-11,31.43
2015-09-14,30.32
2015-09-15,31.04
2015-09-16,31.4
2015-09-17,30.93
2015-09-18,30.74
2015-09-21,31.17
2015-09-22,30.4
2015-09-23,29.74
2015-09-24,29.34
2015-09-25,29.13
2015-09-28,27.6
2015-09-29,28.26
2015-09-30,28.91
2015-10-01,28.91
2015-10-02,30.71
2015-10-05,30.85
2015-10-06,30.955
2015-10-07,31.87
2015-10-08,32.37
2015-10-09,32.52
2015-10-12,32.86
2015-10-13,32.34
2015-10-14,32.09
2015-10-15,33.48
2015-10-16,33.37
2015-10-19,33.5
2015-10-20,32.83
2015-10-21,31.12
2015-10-22,31.67
2015-10-23,33.17
2015-10-26,33.4
2015-10-27,34.3
2015-10-28,35.185
2015-10-29,35.05
2015-10-30,35.62
2015-11-02,35.27
2015-11-03,34.72
2015-11-04,35.07
2015-11-05,35.12
2015-11-06,34.2
2015-11-09,33.68
2015-11-10,33.99
2015-11-11,33.38
2015-11-12,33.23
2015-11-13,32.19
2015-11-16,32.945
2015-11-17,32.86
2015-11-18,32.98
2015-11-19,32.625
2015-11-20,33.11
2015-11-23,33.36
2015-11-24,32.96
2015-11-25,33.16
2015-11-27,32.94
2015-11-30,33.81
2015-12-01,33.71
2015-12-02,35.65
2015-12-03,34.34
2015-12-04,34.91
2015-12-07,34.68
2015-12-08,34.85
2015-12-09,34.4
2015-12-10,34.63
2015-12-11,32.91
2015-12-14,32.59
2015-12-15,33.03
2015-12-16,33.78
2015-12-17,33.23
2015-12-18,32.95
2015-12-21,32.965
2015-12-22,34.19
2015-12-23,34.45
2015-12-24,34.11
2015-12-28,33.6
2015-12-29,34.04
2015-12-30,33.37
2015-12-31,33.26
2016-01-04,31.4
2016-01-05,32.2
2016-01-06,32.16
2016-01-07,30.16
2016-01-08,30.63
2016-01-11,30.17
2016-01-12,30.69
2016-01-13,29.44
2016-01-14,30.32
2016-01-15,29.14
2016-01-19,29.74
2016-01-20,28.78
2016-01-21,29.31
2016-01-22,29.75
2016-01-25,29.78
2016-01-26,29.98
2016-01-27,29.69
2016-01-28,28.75
2016-01-29,29.51
2016-02-01,29.57
2016-02-02,29.06
2016-02-03,27.68
2016-02-04,29.15
2016-02-05,27.97
2016-02-08,27.05
2016-02-09,26.82
2016-02-10,27.1
2016-02-11,26.76
2016-02-12,27.04
2016-02-16,29.28
2016-02-17,29.37
2016-02-18,29.42
2016-02-19,30.04
2016-02-22,31.17
2016-02-23,30.67
2016-02-24,30.95
2016-02-25,31.36
2016-02-26,31.37
2016-02-29,31.79
2016-03-01,32.8
2016-03-02,32.91
2016-03-03,32.88
2016-03-04,33.86
2016-03-07,33.96
2016-03-08,32.93
2016-03-09,33.51
2016-03-10,32.82
2016-03-11,33.81
2016-03-14,33.58
2016-03-15,33.26
2016-03-16,34.01
2016-03-17,34.275
2016-03-18,35.17
2016-03-21,35.47
2016-03-22,35.41
2016-03-23,34.8
2016-03-24,34.86
2016-03-28,35.23
2016-03-29,36.32
2016-03-30,36.56
2016-03-31,36.81
2016-04-01,36.48
2016-04-04,37.02
2016-04-05,36.41
2016-04-06,36.66
2016-04-07,36.17
2016-04-08,36.07
2016-04-11,36.48
2016-04-12,36.66
2016-04-13,37.31
2016-04-14,37.17
2016-04-15,36.51
2016-04-18,36.52
2016-04-19,36.33
2016-04-20,37.84
2016-04-21,37.67
2016-04-22,37.48
2016-04-25,37.23
2016-04-26,37.11
2016-04-27,36.95
2016-04-28,36.59
2016-04-29,36.6
2016-05-02,36.53
2016-05-03,36.01
2016-05-04,36.0
2016-05-05,36.94
2016-05-06,37.23
2016-05-09,37.18
2016-05-10,37.44
2016-05-11,37.37
2016-05-12,37.03
2016-05-13,36.48
2016-05-16,37.48
2016-05-17,37.27
2016-05-18,37.24
2016-05-19,37.02
2016-05-20,36.5
2016-05-23,36.66
2016-05-24,37.53
2016-05-25,35.59
2016-05-26,36.76
2016-05-27,37.82
2016-05-31,37.94
2016-06-01,36.65
2016-06-02,37.15
2016-06-03,36.6
2016-06-06,37.07
2016-06-07,36.73
2016-06-08,36.97
2016-06-09,37.35
2016-06-10,36.83
2016-06-13,36.47
2016-06-14,37.4
2016-06-15,37.32
2016-06-16,37.39
2016-06-17,36.94
2016-06-20,37.29
2016-06-21,37.4
2016-06-22,37.36
2016-06-23,37.78
2016-06-24,36.24
2016-06-27,35.22
2016-06-28,36.04
2016-06-29,36.86
2016-06-30,37.56
2016-07-01,37.99
2016-07-05,37.5
2016-07-06,37.51
2016-07-07,37.52
2016-07-08,37.74
2016-07-11,37.96
2016-07-12,37.89
2016-07-13,37.64
2016-07-14,37.96
2016-07-15,37.72
2016-07-18,37.95
2016-07-19,38.17
2016-07-20,38.9
2016-07-21,38.85
2016-07-22,39.38
2016-07-25,38.32
