date,FB
2025-06-26,39.3919062469
2025-06-27,39.7264067988
2025-06-30,39.9489794587
2025-07-01,39.86932707
2025-07-02,39.7274925191
2025-07-03,39.9884601966
2025-07-07,40.0235980534
2025-07-08,39.8855141725
2025-07-09,39.9197637127
2025-07-10,39.9509534956
2025-07-11,39.9300287045
2025-07-14,39.9171974647
2025-07-15,39.8360645483
2025-07-16,39.9323975488
2025-07-17,39.9866835634
2025-07-18,39.9462158071
2025-07-21,39.8854154707
2025-07-22,39.974247131
2025-07-23,40.0482735146
2025-07-24,40.0624865802
2025-07-25,40.0334682378
2025-07-28,40.0334682378
2025-07-29,40.0038576844
2025-07-30,39.974247131
2025-07-31,40.0400812614
2025-08-01,39.7411133736
2025-08-04,40.023203246
2025-08-05,39.9051558396
2025-08-06,39.9939874999
2025-08-07,40.0180707501
2025-08-08,39.7768434415
2025-08-11,40.1876405194
2025-08-12,40.408535248
2025-08-13,40.3197035877
2025-08-14,40.2604824808
2025-08-15,40.26097599
2025-08-18,40.2061964662
2025-08-19,40.2464668189
2025-08-20,40.1969184928
2025-08-21,40.0729489758
2025-08-22,40.3452673655
2025-08-25,40.3591843256
2025-08-26,40.388794879
2025-08-27,40.3197035877
2025-08-28,40.3957040081
2025-08-29,40.2703526653
2025-09-02,40.4096209683
2025-09-03,40.4184054324
2025-09-04,40.5269774617
2025-09-05,40.615809122
2025-09-08,40.6651600444
2025-09-09,40.5854089538
2025-09-10,40.5657672867
2025-09-11,40.7984075348
2025-09-12,40.7342513357
2025-09-15,40.7737320736
2025-09-16,40.719446059
2025-09-17,40.7046407823
2025-09-18,40.7539917047
2025-09-19,40.868189739
2025-09-22,40.9458680909
2025-09-23,40.9157640282
2025-09-24,40.887020077
2025-09-25,40.8076828102
2025-09-26,40.9539763721
2025-09-29,40.8869210292
2025-09-30,40.961900194
2025-10-01,41.0057783578
2025-10-02,40.985968803
2025-10-03,40.985968803
2025-10-06,41.0218240972
2025-10-07,40.9655649616
2025-10-08,41.0602546334
2025-10-09,41.1132451924
2025-10-10,40.5442157318
2025-10-13,40.786288491
2025-10-14,40.7376560341
2025-10-15,40.7927265963
2025-10-16,40.6888254816
2025-10-17,40.7977780328
2025-10-20,41.0294507757
2025-10-21,41.0313326834
2025-10-22,41.0405441264
2025-10-23,41.1571233562
2025-10-24,41.2930169018
2025-10-27,41.4896267329
2025-10-28,41.5786706815
2025-10-29,41.5621297033
2025-10-30,41.4813067199
2025-10-31,41.5948154686
2025-11-03,41.5355848999
2025-11-04,41.5191429695
2025-11-05,41.530731559
2025-11-06,41.4136570903
2025-11-07,41.431782833
2025-11-10,41.6101678736
2025-11-11,41.5337029922
2025-11-12,41.5454896773
2025-11-13,41.3293674348
2025-11-14,41.3423426932
2025-11-17,41.3237217117
2025-11-18,41.2832111722
2025-11-19,41.3274855271
2025-11-20,41.2087272463
2025-11-21,41.2557749389
2025-11-24,41.4911124495
2025-11-25,41.7281337722
2025-11-26,41.8857187803
2025-11-28,41.9170178769
2025-12-01,41.8425339509
2025-12-02,41.7881567231
2025-12-03,41.7983586438
2025-12-04,41.7830062389
2025-12-05,41.7619090631
2025-12-08,41.7684462161
2025-12-09,41.7088194563
2025-12-10,41.7837986211
2025-12-11,41.735661403
2025-12-12,41.6855432295
2025-12-15,41.6893070449
2025-12-16,41.6695965379
2025-12-17,41.6048192938
2025-12-18,41.7214975714
2025-12-19,41.8856197326
2025-12-22,41.9867475096
2025-12-23,42.0689571619
2025-12-24,42.1458261582
2025-12-26,42.0820729881
2025-12-29,42.0627478084
2025-12-30,42.0470087445
2025-12-31,42.0372465403
