date,XL
2015-07-01,37.97
2015-07-02,37.75
2015-07-06,37.7
2015-07-07,37.85
2015-07-08,37.36
2015-07-09,37.38
2015-07-10,37.96
2015-07-13,38.14
2015-07-14,38.38
2015-07-15,38.3
2015-07-16,38.24
2015-07-17,38.06
2015-07-20,37.94
2015-07-21,37.76
2015-07-22,37.79
2015-07-23,37.77
2015-07-24,37.78
2015-07-27,37.88
2015-07-28,37.87
2015-07-29,37.96
2015-07-30,38.4
2015-07-31,38.02
2015-08-03,38.19
2015-08-04,38.67
2015-08-05,38.86
2015-08-06,38.85
2015-08-07,38.97
2015-08-10,39.33
2015-08-11,39.7
2015-08-12,39.61
2015-08-13,39.71
2015-08-14,40.18
2015-08-17,40.33
2015-08-18,40.28
2015-08-19,39.72
2015-08-20,39.1
2015-08-21,38.16
2015-08-24,36.79
2015-08-25,36.64
2015-08-26,37.21
2015-08-27,38.18
2015-08-28,37.66
2015-08-31,37.29
2015-09-01,36.3
2015-09-02,37.09
2015-09-03,37.3
2015-09-04,36.55
2015-09-08,37.18
2015-09-09,36.82
2015-09-10,36.81
2015-09-11,36.99
2015-09-14,37.02
2015-09-15,37.57
2015-09-16,37.77
2015-09-17,37.73
2015-09-18,37.13
2015-09-21,37.41
2015-09-22,36.81
2015-09-23,36.85
2015-09-24,36.54
2015-09-25,36.73
2015-09-28,36.01
2015-09-29,36.24
2015-09-30,36.32
2015-10-01,36.0
2015-10-02,36.29
2015-10-05,36.33
2015-10-06,36.06
2015-10-07,36.61
2015-10-08,37.07
2015-10-09,36.99
2015-10-12,37.14
2015-10-13,36.71
2015-10-14,36.09
2015-10-15,36.56
2015-10-16,36.81
2015-10-19,37.32
2015-10-20,38.11
2015-10-21,38.18
2015-10-22,38.9
2015-10-23,38.89
2015-10-26,38.72
2015-10-27,38.12
2015-10-28,38.49
2015-10-29,38.32
2015-10-30,38.08
2015-11-02,38.21
2015-11-03,38.14
2015-11-04,37.69
2015-11-05,37.57
2015-11-06,37.6
2015-11-09,37.36
2015-11-10,37.55
2015-11-11,37.68
2015-11-12,37.14
2015-11-13,36.76
2015-11-16,37.22
2015-11-17,36.91
2015-11-18,37.4
2015-11-19,38.08
2015-11-20,38.39
2015-11-23,38.21
2015-11-24,38.18
2015-11-25,37.84
2015-11-27,38.02
2015-11-30,38.18
2015-12-01,38.76
2015-12-02,38.61
2015-12-03,38.29
2015-12-04,39.14
2015-12-07,39.14
2015-12-08,38.96
2015-12-09,38.45
2015-12-10,38.19
2015-12-11,37.42
2015-12-14,37.69
2015-12-15,38.27
2015-12-16,38.45
2015-12-17,38.39
2015-12-18,37.66
2015-12-21,37.9
2015-12-22,39.1
2015-12-23,39.46
2015-12-24,39.84
2015-12-28,39.86
2015-12-29,40.41
2015-12-30,39.82
2015-12-31,39.18
2016-01-04,38.21
2016-01-05,38.29
2016-01-06,37.96
2016-01-07,37.17
2016-01-08,36.45
2016-01-11,36.09
2016-01-12,35.93
2016-01-13,35.03
2016-01-14,35.46
2016-01-15,35.5
2016-01-19,35.38
2016-01-20,34.88
2016-01-21,34.99
2016-01-22,35.31
2016-01-25,34.74
2016-01-26,34.92
2016-01-27,34.62
2016-01-28,35.19
2016-01-29,36.26
2016-02-01,36.35
2016-02-02,35.7
2016-02-03,35.62
2016-02-04,34.63
2016-02-05,34.84
2016-02-08,34.72
2016-02-09,34.76
2016-02-10,33.73
2016-02-11,33.2
2016-02-12,34.58
2016-02-16,34.65
2016-02-17,34.22
2016-02-18,34.08
2016-02-19,34.28
2016-02-22,34.28
2016-02-23,34.31
2016-02-24,34.37
2016-02-25,34.65
2016-02-26,34.64
2016-02-29,34.38
2016-03-01,35.56
2016-03-02,35.92
2016-03-03,35.85
2016-03-04,35.32
2016-03-07,35.38
2016-03-08,35.26
2016-03-09,35.23
2016-03-10,35.13
2016-03-11,35.8
2016-03-14,35.56
2016-03-15,35.89
2016-03-16,35.72
2016-03-17,36.3
2016-03-18,36.77
2016-03-21,36.83
2016-03-22,36.91
2016-03-23,37.05
2016-03-24,36.61
2016-03-28,36.9
2016-03-29,36.87
2016-03-30,36.89
2016-03-31,36.8
2016-04-01,37.16
2016-04-04,36.79
2016-04-05,36.08
2016-04-06,35.91
2016-04-07,35.43
2016-04-08,35.72
2016-04-11,35.86
2016-04-12,36.33
2016-04-13,36.46
2016-04-14,36.41
2016-04-15,36.37
2016-04-18,36.54
2016-04-19,36.68
2016-04-20,36.75
2016-04-21,35.57
2016-04-22,35.89
2016-04-25,35.76
2016-04-26,35.92
2016-04-27,35.86
2016-04-28,32.74
2016-04-29,32.73
2016-05-02,32.25
2016-05-03,32.5
2016-05-04,32.4
2016-05-05,33.12
2016-05-06,33.11
2016-05-09,33.35
2016-05-10,34.02
2016-05-11,33.69
2016-05-12,33.71
2016-05-13,34.17
2016-05-16,34.09
2016-05-17,33.9
2016-05-18,34.27
2016-05-19,34.06
2016-05-20,34.45
2016-05-23,34.2
2016-05-24,34.59
2016-05-25,34.45
2016-05-26,34.22
2016-05-27,34.48
2016-05-31,34.35
2016-06-01,34.23
2016-06-02,33.94
2016-06-03,33.59
2016-06-06,33.74
2016-06-07,33.39
2016-06-08,33.15
2016-06-09,33.58
2016-06-10,33.71
2016-06-13,32.78
2016-06-14,32.61
2016-06-15,32.29
2016-06-16,32.35
2016-06-17,32.29
2016-06-20,32.43
2016-06-21,32.58
2016-06-22,32.77
2016-06-23,33.28
2016-06-24,31.25
2016-06-27,30.67
2016-06-28,31.74
2016-06-29,32.22
2016-06-30,33.31
2016-07-01,33.11
2016-07-05,32.21
2016-07-06,32.59
2016-07-07,32.62
2016-07-08,33.01
2016-07-11,32.86
2016-07-12,33.0
2016-07-13,33.18
2016-07-14,32.64
2016-07-15,32.41
2016-07-18,32.18
2016-07-19,32.43
2016-07-20,32.76
2016-07-21,32.56
2016-07-22,32.82
2016-07-25,32.88
2016-07-26,32.81
2016-07-27,32.96
2016-07-28,35.12
2016-07-29,34.61
2016-08-01,34.08
2016-08-02,33.8
2016-08-03,33.96
2016-08-04,33.81
2016-08-05,33.87
2016-08-08,33.92
2016-08-09,33.7
2016-08-10,33.58
2016-08-11,33.17
2016-08-12,33.34
2016-08-15,33.67
2016-08-16,33.55
2016-08-17,33.41
2016-08-18,33.52
2016-08-19,33.57
2016-08-22,33.83
2016-08-23,33.62
2016-08-24,33.47
2016-08-25,33.71
2016-08-26,33.5
2016-08-29,33.85
2016-08-30,34.14
2016-08-31,34.23
2016-09-01,34.33
2016-09-02,34.75
2016-09-06,35.19
2016-09-07,35.42
2016-09-08,35.22
2016-09-09,34.29
2016-09-12,34.2
2016-09-13,33.78
2016-09-14,33.69
2016-09-15,33.86
2016-09-16,33.45
2016-09-19,33.57
2016-09-20,33.61
2016-09-21,34.31
2016-09-22,34.69
2016-09-23,34.22
2016-09-26,33.88
2016-09-27,33.74
2016-09-28,34.15
2016-09-29,33.64
2016-09-30,33.63
2016-10-03,33.28
2016-10-04,33.5
2016-10-05,33.65
2016-10-06,33.21
2016-10-07,33.99
2016-10-10,34.39
2016-10-11,34.08
2016-10-12,34.19
2016-10-13,34.17
2016-10-14,34.41
2016-10-17,34.43
2016-10-18,34.4
2016-10-19,34.4
2016-10-20,33.62
2016-10-21,33.5
2016-10-24,33.71
2016-10-25,34.06
2016-10-26,33.71
2016-10-27,33.66
2016-10-28,34.25
2016-10-31,34.7
2016-11-01,34.48
2016-11-02,34.42
2016-11-03,34.66
2016-11-04,34.56
2016-11-07,35.3
2016-11-08,36.19
2016-11-09,37.19
2016-11-10,38.08
2016-11-11,38.13
2016-11-14,38.32
2016-11-15,37.87
2016-11-16,37.35
2016-11-17,37.24
2016-11-18,37.43
2016-11-21,37.36
2016-11-22,37.07
2016-11-23,37.01
2016-11-25,37.32
2016-11-28,36.99
2016-11-29,36.49
2016-11-30,36.13
2016-12-01,35.87
2016-12-02,36.1
2016-12-05,36.2
2016-12-06,36.18
2016-12-07,36.4
2016-12-08,36.71
2016-12-09,37.05
2016-12-12,37.44
2016-12-13,37.22
2016-12-14,36.42
2016-12-15,36.44
2016-12-16,36.41
2016-12-19,37.07
2016-12-20,37.28
2016-12-21,37.53
2016-12-22,37.67
2016-12-23,37.99
2016-12-27,38.03
2016-12-28,37.7
2016-12-29,37.26
2016-12-30,37.26
2017-01-03,37.73
2017-01-04,37.86
2017-01-05,37.43
2017-01-06,37.39
2017-01-09,36.76
2017-01-10,36.94
2017-01-11,36.9
2017-01-12,36.92
2017-01-13,37.26
2017-01-17,37.09
2017-01-18,37.42
2017-01-19,37.33
2017-01-20,37.26
2017-01-23,37.31
