date,XL
2017-01-24,37.74
2017-01-25,37.92
2017-01-26,37.97
2017-01-27,37.81
2017-01-30,37.42
2017-01-31,37.57
2017-02-01,37.93
2017-02-02,38.94
2017-02-03,38.65
2017-02-06,38.92
2017-02-07,38.94
2017-02-08,39.16
2017-02-09,39.46
2017-02-10,39.85
2017-02-13,40.14
2017-02-14,40.26
2017-02-15,40.42
2017-02-16,40.64
2017-02-17,40.95
2017-02-21,40.95
2017-02-22,41.19
2017-02-23,41.13
2017-02-24,41.12
2017-02-27,40.64
2017-02-28,40.49
2017-03-01,41.12
2017-03-02,40.61
2017-03-03,40.36
2017-03-06,39.9
2017-03-07,40.13
2017-03-08,40.32
2017-03-09,40.34
2017-03-10,40.45
2017-03-13,39.85
2017-03-14,40.14
2017-03-15,40.13
2017-03-16,39.94
2017-03-17,40.21
2017-03-20,40.28
2017-03-21,39.92
2017-03-22,40.11
2017-03-23,39.95
2017-03-24,39.83
2017-03-27,40.0
2017-03-28,40.42
2017-03-29,40.25
2017-03-30,40.14
2017-03-31,39.86
2017-04-03,39.4
2017-04-04,39.72
2017-04-05,39.38
2017-04-06,39.8
2017-04-07,39.82
2017-04-10,40.1
2017-04-11,40.51
2017-04-12,40.34
2017-04-13,40.01
2017-04-17,40.67
2017-04-18,40.38
2017-04-19,40.39
2017-04-20,40.36
2017-04-21,40.41
2017-04-24,41.0
2017-04-25,41.63
2017-04-26,41.93
2017-04-27,42.91
2017-04-28,41.85
2017-05-01,42.23
2017-05-02,41.99
2017-05-03,42.28
2017-05-04,42.5
2017-05-05,42.37
2017-05-08,41.9
2017-05-09,42.0
2017-05-10,41.94
2017-05-11,41.84
2017-05-12,41.86
2017-05-15,41.92
2017-05-16,42.01
2017-05-17,41.79
2017-05-18,42.26
2017-05-19,41.45
2017-05-22,41.89
2017-05-23,42.36
2017-05-24,42.66
2017-05-25,43.36
2017-05-26,43.3
2017-05-30,43.4
2017-05-31,43.69
2017-06-01,43.62
2017-06-02,43.28
2017-06-05,42.78
2017-06-06,42.53
2017-06-07,42.5
2017-06-08,42.22
2017-06-09,42.57
2017-06-12,42.17
2017-06-13,42.37
2017-06-14,42.81
2017-06-15,43.48
2017-06-16,44.04
2017-06-19,44.1
2017-06-20,44.2
2017-06-21,44.01
2017-06-22,43.27
2017-06-23,43.41
2017-06-26,43.62
2017-06-27,44.0
2017-06-28,44.17
2017-06-29,44.14
2017-06-30,43.8
2017-07-03,44.51
2017-07-05,44.25
2017-07-06,44.38
2017-07-07,44.95
2017-07-10,45.01
2017-07-11,44.88
2017-07-12,45.2
2017-07-13,45.03
2017-07-14,45.17
2017-07-17,45.28
2017-07-18,45.75
2017-07-19,46.08
2017-07-20,46.28
2017-07-21,46.41
2017-07-24,46.66
2017-07-25,46.36
2017-07-26,45.98
2017-07-27,42.88
2017-07-28,43.4
2017-07-31,44.4
2017-08-01,44.54
2017-08-02,44.5
2017-08-03,44.3
2017-08-04,44.27
2017-08-07,44.47
2017-08-08,44.28
2017-08-09,44.67
2017-08-10,44.5
2017-08-11,44.41
2017-08-14,44.7
2017-08-15,44.72
2017-08-16,44.62
2017-08-17,43.96
2017-08-18,43.79
2017-08-21,43.8
2017-08-22,44.0
2017-08-23,43.34
2017-08-24,42.52
2017-08-25,43.01
2017-08-28,41.85
2017-08-29,41.79
2017-08-30,41.3
2017-08-31,40.96
2017-09-01,40.62
2017-09-05,38.27
2017-09-06,38.45
2017-09-07,36.48
2017-09-08,38.61
2017-09-11,40.55
2017-09-12,40.45
2017-09-13,40.64
2017-09-14,39.24
2017-09-15,39.37
2017-09-18,39.17
2017-09-19,39.03
2017-09-20,39.03
2017-09-21,39.64
2017-09-22,39.19
2017-09-25,39.41
2017-09-26,38.23
2017-09-27,37.99
2017-09-28,39.11
2017-09-29,39.45
2017-10-02,39.61
2017-10-03,39.8
2017-10-04,39.15
2017-10-05,39.54
2017-10-06,39.57
2017-10-09,39.32
2017-10-10,39.67
2017-10-11,39.35
2017-10-12,40.67
2017-10-13,41.51
2017-10-16,41.64
2017-10-17,42.02
2017-10-18,41.34
2017-10-19,42.46
2017-10-20,42.51
2017-10-23,42.21
2017-10-24,42.32
2017-10-25,41.49
2017-10-26,40.85
2017-10-27,40.8
2017-10-30,41.26
2017-10-31,40.47
2017-11-01,40.34
2017-11-02,39.48
2017-11-03,40.04
2017-11-06,39.69
2017-11-07,39.91
2017-11-08,39.53
2017-11-09,40.14
2017-11-10,39.71
2017-11-13,39.4
2017-11-14,39.0
2017-11-15,39.23
2017-11-16,38.67
2017-11-17,38.63
2017-11-20,38.72
2017-11-21,38.3
2017-11-22,38.25
2017-11-24,38.08
2017-11-27,38.85
2017-11-28,39.03
2017-11-29,39.54
2017-11-30,38.82
2017-12-01,38.45
2017-12-04,37.94
2017-12-05,37.32
2017-12-06,37.45
2017-12-07,36.73
2017-12-08,36.87
2017-12-11,36.82
2017-12-12,37.03
2017-12-13,36.1
2017-12-14,35.11
2017-12-15,36.25
2017-12-18,35.51
2017-12-19,35.32
2017-12-20,35.19
2017-12-21,35.06
2017-12-22,35.17
2017-12-26,35.24
2017-12-27,35.2
2017-12-28,35.37
2017-12-29,35.16
2018-01-02,34.02
2018-01-03,34.43
2018-01-04,35.24
2018-01-05,34.65
2018-01-08,34.46
2018-01-09,34.21
2018-01-10,34.23
2018-01-11,35.27
2018-01-12,35.49
2018-01-16,35.24
2018-01-17,35.33
2018-01-18,35.13
2018-01-19,35.45
2018-01-22,35.99
2018-01-23,36.78
2018-01-24,36.86
2018-01-25,36.88
2018-01-26,36.67
2018-01-29,36.61
2018-01-30,36.62
2018-01-31,36.84
2018-02-01,36.79
2018-02-02,38.25
2018-02-05,37.68
2018-02-06,37.34
2018-02-07,42.0
2018-02-08,41.26
2018-02-09,41.86
2018-02-12,41.6
2018-02-13,41.9
2018-02-14,43.5
2018-02-15,43.12
2018-02-16,43.8
2018-02-20,43.0
2018-02-21,43.3
2018-02-22,43.1
2018-02-23,43.45
2018-02-26,43.12
2018-02-27,42.69
2018-02-28,42.31
2018-03-01,42.73
2018-03-02,43.3
2018-03-05,55.92
2018-03-06,55.91
2018-03-07,55.75
2018-03-08,55.8
2018-03-09,55.67
2018-03-12,55.56
2018-03-13,55.6
2018-03-14,55.45
2018-03-15,55.42
2018-03-16,55.33
2018-03-19,55.44
2018-03-20,55.36
2018-03-21,55.39
2018-03-22,55.35
2018-03-23,55.33
2018-03-26,55.4
2018-03-27,55.41
2018-03-28,55.35
2018-03-29,55.26
2018-04-02,55.1
2018-04-03,55.49
2018-04-04,55.26
2018-04-05,55.6
2018-04-06,55.35
2018-04-09,55.25
2018-04-10,55.39
2018-04-11,55.36
2018-04-12,55.39
2018-04-13,55.5
2018-04-16,55.5
2018-04-17,55.67
2018-04-18,55.78
2018-04-19,55.61
2018-04-20,55.55
2018-04-23,55.44
2018-04-24,55.38
2018-04-25,55.4
2018-04-26,55.71
2018-04-27,55.8
2018-04-30,55.59
2018-05-01,55.81
2018-05-02,55.65
2018-05-03,55.5
2018-05-04,55.54
2018-05-07,55.05
2018-05-08,55.13
2018-05-09,55.08
2018-05-10,54.83
2018-05-11,54.93
2018-05-14,54.99
2018-05-15,55.22
2018-05-16,55.3
2018-05-17,55.33
2018-05-18,55.46
2018-05-21,55.76
2018-05-22,55.74
2018-05-23,55.77
2018-05-24,55.67
2018-05-25,55.64
2018-05-29,55.32
2018-05-30,55.59
2018-05-31,55.58
2018-06-01,55.94
2018-06-04,55.94
2018-06-05,55.96
2018-06-06,56.18
2018-06-07,56.3
2018-06-08,56.3
2018-06-11,56.4
2018-06-12,56.31
2018-06-13,56.27
2018-06-14,56.2
2018-06-15,56.18
2018-06-18,56.2
2018-06-19,56.19
2018-06-20,56.21
2018-06-21,56.2
2018-06-22,56.15
2018-06-25,56.11
2018-06-26,56.09
2018-06-27,55.94
2018-06-28,56.07
2018-06-29,55.95
