date,UTX
2015-07-01,42.7688336698
2015-07-02,42.2825610617
2015-07-06,42.2053749335
2015-07-07,42.4871043016
2015-07-08,41.939082791
2015-07-09,42.0355654513
2015-07-10,42.5218380594
2015-07-13,43.0621409572
2015-07-14,43.0351258123
2015-07-15,42.9347838456
2015-07-16,42.938643152
2015-07-17,42.7379592185
2015-07-20,42.6376172517
2015-07-21,39.6389361688
2015-07-22,39.1912566249
2015-07-23,39.0330250619
2015-07-24,38.3267719883
2015-07-27,38.1569625062
2015-07-28,38.1955555703
2015-07-29,38.3460685204
2015-07-30,38.874793499
2015-07-31,38.7127026296
2015-08-03,38.3692243589
2015-08-04,38.2187114088
2015-08-05,38.1569625062
2015-08-06,38.1994148767
2015-08-07,37.9331227342
2015-08-10,38.4193953422
2015-08-11,38.0566205394
2015-08-12,38.3344906012
2015-08-13,38.2140762523
2015-08-14,38.338374935
2015-08-17,38.594740968
2015-08-18,38.6141626372
2015-08-19,38.1480425772
2015-08-20,37.219686791
2015-08-21,36.1281889838
2015-08-24,35.2969415435
2015-08-25,34.49288444
2015-08-26,35.564960578
2015-08-27,36.2291816635
2015-08-28,36.217528662
2015-08-31,35.5843822472
2015-09-01,34.8502431527
2015-09-02,35.4406618953
2015-09-03,35.7009122622
2015-09-04,35.2231392007
2015-09-08,36.054386641
2015-09-09,35.6776062592
2015-09-10,35.5028112367
2015-09-11,35.8640542832
2015-09-14,35.6698375915
2015-09-15,36.0000059673
2015-09-16,36.4894320303
2015-09-17,36.2447189988
2015-09-18,35.3746282202
2015-09-21,35.5610762442
2015-09-22,34.25982441
2015-09-23,33.7781670147
2015-09-24,33.723786341
2015-09-25,33.910234365
2015-09-28,33.7276706748
2015-09-29,34.1743690657
2015-09-30,34.5666867828
2015-10-01,34.3219737513
2015-10-02,34.8696648218
2015-10-05,35.8368639463
2015-10-06,35.9495096275
2015-10-07,36.3224056755
2015-10-08,36.6409210498
2015-10-09,37.0448917685
2015-10-12,37.0681977715
2015-10-13,36.6214993807
2015-10-14,35.8019049418
2015-10-15,36.194222659
2015-10-16,36.12430465
2015-10-19,35.7552929358
2015-10-20,37.1420001143
2015-10-21,38.0548185652
2015-10-22,38.7617673228
2015-10-23,39.084167031
2015-10-26,38.9326780115
2015-10-27,38.408292944
2015-10-28,38.5792036327
2015-10-29,38.4743266192
2015-10-30,38.2257292538
2015-11-02,38.6063939695
2015-11-03,38.8433383333
2015-11-04,38.9715213498
2015-11-05,39.15408504
2015-11-06,39.15408504
2015-11-09,38.711270983
2015-11-10,38.5792036327
2015-11-11,38.4150035361
2015-11-12,38.7903180425
2015-11-13,37.7191078889
2015-11-16,38.2468939135
2015-11-17,38.1374271825
2015-11-18,38.1999796002
2015-11-19,38.4306416406
2015-11-20,38.3993654317
2015-11-23,38.3485415923
2015-11-24,38.0631461864
2015-11-25,38.0279604514
2015-11-27,37.8442127244
2015-11-30,37.5509982663
2015-12-01,37.8051174633
2015-12-02,37.2382361776
2015-12-03,37.0232122417
2015-12-04,37.4258934308
2015-12-07,37.4962649008
2015-12-08,36.8394645146
2015-12-09,36.8120978319
2015-12-10,36.6987215748
2015-12-11,36.4758785866
2015-12-14,36.3703213817
2015-12-15,36.4602404822
2015-12-16,37.1913218644
2015-12-17,36.6987215748
2015-12-18,36.1005640803
2015-12-21,36.597073896
2015-12-22,37.0896741855
2015-12-23,37.648736419
2015-12-24,37.648736419
2015-12-28,37.5666363707
2015-12-29,38.0279604514
2015-12-30,37.8833079855
2015-12-31,37.5588173185
2016-01-04,37.3633410131
2016-01-05,37.4219839047
2016-01-06,36.4055071167
2016-01-07,35.9285449315
2016-01-08,35.3421160153
2016-01-11,35.3812112764
2016-01-12,35.3812112764
2016-01-13,34.7283204164
2016-01-14,34.7986918863
2016-01-15,33.4772720619
2016-01-19,33.3248005437
2016-01-20,33.1645099732
2016-01-21,33.4538149052
2016-01-22,33.7587579416
2016-01-25,33.191876656
2016-01-26,33.4850911141
2016-01-27,33.5476435318
2016-01-28,33.7978532027
2016-01-29,34.2826344401
2016-02-01,34.2318106007
2016-02-02,33.3951720136
2016-02-03,33.6062864234
2016-02-04,34.4507440627
2016-02-05,34.3412773317
2016-02-08,33.9268675643
2016-02-09,34.1067057652
2016-02-10,33.9972390342
2016-02-11,33.0980480294
2016-02-12,33.6023768973
2016-02-16,33.809581781
2016-02-17,34.7009537336
2016-02-18,34.795463821
2016-02-19,34.744270857
2016-02-22,36.3745698635
2016-02-23,36.07135
2016-02-24,36.8628719814
2016-02-25,38.6191844378
2016-02-26,38.4695434662
2016-02-29,38.0481859935
2016-03-01,37.4299325055
2016-03-02,37.6189526801
2016-03-03,37.8473520579
2016-03-04,38.1978269651
2016-03-07,38.1663236026
2016-03-08,38.158447762
2016-03-09,38.0403101528
2016-03-10,37.8749175
2016-03-11,38.0993789574
2016-03-14,38.1308823199
2016-03-15,37.9182346234
2016-03-16,38.39078506
2016-03-17,38.9224043013
2016-03-18,39.0051006277
2016-03-21,39.0523556714
2016-03-22,38.8515217358
2016-03-23,39.0287281496
2016-03-24,39.009038548
2016-03-28,38.9499697435
2016-03-29,39.4264581004
2016-03-30,39.4776510644
2016-03-31,39.4185822598
2016-04-01,39.3673892959
2016-04-04,39.485526905
2016-04-05,39.3240721725
2016-04-06,39.5249061081
2016-04-07,39.729677964
2016-04-08,39.8990085371
2016-04-11,40.2219180022
2016-04-12,40.5920825109
2016-04-13,41.1945843177
2016-04-14,41.2221497598
2016-04-15,41.1788326365
2016-04-18,41.3993561736
2016-04-19,41.3481632096
2016-04-20,41.5568729858
2016-04-21,41.5174937828
2016-04-22,41.623817631
2016-04-25,41.4269216157
2016-04-26,41.2694048035
2016-04-27,41.6986381168
2016-04-28,41.0449433461
2016-04-29,41.1000742304
2016-05-02,41.1000742304
2016-05-03,40.2179800819
2016-05-04,39.6430437173
2016-05-05,39.4934027456
2016-05-06,39.820250131
2016-05-09,39.4146443395
2016-05-10,40.2297938428
2016-05-11,40.0092703057
2016-05-12,39.9541394214
2016-05-13,39.485526905
2016-05-16,40.0959045524
2016-05-17,39.4028305786
2016-05-18,39.3595134552
2016-05-19,39.0503139337
2016-05-20,39.2841956231
2016-05-23,39.2049136945
2016-05-24,39.6052874339
2016-05-25,39.7678153876
2016-05-26,39.8034922554
2016-05-27,39.9422356305
2016-05-31,39.8708818947
2016-06-01,39.7797076768
2016-06-02,39.9541279198
2016-06-03,39.8114204483
2016-06-06,40.1800814163
2016-06-07,40.2157582842
2016-06-08,40.4615322628
2016-06-09,40.5606346736
2016-06-10,40.4337835878
2016-06-13,40.1206199698
2016-06-14,40.112691777
2016-06-15,39.855025509
2016-06-16,40.084943102
2016-06-17,40.1166558734
2016-06-20,40.3148606949
2016-06-21,40.2633274413
2016-06-22,40.1761173199
2016-06-23,40.56459877
2016-06-24,39.200949598
2016-06-27,38.5349813978
2016-06-28,39.2564469481
2016-06-29,39.827276834
2016-06-30,40.6518088915
2016-07-01,40.7231626272
2016-07-05,39.8867382805
2016-07-06,40.1880096092
2016-07-07,40.4218912985
2016-07-08,41.0918235952
2016-07-11,41.2107464881
2016-07-12,41.4248076954
2016-07-13,41.6586893847
2016-07-14,41.6785098669
2016-07-15,41.8212173384
2016-07-18,41.817253242
2016-07-19,41.8687864955
2016-07-20,42.0352785456
2016-07-21,41.9599607134
