date,KORS
2015-07-01,43.11
2015-07-02,43.07
2015-07-06,41.83
2015-07-07,42.42
2015-07-08,41.68
2015-07-09,41.99
2015-07-10,42.49
2015-07-13,44.06
2015-07-14,43.48
2015-07-15,42.95
2015-07-16,41.25
2015-07-17,40.52
2015-07-20,39.92
2015-07-21,40.58
2015-07-22,40.13
2015-07-23,39.81
2015-07-24,39.33
2015-07-27,39.07
2015-07-28,39.42
2015-07-29,40.11
2015-07-30,42.12
2015-07-31,41.99
2015-08-03,38.71
2015-08-04,38.54
2015-08-05,39.49
2015-08-06,43.77
2015-08-07,43.84
2015-08-10,45.29
2015-08-11,45.37
2015-08-12,44.44
2015-08-13,43.61
2015-08-14,43.37
2015-08-17,43.52
2015-08-18,42.88
2015-08-19,43.18
2015-08-20,42.16
2015-08-21,40.08
2015-08-24,38.06
2015-08-25,39.39
2015-08-26,41.07
2015-08-27,43.28
2015-08-28,43.17
2015-08-31,43.46
2015-09-01,42.79
2015-09-02,44.51
2015-09-03,44.92
2015-09-04,43.94
2015-09-08,44.5
2015-09-09,43.92
2015-09-10,43.69
2015-09-11,44.15
2015-09-14,43.15
2015-09-15,43.86
2015-09-16,45.12
2015-09-17,44.35
2015-09-18,43.11
2015-09-21,43.57
2015-09-22,43.07
2015-09-23,42.18
2015-09-24,42.72
2015-09-25,42.4
2015-09-28,40.55
2015-09-29,40.7
2015-09-30,42.24
2015-10-01,41.66
2015-10-02,43.53
2015-10-05,43.89
2015-10-06,43.37
2015-10-07,42.72
2015-10-08,43.51
2015-10-09,42.59
2015-10-12,41.92
2015-10-13,41.55
2015-10-14,41.76
2015-10-15,41.75
2015-10-16,40.28
2015-10-19,39.77
2015-10-20,39.9
2015-10-21,39.6
2015-10-22,39.46
2015-10-23,38.53
2015-10-26,38.76
2015-10-27,38.68
2015-10-28,38.54
2015-10-29,38.69
2015-10-30,38.64
2015-11-02,38.96
2015-11-03,39.32
2015-11-04,42.57
2015-11-05,43.49
2015-11-06,43.48
2015-11-09,42.84
2015-11-10,43.1
2015-11-11,41.31
2015-11-12,41.64
2015-11-13,39.0
2015-11-16,39.67
2015-11-17,39.32
2015-11-18,40.85
2015-11-19,40.88
2015-11-20,41.13
2015-11-23,42.22
2015-11-24,42.8
2015-11-25,42.9
2015-11-27,42.52
2015-11-30,43.02
2015-12-01,42.89
2015-12-02,43.03
2015-12-03,42.7
2015-12-04,42.34
2015-12-07,42.87
2015-12-08,42.0
2015-12-09,41.94
2015-12-10,42.22
2015-12-11,40.39
2015-12-14,40.15
2015-12-15,40.48
2015-12-16,40.94
2015-12-17,39.43
2015-12-18,39.7
2015-12-21,40.33
2015-12-22,40.82
2015-12-23,41.63
2015-12-24,40.86
2015-12-28,40.63
2015-12-29,41.01
2015-12-30,40.22
2015-12-31,40.06
2016-01-04,40.37
2016-01-05,40.72
2016-01-06,39.76
2016-01-07,38.96
2016-01-08,37.79
2016-01-11,37.14
2016-01-12,37.52
2016-01-13,36.15
2016-01-14,36.11
2016-01-15,35.57
2016-01-19,35.76
2016-01-20,36.49
2016-01-21,37.51
2016-01-22,38.41
2016-01-25,36.73
2016-01-26,37.79
2016-01-27,38.03
2016-01-28,38.73
2016-01-29,39.9
2016-02-01,40.44
2016-02-02,50.11
2016-02-03,51.72
2016-02-04,51.72
2016-02-05,51.84
2016-02-08,50.2
2016-02-09,50.23
2016-02-10,50.16
2016-02-11,49.14
2016-02-12,49.57
2016-02-16,50.76
2016-02-17,52.49
2016-02-18,53.24
2016-02-19,52.73
2016-02-22,54.82
2016-02-23,54.77
2016-02-24,55.44
2016-02-25,56.47
2016-02-26,56.58
2016-02-29,56.65
2016-03-01,57.29
2016-03-02,57.84
2016-03-03,57.19
2016-03-04,57.16
2016-03-07,57.43
2016-03-08,56.75
2016-03-09,58.14
2016-03-10,57.37
2016-03-11,58.5
2016-03-14,58.54
2016-03-15,57.29
2016-03-16,56.06
2016-03-17,56.79
2016-03-18,56.97
2016-03-21,56.92
2016-03-22,56.04
2016-03-23,55.93
2016-03-24,55.53
2016-03-28,56.27
2016-03-29,56.37
2016-03-30,56.87
2016-03-31,56.96
2016-04-01,56.97
2016-04-04,56.35
2016-04-05,55.9
2016-04-06,56.32
2016-04-07,53.74
2016-04-08,51.19
2016-04-11,51.38
2016-04-12,51.62
2016-04-13,53.15
2016-04-14,51.8
2016-04-15,52.29
2016-04-18,52.64
2016-04-19,51.98
2016-04-20,51.98
2016-04-21,51.64
2016-04-22,51.6
2016-04-25,51.84
2016-04-26,53.41
2016-04-27,55.12
2016-04-28,52.82
2016-04-29,51.66
2016-05-02,52.95
2016-05-03,52.43
2016-05-04,51.31
2016-05-05,50.18
2016-05-06,50.87
2016-05-09,50.68
2016-05-10,49.9
2016-05-11,44.01
2016-05-12,43.79
2016-05-13,41.91
2016-05-16,41.46
2016-05-17,41.63
2016-05-18,40.75
2016-05-19,40.7
2016-05-20,41.55
2016-05-23,41.51
2016-05-24,41.56
2016-05-25,41.8
2016-05-26,41.82
2016-05-27,41.79
2016-05-31,42.72
2016-06-01,45.55
2016-06-02,47.51
2016-06-03,48.45
2016-06-06,49.59
2016-06-07,50.85
2016-06-08,50.67
2016-06-09,50.74
2016-06-10,49.84
2016-06-13,49.67
2016-06-14,49.42
2016-06-15,49.88
2016-06-16,49.09
2016-06-17,49.97
2016-06-20,50.04
2016-06-21,50.66
2016-06-22,50.8
2016-06-23,50.82
2016-06-24,47.61
2016-06-27,46.19
2016-06-28,47.44
2016-06-29,48.42
2016-06-30,49.48
2016-07-01,50.08
2016-07-05,49.16
2016-07-06,48.54
2016-07-07,49.05
2016-07-08,50.23
2016-07-11,51.1
2016-07-12,51.91
2016-07-13,51.72
2016-07-14,51.57
2016-07-15,51.64
2016-07-18,52.0
2016-07-19,51.19
2016-07-20,51.59
2016-07-21,51.35
2016-07-22,51.44
2016-07-25,51.68
2016-07-26,52.16
2016-07-27,52.33
2016-07-28,52.06
2016-07-29,51.72
2016-08-01,52.9
2016-08-02,50.32
2016-08-03,49.02
2016-08-04,49.67
2016-08-05,50.41
2016-08-08,50.27
2016-08-09,50.11
2016-08-10,48.71
2016-08-11,49.13
2016-08-12,48.79
2016-08-15,49.96
2016-08-16,49.9
2016-08-17,48.8
2016-08-18,49.31
2016-08-19,50.08
2016-08-22,50.13
2016-08-23,50.78
2016-08-24,50.34
2016-08-25,50.26
2016-08-26,49.59
2016-08-29,50.21
2016-08-30,49.25
2016-08-31,48.95
2016-09-01,49.62
2016-09-02,49.21
2016-09-06,48.74
2016-09-07,49.92
2016-09-08,49.17
2016-09-09,47.73
2016-09-12,48.31
2016-09-13,47.5
2016-09-14,47.49
2016-09-15,47.68
2016-09-16,47.85
2016-09-19,49.62
2016-09-20,49.12
2016-09-21,49.84
2016-09-22,50.11
2016-09-23,50.51
2016-09-26,47.97
2016-09-27,48.17
2016-09-28,48.24
2016-09-29,46.87
2016-09-30,46.79
2016-10-03,46.44
2016-10-04,47.35
2016-10-05,47.01
2016-10-06,47.52
2016-10-07,46.96
2016-10-10,46.42
2016-10-11,45.65
2016-10-12,46.77
2016-10-13,46.63
2016-10-14,46.65
2016-10-17,46.55
2016-10-18,47.52
2016-10-19,50.1
2016-10-20,49.6
2016-10-21,48.95
2016-10-24,48.84
2016-10-25,48.55
2016-10-26,48.56
2016-10-27,48.17
2016-10-28,50.12
2016-10-31,50.78
2016-11-01,50.37
2016-11-02,49.73
2016-11-03,48.24
2016-11-04,49.09
2016-11-07,50.3
2016-11-08,50.32
2016-11-09,50.18
2016-11-10,51.76
2016-11-11,49.7
2016-11-14,47.16
2016-11-15,46.9
2016-11-16,47.51
2016-11-17,48.57
2016-11-18,47.57
2016-11-21,48.14
2016-11-22,48.27
2016-11-23,48.59
2016-11-25,48.91
2016-11-28,48.03
2016-11-29,47.71
2016-11-30,46.49
2016-12-01,46.23
2016-12-02,46.2
2016-12-05,48.47
2016-12-06,48.37
2016-12-07,48.91
2016-12-08,50.61
2016-12-09,49.36
2016-12-12,47.87
2016-12-13,47.88
2016-12-14,47.3
2016-12-15,46.01
2016-12-16,45.21
2016-12-19,44.85
2016-12-20,44.26
2016-12-21,44.21
2016-12-22,42.75
2016-12-23,42.84
2016-12-27,42.92
2016-12-28,43.14
2016-12-29,42.84
2016-12-30,42.98
2017-01-03,43.08
2017-01-04,43.5
2017-01-05,42.1
2017-01-06,42.47
2017-01-09,42.04
2017-01-10,43.38
2017-01-11,42.87
2017-01-12,42.65
2017-01-13,42.39
2017-01-17,43.56
2017-01-18,43.23
2017-01-19,42.03
2017-01-20,42.46
2017-01-23,42.56
2017-01-24,43.4
2017-01-25,42.8
2017-01-26,42.06
2017-01-27,41.53
2017-01-30,41.79
2017-01-31,42.81
2017-02-01,41.34
2017-02-02,40.89
2017-02-03,41.02
2017-02-06,41.28
2017-02-07,36.82
2017-02-08,37.87
2017-02-09,38.27
2017-02-10,38.38
2017-02-13,37.6
2017-02-14,38.1
2017-02-15,38.05
2017-02-16,38.21
2017-02-17,38.3
2017-02-21,38.31
2017-02-22,37.92
2017-02-23,37.28
2017-02-24,37.3
2017-02-27,37.6
2017-02-28,36.5
2017-03-01,36.9
2017-03-02,37.03
2017-03-03,36.41
2017-03-06,36.51
2017-03-07,36.02
2017-03-08,36.4
2017-03-09,36.46
2017-03-10,36.85
2017-03-13,36.92
2017-03-14,37.21
2017-03-15,37.61
2017-03-16,37.74
2017-03-17,37.83
2017-03-20,37.39
2017-03-21,36.74
2017-03-22,36.58
2017-03-23,37.23
2017-03-24,37.56
2017-03-27,37.8
2017-03-28,38.35
2017-03-29,38.28
2017-03-30,38.13
2017-03-31,38.11
2017-04-03,38.04
2017-04-04,36.82
2017-04-05,36.84
2017-04-06,37.07
2017-04-07,37.55
2017-04-10,37.29
2017-04-11,37.76
2017-04-12,37.78
2017-04-13,37.56
2017-04-17,37.32
2017-04-18,36.9
2017-04-19,36.87
2017-04-20,37.58
2017-04-21,36.76
2017-04-24,36.65
2017-04-25,37.47
2017-04-26,38.05
2017-04-27,38.01
2017-04-28,37.33
2017-05-01,36.72
2017-05-02,37.9
2017-05-03,37.18
2017-05-04,37.51
2017-05-05,38.1
2017-05-08,38.24
2017-05-09,38.65
2017-05-10,38.23
2017-05-11,37.18
2017-05-12,36.74
2017-05-15,36.47
2017-05-16,35.95
2017-05-17,35.82
2017-05-18,35.45
2017-05-19,36.41
2017-05-22,36.87
2017-05-23,36.97
2017-05-24,36.75
2017-05-25,36.63
2017-05-26,36.76
2017-05-30,36.27
2017-05-31,33.18
2017-06-01,33.08
2017-06-02,33.05
2017-06-05,34.49
2017-06-06,34.62
2017-06-07,34.21
2017-06-08,35.09
2017-06-09,35.7
2017-06-12,35.4
2017-06-13,34.77
2017-06-14,34.56
2017-06-15,34.68
2017-06-16,34.6
2017-06-19,34.94
2017-06-20,34.54
2017-06-21,34.52
2017-06-22,34.83
2017-06-23,35.34
2017-06-26,35.66
2017-06-27,35.75
2017-06-28,35.98
2017-06-29,35.7
2017-06-30,36.25
2017-07-03,36.25
2017-07-05,36.41
2017-07-06,35.49
2017-07-07,36.04
2017-07-10,35.89
2017-07-11,33.25
2017-07-12,33.29
2017-07-13,33.46
2017-07-14,34.03
2017-07-17,34.51
2017-07-18,34.2
2017-07-19,34.73
2017-07-20,35.02
2017-07-21,35.18
2017-07-24,34.91
2017-07-25,34.93
2017-07-26,35.5
2017-07-27,36.2
2017-07-28,36.55
2017-07-31,36.44
2017-08-01,36.76
2017-08-02,36.35
2017-08-03,36.45
2017-08-04,36.8
2017-08-07,37.23
2017-08-08,45.25
