date,JNPR
2015-07-01,26.3
2015-07-02,26.11
2015-07-06,25.75
2015-07-07,25.89
2015-07-08,25.61
2015-07-09,25.71
2015-07-10,26.15
2015-07-13,26.14
2015-07-14,26.06
2015-07-15,26.15
2015-07-16,26.35
2015-07-17,26.39
2015-07-20,26.36
2015-07-21,26.34
2015-07-22,26.19
2015-07-23,26.49
2015-07-24,27.54
2015-07-27,27.43
2015-07-28,27.57
2015-07-29,27.48
2015-07-30,27.96
2015-07-31,28.42
2015-08-03,28.17
2015-08-04,27.98
2015-08-05,28.25
2015-08-06,28.01
2015-08-07,28.06
2015-08-10,28.39
2015-08-11,27.88
2015-08-12,28.15
2015-08-13,28.17
2015-08-14,28.19
2015-08-17,28.32
2015-08-18,28.12
2015-08-19,28.05
2015-08-20,27.36
2015-08-21,26.56
2015-08-24,25.56
2015-08-25,24.88
2015-08-26,25.57
2015-08-27,26.0
2015-08-28,25.98
2015-08-31,25.71
2015-09-01,24.94
2015-09-02,25.31
2015-09-03,25.27
2015-09-04,25.06
2015-09-08,25.55
2015-09-09,25.25
2015-09-10,25.62
2015-09-11,25.26
2015-09-14,25.33
2015-09-15,25.8
2015-09-16,25.96
2015-09-17,25.81
2015-09-18,25.54
2015-09-21,25.76
2015-09-22,25.25
2015-09-23,25.36
2015-09-24,25.31
2015-09-25,25.28
2015-09-28,24.91
2015-09-29,25.04
2015-09-30,25.71
2015-10-01,26.04
2015-10-02,27.17
2015-10-05,28.5
2015-10-06,28.42
2015-10-07,29.42
2015-10-08,29.8
2015-10-09,29.4
2015-10-12,29.73
2015-10-13,29.79
2015-10-14,29.55
2015-10-15,30.0
2015-10-16,29.83
2015-10-19,29.94
2015-10-20,30.24
2015-10-21,29.8
2015-10-22,29.76
2015-10-23,31.49
2015-10-26,30.88
2015-10-27,31.54
2015-10-28,31.69
2015-10-29,31.19
2015-10-30,31.39
2015-11-02,31.74
2015-11-03,32.23
2015-11-04,31.62
2015-11-05,31.4
2015-11-06,31.71
2015-11-09,29.24
2015-11-10,29.61
2015-11-11,29.56
2015-11-12,29.65
2015-11-13,28.71
2015-11-16,29.21
2015-11-17,29.52
2015-11-18,29.96
2015-11-19,30.2
2015-11-20,30.46
2015-11-23,30.64
2015-11-24,30.43
2015-11-25,30.41
2015-11-27,30.27
2015-11-30,30.13
2015-12-01,30.43
2015-12-02,30.29
2015-12-03,29.31
2015-12-04,29.8
2015-12-07,29.83
2015-12-08,29.77
2015-12-09,29.03
2015-12-10,28.86
2015-12-11,28.62
2015-12-14,28.77
2015-12-15,29.18
2015-12-16,29.4
2015-12-17,29.11
2015-12-18,28.68
2015-12-21,27.25
2015-12-22,27.51
2015-12-23,27.65
2015-12-24,27.62
2015-12-28,27.71
2015-12-29,28.04
2015-12-30,27.71
2015-12-31,27.6
2016-01-04,27.41
2016-01-05,27.55
2016-01-06,26.78
2016-01-07,26.09
2016-01-08,25.72
2016-01-11,26.01
2016-01-12,26.25
2016-01-13,25.66
2016-01-14,26.16
2016-01-15,25.74
2016-01-19,25.74
2016-01-20,25.59
2016-01-21,25.64
2016-01-22,26.12
2016-01-25,26.19
2016-01-26,26.65
2016-01-27,26.54
2016-01-28,22.46
2016-01-29,23.6
2016-02-01,24.33
2016-02-02,24.0
2016-02-03,23.92
2016-02-04,23.73
2016-02-05,22.9
2016-02-08,21.97
2016-02-09,21.99
2016-02-10,21.62
2016-02-11,21.7
2016-02-12,21.84
2016-02-16,23.21
2016-02-17,23.57
2016-02-18,24.0
2016-02-19,24.57
2016-02-22,24.78
2016-02-23,24.56
2016-02-24,24.84
2016-02-25,24.96
2016-02-26,24.6
2016-02-29,24.7
2016-03-01,24.93
2016-03-02,24.94
2016-03-03,24.9
2016-03-04,25.25
2016-03-07,25.19
2016-03-08,25.03
2016-03-09,25.23
2016-03-10,25.31
2016-03-11,26.21
2016-03-14,25.9
2016-03-15,25.71
2016-03-16,25.7
2016-03-17,26.33
2016-03-18,26.39
2016-03-21,25.8
2016-03-22,25.93
2016-03-23,25.64
2016-03-24,25.36
2016-03-28,25.45
2016-03-29,25.66
2016-03-30,25.51
2016-03-31,25.51
2016-04-01,25.56
2016-04-04,25.19
2016-04-05,25.23
2016-04-06,25.49
2016-04-07,24.94
2016-04-08,24.93
2016-04-11,24.89
2016-04-12,23.06
2016-04-13,23.82
2016-04-14,23.57
2016-04-15,23.64
2016-04-18,23.6
2016-04-19,23.47
2016-04-20,23.26
2016-04-21,23.38
2016-04-22,23.75
2016-04-25,23.54
2016-04-26,23.55
2016-04-27,23.81
2016-04-28,23.41
2016-04-29,23.4
2016-05-02,23.35
2016-05-03,22.71
2016-05-04,22.52
2016-05-05,22.34
2016-05-06,22.67
2016-05-09,22.71
2016-05-10,23.15
2016-05-11,22.85
2016-05-12,22.75
2016-05-13,22.75
2016-05-16,23.01
2016-05-17,22.6
2016-05-18,22.49
2016-05-19,22.37
2016-05-20,22.73
2016-05-23,22.49
2016-05-24,22.9
2016-05-25,23.06
2016-05-26,23.0
2016-05-27,23.03
2016-05-31,23.41
2016-06-01,23.23
2016-06-02,23.46
2016-06-03,23.34
2016-06-06,23.32
2016-06-07,23.47
2016-06-08,23.57
2016-06-09,23.45
2016-06-10,22.95
2016-06-13,23.02
2016-06-14,22.94
2016-06-15,22.94
2016-06-16,22.97
2016-06-17,23.19
2016-06-20,23.22
2016-06-21,23.22
2016-06-22,23.01
2016-06-23,24.04
2016-06-24,22.45
2016-06-27,21.24
2016-06-28,21.51
2016-06-29,22.07
2016-06-30,22.49
2016-07-01,22.35
2016-07-05,22.07
2016-07-06,21.92
2016-07-07,21.95
2016-07-08,22.66
2016-07-11,22.86
2016-07-12,23.1
2016-07-13,23.05
2016-07-14,23.09
2016-07-15,23.08
2016-07-18,23.15
2016-07-19,23.4
2016-07-20,23.51
2016-07-21,23.4
2016-07-22,23.77
2016-07-25,24.06
2016-07-26,24.22
2016-07-27,22.57
2016-07-28,22.62
2016-07-29,22.69
2016-08-01,22.6
2016-08-02,22.23
2016-08-03,22.6
2016-08-04,22.55
2016-08-05,23.05
2016-08-08,23.19
2016-08-09,23.08
2016-08-10,23.01
2016-08-11,23.3
2016-08-12,23.27
2016-08-15,23.97
2016-08-16,23.36
2016-08-17,23.11
2016-08-18,23.11
2016-08-19,23.37
2016-08-22,23.27
2016-08-23,23.45
2016-08-24,23.37
2016-08-25,23.4
2016-08-26,23.28
2016-08-29,23.18
2016-08-30,23.23
2016-08-31,23.08
2016-09-01,23.31
2016-09-02,23.41
2016-09-06,23.44
2016-09-07,23.41
2016-09-08,23.48
2016-09-09,23.16
2016-09-12,23.39
2016-09-13,22.61
2016-09-14,22.66
2016-09-15,23.01
2016-09-16,22.47
2016-09-19,22.75
2016-09-20,22.45
2016-09-21,23.63
2016-09-22,23.86
2016-09-23,23.79
2016-09-26,23.66
2016-09-27,24.04
2016-09-28,23.93
2016-09-29,23.71
2016-09-30,24.06
2016-10-03,24.07
2016-10-04,24.25
2016-10-05,24.84
2016-10-06,24.52
2016-10-07,24.81
2016-10-10,24.57
2016-10-11,23.94
2016-10-12,23.48
2016-10-13,23.21
2016-10-14,22.75
2016-10-17,22.43
2016-10-18,22.85
2016-10-19,22.95
2016-10-20,22.75
2016-10-21,23.13
2016-10-24,23.66
2016-10-25,23.72
2016-10-26,26.15
2016-10-27,26.19
2016-10-28,26.2
2016-10-31,26.34
2016-11-01,25.85
2016-11-02,25.15
2016-11-03,24.91
2016-11-04,24.9
2016-11-07,25.49
2016-11-08,25.49
2016-11-09,25.28
2016-11-10,25.19
2016-11-11,25.41
2016-11-14,25.96
2016-11-15,26.1
2016-11-16,26.24
2016-11-17,26.24
2016-11-18,26.35
2016-11-21,26.36
2016-11-22,26.34
2016-11-23,26.39
2016-11-25,26.51
2016-11-28,26.48
2016-11-29,26.78
2016-11-30,27.54
2016-12-01,26.98
2016-12-02,26.83
2016-12-05,26.93
2016-12-06,26.93
2016-12-07,27.75
2016-12-08,28.66
2016-12-09,28.46
2016-12-12,28.01
2016-12-13,28.61
2016-12-14,28.36
2016-12-15,28.57
2016-12-16,28.33
2016-12-19,28.54
2016-12-20,28.5
2016-12-21,28.46
2016-12-22,28.26
2016-12-23,28.46
2016-12-27,28.68
2016-12-28,28.43
2016-12-29,28.37
2016-12-30,28.26
2017-01-03,28.6
2017-01-04,28.9
2017-01-05,28.84
2017-01-06,28.86
2017-01-09,28.39
2017-01-10,28.4
2017-01-11,27.85
2017-01-12,27.8
2017-01-13,27.87
2017-01-17,27.41
2017-01-18,27.34
2017-01-19,27.42
2017-01-20,27.43
2017-01-23,27.5
2017-01-24,27.84
2017-01-25,28.14
2017-01-26,27.72
2017-01-27,26.67
2017-01-30,26.45
2017-01-31,26.78
2017-02-01,26.81
2017-02-02,27.24
2017-02-03,27.35
2017-02-06,27.28
2017-02-07,27.2
2017-02-08,27.24
2017-02-09,27.4
2017-02-10,27.64
2017-02-13,27.93
2017-02-14,27.88
2017-02-15,27.96
2017-02-16,28.09
2017-02-17,28.39
2017-02-21,28.69
2017-02-22,28.53
2017-02-23,28.43
2017-02-24,28.42
2017-02-27,28.33
2017-02-28,28.0
2017-03-01,28.25
2017-03-02,28.26
2017-03-03,28.29
2017-03-06,28.16
2017-03-07,28.15
2017-03-08,27.7
2017-03-09,27.81
2017-03-10,28.01
2017-03-13,27.97
2017-03-14,28.14
2017-03-15,28.3
2017-03-16,28.52
2017-03-17,28.68
2017-03-20,28.18
2017-03-21,27.81
2017-03-22,28.01
2017-03-23,27.84
2017-03-24,27.82
2017-03-27,27.75
2017-03-28,27.79
2017-03-29,27.65
2017-03-30,27.7
2017-03-31,27.83
2017-04-03,27.72
2017-04-04,27.96
2017-04-05,27.82
2017-04-06,27.81
2017-04-07,27.87
2017-04-10,27.88
2017-04-11,27.79
2017-04-12,27.63
2017-04-13,27.56
2017-04-17,27.71
2017-04-18,27.7
2017-04-19,27.73
2017-04-20,27.8
2017-04-21,27.78
2017-04-24,28.27
2017-04-25,27.78
2017-04-26,29.46
2017-04-27,29.99
2017-04-28,30.07
2017-05-01,30.6
2017-05-02,30.89
2017-05-03,30.3
2017-05-04,30.5
2017-05-05,30.55
2017-05-08,30.49
2017-05-09,30.68
2017-05-10,30.85
2017-05-11,30.56
2017-05-12,30.59
2017-05-15,30.61
2017-05-16,30.59
2017-05-17,29.76
2017-05-18,29.59
2017-05-19,29.53
2017-05-22,29.63
2017-05-23,29.45
2017-05-24,29.34
2017-05-25,29.44
2017-05-26,29.32
2017-05-30,29.3
2017-05-31,29.33
2017-06-01,30.08
2017-06-02,30.03
2017-06-05,30.16
2017-06-06,30.06
2017-06-07,29.19
2017-06-08,29.49
2017-06-09,28.61
2017-06-12,28.86
2017-06-13,29.2
2017-06-14,28.71
2017-06-15,28.86
2017-06-16,28.67
2017-06-19,29.19
2017-06-20,28.77
2017-06-21,28.86
2017-06-22,28.36
2017-06-23,28.29
2017-06-26,28.11
2017-06-27,27.94
2017-06-28,28.17
2017-06-29,27.82
2017-06-30,27.88
2017-07-03,27.74
2017-07-05,28.18
2017-07-06,27.79
2017-07-07,28.45
2017-07-10,29.2
2017-07-11,29.11
2017-07-12,29.17
2017-07-13,29.09
2017-07-14,29.01
2017-07-17,29.13
2017-07-18,28.86
2017-07-19,29.37
2017-07-20,29.22
2017-07-21,29.43
2017-07-24,29.46
2017-07-25,29.96
2017-07-26,28.06
2017-07-27,27.81
2017-07-28,27.77
2017-07-31,27.95
2017-08-01,28.27
2017-08-02,28.22
2017-08-03,28.34
2017-08-04,28.14
2017-08-07,28.29
2017-08-08,28.25
2017-08-09,28.33
2017-08-10,27.44
2017-08-11,27.41
2017-08-14,27.92
2017-08-15,27.53
2017-08-16,27.75
2017-08-17,27.16
2017-08-18,27.16
2017-08-21,27.14
2017-08-22,27.57
2017-08-23,27.33
2017-08-24,27.44
2017-08-25,27.54
2017-08-28,27.53
2017-08-29,27.43
2017-08-30,27.64
2017-08-31,27.73
2017-09-01,27.68
2017-09-05,27.17
2017-09-06,27.5
2017-09-07,27.02
2017-09-08,26.62
2017-09-11,26.98
2017-09-12,27.53
2017-09-13,27.6
2017-09-14,27.56
2017-09-15,27.8
2017-09-18,27.71
2017-09-19,27.62
2017-09-20,27.69
2017-09-21,27.71
2017-09-22,27.99
2017-09-25,27.86
2017-09-26,27.84
2017-09-27,28.11
2017-09-28,27.71
2017-09-29,27.83
2017-10-02,28.38
2017-10-03,28.54
2017-10-04,28.69
2017-10-05,28.45
2017-10-06,28.43
2017-10-09,27.32
2017-10-10,27.31
2017-10-11,26.86
2017-10-12,25.47
2017-10-13,25.82
2017-10-16,26.04
2017-10-17,26.11
2017-10-18,26.08
2017-10-19,25.82
2017-10-20,26.03
2017-10-23,25.76
2017-10-24,26.16
2017-10-25,24.565
2017-10-26,24.86
2017-10-27,25.2
2017-10-30,24.92
2017-10-31,24.83
2017-11-01,24.86
2017-11-02,24.4
2017-11-03,24.55
2017-11-06,24.74
2017-11-07,24.5
2017-11-08,24.79
2017-11-09,25.35
2017-11-10,25.0
2017-11-13,25.36
2017-11-14,26.43
2017-11-15,25.95
2017-11-16,26.19
2017-11-17,26.3
2017-11-20,26.97
2017-11-21,26.98
2017-11-22,27.01
2017-11-24,27.34
2017-11-27,27.38
2017-11-28,28.19
2017-11-29,29.61
2017-11-30,27.76
2017-12-01,28.38
2017-12-04,27.96
2017-12-05,27.61
2017-12-06,27.96
2017-12-07,28.42
2017-12-08,28.38
2017-12-11,28.39
2017-12-12,28.92
2017-12-13,29.11
2017-12-14,28.8
2017-12-15,28.4
2017-12-18,28.6
2017-12-19,28.44
2017-12-20,28.5
2017-12-21,28.68
2017-12-22,28.86
2017-12-26,28.86
2017-12-27,28.88
2017-12-28,28.87
2017-12-29,28.5
2018-01-02,28.7
2018-01-03,28.81
2018-01-04,28.79
2018-01-05,28.51
2018-01-08,28.78
2018-01-09,28.63
2018-01-10,28.4
2018-01-11,28.76
2018-01-12,28.89
2018-01-16,28.61
2018-01-17,28.67
2018-01-18,27.66
2018-01-19,27.85
2018-01-22,28.36
2018-01-23,28.13
2018-01-24,27.97
2018-01-25,27.67
2018-01-26,28.19
2018-01-29,28.48
2018-01-30,28.32
2018-01-31,26.15
2018-02-01,26.55
2018-02-02,26.26
2018-02-05,25.2
2018-02-06,25.54
2018-02-07,25.39
2018-02-08,24.66
2018-02-09,25.44
2018-02-12,25.8
2018-02-13,26.19
2018-02-14,26.17
2018-02-15,26.91
2018-02-16,26.35
2018-02-20,26.23
2018-02-21,25.89
2018-02-22,26.03
2018-02-23,26.12
2018-02-26,26.19
2018-02-27,26.1
2018-02-28,25.66
2018-03-01,25.17
2018-03-02,25.6
2018-03-05,25.84
2018-03-06,25.94
2018-03-07,25.87
2018-03-08,26.04
2018-03-09,26.43
2018-03-12,26.34
2018-03-13,26.41
2018-03-14,26.2
2018-03-15,26.23
2018-03-16,26.29
2018-03-19,25.26
2018-03-20,25.42
2018-03-21,25.3
2018-03-22,24.79
2018-03-23,24.12
2018-03-26,24.6
2018-03-27,24.25
2018-03-28,24.05
2018-03-29,24.33
2018-04-02,24.07
2018-04-03,24.1
2018-04-04,24.15
2018-04-05,24.35
2018-04-06,24.09
2018-04-09,24.1
2018-04-10,24.66
2018-04-11,24.69
2018-04-12,24.85
2018-04-13,24.85
2018-04-16,24.99
2018-04-17,25.41
2018-04-18,24.38
2018-04-19,24.44
2018-04-20,24.35
2018-04-23,24.33
2018-04-24,24.29
2018-04-25,24.29
2018-04-26,24.48
2018-04-27,24.62
2018-04-30,24.59
2018-05-01,24.74
2018-05-02,24.92
2018-05-03,25.16
2018-05-04,25.66
2018-05-07,25.93
2018-05-08,25.93
2018-05-09,26.17
2018-05-10,26.34
2018-05-11,26.52
2018-05-14,26.75
2018-05-15,26.83
2018-05-16,26.86
2018-05-17,26.72
2018-05-18,26.66
2018-05-21,26.97
2018-05-22,27.2
2018-05-23,27.21
2018-05-24,27.01
2018-05-25,27.23
2018-05-29,27.12
2018-05-30,27.0
2018-05-31,26.64
2018-06-01,26.8
2018-06-04,26.96
2018-06-05,27.31
2018-06-06,27.43
2018-06-07,27.43
2018-06-08,27.92
2018-06-11,27.78
2018-06-12,27.87
2018-06-13,27.92
2018-06-14,27.82
2018-06-15,27.29
2018-06-18,27.07
2018-06-19,26.82
2018-06-20,26.94
2018-06-21,26.92
2018-06-22,26.71
2018-06-25,26.32
2018-06-26,26.57
2018-06-27,26.74
2018-06-28,27.26
2018-06-29,27.42
2018-07-02,27.75
2018-07-03,27.23
2018-07-05,27.81
2018-07-06,27.96
2018-07-09,28.44
2018-07-10,28.3
2018-07-11,28.13
2018-07-12,28.51
2018-07-13,27.86
2018-07-16,27.86
2018-07-17,27.93
2018-07-18,28.27
2018-07-19,28.06
2018-07-20,27.97
2018-07-23,28.08
2018-07-24,27.95
2018-07-25,28.2
2018-07-26,28.25
2018-07-27,26.18
2018-07-30,26.3
2018-07-31,26.34
2018-08-01,25.93
2018-08-02,26.18
2018-08-03,26.34
2018-08-06,26.27
2018-08-07,26.65
2018-08-08,26.75
2018-08-09,26.94
2018-08-10,26.89
2018-08-13,26.94
2018-08-14,26.9
2018-08-15,26.84
2018-08-16,27.3
2018-08-17,27.74
2018-08-20,28.18
2018-08-21,28.31
2018-08-22,28.26
2018-08-23,28.34
2018-08-24,28.58
2018-08-27,28.55
2018-08-28,28.93
2018-08-29,28.84
2018-08-30,28.68
2018-08-31,28.43
2018-09-04,28.39
2018-09-05,27.99
2018-09-06,27.7
2018-09-07,27.51
2018-09-10,27.63
2018-09-11,27.5
2018-09-12,27.55
2018-09-13,27.82
2018-09-14,27.87
2018-09-17,28.0
2018-09-18,28.59
2018-09-19,29.2
2018-09-20,29.56
2018-09-21,29.77
2018-09-24,29.67
2018-09-25,29.79
2018-09-26,29.59
2018-09-27,29.7
2018-09-28,29.97
2018-10-01,29.92
2018-10-02,29.83
2018-10-03,29.75
2018-10-04,29.37
2018-10-05,29.14
2018-10-08,28.81
2018-10-09,28.76
2018-10-10,27.61
2018-10-11,26.78
2018-10-12,27.32
2018-10-15,27.77
2018-10-16,28.56
2018-10-17,28.87
2018-10-18,28.62
2018-10-19,28.41
2018-10-22,28.48
2018-10-23,27.58
2018-10-24,28.66
2018-10-25,28.63
2018-10-26,28.14
2018-10-29,28.05
2018-10-30,28.78
2018-10-31,29.27
2018-11-01,29.64
2018-11-02,29.77
2018-11-05,29.82
2018-11-06,30.15
2018-11-07,30.44
2018-11-08,30.67
2018-11-09,29.12
2018-11-12,28.39
2018-11-13,28.3
2018-11-14,28.14
2018-11-15,28.32
2018-11-16,28.59
2018-11-19,28.06
2018-11-20,27.27
2018-11-21,27.56
2018-11-23,27.52
2018-11-26,27.68
2018-11-27,27.99
2018-11-28,29.44
2018-11-29,28.59
2018-11-30,28.71
2018-12-03,29.32
2018-12-04,28.38
2018-12-06,28.41
2018-12-07,27.66
2018-12-10,27.61
2018-12-11,27.83
2018-12-12,28.46
2018-12-13,28.1
2018-12-14,27.77
2018-12-17,27.38
2018-12-18,27.77
2018-12-19,26.96
2018-12-20,26.94
2018-12-21,26.23
2018-12-24,25.56
2018-12-26,26.6
2018-12-27,26.8
2018-12-28,26.75
2018-12-31,26.91
2019-01-02,26.89
2019-01-03,26.0
2019-01-04,27.0
2019-01-07,27.52
2019-01-08,27.87
2019-01-09,28.15
2019-01-10,28.26
2019-01-11,28.13
2019-01-14,27.9
2019-01-15,28.13
2019-01-16,28.07
2019-01-17,27.95
2019-01-18,28.32
2019-01-22,27.84
2019-01-23,27.99
2019-01-24,28.18
2019-01-25,28.38
2019-01-28,28.15
2019-01-29,27.95
2019-01-30,25.83
2019-01-31,25.94
2019-02-01,25.81
2019-02-04,26.01
2019-02-05,26.06
2019-02-06,26.12
2019-02-07,25.97
2019-02-08,26.09
2019-02-11,26.17
2019-02-12,26.62
2019-02-13,26.73
2019-02-14,26.96
2019-02-15,27.12
2019-02-19,27.15
2019-02-20,27.19
2019-02-21,27.24
2019-02-22,27.61
2019-02-25,27.6
2019-02-26,27.57
2019-02-27,27.46
2019-02-28,27.08
2019-03-01,27.03
2019-03-04,27.0
2019-03-05,26.55
2019-03-06,26.58
2019-03-07,25.95
2019-03-08,25.69
2019-03-11,26.17
2019-03-12,26.28
2019-03-13,26.46
2019-03-14,26.7
2019-03-15,26.84
2019-03-18,26.36
2019-03-19,26.2
2019-03-20,26.22
2019-03-21,26.78
2019-03-22,26.32
2019-03-25,25.95
2019-03-26,26.09
2019-03-27,25.94
2019-03-28,25.98
2019-03-29,26.47
2019-04-01,27.2
2019-04-02,27.13
2019-04-03,27.24
2019-04-04,26.92
2019-04-05,27.03
2019-04-08,27.34
2019-04-09,27.19
2019-04-10,27.49
2019-04-11,27.51
2019-04-12,27.8
2019-04-15,27.6
2019-04-16,27.93
2019-04-17,27.89
2019-04-18,28.01
2019-04-22,27.91
2019-04-23,28.36
2019-04-24,28.72
2019-04-25,28.11
2019-04-26,27.24
2019-04-29,27.94
2019-04-30,27.77
2019-05-01,27.79
2019-05-02,27.87
2019-05-03,27.65
2019-05-06,27.23
2019-05-07,26.68
2019-05-08,26.67
2019-05-09,26.43
2019-05-10,26.41
2019-05-13,25.45
2019-05-14,25.49
2019-05-15,25.71
2019-05-16,25.86
2019-05-17,25.18
2019-05-20,25.4
2019-05-21,26.07
2019-05-22,25.86
2019-05-23,25.15
2019-05-24,25.19
2019-05-28,24.98
2019-05-29,25.01
2019-05-30,25.26
2019-05-31,24.61
2019-06-03,24.88
2019-06-04,25.88
2019-06-05,26.48
2019-06-06,26.6
2019-06-07,26.74
2019-06-10,26.86
2019-06-11,26.93
2019-06-12,26.95
2019-06-13,26.91
2019-06-14,26.64
2019-06-17,26.6
2019-06-18,26.86
2019-06-19,26.85
2019-06-20,26.94
2019-06-21,26.81
2019-06-24,26.62
2019-06-25,26.32
2019-06-26,26.76
2019-06-27,26.85
2019-06-28,26.63
2019-07-01,26.93
2019-07-02,26.95
2019-07-03,27.07
2019-07-05,27.36
2019-07-08,26.4
2019-07-09,26.31
2019-07-10,26.29
2019-07-11,26.47
2019-07-12,26.98
2019-07-15,27.08
2019-07-16,27.29
2019-07-17,26.99
2019-07-18,27.15
2019-07-19,27.02
2019-07-22,26.84
2019-07-23,26.9
2019-07-24,27.15
2019-07-25,26.47
2019-07-26,26.68
2019-07-29,26.85
2019-07-30,27.05
2019-07-31,27.02
2019-08-01,26.58
2019-08-02,25.95
2019-08-05,25.16
2019-08-06,25.24
2019-08-07,25.29
2019-08-08,25.61
2019-08-09,25.34
2019-08-12,25.11
2019-08-13,25.46
2019-08-14,24.22
2019-08-15,23.45
2019-08-16,23.92
2019-08-19,24.12
2019-08-20,23.41
2019-08-21,23.86
2019-08-22,23.79
2019-08-23,23.08
2019-08-26,23.14
2019-08-27,22.85
2019-08-28,22.78
2019-08-29,23.17
2019-08-30,23.16
2019-09-03,22.64
2019-09-04,23.09
2019-09-05,23.87
2019-09-06,24.17
2019-09-09,24.02
2019-09-10,24.51
2019-09-11,24.49
2019-09-12,24.44
2019-09-13,24.27
2019-09-16,24.38
2019-09-17,24.09
2019-09-18,23.97
2019-09-19,23.87
2019-09-20,23.85
2019-09-23,24.32
2019-09-24,24.22
2019-09-25,24.78
2019-09-26,24.75
2019-09-27,24.87
2019-09-30,24.75
2019-10-01,23.71
2019-10-02,23.26
2019-10-03,23.61
2019-10-04,23.83
2019-10-07,23.72
2019-10-08,23.15
2019-10-09,23.35
2019-10-10,23.57
2019-10-11,23.69
2019-10-14,23.56
2019-10-15,23.59
2019-10-16,23.53
2019-10-17,23.99
2019-10-18,23.9
2019-10-21,24.25
2019-10-22,24.76
2019-10-23,24.96
2019-10-24,24.51
2019-10-25,25.23
2019-10-28,25.15
2019-10-29,24.6
2019-10-30,24.93
2019-10-31,24.82
2019-11-01,24.49
2019-11-04,24.94
2019-11-05,25.34
2019-11-06,25.96
2019-11-07,25.75
2019-11-08,26.17
2019-11-11,26.3
2019-11-12,25.71
2019-11-13,25.35
