date,HRS
2015-07-01,62.7391651695
2015-07-02,63.0310506626
2015-07-06,62.1635021135
2015-07-07,62.7634889606
2015-07-08,62.3013369297
2015-07-09,63.6391454401
2015-07-10,64.3364274515
2015-07-13,65.0742491148
2015-07-14,65.5039694242
2015-07-15,66.5661083021
2015-07-16,66.7444827701
2015-07-17,66.6228638146
2015-07-20,66.120172132
2015-07-21,65.9093659424
2015-07-22,66.1688197141
2015-07-23,66.5580003717
2015-07-24,65.7066676833
2015-07-27,64.790471552
2015-07-28,65.2688394436
2015-07-29,66.3066545304
2015-07-30,66.7606986308
2015-07-31,67.2471744528
2015-08-03,66.720158979
2015-08-04,66.7120510486
2015-08-05,67.3444696172
2015-08-06,67.2471744528
2015-08-07,66.1363879927
2015-08-10,68.5849829631
2015-08-11,67.2390665224
2015-08-12,67.62824718
2015-08-13,66.9552889596
2015-08-14,67.1904189402
2015-08-17,67.3120378957
2015-08-18,66.9958286114
2015-08-19,66.476921068
2015-08-20,65.033709463
2015-08-21,63.5823899275
2015-08-24,60.955420489
2015-08-25,59.8040943771
2015-08-26,61.4905438932
2015-08-27,62.4797113978
2015-08-28,62.8688920553
2015-08-31,62.285121069
2015-09-01,60.5175922493
2015-09-02,61.0851473749
2015-09-03,61.4175725199
2015-09-04,59.9662529844
2015-09-08,62.4148479548
2015-09-09,61.6445945701
2015-09-10,61.2691607888
2015-09-11,60.4693236025
2015-09-14,60.3142531276
2015-09-15,60.3387379395
2015-09-16,60.8365957799
2015-09-17,60.9263734233
2015-09-18,59.7184560399
2015-09-21,59.979627366
2015-09-22,58.9920732891
2015-09-23,59.1308205561
2015-09-24,58.3962762014
2015-09-25,58.9431036655
2015-09-28,57.3597525008
2015-09-29,58.0045192122
2015-09-30,59.702132832
2015-10-01,59.7755872675
2015-10-02,60.3632227513
2015-10-05,60.9998278587
2015-10-06,60.7549797405
2015-10-07,60.9916662548
2015-10-08,61.6201097583
2015-10-09,61.8078266489
2015-10-12,62.8443503495
2015-10-13,61.6772409859
2015-10-14,62.0526747672
2015-10-15,62.3873005288
2015-10-16,62.501562984
2015-10-19,61.4813624913
2015-10-20,62.2730380736
2015-10-21,61.1875447494
2015-10-22,62.0281899554
2015-10-23,62.4281085485
2015-10-26,61.6201097583
2015-10-27,61.1385751257
2015-10-28,64.2073382077
2015-10-29,64.7786504836
2015-10-30,64.582771989
2015-11-02,65.0561450177
2015-11-03,66.1089919261
2015-11-04,65.1377610571
2015-11-05,64.8765897309
2015-11-06,64.9500441664
2015-11-09,64.8765897309
2015-11-10,64.5174791575
2015-11-11,64.8439433152
2015-11-12,64.2399846235
2015-11-13,63.8482276343
2015-11-16,65.7906893724
2015-11-17,66.6721425981
2015-11-18,67.4029987
2015-11-19,68.3309395934
2015-11-20,67.9778293419
2015-11-23,67.9367700103
2015-11-24,67.7068377535
2015-11-25,68.0927954703
2015-11-27,68.2406090639
2015-11-30,68.2652446629
2015-12-01,68.9714651658
2015-12-02,68.766168508
2015-12-03,68.0927954703
2015-12-04,69.2013974226
2015-12-07,68.8482871711
2015-12-08,69.2013974226
2015-12-09,68.4376938554
2015-12-10,68.3145158607
2015-12-11,67.6575665557
2015-12-14,67.2633969726
2015-12-15,68.0763717377
2015-12-16,68.6183549143
2015-12-17,68.2570327965
2015-12-18,67.9203462777
2015-12-21,69.2670923531
2015-12-22,71.1558216052
2015-12-23,72.1166099638
2015-12-24,73.4797797718
2015-12-28,71.5171437229
2015-12-29,72.5107795469
2015-12-30,71.7963471776
2015-12-31,71.361118263
2016-01-04,71.9770082365
2016-01-05,72.4040252848
2016-01-06,71.7470759797
2016-01-07,70.8191350863
2016-01-08,70.4906604338
2016-01-11,71.3939657282
2016-01-12,73.011703392
2016-01-13,70.129338316
2016-01-14,69.3820584815
2016-01-15,69.18497369
2016-01-19,69.2588804868
2016-01-20,68.634778647
2016-01-21,68.0353124061
2016-01-22,69.02894823
2016-01-25,69.0864312942
2016-01-26,70.3099993749
2016-01-27,69.6694738024
2016-01-28,69.6284144709
2016-01-29,71.4186013272
2016-02-01,71.2133046693
2016-02-02,64.2496420356
2016-02-03,63.9622267147
2016-02-04,64.7423540144
2016-02-05,62.1474042594
2016-02-08,59.9630478201
2016-02-09,59.724903697
2016-02-10,59.7166918307
2016-02-11,58.887293333
2016-02-12,59.174708654
2016-02-16,60.3243699379
2016-02-17,60.9813192429
2016-02-18,61.0552260397
2016-02-19,61.7368109437
2016-02-22,62.7715060992
2016-02-23,61.9174720026
2016-02-24,61.9667432005
2016-02-25,62.5251501098
2016-02-26,62.8536247624
2016-02-29,64.0689809767
2016-03-01,65.202218528
2016-03-02,65.8181085015
2016-03-03,66.0808882235
2016-03-04,66.6392951328
2016-03-07,65.1447354638
2016-03-08,64.6027522871
2016-03-09,65.9167906156
2016-03-10,65.8176179115
2016-03-11,66.4622404878
2016-03-14,65.7762959515
2016-03-15,64.181268295
2016-03-16,64.7597757352
2016-03-17,64.8920060072
2016-03-18,65.2060529033
2016-03-21,64.9250635752
2016-03-22,65.8010891275
2016-03-23,65.3217543914
2016-03-24,64.5944878951
2016-03-28,64.330027351
2016-03-29,64.8589484392
2016-03-30,65.0490294553
2016-03-31,64.346556135
2016-04-01,64.296969783
2016-04-04,63.6275540308
2016-04-05,62.0325263742
2016-04-06,63.2143344306
2016-04-07,63.0821041586
2016-04-08,63.3961510547
2016-04-11,63.1812768626
2016-04-12,63.4044154467
2016-04-13,64.7432469512
2016-04-14,64.173003903
2016-04-15,63.9581297109
2016-04-18,64.206061471
2016-04-19,65.1151445913
2016-04-20,65.5366285834
2016-04-21,65.2473748633
2016-04-22,65.9746413596
2016-04-25,65.0986158073
2016-04-26,65.6771232475
2016-04-27,66.7432298159
2016-04-28,66.1564579837
2016-04-29,66.1234004156
2016-05-02,66.8258737359
2016-05-03,63.1647480786
2016-05-04,61.487076502
2016-05-05,61.8011233981
2016-05-06,61.64409995
2016-05-09,62.5366542864
2016-05-10,63.3052427426
2016-05-11,62.8507011825
2016-05-12,62.9002875345
2016-05-13,62.7432640864
2016-05-16,63.6936691668
2016-05-17,64.0407736309
2016-05-18,64.0325092389
2016-05-19,64.0573024149
2016-05-20,65.0738226313
2016-05-23,64.7349825592
2016-05-24,65.2721680393
2016-05-25,65.5862149355
2016-05-26,65.9167906156
2016-05-27,66.0572852796
2016-05-31,65.5084018819
2016-06-01,66.1653986762
2016-06-02,66.3400433936
2016-06-03,66.5230045262
2016-06-06,67.3047475473
2016-06-07,67.6540369822
2016-06-08,68.0864905683
2016-06-09,67.5459235857
2016-06-10,67.3629624531
2016-06-13,67.0386222635
2016-06-14,67.3463296229
2016-06-15,67.5376071706
2016-06-16,68.1862875497
2016-06-17,68.1197562288
2016-06-20,69.1676245336
2016-06-21,69.4420662325
2016-06-22,69.3505856662
2016-06-23,69.9743168
2016-06-24,67.3463296229
2016-06-27,65.2755422586
2016-06-28,66.7808133949
2016-06-29,68.2694517009
2016-06-30,69.3921677418
2016-07-01,68.6852724568
2016-07-05,67.8120488695
2016-07-06,68.56052623
2016-07-07,68.419147173
2016-07-08,70.0242152908
2016-07-11,70.1988600082
2016-07-12,70.6562628397
2016-07-13,70.963970199
2016-07-14,71.1552477468
2016-07-15,70.9140717083
2016-07-18,70.7311105758
2016-07-19,70.9556537839
2016-07-20,71.5461192573
2016-07-21,71.4629551061
2016-07-22,71.9868892585
2016-07-25,71.105349256
2016-07-26,71.7872952957
2016-07-27,71.5461192573
2016-07-28,71.9619400132
2016-07-29,72.0367877492
2016-08-01,71.2300954828
2016-08-02,73.1595037901
2016-08-03,73.2426679413
2016-08-04,73.3923634134
2016-08-05,73.7998677542
2016-08-08,73.9911453019
2016-08-09,74.6730913415
2016-08-10,74.8311032288
2016-08-11,74.7479390776
2016-08-12,74.706357002
2016-08-15,75.4714671928
2016-08-16,74.847736059
2016-08-17,74.7812047381
2016-08-18,75.3799866265
2016-08-19,75.6294790801
2016-08-22,75.8789715336
2016-08-23,75.9621356848
2016-08-24,75.696010401
2016-08-25,75.9039207789
2016-08-26,75.5463149289
2016-08-29,77.0266368198
2016-08-30,77.1181173861
2016-08-31,77.3260277641
2016-09-01,77.2179143675
2016-09-02,77.9164932374
2016-09-06,78.0079738037
2016-09-07,78.0329230491
2016-09-08,77.6147401817
2016-09-09,75.9921906564
2016-09-12,76.8787383352
2016-09-13,75.1474612643
2016-09-14,74.8965515439
2016-09-15,75.548916817
2016-09-16,74.7376420543
2016-09-19,74.8714605718
2016-09-20,74.6958237675
2016-09-21,75.189279551
2016-09-22,75.9503723696
2016-09-23,76.008917971
2016-09-26,75.38164367
2016-09-27,76.5943739854
2016-09-28,76.9038293072
2016-09-29,75.7830992227
2016-09-30,76.6194649574
2016-10-03,76.5274647266
2016-10-04,76.3267369502
2016-10-05,76.7700107896
2016-10-06,77.1798299997
2016-10-07,77.4641943495
2016-10-10,77.3220121746
2016-10-11,76.2514640341
2016-10-12,76.1594638033
2016-10-13,75.0889156629
2016-10-14,74.996915432
2016-10-17,74.9216425159
2016-10-18,75.599098761
2016-10-19,76.6445559294
2016-10-20,76.151100146
2016-10-21,75.7245536212
2016-10-24,76.3434642649
2016-10-25,75.8667357961
2016-10-26,76.4271008384
2016-10-27,74.4198230751
2016-10-28,74.7627330263
2016-10-31,74.6121871941
2016-11-01,77.5561945803
2016-11-02,77.9158318462
2016-11-03,77.6147401817
2016-11-04,78.827470497
2016-11-07,81.1107489528
2016-11-08,81.5122045055
2016-11-09,84.6402123533
2016-11-10,85.9867611862
2016-11-11,86.4969442844
2016-11-14,87.8769477467
2016-11-15,87.7096745997
2016-11-16,87.4253102499
2016-11-17,87.2487783735
2016-11-18,87.0638402172
2016-11-21,87.3412474516
2016-11-22,87.4673416491
2016-11-23,87.5682170071
2016-11-25,88.0894063566
2016-11-28,87.4337165298
2016-11-29,87.9969372785
2016-11-30,87.0554339373
2016-12-01,87.7111237642
2016-12-02,88.2323131138
2016-12-05,89.0561285373
2016-12-06,89.5100676482
2016-12-07,90.0564758373
2016-12-08,89.0309096978
2016-12-09,88.6946585045
2016-12-12,88.2827507928
2016-12-13,88.6442208255
2016-12-14,88.3920324306
2016-12-15,88.2659382331
2016-12-16,87.4253102499
2016-12-19,87.719530044
2016-12-20,87.6018421264
2016-12-21,87.2487783735
2016-12-22,87.173121855
2016-12-23,87.1899344146
2016-12-27,86.9461522995
2016-12-28,86.870495781
2016-12-29,86.6771513449
2016-12-30,86.1391494357
2017-01-03,86.3493064315
2017-01-04,86.820058102
2017-01-05,86.9293397399
2017-01-06,87.8876556407
2017-01-09,85.8617422012
2017-01-10,85.5002721685
2017-01-11,85.5675224071
2017-01-12,85.5675224071
2017-01-13,85.5423035676
2017-01-17,84.2141113542
2017-01-18,84.7773321029
2017-01-19,84.0543920374
2017-01-20,84.222517634
2017-01-23,84.6596441853
2017-01-24,85.8028982424
2017-01-25,85.0043016584
2017-01-26,85.0967707365
2017-01-27,86.1895871147
2017-01-30,86.0634929172
2017-01-31,86.3409001516
2017-02-01,85.6011475264
2017-02-02,88.2491256734
2017-02-03,87.6774986449
