date,NLSN
2015-07-01,36.9242933745
2015-07-02,36.8179068909
2015-07-06,36.6624189534
2015-07-07,36.7933561639
2015-07-08,36.1386701112
2015-07-09,36.384177381
2015-07-10,37.0470470094
2015-07-13,37.4725929436
2015-07-14,37.3171050061
2015-07-15,37.2843707035
2015-07-16,37.488960095
2015-07-17,37.2516364008
2015-07-20,37.3416557331
2015-07-21,37.0961484633
2015-07-22,37.079781312
2015-07-23,37.0879648877
2015-07-24,36.9652112528
2015-07-27,36.6624189534
2015-07-28,38.6101099603
2015-07-29,39.5430375854
2015-07-30,40.1486221842
2015-07-31,39.6576076447
2015-08-03,39.240245286
2015-08-04,39.240245286
2015-08-05,39.3220810426
2015-08-06,38.0945446937
2015-08-07,38.0127089372
2015-08-10,39.2811631643
2015-08-11,39.1747766808
2015-08-12,39.1420423781
2015-08-13,39.3711824966
2015-08-14,39.698525523
2015-08-17,39.5757718881
2015-08-18,39.5675883124
2015-08-19,39.4612018288
2015-08-20,38.8146993518
2015-08-21,37.5789794272
2015-08-24,35.7213077526
2015-08-25,35.25484394
2015-08-26,36.432751109
2015-08-27,37.3553077729
2015-08-28,37.2811737552
2015-08-31,37.256462416
2015-09-01,35.8891016464
2015-09-02,37.371781999
2015-09-03,37.487101582
2015-09-04,37.0340603631
2015-09-08,38.0966479492
2015-09-09,38.080173723
2015-09-10,37.9978025923
2015-09-11,37.7918747656
2015-09-14,37.6353696172
2015-09-15,38.3437613413
2015-09-16,38.9121221431
2015-09-17,38.8626994647
2015-09-18,38.5002664896
2015-09-21,39.1674726483
2015-09-22,38.8050396732
2015-09-23,38.9203592562
2015-09-24,38.8544623516
2015-09-25,38.5085036027
2015-09-28,37.5035758081
2015-09-29,37.2646995291
2015-09-30,36.6304418227
2015-10-01,36.9846376847
2015-10-02,37.6765551826
2015-10-05,38.1625448537
2015-10-06,38.1378335145
2015-10-07,38.4426066981
2015-10-08,38.4014211328
2015-10-09,38.3025757759
2015-10-12,38.7061943164
2015-10-13,38.665008751
2015-10-14,38.5661633942
2015-10-15,39.3075035705
2015-10-16,39.3239777966
2015-10-19,39.6864107717
2015-10-20,39.9747097292
2015-10-21,37.7671634264
2015-10-22,39.0603901784
2015-10-23,39.7605447893
2015-10-26,39.8511530331
2015-10-27,39.3486891358
2015-10-28,39.8264416939
2015-10-29,39.4969571711
2015-10-30,39.134524196
2015-11-02,39.3075035705
2015-11-03,39.373400475
2015-11-04,39.2004211006
2015-11-05,39.4063489273
2015-11-06,39.5793283018
2015-11-09,39.4310602665
2015-11-10,39.1180499699
2015-11-11,39.1427613091
2015-11-12,38.8626994647
2015-11-13,38.2613902106
2015-11-16,38.5744005072
2015-11-17,38.4178953589
