date,XEC
2015-07-01,100.5050611455
2015-07-02,99.9373936705
2015-07-06,98.2623093181
2015-07-07,99.3604201714
2015-07-08,96.4941647239
2015-07-09,98.3274514874
2015-07-10,97.9738225685
2015-07-13,98.9323430591
2015-07-14,101.4449695877
2015-07-15,98.6996924546
2015-07-16,98.1692490763
2015-07-17,96.3638803854
2015-07-20,94.5212875977
2015-07-21,96.0009454423
2015-07-22,96.4290225546
2015-07-23,97.8249261816
2015-07-24,96.038169539
2015-07-27,93.0137116805
2015-07-28,95.2843815805
2015-07-29,98.4577358259
2015-07-30,98.4298177533
2015-07-31,96.8943237636
2015-08-03,95.2936876046
2015-08-04,97.0990562956
2015-08-05,100.6167334357
2015-08-06,105.0184828729
2015-08-07,103.2131141819
2015-08-10,106.9076057815
2015-08-11,106.6191190319
2015-08-12,110.704463647
2015-08-13,107.4895612936
2015-08-14,108.4120984906
2015-08-17,107.4243313907
2015-08-18,109.2973614575
2015-08-19,104.7312682599
2015-08-20,102.2432133951
2015-08-21,99.2426378653
2015-08-24,92.188489803
2015-08-25,92.4307722992
2015-08-26,94.1267497725
2015-08-27,97.9659954815
2015-08-28,100.4074575586
2015-08-31,102.9793794413
2015-09-01,98.4132862437
2015-09-02,100.6124658246
2015-09-03,100.8174740906
2015-09-04,99.9694853539
2015-09-08,103.0352907866
2015-09-09,100.5472359218
2015-09-10,101.302039083
2015-09-11,98.7673914305
2015-09-14,96.9223170364
2015-09-15,97.8728099061
2015-09-16,101.814559748
2015-09-17,101.5722772518
2015-09-18,96.8850428062
2015-09-21,96.5309376194
2015-09-22,96.5868489647
2015-09-23,94.9561013941
2015-09-24,95.4779406167
2015-09-25,94.918827164
2015-09-28,91.0143515522
2015-09-29,92.7476032557
2015-09-30,95.4965777318
2015-10-01,96.6986716553
2015-10-02,101.6281885971
2015-10-05,104.4983043213
2015-10-06,105.7749467051
2015-10-07,109.6514666442
2015-10-08,113.8727732126
2015-10-09,114.2175598418
2015-10-12,113.2577484146
2015-10-13,110.6392337441
2015-10-14,111.8226905525
2015-10-15,113.5745793711
2015-10-16,114.5809835861
2015-10-19,108.589151084
2015-10-20,107.890259268
2015-10-21,106.9956777436
2015-10-22,109.7912450074
2015-10-23,109.0550789613
2015-10-26,106.371334388
2015-10-27,105.2903817127
2015-10-28,108.589151084
2015-10-29,109.7819264499
2015-10-30,110.0148903885
2015-11-02,109.306680015
2015-11-03,112.4936266958
2015-11-04,110.518092496
2015-11-05,108.0393561888
2015-11-06,109.7353336622
2015-11-09,109.3532728028
2015-11-10,109.7539707773
2015-11-11,107.7757492329
2015-11-12,105.0883539273
2015-11-13,105.1723350306
2015-11-16,109.5300211685
2015-11-17,108.7275350703
2015-11-18,110.6964253809
2015-11-19,107.6077870263
2015-11-20,107.3091875479
2015-11-23,110.6497692124
2015-11-24,113.8690448389
2015-11-25,112.6279907568
2015-11-27,110.1365513589
2015-11-30,111.0603434952
2015-12-01,114.1116569151
2015-12-02,108.1210048798
2015-12-03,107.6544431948
2015-12-04,106.1894395039
2015-12-07,98.883083517
2015-12-08,97.8939727448
2015-12-09,97.2127926847
2015-12-10,99.3029890335
2015-12-11,94.5907160151
