date,CTXS
2015-07-01,52.7842415917
2015-07-02,52.9287934208
2015-07-06,52.3277621314
2015-07-07,52.0690904373
2015-07-08,51.658258923
2015-07-09,52.4114500325
2015-07-10,52.6168657896
2015-07-13,53.3472329261
2015-07-14,53.9330482335
2015-07-15,53.141817169
2015-07-16,53.5450406922
2015-07-17,53.0353052949
2015-07-20,52.7614176187
2015-07-21,52.9744413669
2015-07-22,52.7462016367
2015-07-23,52.9972653399
2015-07-24,52.7081616817
2015-07-27,52.1984262844
2015-07-28,52.9744413669
2015-07-29,57.2653482936
2015-07-30,57.6381398528
2015-07-31,57.5240199878
2015-08-03,57.7218277539
2015-08-04,57.866379583
2015-08-05,58.5510987734
2015-08-06,57.6077078888
2015-08-07,57.2577403026
2015-08-10,57.91963552
2015-08-11,57.2120923566
2015-08-12,58.1402672592
2015-08-13,58.4293709173
2015-08-14,58.9999702427
2015-08-17,59.1445220718
2015-08-18,59.410801757
2015-08-19,59.0532261797
2015-08-20,57.7142197629
2015-08-21,56.2306615169
2015-08-24,50.9887557146
2015-08-25,50.3649004522
2015-08-26,52.0462664643
2015-08-27,52.9440094028
2015-08-28,52.2592902124
2015-08-31,51.8180267341
2015-09-01,49.7562611718
2015-09-02,51.2702513818
2015-09-03,51.63543495
2015-09-04,51.650650932
2015-09-08,53.134209178
2015-09-09,52.4418819965
2015-09-10,53.179857124
2015-09-11,53.6059046203
2015-09-14,53.7884964044
2015-09-15,54.9677350101
2015-09-16,55.5155103625
2015-09-17,55.6068062545
2015-09-18,55.0057749652
2015-09-21,55.4698624164
2015-09-22,54.8916551001
2015-09-23,55.0818548752
2015-09-24,55.5155103625
2015-09-25,54.716671307
2015-09-28,52.6929456997
2015-09-29,51.4452351749
2015-09-30,52.7081616817
2015-10-01,53.3320169441
2015-10-02,54.4503916218
2015-10-05,55.3100946053
2015-10-06,54.5036475588
2015-10-07,55.1046788482
2015-10-08,56.7099649502
2015-10-09,57.835947619
2015-10-12,57.6077078888
2015-10-13,56.7403969143
2015-10-14,55.9643818318
2015-10-15,56.9458126714
2015-10-16,57.4175081137
2015-10-19,57.7218277539
2015-10-20,57.7598677089
2015-10-21,54.716671307
2015-10-22,61.3051915172
2015-10-23,61.7312390135
2015-10-26,62.522470078
2015-10-27,62.560510033
2015-10-28,64.0364602879
2015-10-29,62.1648945007
2015-10-30,62.4616061499
2015-11-02,62.9561255652
2015-11-03,62.1953264647
2015-11-04,62.9333015922
2015-11-05,62.4768221319
2015-11-06,62.4007422219
2015-11-09,61.1758556701
2015-11-10,61.6931990584
2015-11-11,61.5410392383
2015-11-12,61.054127814
2015-11-13,59.2738579189
2015-11-16,60.4226645606
2015-11-17,59.6618654601
2015-11-18,53.6667685483
2015-11-19,55.2492306773
2015-11-20,57.0979724915
2015-11-23,57.6913957899
2015-11-24,58.4902348454
2015-11-25,58.0946193131
2015-11-27,58.4674108724
2015-11-30,58.3304670343
2015-12-01,59.2129939908
2015-12-02,58.7260825665
2015-12-03,57.3642521767
2015-12-04,57.9804994481
2015-12-07,58.2772110972
2015-12-08,59.7379453702
2015-12-09,58.2391711422
2015-12-10,58.4598028814
2015-12-11,57.1207964645
2015-12-14,57.4099001227
2015-12-15,59.6086095231
2015-12-16,60.2324647855
2015-12-17,59.0836581438
2015-12-18,56.8393007973
2015-12-21,56.6795329862
2015-12-22,57.2957802576
