date,TSS
2015-07-01,40.8388131118
2015-07-02,40.7707808197
2015-07-06,40.8679698085
2015-07-07,40.9748776962
2015-07-08,40.3528681676
2015-07-09,40.5666839431
2015-07-10,41.1498178761
2015-07-13,41.499698236
2015-07-14,41.9078919891
2015-07-15,41.9759242813
2015-07-16,42.6173716077
2015-07-17,42.7339983943
2015-07-20,43.4629158106
2015-07-21,44.0071741481
2015-07-22,43.6961693838
2015-07-23,43.258818934
2015-07-24,43.4629158106
2015-07-27,42.7048416976
2015-07-28,43.5212292039
2015-07-29,45.5136034752
2015-07-30,44.940188441
2015-07-31,44.9207506433
2015-08-03,45.2317554076
2015-08-04,45.7468570484
2015-08-05,46.203645296
2015-08-06,45.4066955875
2015-08-07,45.6302302618
2015-08-10,46.0287051161
2015-08-11,45.7468570484
2015-08-12,45.9315161272
2015-08-13,46.1356130038
2015-08-14,46.786779229
2015-08-17,46.874249319
2015-08-18,47.2727241733
2015-08-19,46.961719409
2015-08-20,46.1356130038
2015-08-21,44.3862112046
2015-08-24,42.1605833601
2015-08-25,41.4316659438
2015-08-26,43.4531969117
2015-08-27,44.7263726656
2015-08-28,45.0568152276
2015-08-31,44.5417135868
2015-09-01,43.093597653
2015-09-02,43.9585796537
2015-09-03,44.3376167102
2015-09-04,43.6184181928
2015-09-08,44.9790640366
2015-09-09,44.5125568901
2015-09-10,44.9499073399
2015-09-11,45.3483821942
2015-09-14,45.3872577897
2015-09-15,46.2522397904
2015-09-16,46.3691121588
2015-09-17,46.2425004264
2015-09-18,45.1029948346
2015-09-21,45.9211014133
2015-09-22,45.4341332117
2015-09-23,45.531526852
2015-09-24,45.531526852
2015-09-25,45.3075214793
2015-09-28,43.6031327736
2015-09-29,43.729744506
2015-09-30,44.2459307997
2015-10-01,44.625765997
2015-10-02,45.0056011942
2015-10-05,45.3756970275
2015-10-06,45.1516916547
2015-10-07,45.843186501
2015-10-08,46.4080696149
2015-10-09,46.9437346367
2015-10-12,47.6936656672
2015-10-13,47.4014847462
2015-10-14,46.7684260841
2015-10-15,47.1774793735
2015-10-16,47.7228837593
2015-10-19,48.511772246
2015-10-20,48.1903732329
2015-10-21,47.6644475751
2015-10-22,49.0084798116
2015-10-23,49.8850225745
2015-10-26,49.8558044824
2015-10-27,50.3038152279
2015-10-28,53.2937999859
2015-10-29,52.7776136922
2015-10-30,51.0829643505
2015-11-02,51.3654059075
2015-11-03,51.1414005347
2015-11-04,51.1608792628
2015-11-05,51.0634856225
2015-11-06,51.2874909952
2015-11-09,50.7128685173
2015-11-10,51.9595071135
2015-11-11,52.1640337581
2015-11-12,51.6868049205
2015-11-13,51.511496368
2015-11-16,51.4920176399
2015-11-17,52.1835124862
2015-11-18,52.9431828807
2015-11-19,53.0600552491
2015-11-20,53.6541564551
2015-11-23,54.2677363892
2015-11-24,53.90737992
2015-11-25,54.1800821129
2015-11-27,54.4722630338
2015-11-30,54.5014811259
2015-12-01,54.9007950513
2015-12-02,54.520959854
2015-12-03,53.7320713674
2015-12-04,54.7644439548
2015-12-07,54.3846087576
2015-12-08,54.6767896785
2015-12-09,53.8586830998
2015-12-10,54.6280928584
2015-12-11,52.3393423107
2015-12-14,53.4593691745
2015-12-15,54.3846087576
2015-12-16,54.5212044738
2015-12-17,51.5063418786
2015-12-18,49.7696249143
2015-12-21,50.0818436944
2015-12-22,49.4671629711
2015-12-23,49.711083893
2015-12-24,49.7208407299
2015-12-28,49.5159471555
2015-12-29,49.7598680774
2015-12-30,48.9305369428
2015-12-31,48.5890476521
2016-01-04,47.0669810991
2016-01-05,47.3694430423
2016-01-06,46.7352486453
2016-01-07,45.320507298
2016-01-08,44.4228783052
2016-01-11,44.354580447
2016-01-12,45.3692914824
2016-01-13,43.8569817663
2016-01-14,44.7448539222
2016-01-15,44.1789573832
2016-01-19,44.0130911563
2016-01-20,43.7691702344
2016-01-21,44.0911458513
2016-01-22,44.3740941208
2016-01-25,44.1301731989
2016-01-26,44.8814496385
2016-01-27,38.2663142352
2016-01-28,37.0369527886
2016-01-29,39.1834569017
2016-02-01,39.0566180223
2016-02-02,38.0223933133
2016-02-03,38.0321501502
2016-02-04,38.763912916
2016-02-05,37.9053112707
2016-02-08,37.4174694268
2016-02-09,37.5735788169
2016-02-10,38.0223933133
2016-02-11,37.5247946325
2016-02-12,38.4224236253
2016-02-16,39.8371649726
2016-02-17,40.8323623341
2016-02-18,40.5591709015
2016-02-19,41.7495050006
2016-02-22,42.1007511282
2016-02-23,41.4763135681
2016-02-24,42.6373771565
2016-02-25,43.3886535961
2016-02-26,43.398410433
2016-02-29,42.520295114
2016-03-01,43.5740334968
2016-03-02,43.5642766599
2016-03-03,44.7448539222
2016-03-04,44.3057962627
2016-03-07,43.7398997237
2016-03-08,42.8130002203
2016-03-09,43.398410433
2016-03-10,43.0861916529
