date,WFM
2015-07-01,38.0329429636
2015-07-02,37.7916171833
2015-07-06,37.9074535579
2015-07-07,38.5059414928
2015-07-08,38.515594524
2015-07-09,39.4519385513
2015-07-10,39.3843673328
2015-07-13,39.3361021768
2015-07-14,39.4229794577
2015-07-15,39.6932643315
2015-07-16,40.4944659219
2015-07-17,40.1855689232
2015-07-20,39.9732022366
2015-07-21,39.7897946436
2015-07-22,39.7222234252
2015-07-23,39.6449991755
2015-07-24,39.0272051781
2015-07-27,38.7665733355
2015-07-28,39.5195097698
2015-07-29,39.4036733953
2015-07-30,34.8281366022
2015-07-31,35.1370336009
2015-08-03,34.2103426048
2015-08-04,34.5675047595
2015-08-05,34.1475979019
2015-08-06,33.6311607323
2015-08-07,33.2788250931
2015-08-10,33.0230197661
2015-08-11,32.7913470171
2015-08-12,33.0809379533
2015-08-13,32.5500212368
2015-08-14,32.1542469573
2015-08-17,32.5210621432
2015-08-18,32.2025121133
2015-08-19,31.6522893344
2015-08-20,31.7102075217
2015-08-21,30.5421907454
2015-08-24,30.7159453071
2015-08-25,30.4939255893
2015-08-26,31.2758211173
2015-08-27,31.9901454267
2015-08-28,31.7102075217
2015-08-31,31.6233302408
2015-09-01,31.0151892746
2015-09-02,31.1551582271
2015-09-03,31.2372089924
2015-09-04,30.9090059313
2015-09-08,31.4206165854
2015-09-09,30.8800468377
2015-09-10,31.9032681458
2015-09-11,31.1792908052
2015-09-14,30.8896998689
2015-09-15,31.3433923357
2015-09-16,32.048063614
2015-09-17,32.0577166452
2015-09-18,30.9572710874
2015-09-21,30.8703938065
2015-09-22,30.6676801511
2015-09-23,30.3105179964
2015-09-24,30.2043346531
2015-09-25,30.0209270601
2015-09-28,29.6830709678
2015-09-29,30.1850285906
2015-09-30,30.6773331823
2015-10-01,30.2993186502
2015-10-02,32.8775716127
2015-10-05,32.8000301703
2015-10-06,32.4995570806
2015-10-07,32.8969569734
2015-10-08,33.1005032599
2015-10-09,33.1877373827
2015-10-12,32.6158692444
2015-10-13,32.2184693516
2015-10-14,31.9083035817
2015-10-15,32.6158692444
2015-10-16,32.7951838301
2015-10-19,32.7709521293
2015-10-20,32.199083991
2015-10-21,31.9664596636
2015-10-22,31.5302890496
2015-10-23,31.2879720418
2015-10-26,29.7565285528
2015-10-27,29.262201857
2015-10-28,29.2137384554
2015-10-29,29.2234311357
2015-10-30,29.0392702098
2015-11-02,29.9697675196
2015-11-03,30.3090113305
2015-11-04,29.8146846347
2015-11-05,29.1846604145
2015-11-06,30.1539284455
2015-11-09,29.543289586
2015-11-10,29.4560554632
2015-11-11,29.0004994886
2015-11-12,28.9908068083
2015-11-13,28.6418703171
2015-11-16,29.1410433531
2015-11-17,28.9714214477
2015-11-18,29.2525091767
2015-11-19,29.0101921689
2015-11-20,29.0101921689
2015-11-23,28.6612556777
2015-11-24,28.6515629974
2015-11-25,28.9229580461
2015-11-27,28.5061727928
2015-11-30,28.2541631047
2015-12-01,29.1458896933
2015-12-02,29.0586555705
2015-12-03,29.0392702098
2015-12-04,28.6127922762
2015-12-07,29.7468358725
2015-12-08,29.2718945373
2015-12-09,29.7468358725
2015-12-10,30.3671674124
2015-12-11,32.9744984158
2015-12-14,32.3153961547
2015-12-15,31.9567669833
2015-12-16,32.6158692444
