date,WFM
2015-12-17,32.354166876
2015-12-18,31.7435280164
2015-12-21,31.9664596636
2015-12-22,33.7159884596
2015-12-23,33.4009763495
2015-12-24,33.4300543904
2015-12-28,33.1877373827
2015-12-29,33.1780447024
2015-12-30,32.7418740884
2015-12-31,32.4704790397
2016-01-04,32.2475473926
2016-01-05,32.6158692444
2016-01-06,32.4026302775
2016-01-07,31.5012110087
2016-01-08,30.9923452924
2016-01-11,30.8808794688
2016-01-12,31.2782793615
2016-01-13,30.4204771541
2016-01-14,29.7585275712
2016-01-15,29.0673743303
2016-01-19,28.6293194592
2016-01-20,28.541708485
2016-01-21,28.3178137732
2016-01-22,29.6125092809
2016-01-25,28.0841845086
2016-01-26,28.3372828786
2016-01-27,28.0063080871
2016-01-28,28.0744499559
2016-01-29,28.5319739323
2016-02-01,29.1647198571
2016-02-02,28.1620609302
2016-02-03,27.8797589022
2016-02-04,28.4248938528
2016-02-05,28.4151593001
2016-02-08,28.6001158012
2016-02-09,28.2886101151
2016-02-10,28.103653614
2016-02-11,28.1620609302
2016-02-12,29.8364039927
2016-02-16,30.0797678099
2016-02-17,30.9169393412
2016-02-18,30.5567608917
2016-02-19,30.5567608917
2016-02-22,29.8461385454
2016-02-23,29.982422283
2016-02-24,29.9045458615
2016-02-25,30.0408295992
2016-02-26,30.2744588637
2016-02-29,30.4788844702
2016-03-01,31.5983580295
2016-03-02,31.8806600575
2016-03-03,31.8709255048
2016-03-04,31.6372962402
2016-03-07,32.7178315887
2016-03-08,32.678893378
2016-03-09,33.0196027221
2016-03-10,32.1921657435
2016-03-11,32.1629620855
2016-03-14,32.6010169565
2016-03-15,32.4257950081
2016-03-16,32.4842023242
2016-03-17,32.0461474532
2016-03-18,32.5328750876
2016-03-21,32.3868567973
2016-03-22,32.0558820059
2016-03-23,31.267383238
2016-03-24,31.2868523434
2016-03-28,31.23817958
2016-03-29,30.9948157627
2016-03-30,31.0240194208
2016-03-31,30.2841934164
2016-04-01,29.7098548077
2016-04-04,29.5346328593
2016-04-05,29.4178182271
2016-04-06,30.2014497186
2016-04-07,29.9179139329
2016-04-08,29.5952697631
2016-04-11,28.9793127115
2016-04-12,28.9597585194
2016-04-13,29.5757155709
2016-04-14,29.9667994132
2016-04-15,30.279666487
2016-04-18,29.8103658763
2016-04-19,29.5561613788
2016-04-20,30.0645703738
2016-04-21,28.8717646549
2016-04-22,29.0966378642
2016-04-25,29.0770836721
2016-04-26,29.1553004405
2016-04-27,28.7739936943
2016-04-28,29.1259691523
2016-04-29,28.4317953323
2016-05-02,28.4024640442
2016-05-03,28.1091511625
2016-05-04,27.8745008571
2016-05-05,29.5366071867
2016-05-06,29.233517209
2016-05-09,29.6441552433
2016-05-10,29.6050468591
2016-05-11,29.8494742605
2016-05-12,29.8299200684
2016-05-13,29.6246010512
2016-05-16,29.8005887802
2016-05-17,29.7810345881
2016-05-18,29.6637094355
2016-05-19,30.1721184304
2016-05-20,30.8174067701
2016-05-23,30.4654313121
2016-05-24,30.973840307
2016-05-25,31.3453699572
2016-05-26,31.7853392797
2016-05-27,31.316038669
2016-05-31,31.6289057428
2016-06-01,33.1834640158
2016-06-02,33.5549936659
2016-06-03,33.3105662645
2016-06-06,34.1318423333
2016-06-07,34.3860468307
2016-06-08,34.3664926386
2016-06-09,34.0047400845
2016-06-10,33.5452165699
2016-06-13,32.7434946933
2016-06-14,31.7951163758
2016-06-15,30.2307810067
2016-06-16,30.1330100462
2016-06-17,29.8885826448
2016-06-20,29.7419262039
2016-06-21,29.6930407236
2016-06-22,29.6832636276
2016-06-23,29.9863536053
2016-06-24,30.0743474698
2016-06-27,30.5534251766
2016-06-28,30.631641945
2016-06-29,30.8614037024
2016-06-30,31.4407300843
2016-07-01,32.0887901048
2016-07-05,31.7254837297
2016-07-06,32.5601064833
2016-07-07,32.677935578
2016-07-08,32.9725083145
2016-07-11,33.0019655882
2016-07-12,32.7761264901
2016-07-13,33.1492519565
2016-07-14,32.9725083145
2016-07-15,32.5601064833
2016-07-18,32.7761264901
2016-07-19,32.186981017
2016-07-20,32.4422773887
2016-07-21,32.5699255745
2016-07-22,33.1099755916
2016-07-25,33.9445983452
2016-07-26,33.4929201492
2016-07-27,33.0314228618
2016-07-28,30.0562382224
2016-07-29,29.9285900365
2016-08-01,29.859856398
2016-08-02,29.6143791175
2016-08-03,29.8500373068
2016-08-04,29.8402182156
2016-08-05,29.7518463946
2016-08-08,30.085695496
2016-08-09,29.9678664014
2016-08-10,29.859856398
2016-08-11,29.8696754892
2016-08-12,30.3409918677
2016-08-15,30.5668309658
2016-08-16,30.0758764048
2016-08-17,29.6732936648
2016-08-18,29.6634745736
2016-08-19,29.7322082122
2016-08-22,30.4490018712
2016-08-23,30.0071427663
2016-08-24,30.5471927834
2016-08-25,30.4391827799
2016-08-26,30.174067317
2016-08-29,30.1347909521
2016-08-30,30.2820773204
2016-08-31,29.8303991243
2016-09-01,30.0071427663
2016-09-02,30.2231627731
2016-09-06,30.1446100434
2016-09-07,28.5539172658
2016-09-08,28.7306609078
2016-09-09,28.0826008873
2016-09-12,27.8763999717
2016-09-13,27.4934554141
2016-09-14,27.4934554141
2016-09-15,28.0040481575
2016-09-16,27.8763999717
2016-09-19,28.0629627049
2016-09-20,27.709475421
2016-09-21,28.0727817961
2016-09-22,28.1513345258
2016-09-23,28.0040481575
2016-09-26,28.1316963434
2016-09-27,27.9451336102
2016-09-28,27.9058572454
2016-09-29,27.6358322368
2016-09-30,27.9712903932
2016-10-03,27.8331605641
2016-10-04,27.6555650696
2016-10-05,27.586500155
2016-10-06,28.9381991969
2016-10-07,28.4744776278
2016-10-10,28.3856798805
2016-10-11,28.1784851369
2016-10-12,28.5435425424
2016-10-13,28.2672828841
2016-10-14,28.3363477987
2016-10-17,27.9318247278
2016-10-18,27.8331605641
2016-10-19,28.3363477987
2016-10-20,27.912091895
2016-10-21,27.7048971514
2016-10-24,27.8923590623
2016-10-25,28.208084386
2016-10-26,28.0502217241
2016-10-27,27.912091895
2016-10-28,28.3659470478
2016-10-31,27.912091895
2016-11-01,28.2771493005
2016-11-02,28.129153055
2016-11-03,28.0798209732
2016-11-04,28.5435425424
2016-11-07,28.5534089587
2016-11-08,28.5040768769
2016-11-09,29.2835237697
2016-11-10,29.6781804243
2016-11-11,29.8952415843
2016-11-14,31.6021316153
2016-11-15,31.809326359
2016-11-16,30.645089228
2016-11-17,30.5266922316
2016-11-18,30.5464250643
2016-11-21,30.5858907298
2016-11-22,30.645089228
2016-11-23,30.7141541425
2016-11-25,30.5168258152
2016-11-28,30.5266922316
2016-11-29,30.2011004916
2016-11-30,29.9840393316
2016-12-01,30.4970929825
2016-12-02,30.349096737
2016-12-05,30.349096737
2016-12-06,30.0925699116
2016-12-07,30.6154899789
2016-12-08,31.2765398753
2016-12-09,31.6119980317
2016-12-12,30.6253563952
2016-12-13,30.970680968
2016-12-14,30.7930854734
2016-12-15,31.2568070426
2016-12-16,31.8586584408
2016-12-19,32.0066546863
2016-12-20,31.9573226045
2016-12-21,32.0757196008
2016-12-22,31.4344025371
2016-12-23,31.483734619
2016-12-27,31.296272708
2016-12-28,30.8029518898
2016-12-29,30.5957571462
2016-12-30,30.349096737
2017-01-03,30.4773601498
2017-01-04,30.5266922316
2017-01-05,30.0531042461
2017-01-06,30.2997646552
2017-01-09,30.3589631534
2017-01-10,30.319497488
2017-01-11,30.2306997407
2017-01-12,30.2505231503
2017-01-13,30.4091104277
2017-01-17,30.7064615727
2017-01-18,30.9344307838
2017-01-19,30.4983157712
2017-01-20,30.5379625905
2017-01-23,30.091935873
2017-01-24,30.1910529213
2017-01-25,30.627167934
2017-01-26,30.9146073741
2017-01-27,30.0423773488
2017-01-30,29.6359974507
2017-01-31,29.9531720053
2017-02-01,29.5666155169
2017-02-02,29.3981165347
2017-02-03,29.5368804024
2017-02-06,29.021471751
2017-02-07,28.7241206061
2017-02-08,29.0412951607
2017-02-09,30.0820241682
2017-02-10,30.0721124633
2017-02-13,29.7648496135
2017-02-14,30.1117592827
2017-02-15,30.448757247
2017-02-16,30.2901699697
2017-02-17,30.6370796388
2017-02-21,30.9443424886
2017-02-22,30.8254020307
2017-02-23,30.8749605548
2017-02-24,31.281340453
2017-02-27,30.8254020307
2017-02-28,30.3991987228
2017-03-01,30.3496401987
2017-03-02,30.1910529213
2017-03-03,29.437763354
2017-03-06,29.3981165347
2017-03-07,29.2097941429
2017-03-08,29.1007653897
2017-03-09,29.021471751
2017-03-10,28.9322664075
2017-03-13,28.6943854916
2017-03-14,28.6051801481
2017-03-15,28.6349152626
2017-03-16,29.2097941429
2017-03-17,29.2692643719
2017-03-20,29.5864389265
2017-03-21,29.5666155169
2017-03-22,29.6558208604
2017-03-23,28.9421781124
2017-03-24,28.6745620819
2017-03-27,28.2780938886
2017-03-28,28.3474758224
2017-03-29,28.8827078834
2017-03-30,29.0115600462
2017-03-31,29.4575867637
2017-04-03,29.497233583
2017-04-04,30.0423773488
2017-04-05,30.1216709875
2017-04-06,30.6792953099
2017-04-07,30.9381923168
2017-04-10,34.0250412444
2017-04-11,33.4076714589
2017-04-12,33.9752533585
2017-04-13,33.8159321235
2017-04-17,34.3735564459
2017-04-18,34.6722837615
2017-04-19,34.7619019562
2017-04-20,35.3493990101
2017-04-21,35.558508131
2017-04-24,36.30532642
2017-04-25,35.9070233325
2017-04-26,36.1957930709
2017-04-27,36.7434598162
2017-04-28,36.2157082253
2017-05-01,36.0065991044
2017-05-02,36.2256658025
2017-05-03,36.1659203394
2017-05-04,36.5243931181
2017-05-05,36.7135870846
2017-05-08,36.5542658496
2017-05-09,36.414859769
2017-05-10,36.0962172991
2017-05-11,36.8729083196
2017-05-12,36.1260900306
2017-05-15,36.2854112656
2017-05-16,36.3351991515
2017-05-17,35.8871081782
2017-05-18,35.9966415272
2017-05-19,35.8373202922
2017-05-22,36.0663445675
2017-05-23,35.180120198
2017-05-24,35.1701626208
2017-05-25,35.1701626208
2017-05-26,34.9710110771
2017-05-30,34.7220716474
2017-05-31,34.8415625737
2017-06-01,35.0606292717
2017-06-02,34.9311807683
2017-06-05,34.9809686543
2017-06-06,34.5826655668
2017-06-07,34.7718595333
2017-06-08,35.289653547
2017-06-09,35.5784232854
2017-06-12,35.1701626208
2017-06-13,35.4688899364
2017-06-14,35.2996111242
2017-06-15,32.9197501768
2017-06-16,42.4989394296
2017-06-19,43.0366485977
2017-06-20,42.5985152015
2017-06-21,43.0764789064
2017-06-22,43.0167334433
2017-06-23,42.7677940137
2017-06-26,42.5088970068
2017-06-27,42.3794485034
2017-06-28,42.25
2017-06-29,42.07
2017-06-30,42.11
2017-07-03,42.04
2017-07-05,41.99
2017-07-06,42.01
2017-07-07,42.0
2017-07-10,41.85
2017-07-11,41.94
2017-07-12,41.94
2017-07-13,41.96
2017-07-14,42.1
2017-07-17,41.89
2017-07-18,41.76
2017-07-19,41.76
2017-07-20,41.76
2017-07-21,41.71
2017-07-24,41.67
2017-07-25,41.75
2017-07-26,41.81
2017-07-27,41.78
2017-07-28,41.82
2017-07-31,41.76
2017-08-01,41.85
2017-08-02,41.81
2017-08-03,41.84
2017-08-04,41.81
2017-08-07,41.82
2017-08-08,41.85
2017-08-09,41.85
2017-08-10,41.83
2017-08-11,41.75
2017-08-14,41.86
2017-08-15,41.79
2017-08-16,41.75
2017-08-17,41.73
2017-08-18,41.73
2017-08-21,41.73
2017-08-22,41.71
2017-08-23,41.68
2017-08-24,41.98
2017-08-25,41.99
2017-08-28,41.99
2017-08-29,41.99
