ticker,n_sem_ausente,primeiro_sem,ultimo_sem
MMC,20,2016/S1,2025/S2
WRK,17,2016/S1,2024/S1
PKI,14,2016/S1,2022/S2
FBHS,13,2016/S1,2022/S1
RE,13,2017/S1,2023/S1
ANTM,12,2016/S1,2021/S2
DISCA,12,2016/S1,2021/S2
FB,12,2016/S1,2021/S2
BLL,12,2016/S1,2021/S2
GPS,12,2016/S1,2021/S2
LB,11,2016/S1,2021/S1
PEAK,9,2019/S2,2023/S2
ARNC,8,2016/S1,2019/S2
FRC,8,2019/S1,2022/S2
APC,7,2016/S1,2019/S1
HCP,7,2016/S1,2019/S1
STI,7,2016/S1,2019/S1
TMK,7,2016/S1,2019/S1
CBS,7,2016/S1,2019/S1
FOXA,6,2016/S1,2018/S2
FOX,6,2016/S1,2018/S2
CA,5,2016/S1,2018/S1
VIAC,5,2019/S2,2021/S2
CDAY,5,2021/S2,2023/S2
MON,4,2016/S1,2017/S2
BHGE,3,2016/S1,2017/S1
DOW,3,2016/S1,2017/S1
MNK,3,2016/S1,2017/S1
DNB,2,2016/S1,2016/S2
SE,2,2016/S1,2016/S2
IR,2,2016/S1,2016/S2
FTR,2,2016/S1,2016/S2
ENDP,2,2016/S1,2016/S2
DO,1,2016/S1,2016/S1
EMC,1,2016/S1,2016/S1
KORS,1,2018/S1,2018/S1
TE,1,2016/S1,2016/S1
