ticker,fonte,n_dias,ratio_medio,ratio_min,ratio_max,cv_pct,status
TGT,cache,251,0.735695,0.735694,0.735695,0.0,ok
TJX,cache,251,0.433342,0.433341,0.433342,0.0,ok
TMO,cache,251,0.97079,0.970789,0.970791,0.0,ok
TMUS,cache,206,0.961483,0.961482,0.961483,0.0,ok
TRV,cache,251,0.800307,0.800306,0.800307,0.0,ok
TWX,cache,251,0.955483,0.955482,0.955484,0.0,ok
UHS,cache,251,0.957671,0.95767,0.957671,0.0,ok
UNH,cache,251,0.845379,0.845378,0.845379,0.0,ok
DOV,cache,251,0.679018,0.679017,0.679018,0.0,ok
DTE,cache,251,0.606641,0.606641,0.606642,0.0,ok
DUK,cache,251,0.657315,0.657315,0.657316,0.0,ok
DVA,cache,251,1.0,1.0,1.0,0.0,ok
ECL,cache,251,0.894239,0.894238,0.894239,0.0,ok
ED,cache,251,0.692181,0.69218,0.692182,0.0,ok
EFX,cache,251,0.907333,0.907332,0.907334,0.0,ok
EL,cache,251,0.877348,0.877347,0.877348,0.0,ok
EMN,cache,251,0.714295,0.714295,0.714296,0.0,ok
ENDP,cache,251,1.0,1.0,1.0,0.0,ok
UNP,cache,251,0.795195,0.795194,0.795196,0.0,ok
AKAM,cache,251,1.0,1.0,1.0,0.0,ok
AMG,cache,251,0.968021,0.968021,0.968021,0.0,ok
AN,cache,251,1.0,1.0,1.0,0.0,ok
UPS,cache,251,0.684127,0.684126,0.684127,0.0,ok
URI,cache,251,0.966327,0.966326,0.966327,0.0,ok
