ticker,fonte,n_dias,ratio_medio,ratio_min,ratio_max,cv_pct,status
PDCO,cache,251,0.721759,0.721736,0.721844,0.0038,ok
TIF,cache,251,0.897816,0.897777,0.897924,0.0038,ok
AIZ,cache,251,0.816441,0.816399,0.816492,0.0037,ok
AVB,cache,251,0.70911,0.709061,0.709137,0.0037,ok
HRS,cache,251,0.821203,0.821164,0.821255,0.0037,ok
PX,cache,251,0.936745,0.936695,0.936789,0.0037,ok
MDLZ,cache,251,0.789017,0.788905,0.789123,0.0037,ok
MMC,cache,251,0.966405,0.96636,0.966477,0.0036,ok
FAST,cache,251,0.191102,0.191099,0.191123,0.0034,ok
PTC,cache,251,1.000008,1.0,1.000152,0.0033,ok
MSFT,cache,251,0.873626,0.873616,0.873724,0.0033,ok
APH,cache,251,0.225888,0.225882,0.225906,0.0033,ok
URBN,cache,251,1.000008,1.0,1.000148,0.0032,ok
CERN,cache,251,0.967422,0.96694,0.967424,0.0032,ok
UTX,cache,251,0.957593,0.957552,0.957627,0.0031,ok
PAYX,cache,251,0.738306,0.738297,0.738378,0.0031,ok
MCHP,cache,251,0.409476,0.409468,0.409521,0.0031,ok
EXPD,cache,251,0.881632,0.881623,0.881725,0.003,ok
EA,cache,251,0.971385,0.971374,0.971476,0.0029,ok
K,cache,251,0.628583,0.62854,0.62861,0.0028,ok
AES,cache,251,0.672013,0.671984,0.672042,0.0028,ok
AIG,cache,251,0.775933,0.775894,0.775982,0.0028,ok
AAL,cache,251,0.955551,0.955503,0.955583,0.0028,ok
PBI,cache,251,0.61597,0.615942,0.616,0.0028,ok
CBS,cache,251,0.979692,0.979652,0.979734,0.0028,ok
CNP,cache,251,0.714351,0.714326,0.714385,0.0027,ok
DFS,cache,251,0.8148,0.814777,0.81486,0.0027,ok
AMZN,cache,251,0.05,0.049979,0.05,0.0027,ok
GGP,cache,251,0.905362,0.905331,0.905396,0.0027,ok
TXN,cache,251,0.755873,0.755866,0.755941,0.0026,ok
CMA,cache,251,0.678613,0.678596,0.678674,0.0025,ok
WFM,cache,251,0.97338,0.973338,0.973407,0.0025,ok
WBA,cache,251,0.968381,0.968336,0.968414,0.0025,ok
FOXA,cache,251,0.97464,0.974614,0.974667,0.0025,ok
QCOM,cache,251,0.749663,0.749602,0.749735,0.0024,ok
XEC,cache,251,0.992593,0.99256,0.992617,0.0024,ok
FLIR,cache,251,0.926141,0.92609,0.926169,0.0024,ok
HAR,cache,251,0.979224,0.979198,0.979288,0.0024,ok
GRMN,cache,251,0.755261,0.755255,0.75534,0.0023,ok
STX,cache,251,0.626793,0.626742,0.626881,0.0023,ok
AMP,cache,251,0.804108,0.804078,0.804131,0.0023,ok
SBUX,cache,251,0.807183,0.807129,0.807263,0.0022,ok
CTSH,cache,251,0.882072,0.882067,0.882149,0.0022,ok
KSU,cache,251,0.93277,0.932677,0.932792,0.0022,ok
CMCSA,cache,251,0.362979,0.362976,0.363011,0.0021,ok
KLAC,cache,251,0.836169,0.8361,0.83624,0.0021,ok
AXP,cache,251,0.86546,0.865434,0.865533,0.002,ok
PCAR,cache,251,0.460783,0.460745,0.460818,0.002,ok
O,cache,251,0.599433,0.599416,0.599455,0.002,ok
CINF,cache,251,0.760724,0.76072,0.760795,0.002,ok
DHI,cache,251,0.889223,0.889188,0.889241,0.0019,ok
ABC,cache,251,0.966171,0.966154,0.966209,0.0019,ok
COL,cache,251,0.963314,0.963288,0.963345,0.0019,ok
NDAQ,cache,251,0.282929,0.282928,0.282957,0.0019,ok
ROST,cache,251,0.904416,0.904407,0.904512,0.0018,ok
FSLR,cache,251,1.000004,1.0,1.000119,0.0018,ok
JNPR,cache,251,0.783524,0.783508,0.783546,0.0017,ok
NTRS,cache,251,0.758235,0.758177,0.758291,0.0017,ok
L,cache,251,0.953752,0.953728,0.953779,0.0016,ok
MYL,cache,251,1.000001,1.0,1.000248,0.0016,ok
XRAY,cache,251,0.864299,0.864287,0.864384,0.0016,ok
FCX,cache,251,0.902807,0.902773,0.902826,0.0016,ok
HAS,cache,251,0.711406,0.711354,0.711468,0.0015,ok
AMT,cache,251,0.774913,0.774875,0.774928,0.0015,ok
COG,cache,251,0.9907,0.990658,0.990721,0.0015,ok
CHK,cache,251,199.998825,199.993555,200.00839,0.0015,ok
A,cache,251,0.921657,0.921647,0.921682,0.0014,ok
IPG,cache,251,0.685647,0.685629,0.685661,0.0014,ok
MAR,cache,251,0.907163,0.907103,0.907223,0.0014,ok
FISV,cache,251,0.500002,0.5,0.500035,0.0014,ok
TROW,cache,251,0.687151,0.687149,0.687194,0.0013,ok
VRSN,cache,251,0.987679,0.987677,0.987765,0.0013,ok
SWKS,cache,251,0.802209,0.802205,0.802263,0.0013,ok
