ticker,p_prof,p_ext,salto_pct,status
FOXA,27.3,25.9164,-5.07,ok
FSLR,66.99,66.72,-0.4,ok
FTI,29.16,19.9331,-31.64,ok
FTR,4.66,4.0618,-12.84,ok
GAS,63.82,62.735,-1.7,ok
GD,138.5347,108.2166,-21.88,ok
GE,31.05,129.8635,318.24,ok
GGP,27.41,24.1824,-11.78,ok
GILD,102.16,68.5154,-32.93,ok
GIS,58.1058,39.2081,-32.52,ok
GLW,18.49,13.6989,-25.91,ok
GM,34.33,26.7358,-22.12,ok
GOOG,771.0,36.79,-95.23,ok
GOOGL,790.3,37.6607,-95.23,ok
GPC,86.87,62.4156,-28.15,ok
GPS,25.005,17.8288,-28.7,ok
GRMN,37.31,27.7935,-25.51,ok
GS,182.01,143.6069,-21.1,ok
GT,33.2233,29.0908,-12.44,ok
GWW,204.7,172.0942,-15.93,ok
HAL,34.13,28.2752,-17.15,ok
HAR,94.77,91.1747,-3.79,ok
HAS,67.5,47.6357,-29.43,ok
HBAN,11.17,7.0267,-37.09,ok
HBI,29.08,22.6922,-21.97,ok
HCA,68.44,61.5287,-10.1,ok
HCP,38.65,20.0209,-48.2,ok
HD,133.35,102.6062,-23.05,ok
HES,48.17,41.1808,-14.51,ok
HIG,43.84,34.2987,-21.76,ok
HOG,45.56,35.1741,-22.8,ok
HON,104.46,74.5026,-28.68,ok
HOT,70.12,66.7495,-4.81,ok
HP,52.76,32.9074,-37.63,ok
HPQ,11.84,8.1994,-30.75,ok
HRB,33.42,22.1907,-33.6,ok
HRL,79.3655,29.8443,-62.4,ok
HRS,87.43,71.977,-17.67,ok
HSIC,159.91,60.8863,-61.92,ok
HST,15.76,10.0791,-36.05,ok
HSY,90.6,68.8752,-23.98,ok
HUM,179.0,165.016,-7.81,ok
IBM,139.34,84.5202,-39.34,ok
ICE,256.93,44.1245,-82.83,ok
IFF,120.62,92.0033,-23.72,ok
INTC,34.99,26.8628,-23.23,ok
INTU,97.9738,86.8284,-11.38,ok
IP,38.2,22.9663,-39.88,ok
IPG,23.55,15.6461,-33.56,ok
IR,55.83,36.3228,-34.94,ok
IRM,27.58,15.196,-44.9,ok
ISRG,552.51,60.8211,-88.99,ok
ITW,93.19,71.5739,-23.2,ok
IVZ,33.38,20.875,-37.46,ok
JBHT,73.03,64.78,-11.3,ok
JBL,23.55,,,dados_faltando
JCI,40.23,23.4755,-41.65,ok
JEC,42.42,31.6938,-25.29,ok
JNJ,103.78,75.7708,-26.99,ok
JNPR,27.71,21.4761,-22.5,ok
JPM,66.1463,48.4011,-26.83,ok
JWN,50.31,37.6873,-25.09,ok
K,73.19,45.0097,-38.5,ok
KEY,13.25,8.5162,-35.73,ok
KIM,26.69,15.6708,-41.29,ok
KLAC,69.69,57.4361,-17.58,ok
KMB,129.43,88.885,-31.33,ok
KMI,14.4122,9.0511,-37.2,ok
KMX,54.56,52.37,-4.01,ok
KO,43.57,30.7533,-29.42,ok
KORS,40.22,40.37,0.37,ok
KR,42.31,33.4791,-20.87,ok
KSS,48.39,29.1748,-39.71,ok
KSU,74.27,68.7569,-7.42,ok
L,38.51,36.0337,-6.43,ok
LB,96.67,53.1832,-44.98,ok
LDOS,57.24,,,dados_faltando
LEG,42.54,28.0003,-34.18,ok
LEN,49.3114,40.052,-18.78,ok
LH,124.19,100.6022,-18.99,ok
LLL,120.94,110.3342,-8.77,ok
LLTC,43.35,40.7312,-6.04,ok
LLY,86.2,69.6837,-19.16,ok
LM,39.35,33.3627,-15.22,ok
LMT,219.8,162.3751,-26.13,ok
LNC,50.5592,33.0717,-34.59,ok
LOW,76.5522,62.0397,-18.96,ok
LRCX,80.17,6.7414,-91.59,ok
LUV,43.35,37.1459,-14.31,ok
LVLT,54.2,53.09,-2.05,ok
LYB,87.76,48.9122,-44.27,ok
M,35.38,22.8261,-35.48,ok
MA,98.672,88.9918,-9.81,ok
MAC,81.65,45.8772,-43.81,ok
MAR,68.02,59.3101,-12.8,ok
MAS,28.3125,23.824,-15.85,ok
MAT,27.44,25.0881,-8.57,ok
MCD,119.43,91.6587,-23.25,ok
MCHP,47.74,18.8278,-60.56,ok
MCK,198.74,179.936,-9.46,ok
MCO,101.11,87.8671,-13.1,ok
MDLZ,45.51,34.5508,-24.08,ok
MDT,77.53,58.2977,-24.81,ok
MET,48.73,29.7892,-38.87,ok
MHK,189.89,186.45,-1.81,ok
MJN,79.33,76.1728,-3.98,ok
MKC,86.6,34.6524,-59.99,ok
MLM,137.29,125.6906,-8.45,ok
MMC,55.7626,54.32,-2.59,ok
MMM,151.91,87.8793,-42.15,ok
MNK,75.88,72.61,-4.31,ok
MNST,150.24,24.0567,-83.99,ok
MO,58.8,28.9508,-50.76,ok
