date,BCR
2015-01-02,165.248513756
2015-01-05,162.7916902592
2015-01-06,163.354095638
2015-01-07,168.1690750213
2015-01-08,172.5400501583
2015-01-09,171.3955058787
2015-01-12,171.7507092758
2015-01-13,171.188303897
2015-01-14,171.6816419486
2015-01-15,170.5370976689
2015-01-16,171.7408425148
2015-01-20,173.4280586511
2015-01-21,173.9805972689
2015-01-22,176.4275540047
2015-01-23,176.0422762957
2015-01-26,176.2892491861
2015-01-27,175.1235371433
2015-01-28,173.0292070325
2015-01-29,174.7975329279
2015-01-30,168.9590937983
2015-02-02,168.010717899
2015-02-03,170.4705678877
2015-02-04,170.4903257189
2015-02-05,171.7054323398
2015-02-06,169.9173486131
2015-02-09,166.8647636874
2015-02-10,171.0731817403
2015-02-11,171.5671275211
2015-02-12,172.7624763108
2015-02-13,173.2564220917
2015-02-17,172.5747769141
2015-02-18,173.8886726912
2015-02-19,173.4243636572
2015-02-20,174.8765642529
2015-02-23,173.918309438
2015-02-24,172.3673196861
2015-02-25,169.5419498197
2015-02-26,168.8701835577
2015-02-27,167.0919787466
2015-03-02,166.2621498348
2015-03-03,165.1557112857
2015-03-04,165.6298992353
2015-03-05,168.218175127
2015-03-06,164.6518865892
2015-03-09,165.4125630917
2015-03-10,163.4269010527
2015-03-11,162.5279197316
2015-03-12,164.7407968298
2015-03-13,163.6936317744
2015-03-16,166.6573064595
2015-03-17,164.8791016484
2015-03-18,166.2423920036
2015-03-19,168.6232106673
2015-03-20,169.403645001
2015-03-23,167.4081040464
2015-03-24,166.4300914003
2015-03-25,164.632128758
2015-03-26,164.6420076736
2015-03-27,165.6792938134
2015-03-30,167.3191938058
2015-03-31,165.3236528512
2015-04-01,163.239201656
2015-04-02,165.896629957
2015-04-06,165.8867510414
2015-04-07,167.2006468184
2015-04-08,166.8845215187
2015-04-09,168.4453901862
2015-04-10,168.4157534393
2015-04-13,169.2060666887
2015-04-14,168.0699913927
2015-04-15,167.289557059
2015-04-16,168.8010311484
2015-04-17,168.9887305451
2015-04-20,171.853616074
2015-04-21,172.732839564
2015-04-22,172.9699335388
2015-04-23,174.3332238939
2015-04-24,173.472685427
2015-04-27,169.7535766506
2015-04-28,168.3885845997
2015-04-29,164.0661097718
2015-04-30,164.7683882908
2015-05-01,167.715979821
2015-05-04,169.0809718719
2015-05-05,166.3114227831
2015-05-06,165.421210576
2015-05-07,165.6388180044
2015-05-08,168.4380408335
2015-05-11,167.1126137695
2015-05-12,165.342080602
2015-05-13,166.083924108
2015-05-14,170.2481389879
2015-05-15,171.7911734803
2015-05-18,171.4449798442
2015-05-19,171.9395421814
2015-05-20,171.1581336885
2015-05-21,170.5053114033
2015-05-22,170.0799877932
2015-05-26,168.5567357944
2015-05-27,170.1195527802
2015-05-28,168.84358195
2015-05-29,168.4677145737
2015-06-01,170.713027585
2015-06-02,170.2382477412
2015-06-03,169.7535766506
2015-06-04,168.6655395086
2015-06-05,168.7347782358
2015-06-08,168.962276911
