Date,NOC
2015-01-02,122.00148010253906
2015-01-05,119.42747497558594
2015-01-06,120.08555603027344
2015-01-07,123.88411712646484
2015-01-08,126.75792694091797
2015-01-09,127.23275756835938
2015-01-12,126.59131622314453
2015-01-13,126.61629486083984
2015-01-14,126.7079849243164
2015-01-15,126.87459564208984
2015-01-16,127.72419738769531
2015-01-20,128.05738830566406
2015-01-21,128.4822540283203
2015-01-22,130.36485290527344
2015-01-23,130.10658264160156
2015-01-26,129.5651092529297
2015-01-27,127.39937591552734
2015-01-28,126.74961853027344
2015-01-29,131.55596923828125
2015-01-30,130.73963928222656
2015-02-02,132.60557556152344
2015-02-03,133.68011474609375
2015-02-04,134.81304931640625
2015-02-05,135.80430603027344
2015-02-06,135.14625549316406
2015-02-09,135.75430297851562
2015-02-10,137.3537139892578
2015-02-11,138.51986694335938
2015-02-12,139.35289001464844
2015-02-13,139.22801208496094
2015-02-17,139.61119079589844
2015-02-18,139.67779541015625
2015-02-19,141.7186279296875
2015-02-20,143.44293212890625
2015-02-23,142.0435333251953
2015-02-24,141.7686309814453
2015-02-25,140.4857940673828
2015-02-26,139.114013671875
2015-02-27,138.61209106445312
2015-03-02,139.77479553222656
2015-03-03,136.8722381591797
2015-03-04,137.12318420410156
2015-03-05,136.5794677734375
2015-03-06,134.17877197265625
2015-03-09,134.89817810058594
2015-03-10,132.44729614257812
2015-03-11,132.1879425048828
2015-03-12,133.8358154296875
2015-03-13,131.79481506347656
2015-03-16,134.95668029785156
2015-03-17,134.80613708496094
2015-03-18,136.21139526367188
2015-03-19,135.9436798095703
2015-03-20,136.0273895263672
2015-03-23,136.11106872558594
2015-03-24,135.58407592773438
2015-03-25,133.1582489013672
2015-03-26,133.25865173339844
2015-03-27,134.2373046875
2015-03-30,136.07757568359375
2015-03-31,134.63885498046875
2015-04-01,134.2958984375
2015-04-02,135.19927978515625
2015-04-06,136.1444549560547
2015-04-07,136.26995849609375
2015-04-08,137.35740661621094
2015-04-09,137.65853881835938
2015-04-10,138.31094360351562
2015-04-13,136.83042907714844
2015-04-14,136.54608154296875
2015-04-15,136.54608154296875
2015-04-16,136.66311645507812
2015-04-17,133.9696502685547
2015-04-20,136.0859375
2015-04-21,135.91864013671875
2015-04-22,135.57565307617188
2015-04-23,136.2030487060547
2015-04-24,135.32472229003906
2015-04-27,133.9445343017578
2015-04-28,134.26239013671875
2015-04-29,133.11643981933594
2015-04-30,128.8504180908203
2015-05-01,130.498291015625
2015-05-04,130.3477325439453
2015-05-05,128.21475219726562
2015-05-06,128.23141479492188
2015-05-07,128.36529541015625
2015-05-08,130.749267578125
2015-05-11,130.78269958496094
2015-05-12,130.0215606689453
2015-05-13,129.8374786376953
2015-05-14,131.88685607910156
2015-05-15,132.17120361328125
2015-05-18,132.1796112060547
2015-05-19,132.9407958984375
2015-05-20,133.5179901123047
2015-05-21,134.82289123535156
2015-05-22,133.8358154296875
2015-05-26,132.5560302734375
2015-05-27,133.26705932617188
2015-05-28,134.91477966308594
2015-05-29,133.8218994140625
2015-06-01,134.46080017089844
2015-06-02,134.8054656982422
2015-06-03,134.7297821044922
2015-06-04,132.93077087402344
2015-06-05,132.23294067382812
2015-06-08,131.70335388183594
2015-06-09,132.17410278320312
2015-06-10,133.3006134033203
2015-06-11,135.1586151123047
2015-06-12,135.40234375
2015-06-15,134.47763061523438
2015-06-16,135.76385498046875
2015-06-17,136.924072265625
2015-06-18,138.8491973876953
2015-06-19,138.75677490234375
2015-06-22,139.10984802246094
2015-06-23,138.18508911132812
2015-06-24,137.2099151611328
2015-06-25,136.30197143554688
2015-06-26,135.999267578125
2015-06-29,133.40147399902344
2015-06-30,133.3594970703125
2015-07-01,134.59532165527344
2015-07-02,134.09092712402344
2015-07-06,133.88072204589844
2015-07-07,135.67979431152344
2015-07-08,135.06613159179688
2015-07-09,136.77276611328125
2015-07-10,139.0258331298828
2015-07-13,140.64834594726562
2015-07-14,141.6487579345703
2015-07-15,141.73284912109375
2015-07-16,142.80052185058594
2015-07-17,142.06915283203125
2015-07-20,142.7752685546875
2015-07-21,140.20278930664062
2015-07-22,139.79083251953125
2015-07-23,139.1350860595703
2015-07-24,138.54660034179688
2015-07-27,136.66346740722656
2015-07-28,137.31919860839844
2015-07-29,145.8101806640625
2015-07-30,147.46640014648438
2015-07-31,145.44863891601562
2015-08-03,144.73410034179688
2015-08-04,144.700439453125
2015-08-05,146.01197814941406
2015-08-06,145.33102416992188
2015-08-07,145.14605712890625
2015-08-10,147.33181762695312
2015-08-11,145.6672821044922
2015-08-12,144.22972106933594
2015-08-13,145.32264709472656
2015-08-14,146.43226623535156
2015-08-17,146.8778839111328
2015-08-18,147.5420379638672
2015-08-19,147.64288330078125
2015-08-20,145.09564208984375
2015-08-21,139.00892639160156
2015-08-24,134.528076171875
2015-08-25,134.25064086914062
2015-08-26,138.27755737304688
2015-08-27,141.14991760253906
2015-08-28,139.84884643554688
2015-08-31,138.3282928466797
2015-09-01,134.63641357421875
2015-09-02,139.0633087158203
2015-09-03,139.09701538085938
2015-09-04,137.11175537109375
2015-09-08,141.935546875
2015-09-09,140.45713806152344
2015-09-10,139.9840850830078
2015-09-11,142.36647033691406
2015-09-14,141.7835235595703
2015-09-15,143.8955078125
2015-09-16,144.42770385742188
2015-09-17,144.22499084472656
2015-09-18,142.7550048828125
2015-09-21,143.79415893554688
2015-09-22,141.614501953125
2015-09-23,141.43714904785156
2015-09-24,140.89654541015625
2015-09-25,139.8742218017578
2015-09-28,137.4074249267578
2015-09-29,138.1678009033203
2015-09-30,140.19525146484375
2015-10-01,140.00100708007812
2015-10-02,141.53004455566406
2015-10-05,143.93775939941406
2015-10-06,142.27346801757812
2015-10-07,144.63047790527344
2015-10-08,146.78477478027344
2015-10-09,148.4743194580078
2015-10-12,149.6908721923828
2015-10-13,149.5303497314453
2015-10-14,146.82699584960938
2015-10-15,147.04660034179688
2015-10-16,147.73936462402344
2015-10-19,147.48594665527344
2015-10-20,147.37611389160156
2015-10-21,147.10577392578125
2015-10-22,151.642333984375
2015-10-23,151.92117309570312
2015-10-26,152.30975341796875
2015-10-27,152.57162475585938
2015-10-28,160.9352569580078
2015-10-29,160.5719451904297
2015-10-30,158.6120147705078
2015-11-02,160.12417602539062
2015-11-03,157.6742706298828
2015-11-04,157.27723693847656
2015-11-05,157.4884033203125
2015-11-06,155.4524383544922
2015-11-09,153.4671173095703
2015-11-10,153.32351684570312
2015-11-11,153.5009307861328
2015-11-12,152.32662963867188
2015-11-13,151.06788635253906
2015-11-16,157.64894104003906
2015-11-17,157.2519073486328
2015-11-18,158.94149780273438
2015-11-19,159.04287719726562
2015-11-20,160.07350158691406
2015-11-23,158.67959594726562
2015-11-24,158.8231964111328
2015-11-25,159.30685424804688
2015-11-27,159.8497772216797
2015-11-30,158.11053466796875
2015-12-01,158.91650390625
2015-12-02,157.5421600341797
2015-12-03,155.31076049804688
2015-12-04,159.45948791503906
2015-12-07,159.49342346191406
2015-12-08,159.50192260742188
2015-12-09,158.27171325683594
2015-12-10,159.0438232421875
2015-12-11,157.82208251953125
2015-12-14,158.71290588378906
2015-12-15,159.36619567871094
2015-12-16,160.9866943359375
2015-12-17,159.76492309570312
2015-12-18,156.83792114257812
2015-12-21,160.35882568359375
2015-12-22,160.6642303466797
2015-12-23,161.19876098632812
2015-12-24,161.29209899902344
2015-12-28,161.1818084716797
2015-12-29,162.4544219970703
2015-12-30,161.26663208007812
2015-12-31,160.18917846679688
