Date,GT
2015-01-02,25.528797149658203
2015-01-05,24.961286544799805
2015-01-06,25.02434539794922
2015-01-07,25.33962631225586
2015-01-08,25.7449893951416
2015-01-09,25.45673370361328
2015-01-12,25.258554458618164
2015-01-13,23.465953826904297
2015-01-14,22.907455444335938
2015-01-15,22.12375259399414
2015-01-16,22.36697006225586
2015-01-20,22.439037322998047
2015-01-21,23.033565521240234
2015-01-22,23.366865158081055
2015-01-23,22.916461944580078
2015-01-26,23.375873565673828
2015-01-27,22.7723388671875
2015-01-28,21.59227752685547
2015-01-29,22.25152015686035
2015-01-30,21.890291213989258
2015-02-02,22.052846908569336
2015-02-03,22.25152015686035
2015-02-04,22.531469345092773
2015-02-05,22.558561325073242
2015-02-06,22.93784523010254
2015-02-09,23.19974136352539
2015-02-10,23.190704345703125
2015-02-11,23.479686737060547
2015-02-12,23.669330596923828
2015-02-13,23.398408889770508
2015-02-17,24.03959083557129
2015-02-18,24.734947204589844
2015-02-19,24.689796447753906
2015-02-20,25.00587272644043
2015-02-23,24.52724266052246
2015-02-24,24.500152587890625
2015-02-25,24.500152587890625
2015-02-26,24.69882583618164
2015-02-27,24.13892364501953
2015-03-02,24.56336784362793
2015-03-03,24.445968627929688
2015-03-04,23.99443244934082
2015-03-05,23.669330596923828
2015-03-06,23.371318817138672
2015-03-09,23.45258903503418
2015-03-10,22.910757064819336
2015-03-11,22.63983917236328
2015-03-12,23.001062393188477
2015-03-13,22.79336166381836
2015-03-16,22.8565731048584
2015-03-17,22.63080596923828
2015-03-18,23.524839401245117
2015-03-19,22.739173889160156
2015-03-20,23.17264747619629
2015-03-23,23.597084045410156
2015-03-24,23.81382179260254
2015-03-25,23.45258903503418
2015-03-26,23.615144729614258
2015-03-27,23.741575241088867
2015-03-30,24.193105697631836
2015-03-31,24.45499610900879
2015-04-01,24.156986236572266
2015-04-02,24.22020149230957
2015-04-06,24.66270637512207
2015-04-07,24.38275146484375
2015-04-08,24.771068572998047
2015-04-09,24.94265365600586
