date,APD
2015-01-02,110.5899030615
2015-01-05,107.053885395
2015-01-06,107.0158636997
2015-01-07,108.171723238
2015-01-08,110.6735507912
2015-01-09,109.0158048745
2015-01-12,108.2629753068
2015-01-13,107.6926498767
2015-01-14,106.4075165743
2015-01-15,106.0501126381
2015-01-16,106.2402211148
2015-01-20,107.5101457391
2015-01-21,108.8180920587
2015-01-22,109.745821425
2015-01-23,109.0918482652
2015-01-26,108.8028833806
2015-01-27,107.8675496753
2015-01-28,105.5710392768
2015-01-29,111.7761799561
2015-01-30,110.7267811647
2015-02-02,112.3008793517
2015-02-03,112.8559961037
2015-02-04,112.8636004427
2015-02-05,115.2209455537
2015-02-06,114.3084248656
2015-02-09,113.8901862169
2015-02-10,114.2856118484
2015-02-11,114.0726903545
2015-02-12,115.7532492885
2015-02-13,116.2019052935
2015-02-17,116.6961873329
2015-02-18,117.0079652346
2015-02-19,118.6885241686
2015-02-20,119.8900097413
2015-02-23,118.7037328467
2015-02-24,119.3729146847
2015-02-25,119.4261450582
2015-02-26,119.1067628173
2015-02-27,118.734150203
2015-03-02,120.2474136775
2015-03-03,118.6733154905
2015-03-04,117.6695427335
2015-03-05,117.7607948023
2015-03-06,116.0498185121
2015-03-09,117.0231739128
2015-03-10,115.6619972196
2015-03-11,115.0536500942
2015-03-12,116.5669135687
2015-03-13,115.585953829
2015-03-16,116.0650271902
2015-03-17,116.0726315293
2015-03-18,117.6239166991
2015-03-19,115.7684579666
2015-03-20,116.1258619028
2015-03-23,115.5023060992
2015-03-24,115.7228319322
2015-03-25,114.5669723939
2015-03-26,114.9471893473
2015-03-27,116.156279259
2015-03-30,117.5706863256
2015-03-31,115.6443005679
2015-04-01,114.7346184045
2015-04-02,115.4608352576
2015-04-06,116.26349599
2015-04-07,115.5678566886
2015-04-08,115.4073245421
2015-04-09,116.2329184383
2015-04-10,116.1335413953
2015-04-13,115.109193413
2015-04-14,116.0723862918
2015-04-15,116.4622500761
2015-04-16,115.8812765937
2015-04-17,114.5511530943
2015-04-20,115.7131000592
2015-04-21,116.1411857832
2015-04-22,115.7895439385
2015-04-23,115.1244821888
2015-04-24,114.7116852407
2015-04-27,115.4761240335
2015-04-28,116.9285577397
2015-04-29,116.0953194556
2015-04-30,109.6434560448
2015-05-01,112.0667270178
2015-05-04,112.8158770347
2015-05-05,111.1570448544
2015-05-06,111.2640662854
2015-05-07,111.7533071128
2015-05-08,113.1140081639
2015-05-11,111.6157081301
2015-05-12,110.4461167772
2015-05-13,110.8054030098
2015-05-14,112.8464545864
2015-05-15,113.5038719482
2015-05-18,113.0834306122
2015-05-19,112.7623663192
2015-05-20,112.46423519
2015-05-21,113.1292969397
2015-05-22,112.1966816126
2015-05-26,111.6386412939
2015-05-27,112.785299483
2015-05-28,113.2898290862
2015-05-29,112.1890372246
2015-06-01,112.7164999916
2015-06-02,113.2516071466
2015-06-03,113.3968505172
2015-06-04,111.5545530267
2015-06-05,111.2869994492
2015-06-08,110.4919831047
2015-06-09,110.4078948375
2015-06-10,111.5621974146
2015-06-11,111.7609515007
2015-06-12,110.8054030098
2015-06-15,110.1785631997
2015-06-16,111.3863764923
2015-06-17,111.7380183369
2015-06-18,112.3266362073
2015-06-19,110.9735795442
2015-06-22,111.4933979232
2015-06-23,110.7442479063
2015-06-24,109.8651432947
2015-06-25,109.1847927691
2015-06-26,108.6114636746
2015-06-29,105.4466870726
2015-06-30,105.2160008177
2015-07-01,106.5155333865
2015-07-02,105.6389256182
2015-07-06,104.6623538062
2015-07-07,105.2852066942
2015-07-08,102.2632167562
2015-07-09,101.7018802028
2015-07-10,104.5239420533
2015-07-13,104.9545563956
2015-07-14,105.4928243235
2015-07-15,105.7312001201
2015-07-16,105.4005498216
2015-07-17,104.7392492245
2015-07-20,103.9933636673
2015-07-21,102.6092461384
2015-07-22,102.1171154615
2015-07-23,102.0479095851
2015-07-24,100.0101810009
2015-07-27,99.0566778144
2015-07-28,102.1324945451
2015-07-29,103.1475140663
2015-07-30,109.4529383644
2015-07-31,109.5836605754
2015-08-03,112.1750361711
2015-08-04,112.3365165495
2015-08-05,113.3822942379
2015-08-06,113.0516439394
2015-08-07,112.4134119677
2015-08-10,114.0743530024
2015-08-11,112.8055786009
2015-08-12,111.7905590798
2015-08-13,112.0673825855
2015-08-14,112.8363367682
2015-08-17,112.8517158519
2015-08-18,112.2903792985
2015-08-19,111.2292225264
2015-08-20,107.9457881663
2015-08-21,105.7235105783
2015-08-24,101.7480174538
2015-08-25,103.6627133687
2015-08-26,105.9541968331
2015-08-27,108.1534057956
2015-08-28,108.1687848793
2015-08-31,107.292177111
2015-09-01,104.5162525115
2015-09-02,106.8461836851
2015-09-03,107.3460039038
2015-09-04,104.5008734278
2015-09-08,107.0768699399
2015-09-09,105.515892949
2015-09-10,104.9699354793
2015-09-11,104.9007296028
2015-09-14,104.1779126711
2015-09-15,104.2855662567
2015-09-16,106.6385660557
2015-09-17,106.9077000197
2015-09-18,103.5012329903
2015-09-21,103.7088506197
2015-09-22,101.9787037086
2015-09-23,100.3331417577
2015-09-24,99.5488084913
2015-09-25,98.141622337
2015-09-28,96.3115113822
2015-09-29,97.3726681543
2015-09-30,98.7347401297
2015-10-01,100.042638788
2015-10-02,101.0100194524
2015-10-05,102.867390328
2015-10-06,102.7667827389
2015-10-07,103.8347709924
2015-10-08,106.7291739402
2015-10-09,108.3079391845
2015-10-12,107.4256880186
2015-10-13,107.0232576622
2015-10-14,107.2089947497
2015-10-15,108.1608973235
2015-10-16,107.4643832451
2015-10-19,106.822042484
2015-10-20,106.2957874026
2015-10-21,104.8950202005
2015-10-22,106.6672615777
2015-10-23,108.3388953657
2015-10-26,108.1686363688
2015-10-27,107.7507279218
2015-10-28,109.9950510632
2015-10-29,106.3035264479
2015-10-30,107.5572517889
2015-11-02,107.2322118857
2015-11-03,107.3482975654
2015-11-04,106.945867209
2015-11-05,106.257092176
2015-11-06,107.2786461576
2015-11-09,105.5064047804
2015-11-10,105.8082275477
2015-11-11,105.8701399102
2015-11-12,104.709283113
2015-11-13,106.3190045385
2015-11-16,108.6175009971
2015-11-17,107.9364650094
2015-11-18,107.9055088281
2015-11-19,108.3156782298
2015-11-20,107.7971621937
2015-11-23,108.4859372267
2015-11-24,107.9364650094
2015-11-25,107.0696919341
2015-11-27,106.7214348949
2015-11-30,105.9397913181
2015-12-01,106.798825348
2015-12-02,107.1857776138
2015-12-03,105.0730182428
2015-12-04,107.1393433419
2015-12-07,105.8778789556
2015-12-08,102.9060855546
2015-12-09,103.5871215423
2015-12-10,102.5500894701
2015-12-11,100.9790632711
2015-12-14,99.8027283832
2015-12-15,101.7684458932
2015-12-16,102.3179181106
2015-12-17,100.8861947273
2015-12-18,98.9436943532
2015-12-21,100.5688938694
2015-12-22,101.8071411198
2015-12-23,103.0686055062
2015-12-24,103.0763445515
2015-12-28,102.6197408779
2015-12-29,103.0840835968
2015-12-30,102.9834760077
2015-12-31,101.3093910734
