Date,MHK
2015-01-02,154.57000732421875
2015-01-05,154.11000061035156
2015-01-06,152.74000549316406
2015-01-07,154.0500030517578
2015-01-08,155.99000549316406
2015-01-09,158.35000610351562
2015-01-12,157.75999450683594
2015-01-13,160.11000061035156
2015-01-14,167.0500030517578
2015-01-15,162.66000366210938
2015-01-16,168.4499969482422
2015-01-20,168.8300018310547
2015-01-21,167.3000030517578
2015-01-22,168.10000610351562
2015-01-23,167.08999633789062
2015-01-26,167.60000610351562
2015-01-27,165.6300048828125
2015-01-28,164.75999450683594
2015-01-29,169.02999877929688
2015-01-30,165.0399932861328
2015-02-02,166.7100067138672
2015-02-03,169.05999755859375
2015-02-04,168.33999633789062
2015-02-05,166.47999572753906
2015-02-06,165.52999877929688
2015-02-09,165.8699951171875
2015-02-10,168.25
2015-02-11,168.35000610351562
2015-02-12,171.9199981689453
2015-02-13,173.0
2015-02-17,171.44000244140625
2015-02-18,171.6699981689453
2015-02-19,172.6699981689453
2015-02-20,184.25999450683594
2015-02-23,183.24000549316406
2015-02-24,183.50999450683594
2015-02-25,185.88999938964844
2015-02-26,186.14999389648438
2015-02-27,184.35000610351562
2015-03-02,186.1699981689453
2015-03-03,185.58999633789062
2015-03-04,185.02999877929688
2015-03-05,185.17999267578125
2015-03-06,180.25
2015-03-09,183.63999938964844
2015-03-10,180.5500030517578
2015-03-11,178.57000732421875
2015-03-12,180.16000366210938
2015-03-13,178.60000610351562
2015-03-16,180.14999389648438
2015-03-17,178.0
2015-03-18,180.72999572753906
2015-03-19,179.8699951171875
2015-03-20,181.02999877929688
2015-03-23,181.08999633789062
2015-03-24,181.47999572753906
2015-03-25,180.9499969482422
2015-03-26,180.08999633789062
2015-03-27,181.22000122070312
2015-03-30,184.72000122070312
2015-03-31,185.75
2015-04-01,184.66000366210938
2015-04-02,185.27999877929688
2015-04-06,183.41000366210938
2015-04-07,181.10000610351562
2015-04-08,183.41000366210938
2015-04-09,184.25
2015-04-10,183.86000061035156
2015-04-13,182.41000366210938
2015-04-14,183.36000061035156
2015-04-15,181.49000549316406
2015-04-16,176.38999938964844
2015-04-17,177.10000610351562
2015-04-20,176.8800048828125
2015-04-21,179.6300048828125
2015-04-22,182.02000427246094
2015-04-23,178.5399932861328
2015-04-24,179.25999450683594
2015-04-27,178.00999450683594
2015-04-28,177.6999969482422
2015-04-29,174.75
2015-04-30,173.5
2015-05-01,177.69000244140625
2015-05-04,178.97000122070312
2015-05-05,176.5500030517578
2015-05-06,175.47000122070312
2015-05-07,179.19000244140625
2015-05-08,184.25
2015-05-11,182.57000732421875
2015-05-12,180.8300018310547
2015-05-13,181.35000610351562
2015-05-14,183.1199951171875
2015-05-15,183.0500030517578
2015-05-18,185.7899932861328
2015-05-19,188.88999938964844
2015-05-20,188.4499969482422
