Date,JPM
2015-01-02,46.27430725097656
2015-01-05,44.837738037109375
2015-01-06,43.67513656616211
2015-01-07,43.74178695678711
2015-01-08,44.71926498413086
2015-01-09,43.941715240478516
2015-01-12,43.564064025878906
2015-01-13,43.57146453857422
2015-01-14,42.0682373046875
2015-01-15,40.72051239013672
2015-01-16,41.416587829589844
2015-01-20,41.25366973876953
2015-01-21,41.386959075927734
2015-01-22,42.64582824707031
2015-01-23,41.97195816040039
2015-01-26,42.03861618041992
2015-01-27,41.61652374267578
2015-01-28,40.54278564453125
2015-01-29,41.22406005859375
2015-01-30,40.2687873840332
2015-02-02,41.07594680786133
2015-02-03,42.00159454345703
2015-02-04,41.74981689453125
2015-02-05,42.03861618041992
2015-02-06,42.86798095703125
2015-02-09,42.81614685058594
2015-02-10,43.29007339477539
2015-02-11,43.22342300415039
2015-02-12,44.11203384399414
2015-02-13,44.18608856201172
2015-02-17,44.5045051574707
2015-02-18,43.96392059326172
2015-02-19,43.860260009765625
2015-02-20,44.282352447509766
2015-02-23,43.94912338256836
2015-02-24,45.037681579589844
2015-02-25,45.27462387084961
2015-02-26,45.60044479370117
2015-02-27,45.37830352783203
2015-03-02,45.741146087646484
2015-03-03,45.889244079589844
2015-03-04,46.00774002075195
2015-03-05,45.91145706176758
2015-03-06,45.089500427246094
2015-03-09,45.541202545166016
2015-03-10,44.40082550048828
2015-03-11,44.60818099975586
2015-03-12,45.44493865966797
2015-03-13,45.17095947265625
2015-03-16,45.800384521484375
2015-03-17,45.6226692199707
2015-03-18,45.726341247558594
2015-03-19,45.319053649902344
2015-03-20,45.726341247558594
2015-03-23,45.27462387084961
2015-03-24,44.771087646484375
2015-03-25,44.14165496826172
2015-03-26,44.08981704711914
2015-03-27,44.097232818603516
2015-03-30,45.14133834838867
2015-03-31,44.859947204589844
2015-04-01,44.688499450683594
2015-04-02,45.11339569091797
2015-04-06,45.07612228393555
2015-04-07,45.35938262939453
2015-04-08,45.50846481323242
2015-04-09,45.82155990600586
2015-04-10,45.99299621582031
2015-04-13,46.2688102722168
2015-04-14,46.99186325073242
2015-04-15,47.864017486572266
2015-04-16,47.565853118896484
2015-04-17,46.84278869628906
2015-04-20,47.14094543457031
2015-04-21,46.44770812988281
2015-04-22,46.91731643676758
2015-04-23,46.812965393066406
2015-04-24,46.66388702392578
2015-04-27,46.470069885253906
2015-04-28,46.78315353393555
2015-04-29,47.4093132019043
2015-04-30,47.155853271484375
2015-05-01,47.41676330566406
2015-05-04,48.24418258666992
2015-05-05,48.00566101074219
2015-05-06,47.64786148071289
2015-05-07,48.0802001953125
2015-05-08,48.81818389892578
2015-05-11,48.788352966308594
2015-05-12,48.72126388549805
2015-05-13,48.84053039550781
2015-05-14,49.235599517822266
2015-05-15,49.108890533447266
2015-05-18,49.51142883300781
2015-05-19,49.95121383666992
2015-05-20,49.55615234375
2015-05-21,49.68287658691406
2015-05-22,49.54871368408203
2015-05-26,48.99708557128906
2015-05-27,49.54871368408203
2015-05-28,49.347415924072266
2015-05-29,49.03434753417969
2015-06-01,49.25798416137695
2015-06-02,49.2132568359375
2015-06-03,49.72013473510742
2015-06-04,49.4443244934082
2015-06-05,50.2568473815918
2015-06-08,49.86177062988281
2015-06-09,50.07794189453125
2015-06-10,50.883018493652344
2015-06-11,51.07682418823242
2015-06-12,50.87556076049805
2015-06-15,50.6817512512207
2015-06-16,50.96501159667969
2015-06-17,50.79357147216797
2015-06-18,51.2706298828125
2015-06-19,50.74884796142578
2015-06-22,51.40481948852539
2015-06-23,51.99369812011719
2015-06-24,51.44953155517578
2015-06-25,51.17374038696289
2015-06-26,51.397361755371094
2015-06-29,50.092857360839844
2015-06-30,50.51029968261719
2015-07-01,51.07301712036133
2015-07-02,50.66035079956055
2015-07-06,50.51780319213867
2015-07-07,50.12015151977539
2015-07-08,49.09222412109375
2015-07-09,49.602439880371094
2015-07-10,50.307743072509766
2015-07-13,51.088035583496094
2015-07-14,51.800819396972656
2015-07-15,51.91337966918945
2015-07-16,52.19097900390625
2015-07-17,51.928375244140625
2015-07-20,51.96589279174805
2015-07-21,51.8458366394043
2015-07-22,52.581138610839844
2015-07-23,52.250999450683594
2015-07-24,51.70329284667969
2015-07-27,51.028011322021484
2015-07-28,51.058021545410156
2015-07-29,51.72578811645508
2015-07-30,51.800819396972656
2015-07-31,51.41817092895508
2015-08-03,51.41817092895508
2015-08-04,51.36564254760742
2015-08-05,51.56821060180664
2015-08-06,51.20806884765625
2015-08-07,51.058021545410156
2015-08-10,51.68826675415039
2015-08-11,51.19307327270508
2015-08-12,50.45026397705078
2015-08-13,50.682861328125
2015-08-14,50.93795394897461
2015-08-17,51.07301712036133
2015-08-18,51.17807388305664
2015-08-19,50.72039031982422
2015-08-20,49.47488784790039
2015-08-21,47.719173431396484
2015-08-24,45.205665588378906
2015-08-25,44.950565338134766
2015-08-26,47.20146179199219
2015-08-27,48.37944793701172
2015-08-28,48.11682891845703
2015-08-31,48.094329833984375
2015-09-01,46.10602951049805
2015-09-02,46.94636154174805
2015-09-03,47.02890396118164
2015-09-04,46.1435432434082
2015-09-08,47.3890495300293
2015-09-09,46.65375518798828
2015-09-10,47.0139045715332
2015-09-11,46.938865661621094
2015-09-14,46.80380630493164
2015-09-15,47.70417022705078
2015-09-16,48.12433624267578
2015-09-17,47.006385803222656
2015-09-18,45.7233772277832
2015-09-21,46.10602951049805
2015-09-22,45.70087432861328
2015-09-23,45.498287200927734
2015-09-24,45.183162689208984
2015-09-25,46.12104034423828
2015-09-28,45.003089904785156
2015-09-29,44.89803695678711
2015-09-30,45.745880126953125
2015-10-01,46.08352279663086
2015-10-02,45.955055236816406
2015-10-05,46.869468688964844
2015-10-06,46.89213562011719
2015-10-07,46.95259094238281
2015-10-08,46.95259094238281
2015-10-09,46.80144500732422
2015-10-12,46.64274978637695
2015-10-13,46.5142707824707
2015-10-14,45.335357666015625
2015-10-15,46.771217346191406
2015-10-16,47.17930221557617
2015-10-19,47.02060317993164
2015-10-20,47.247318267822266
2015-10-21,46.899688720703125
2015-10-22,47.75363540649414
2015-10-23,48.26753616333008
2015-10-26,48.29021072387695
2015-10-27,48.09372329711914
2015-10-28,49.499359130859375
2015-10-29,49.28019332885742
2015-10-30,48.55470275878906
2015-11-02,49.52958679199219
2015-11-03,49.7109489440918
2015-11-04,49.76384735107422
2015-11-05,50.209716796875
2015-11-06,51.73626708984375
2015-11-09,50.92766189575195
2015-11-10,51.14681625366211
2015-11-11,50.897422790527344
2015-11-12,49.877201080322266
2015-11-13,49.54469299316406
2015-11-16,50.26262283325195
2015-11-17,49.9754638671875
2015-11-18,50.972999572753906
2015-11-19,51.13170623779297
2015-11-20,51.04100799560547
2015-11-23,50.54222869873047
2015-11-24,50.46666717529297
2015-11-25,50.527122497558594
2015-11-27,50.76138687133789
2015-11-30,50.39109802246094
2015-12-01,51.09391403198242
2015-12-02,50.3759880065918
2015-12-03,49.72605514526367
2015-12-04,51.30549621582031
2015-12-07,50.632930755615234
2015-12-08,49.84698486328125
2015-12-09,49.469120025634766
2015-12-10,49.58248519897461
2015-12-11,48.41868591308594
2015-12-14,48.56981658935547
2015-12-15,49.95277786254883
2015-12-16,51.033447265625
2015-12-17,50.088802337646484
2015-12-18,48.66807174682617
2015-12-21,49.52958679199219
2015-12-22,49.635372161865234
2015-12-23,50.42889404296875
2015-12-24,50.33063507080078
2015-12-28,50.16437530517578
2015-12-29,50.68581771850586
2015-12-30,50.32307434082031
2015-12-31,49.899879455566406
