Date,M
2015-01-02,40.8233642578125
2015-01-05,40.475337982177734
2015-01-06,40.32619094848633
2015-01-07,41.97926712036133
2015-01-08,42.14085388183594
2015-01-09,40.96630096435547
2015-01-12,41.04087829589844
2015-01-13,40.75498962402344
2015-01-14,40.04032516479492
2015-01-15,38.741477966308594
2015-01-16,39.238651275634766
2015-01-20,39.338077545166016
2015-01-21,39.89739227294922
2015-01-22,40.705291748046875
2015-01-23,40.91036605834961
2015-01-26,41.06571960449219
2015-01-27,40.71149444580078
2015-01-28,40.32619094848633
2015-01-29,40.618282318115234
2015-01-30,39.69853210449219
2015-02-02,39.88496398925781
2015-02-03,41.05950927734375
2015-02-04,40.32619094848633
2015-02-05,39.586666107177734
2015-02-06,39.605308532714844
2015-02-09,39.5804443359375
2015-02-10,40.096256256103516
2015-02-11,40.24541091918945
2015-02-12,40.18327331542969
2015-02-13,39.971961975097656
2015-02-17,39.54938507080078
2015-02-18,39.474796295166016
2015-02-19,39.15164566040039
2015-02-20,39.586666107177734
2015-02-23,39.87253952026367
2015-02-24,38.59233474731445
2015-02-25,39.51210403442383
2015-02-26,39.51210403442383
2015-02-27,39.59908676147461
2015-03-02,39.71095275878906
2015-03-03,39.443729400634766
2015-03-04,39.083290100097656
2015-03-05,39.269718170166016
2015-03-06,39.139217376708984
2015-03-09,38.87821578979492
2015-03-10,39.338077545166016
2015-03-11,38.946495056152344
2015-03-12,39.46486282348633
2015-03-13,39.57102966308594
2015-03-16,40.05194091796875
2015-03-17,40.033199310302734
2015-03-18,40.351715087890625
2015-03-19,40.63900375366211
2015-03-20,41.207340240478516
2015-03-23,40.9949951171875
2015-03-24,40.80138397216797
2015-03-25,40.42041778564453
2015-03-26,39.508583068847656
2015-03-27,39.75216293334961
2015-03-30,40.24554443359375
2015-03-31,40.53908157348633
2015-04-01,40.87632751464844
2015-04-02,42.3752326965332
2015-04-06,42.550113677978516
2015-04-07,42.43768310546875
2015-04-08,43.593101501464844
2015-04-09,42.46890640258789
2015-04-10,43.19337844848633
2015-04-13,43.18714141845703
2015-04-14,42.46890640258789
2015-04-15,42.4127082824707
2015-04-16,42.262821197509766
2015-04-17,41.5008659362793
2015-04-20,41.713226318359375
2015-04-21,41.86310577392578
2015-04-22,41.8443717956543
2015-04-23,42.106685638427734
2015-04-24,41.838138580322266
2015-04-27,41.18235778808594
2015-04-28,41.09491729736328
2015-04-29,40.476619720458984
2015-04-30,40.36420822143555
2015-05-01,40.63900375366211
2015-05-04,40.776405334472656
2015-05-05,40.283023834228516
2015-05-06,39.727169036865234
2015-05-07,40.4141731262207
2015-05-08,41.18235778808594
2015-05-11,41.23856735229492
2015-05-12,40.80138397216797
2015-05-13,39.802120208740234
2015-05-14,39.48359680175781
2015-05-15,41.55083084106445
2015-05-18,42.3752326965332
2015-05-19,43.14341735839844
2015-05-20,42.60007095336914
2015-05-21,42.25656509399414
2015-05-22,42.537620544433594
2015-05-26,42.05046844482422
2015-05-27,42.34401321411133
2015-05-28,42.49390411376953
2015-05-29,41.81313705444336
2015-06-01,41.725711822509766
2015-06-02,42.77494430541992
2015-06-03,43.51814270019531
2015-06-04,43.24336242675781
2015-06-05,43.249595642089844
2015-06-08,43.0747184753418
2015-06-09,43.17466354370117
2015-06-10,43.031002044677734
2015-06-11,43.26958084106445
2015-06-12,43.7027702331543
2015-06-15,43.3072509765625
2015-06-16,43.231910705566406
2015-06-17,43.979026794433594
2015-06-18,44.34943389892578
2015-06-19,43.853458404541016
2015-06-22,43.88483810424805
2015-06-23,44.01668167114258
2015-06-24,43.88483810424805
2015-06-25,43.42653274536133
2015-06-26,43.853458404541016
2015-06-29,42.12065887451172
2015-06-30,42.35923385620117
