date,STJ
2015-01-02,62.7138396773
2015-01-05,62.5689817169
2015-01-06,62.2020082171
2015-01-07,63.5733302427
2015-01-08,64.7128795315
2015-01-09,63.9306465451
2015-01-12,63.1097847692
2015-01-13,63.5347014532
2015-01-14,65.2440253865
2015-01-15,63.1966995455
2015-01-16,64.0658473082
2015-01-20,63.3898434927
2015-01-21,63.051841585
2015-01-22,64.3941920185
2015-01-23,62.7621256641
2015-01-26,63.7278454005
2015-01-27,64.3459060317
2015-01-28,65.0798530313
2015-01-29,64.0658473082
2015-01-30,63.6119590321
2015-02-02,64.6066503605
2015-02-03,65.3599117549
2015-02-04,64.2493340581
2015-02-05,65.3792261496
2015-02-06,63.9403037425
2015-02-09,62.597953309
2015-02-10,63.795445782
2015-02-11,64.0561901108
2015-02-12,64.539049979
2015-02-13,65.1667678076
2015-02-17,64.9543094656
2015-02-18,64.9349950709
2015-02-19,64.8770518867
2015-02-20,65.9393435967
2015-02-23,66.2000879255
2015-02-24,64.6163075579
2015-02-25,64.6935651368
2015-02-26,64.5100783869
2015-02-27,64.3941920185
2015-03-02,66.0166011756
2015-03-03,65.282654176
2015-03-04,64.8384230972
2015-03-05,65.4081977417
2015-03-06,64.2493340581
2015-03-09,64.5004211895
2015-03-10,64.1237904924
2015-03-11,64.2010480713
2015-03-12,64.7708227157
2015-03-13,64.007904124
2015-03-16,65.1474534129
2015-03-17,63.2063567428
2015-03-18,63.3319003086
2015-03-19,64.3845348212
2015-03-20,64.7804799131
2015-03-23,64.9543094656
2015-03-24,64.5004211895
2015-03-25,63.1870423481
2015-03-26,63.0421843877
2015-03-27,63.8437317688
2015-03-30,64.6682102253
2015-03-31,63.4363424139
2015-04-01,63.3102457088
2015-04-02,63.368444188
2015-04-06,64.3481185892
2015-04-07,64.5809125064
2015-04-08,65.5120881748
2015-04-09,65.9000780367
2015-04-10,66.1231722072
2015-04-13,65.6187853868
2015-04-14,65.3471924835
2015-04-15,66.491762576
2015-04-16,66.2298694193
2015-04-17,65.7254825988
2015-04-20,66.1813706865
2015-04-21,67.0446481292
2015-04-22,71.3416358492
2015-04-23,71.7878241904
2015-04-24,71.2640378769
2015-04-27,70.1291675309
2015-04-28,70.4007604342
2015-04-29,69.5180834985
2015-04-30,67.946724558
2015-05-01,69.3240885676
2015-05-04,70.4104601808
2015-05-05,69.1882921159
2015-05-06,68.9360987057
2015-05-07,69.207691609
2015-05-08,70.2843634757
2015-05-11,70.3522617015
2015-05-12,69.615080964
2015-05-13,69.6053812174
2015-05-14,72.2534120246
2015-05-15,72.7093001123
2015-05-18,72.4862059417
2015-05-19,72.3407097435
2015-05-20,72.224312785
2015-05-21,72.4959056883
2015-05-22,72.0400176006
2015-05-26,71.4774323009
2015-05-27,72.0691168402
2015-05-28,71.923620642
2015-05-29,71.5356307802
2015-06-01,72.1564145591
2015-06-02,71.9818191213
2015-06-03,72.2340125315
2015-06-04,71.1476409183
2015-06-05,71.6132287525
2015-06-08,70.9439462408
2015-06-09,71.1864399045
2015-06-10,72.2049132919
2015-06-11,72.8838955501
2015-06-12,72.1079158264
2015-06-15,71.6423279922
2015-06-16,71.7684246973
2015-06-17,71.9721193748
2015-06-18,73.5628778084
2015-06-19,73.3882823705
2015-06-22,73.5434783153
2015-06-23,73.0390914949
2015-06-24,72.1952135453
2015-06-25,72.4086079694
2015-06-26,72.4280074624
2015-06-29,70.9381600382
2015-06-30,71.1523864652
2015-07-01,71.6976900976
2015-07-02,71.1134362057
2015-07-06,71.1329113355
2015-07-07,72.1164053868
2015-07-08,71.7561154868
2015-07-09,72.5838085003
2015-07-10,73.3530761246
2015-07-13,74.4242082597
2015-07-14,74.9500367624
2015-07-15,74.258669657
2015-07-16,75.1447880597
2015-07-17,75.1350504948
2015-07-20,74.5605341678
2015-07-21,74.6968600759
2015-07-22,74.6579098164
2015-07-23,73.5478274219
2015-07-24,71.9995546084
2015-07-27,71.2594996787
2015-07-28,72.24299373
2015-07-29,72.4669577219
2015-07-30,71.9703419138
2015-07-31,71.88270383
2015-08-03,71.4737261057
2015-08-04,70.8505219544
2015-08-05,71.3860880219
2015-08-06,70.0520416355
2015-08-07,69.5554258274
2015-08-10,70.1104670247
2015-08-11,69.7112268652
2015-08-12,69.370412095
2015-08-13,69.3509369652
2015-08-14,69.078285149
2015-08-17,70.6362955274
2015-08-18,70.5973452679
2015-08-19,70.2467929328
2015-08-20,68.4550809977
2015-08-21,66.2349162086
2015-08-24,64.6769058303
2015-08-25,66.4686177653
2015-08-26,67.5202747707
2015-08-27,70.5291823139
2015-08-28,70.7141960463
2015-08-31,68.9516968058
2015-09-01,66.8775954897
2015-09-02,69.1951359274
2015-09-03,68.5329815166
2015-09-04,67.8124017167
2015-09-08,69.370412095
2015-09-09,66.7899574059
2015-09-10,67.9000398004
2015-09-11,67.9584651896
2015-09-14,66.6633690626
2015-09-15,67.2281478248
2015-09-16,67.500799641
2015-09-17,67.4228991221
2015-09-18,65.5435491032
2015-09-21,65.2124718978
2015-09-22,64.8521819978
2015-09-23,64.6087428762
2015-09-24,64.6379555708
2015-09-25,63.1481081465
2015-09-28,61.4148216006
