date,TIF
2015-01-02,92.9369447235
2015-01-05,91.3953366356
2015-01-06,90.0034847621
2015-01-07,92.6550506731
2015-01-08,92.6198139168
2015-01-09,91.1310609634
2015-01-12,78.4105919416
2015-01-13,76.0233017027
2015-01-14,76.4109060219
2015-01-15,75.4947503583
2015-01-16,77.8732314081
2015-01-20,79.2298465254
2015-01-21,79.2650832817
2015-01-22,80.1371929999
2015-01-23,80.2340940798
2015-01-26,80.2076665125
2015-01-27,79.538168143
2015-01-28,78.1286978912
2015-01-29,78.4986838323
2015-01-30,76.3228141312
2015-02-02,76.7456552067
2015-02-03,79.2827016598
2015-02-04,77.8908497863
2015-02-05,77.503245467
2015-02-06,76.3051957531
2015-02-09,77.1949238495
2015-02-10,78.9919984204
2015-02-11,77.2477789839
2015-02-12,77.6089557359
2015-02-13,78.4458286979
2015-02-17,78.7101043701
2015-02-18,78.6660584247
2015-02-19,78.0934611349
2015-02-20,79.4588854413
2015-02-23,79.2738924708
2015-02-24,78.8598605843
2015-02-25,79.0712811221
2015-02-26,78.1375070803
2015-02-27,77.7146660048
2015-03-02,79.8112530042
2015-03-03,78.3489276181
2015-03-04,76.4549519673
2015-03-05,76.6223265597
2015-03-06,75.0278633374
2015-03-09,74.3583649679
2015-03-10,73.5038736277
2015-03-11,74.1733719973
2015-03-12,76.0233017027
2015-03-13,75.57403306
2015-03-16,75.5564146818
2015-03-17,74.860488745
2015-03-18,75.6092698163
2015-03-19,76.4233192982
2015-03-20,73.3794821049
2015-03-23,77.6355451572
2015-03-24,77.9098444391
2015-03-25,77.918692803
2015-03-26,76.3525323867
2015-03-27,76.5206513015
2015-03-30,78.3876560915
2015-03-31,77.8744509834
2015-04-01,76.2109585638
2015-04-02,76.8126473113
2015-04-06,78.2726273604
2015-04-07,77.8832993473
2015-04-08,79.1132219341
2015-04-09,78.998193203
2015-04-10,79.1486153899
2015-04-13,78.8212259243
2015-04-14,77.3347007834
2015-04-15,77.3523975113
2015-04-16,75.8658723704
2015-04-17,74.8483105179
2015-04-20,75.0960647081
2015-04-21,74.4589825048
2015-04-22,75.2995770786
2015-04-23,76.5471963933
2015-04-24,77.0869465932
2015-04-27,76.0693847408
2015-04-28,76.4675611179
2015-04-29,76.9276760424
2015-04-30,77.4054876949
2015-05-01,78.9008611997
2015-05-04,78.5734717342
2015-05-05,78.5823200981
2015-05-06,76.9630694982
2015-05-07,77.8479058916
2015-05-08,78.4407462752
2015-05-11,77.3966393309
2015-05-12,77.8832993473
2015-05-13,76.9188276785
2015-05-14,75.6889050917
2015-05-15,76.5560447572
2015-05-18,76.6622251244
2015-05-19,76.4587127539
2015-05-20,76.4587127539
2015-05-21,76.8922825867
2015-05-22,76.9011309506
2015-05-26,75.6800567277
2015-05-27,83.6524326323
2015-05-28,83.7320679077
2015-05-29,82.9357151536
2015-06-01,82.9799569733
2015-06-02,83.1923177077
2015-06-03,83.1038340684
2015-06-04,82.1659074914
2015-06-05,82.1747558553
2015-06-08,81.5730671078
2015-06-09,81.4668867406
2015-06-10,82.3871165897
2015-06-11,82.1570591274
2015-06-12,81.4757351045
2015-06-15,81.1041038193
2015-06-16,81.546522016
2015-06-17,81.9270016652
2015-06-18,82.7764446028
2015-06-19,82.172172114
2015-06-22,82.8741945642
2015-06-23,83.6650806157
2015-06-24,83.1052399276
2015-06-25,83.1230126479
2015-06-26,83.7450578569
2015-06-29,80.9902862169
2015-06-30,81.5767859854
2015-07-01,83.3273989308
2015-07-02,83.5495579341
2015-07-06,82.5631719597
2015-07-07,83.9761032203
2015-07-08,80.1994001654
2015-07-09,80.8925362555
2015-07-10,81.7100813873
2015-07-13,82.8919672845
2015-07-14,82.9363990852
2015-07-15,83.2474216897
2015-07-16,83.5228988537
2015-07-17,82.5365128793
2015-07-20,83.5317852138
2015-07-21,83.4429216125
2015-07-22,84.2071485836
2015-07-23,84.6336938698
2015-07-24,82.856421844
2015-07-27,80.7059226927
2015-07-28,81.7456268278
2015-07-29,83.8694668987
2015-07-30,84.4204212267
2015-07-31,85.0424664358
2015-08-03,83.5495579341
2015-08-04,84.233807664
2015-08-05,84.2604667444
2015-08-06,82.8741945642
2015-08-07,82.9719445257
2015-08-10,84.9624891946
2015-08-11,83.1763308086
2015-08-12,79.7550821589
2015-08-13,80.0927638438
2015-08-14,80.2704910464
2015-08-17,80.8392180947
2015-08-18,81.3546269822
2015-08-19,81.1235816188
2015-08-20,79.0797187891
2015-08-21,76.3249471491
2015-08-24,73.7479027116
2015-08-25,72.7259712968
2015-08-26,75.6051519786
2015-08-27,74.0144935155
2015-08-28,74.2988570396
2015-08-31,73.0903120621
2015-09-01,71.0375628722
2015-09-02,72.6904258563
2015-09-03,72.3171987308
2015-09-04,71.366358197
2015-09-08,72.7526303772
2015-09-09,71.9439716054
2015-09-10,71.2686082356
2015-09-11,71.1797446343
2015-09-14,70.7354266279
2015-09-15,71.3752445572
2015-09-16,72.3705168916
2015-09-17,71.9884034061
2015-09-18,70.8631659877
2015-09-21,70.8810268991
2015-09-22,70.2916168229
2015-09-23,70.229103633
2015-09-24,69.5771803668
2015-09-25,69.1038662146
2015-09-28,66.8712522894
2015-09-29,67.1570268718
2015-09-30,68.9609789234
2015-10-01,68.3894297585
2015-10-02,69.5682499111
2015-10-05,71.6669070008
2015-10-06,71.3186192285
2015-10-07,71.631185178
2015-10-08,72.9350317104
2015-10-09,72.6939094064
2015-10-12,71.9258902162
2015-10-13,70.3541300128
2015-10-14,70.3809213799
2015-10-15,70.7917223421
2015-10-16,70.5773914053
2015-10-19,71.4793674311
2015-10-20,71.3543410513
2015-10-21,70.6666959623
2015-10-22,70.7738614307
2015-10-23,70.2023122659
2015-10-26,70.4523650255
2015-10-27,71.0417751018
2015-10-28,72.5242307481
2015-10-29,72.6135353051
2015-10-30,73.6226767994
2015-11-02,73.8548686476
2015-11-03,74.4800005467
2015-11-04,73.8280772805
2015-11-05,75.006897433
2015-11-06,73.1493626472
2015-11-09,71.6401156337
2015-11-10,71.5240197096
2015-11-11,69.1127966703
2015-11-12,68.6037606954
2015-11-13,66.5051036056
2015-11-16,67.1838182389
2015-11-17,66.2014681118
2015-11-18,66.4604513271
2015-11-19,66.2997031245
2015-11-20,67.1034441376
2015-11-23,68.3626383914
2015-11-24,70.8363746206
2015-11-25,72.1312906973
2015-11-27,71.2025233044
2015-11-30,71.1578710259
2015-12-01,70.9346096333
2015-12-02,69.5235976326
2015-12-03,67.987559252
2015-12-04,68.6573434296
2015-12-07,67.9786287963
2015-12-08,67.9696983406
2015-12-09,68.2733338344
2015-12-10,68.3090556572
2015-12-11,67.1748877832
2015-12-14,66.0675112763
2015-12-15,66.3800772258
2015-12-16,67.4338709985
2015-12-17,65.7549453267
2015-12-18,64.5068315209
2015-12-21,66.8773498284
2015-12-22,68.2242352304
2015-12-23,69.8225392408
2015-12-24,69.0952211238
2015-12-28,68.7809478633
2015-12-29,69.6968299367
2015-12-30,69.1850134839
2015-12-31,68.5025915469
