date,XEC
2015-01-02,105.49556737524
2015-01-05,99.385747371005
2015-01-06,97.638674445723
2015-01-07,96.809555091352
2015-01-08,99.227819874934
2015-01-09,99.741084237164
2015-01-12,94.874943264485
2015-01-13,95.773155898387
2015-01-14,94.657792957388
2015-01-15,90.699735087116
2015-01-16,97.668285851236
2015-01-20,97.34256039059
2015-01-21,101.48815716245
2015-01-22,101.18217263881
2015-01-23,98.951446756811
2015-01-26,101.66582559553
2015-01-27,102.76144759952
2015-01-28,99.484452056049
2015-01-29,99.336395028483
2015-01-30,101.86323496561
2015-02-02,106.01870220598
2015-02-03,111.93111284012
2015-02-04,108.68372870217
2015-02-05,110.83549083613
2015-02-06,108.66398776516
2015-02-09,106.5220960997
2015-02-10,105.33763987917
2015-02-11,105.52517878075
2015-02-12,109.69675961874
2015-02-13,110.72482693426
2015-02-17,111.24874585467
2015-02-18,111.84186161363
2015-02-19,115.72676983478
2015-02-20,114.57019410482
2015-02-23,114.36260358918
2015-02-24,113.31476574836
2015-02-25,115.71688457213
2015-02-26,111.39702479441
2015-02-27,108.42156073698
2015-03-02,108.58961020202
2015-03-03,109.41997226456
2015-03-04,108.78731545501
2015-03-05,109.82526803318
2015-03-06,108.1843144334
2015-03-09,106.9585418649
2015-03-10,106.13806506501
2015-03-11,106.51370504568
2015-03-12,105.70311350844
2015-03-13,105.52517878075
2015-03-16,106.35554084329
2015-03-17,104.98148933505
2015-03-18,109.31123437542
2015-03-19,105.99967138792
2015-03-20,109.35077542601
2015-03-23,107.47257552266
2015-03-24,108.63903651527
2015-03-25,110.29976064034
2015-03-26,112.27681317019
2015-03-27,111.20920480407
2015-03-30,114.19455412415
2015-03-31,113.76948783023
2015-04-01,115.17319512642
2015-04-02,117.28864133336
2015-04-06,121.79632110142
2015-04-07,122.74530631575
2015-04-08,120.71882747265
2015-04-09,124.37637465288
2015-04-10,123.57566837829
2015-04-13,122.66622421456
2015-04-14,125.55272090814
2015-04-15,127.9548397319
2015-04-16,127.21344503321
2015-04-17,126.7290671634
2015-04-20,125.57249143344
2015-04-21,122.81450315429
2015-04-22,121.73700952553
2015-04-23,122.27081370859
2015-04-24,120.11582645105
2015-04-27,118.96913598374
2015-04-28,121.4305663834
2015-04-29,124.75201463355
2015-04-30,122.97266735668
2015-05-01,121.38114007015
2015-05-04,121.75678005082
2015-05-05,117.85210130437
2015-05-06,118.41556127538
2015-05-07,117.17990344422
2015-05-08,117.08105081773
2015-05-11,114.40214463978
2015-05-12,116.56701715997
2015-05-13,115.74654036008
2015-05-14,113.65789587056
2015-05-15,113.82617528441
2015-05-18,115.25160090759
2015-05-19,113.59850313626
2015-05-20,115.13281543899
2015-05-21,118.51820129404
2015-05-22,117.14226961611
2015-05-26,115.25160090759
2015-05-27,115.78613551628
2015-05-28,113.20255157426
2015-05-29,114.340912315
2015-06-01,113.944960753
2015-06-02,115.26149969664
2015-06-03,115.06352391564
2015-06-04,113.62819950341
2015-06-05,115.79603430533
2015-06-08,115.51886821193
2015-06-09,117.6570066467
2015-06-10,120.07231117487
2015-06-11,118.64688555169
2015-06-12,117.01358535846
2015-06-15,117.68670301385
2015-06-16,119.67635961288
2015-06-17,118.67658191884
2015-06-18,117.92427395105
2015-06-19,116.03360524253
2015-06-22,116.30087254687
2015-06-23,116.53844348407
2015-06-24,115.61785610243
2015-06-25,114.58838204125
2015-06-26,111.57915017009
2015-06-29,108.11457400263
2015-06-30,109.19354200907
