date,AN
2015-01-02,60.04
2015-01-05,59.21
2015-01-06,59.12
2015-01-07,59.51
2015-01-08,59.86
2015-01-09,58.95
2015-01-12,58.12
2015-01-13,57.52
2015-01-14,57.19
2015-01-15,56.12
2015-01-16,58.07
2015-01-20,57.8
2015-01-21,57.34
2015-01-22,58.58
2015-01-23,59.41
2015-01-26,59.91
2015-01-27,59.81
2015-01-28,59.73
2015-01-29,60.57
2015-01-30,59.62
2015-02-02,59.34
2015-02-03,63.17
2015-02-04,62.81
2015-02-05,63.41
2015-02-06,63.32
2015-02-09,63.5
2015-02-10,64.52
2015-02-11,63.89
2015-02-12,63.47
2015-02-13,63.7
2015-02-17,63.15
2015-02-18,62.33
2015-02-19,62.28
2015-02-20,62.63
2015-02-23,62.51
2015-02-24,62.03
2015-02-25,62.0
2015-02-26,61.44
2015-02-27,61.5
2015-03-02,62.6
2015-03-03,62.28
2015-03-04,62.04
2015-03-05,61.61
2015-03-06,60.03
2015-03-09,60.78
2015-03-10,60.16
2015-03-11,60.8
2015-03-12,62.17
2015-03-13,61.53
2015-03-16,62.8
2015-03-17,62.21
2015-03-18,62.88
2015-03-19,63.39
2015-03-20,63.49
2015-03-23,63.2
2015-03-24,62.97
2015-03-25,62.04
2015-03-26,61.6
2015-03-27,63.0
2015-03-30,64.45
2015-03-31,64.33
2015-04-01,63.77
2015-04-02,64.47
2015-04-06,64.91
2015-04-07,63.7
2015-04-08,64.81
2015-04-09,64.91
2015-04-10,65.46
2015-04-13,64.62
2015-04-14,64.68
2015-04-15,64.87
2015-04-16,64.33
2015-04-17,63.52
2015-04-20,64.51
2015-04-21,64.9
2015-04-22,65.83
2015-04-23,64.97
2015-04-24,64.8
2015-04-27,63.67
2015-04-28,62.51
2015-04-29,62.23
2015-04-30,61.55
2015-05-01,62.96
2015-05-04,63.57
2015-05-05,63.09
2015-05-06,63.12
2015-05-07,62.81
2015-05-08,63.12
2015-05-11,63.06
2015-05-12,62.97
2015-05-13,62.37
2015-05-14,62.32
2015-05-15,62.3
2015-05-18,62.69
2015-05-19,62.48
2015-05-20,62.21
2015-05-21,62.39
2015-05-22,62.26
2015-05-26,61.36
2015-05-27,63.28
2015-05-28,63.38
2015-05-29,62.41
2015-06-01,62.93
2015-06-02,62.7
2015-06-03,63.89
2015-06-04,63.74
2015-06-05,64.24
2015-06-08,64.21
2015-06-09,63.96
2015-06-10,64.19
2015-06-11,63.72
2015-06-12,63.03
2015-06-15,62.63
2015-06-16,63.36
2015-06-17,63.55
2015-06-18,63.47
2015-06-19,62.92
2015-06-22,62.89
2015-06-23,63.5
2015-06-24,64.23
2015-06-25,64.35
2015-06-26,64.85
2015-06-29,62.7
2015-06-30,62.98
2015-07-01,63.89
2015-07-02,63.42
2015-07-06,63.13
2015-07-07,62.85
2015-07-08,61.35
2015-07-09,61.81
2015-07-10,62.21
2015-07-13,64.99
2015-07-14,65.52
2015-07-15,65.67
2015-07-16,65.99
2015-07-17,66.2
2015-07-20,66.19
2015-07-21,64.72
2015-07-22,62.88
2015-07-23,62.41
2015-07-24,60.52
2015-07-27,59.26
2015-07-28,60.08
2015-07-29,61.03
2015-07-30,61.81
2015-07-31,62.34
2015-08-03,61.21
2015-08-04,61.12
2015-08-05,61.8
2015-08-06,60.83
2015-08-07,60.54
2015-08-10,61.27
2015-08-11,60.6
2015-08-12,60.44
2015-08-13,60.66
2015-08-14,60.61
2015-08-17,60.91
2015-08-18,62.54
2015-08-19,61.88
2015-08-20,60.8
2015-08-21,58.89
2015-08-24,57.8
2015-08-25,57.75
2015-08-26,59.2
2015-08-27,60.3
2015-08-28,60.52
2015-08-31,59.84
2015-09-01,58.08
2015-09-02,58.51
2015-09-03,57.91
2015-09-04,57.35
2015-09-08,58.77
2015-09-09,58.71
2015-09-10,58.65
2015-09-11,58.71
2015-09-14,58.52
2015-09-15,58.88
2015-09-16,60.61
2015-09-17,61.15
2015-09-18,60.12
2015-09-21,60.93
2015-09-22,59.82
2015-09-23,59.63
2015-09-24,58.55
2015-09-25,59.37
2015-09-28,56.23
2015-09-29,56.65
2015-09-30,58.18
2015-10-01,57.83
2015-10-02,59.49
2015-10-05,60.81
2015-10-06,59.58
2015-10-07,59.64
2015-10-08,60.62
2015-10-09,60.97
2015-10-12,60.74
2015-10-13,59.97
2015-10-14,59.99
2015-10-15,61.37
2015-10-16,61.22
2015-10-19,62.2
2015-10-20,62.23
2015-10-21,61.67
2015-10-22,61.64
2015-10-23,61.58
2015-10-26,61.83
2015-10-27,61.0
2015-10-28,62.45
2015-10-29,62.4
2015-10-30,63.19
2015-11-02,63.35
2015-11-03,63.95
2015-11-04,65.32
2015-11-05,64.41
2015-11-06,64.0
2015-11-09,63.66
2015-11-10,64.18
2015-11-11,63.35
2015-11-12,62.06
2015-11-13,59.76
2015-11-16,61.44
2015-11-17,62.64
2015-11-18,63.48
2015-11-19,63.04
2015-11-20,63.43
2015-11-23,63.07
2015-11-24,63.5
2015-11-25,64.61
2015-11-27,64.33
2015-11-30,63.92
2015-12-01,64.48
2015-12-02,64.28
2015-12-03,62.93
2015-12-04,63.53
2015-12-07,63.17
2015-12-08,62.51
2015-12-09,63.02
2015-12-10,62.79
2015-12-11,61.24
2015-12-14,61.11
2015-12-15,61.04
2015-12-16,61.47
2015-12-17,59.76
2015-12-18,59.12
2015-12-21,59.4
2015-12-22,60.53
2015-12-23,60.72
2015-12-24,60.2
2015-12-28,59.77
2015-12-29,60.61
2015-12-30,60.28
2015-12-31,59.66
