date,PDCO
2015-01-02,34.2482478532
2015-01-05,34.114217635
2015-01-06,33.7473980905
2015-01-07,34.9818869421
2015-01-08,35.5626755084
2015-01-09,35.7184968311
2015-01-12,35.4564336975
2015-01-13,35.5414271463
2015-01-14,35.5980894454
2015-01-15,35.2227017135
2015-01-16,35.626420595
2015-01-20,35.6547517446
2015-01-21,35.5343443589
2015-01-22,36.4409411454
2015-01-23,36.2567886731
2015-01-26,36.2638714605
2015-01-27,36.164712437
2015-01-28,35.8459870042
2015-01-29,36.1080501378
2015-01-30,35.4776820597
2015-02-02,35.3643574614
2015-02-03,35.8318214294
2015-02-04,35.9026493034
2015-02-05,36.3842788462
2015-02-06,35.8211972483
2015-02-09,35.1872877765
2015-02-10,35.2935295874
2015-02-11,35.5768410832
2015-02-12,35.9841013584
2015-02-13,35.8743181538
2015-02-17,35.661834532
2015-02-18,35.5697582958
2015-02-19,34.9323074303
2015-02-20,34.9110590681
2015-02-23,34.8437725879
2015-02-24,35.1093771152
2015-02-25,34.9429316114
2015-02-26,35.0173008791
2015-02-27,35.4670578786
2015-03-02,35.6830828941
2015-03-03,35.6051722328
2015-03-04,35.6016308391
2015-03-05,35.7149554374
2015-03-06,34.9464730051
2015-03-09,35.1943705639
2015-03-10,34.620664785
2015-03-11,33.9690483446
2015-03-12,34.818982832
2015-03-13,34.351518864
2015-03-16,35.0243836664
2015-03-17,34.6277475723
2015-03-18,35.2368672883
2015-03-19,35.2864468
2015-03-20,35.6547517446
2015-03-23,35.4422681227
2015-03-24,35.0562562097
2015-03-25,34.5569196984
2015-03-26,34.28069099
2015-03-27,34.514422974
2015-03-30,34.7764861076
2015-03-31,34.5569196984
2015-04-01,34.1177868799
2015-04-02,34.3231877144
2015-04-06,34.1886147539
2015-04-07,34.316104927
2015-04-08,34.2169459035
2015-04-09,34.3165585553
2015-04-10,34.3877104495
2015-04-13,34.3165585553
2015-04-14,34.2454066611
2015-04-15,33.9038775691
2015-04-16,33.8611864326
2015-04-17,33.40581431
2015-04-20,33.6690763184
2015-04-21,33.5908092348
2015-04-22,33.6833066972
2015-04-23,33.7935921332
2015-04-24,34.2880977976
2015-04-27,33.7046522655
2015-04-28,33.9679142739
2015-04-29,33.5979244242
2015-04-30,33.4093719047
2015-05-01,33.4983117724
2015-05-04,32.9860181344
2015-05-05,32.6587194213
2015-05-06,32.4523789282
2015-05-07,32.6231434742
2015-05-08,32.7725624519
2015-05-11,32.7796776413
2015-05-12,32.6089130954
2015-05-13,32.7191985313
2015-05-14,33.0500548392
2015-05-15,33.0998611651
2015-05-18,33.3417776052
2015-05-19,33.6761915078
2015-05-20,33.7331130231
2015-05-21,33.5623484772
2015-05-22,33.9252231374
2015-05-26,33.5552332877
2015-05-27,33.6263851819
2015-05-28,33.8540712432
2015-05-29,34.0390661681
2015-06-01,34.1315636305
2015-06-02,33.9679142739
2015-06-03,34.1315636305
2015-06-04,34.2454066611
2015-06-05,34.0248357892
2015-06-08,34.1600243881
2015-06-09,34.0248357892
2015-06-10,34.3165585553
2015-06-11,34.5798205637
2015-06-12,34.430401586
2015-06-15,34.0675269257
2015-06-16,34.4517471542
2015-06-17,34.8003914356
2015-06-18,35.1241325541
2015-06-19,35.0565382546
2015-06-22,35.2557635583
2015-06-23,35.0565382546
2015-06-24,34.6652028367
2015-06-25,34.636742079
2015-06-26,34.7292395414
2015-06-29,34.2525218505
2015-06-30,34.6153965108
2015-07-01,35.0565382546
2015-07-02,34.8288521933
