Date,STT
2015-01-02,57.35969924926758
2015-01-05,56.4079704284668
2015-01-06,54.79738235473633
2015-01-07,55.309844970703125
2015-01-08,56.481178283691406
2015-01-09,55.66124725341797
2015-01-12,55.17805480957031
2015-01-13,55.04631805419922
2015-01-14,53.69922637939453
2015-01-15,53.281951904296875
2015-01-16,53.92618942260742
2015-01-20,53.589393615722656
2015-01-21,54.71683883666992
2015-01-22,56.43726348876953
2015-01-23,53.003726959228516
2015-01-26,53.647987365722656
2015-01-27,53.10623550415039
2015-01-28,52.18379592895508
2015-01-29,52.56446075439453
2015-01-30,52.35216522216797
2015-02-02,53.42836380004883
2015-02-03,54.62899398803711
2015-02-04,54.0067138671875
2015-02-05,54.680233001708984
2015-02-06,55.72713851928711
2015-02-09,55.756431579589844
2015-02-10,56.569034576416016
2015-02-11,56.364078521728516
2015-02-12,56.65689468383789
2015-02-13,56.32011795043945
2015-02-17,56.569034576416016
2015-02-18,55.82231140136719
2015-02-19,56.03462219238281
2015-02-20,56.832584381103516
2015-02-23,56.444583892822266
2015-02-24,57.257205963134766
2015-02-25,56.30549621582031
2015-02-26,54.768104553222656
2015-02-27,54.504539489746094
2015-03-02,55.324485778808594
2015-03-03,55.17805480957031
2015-03-04,55.00236129760742
2015-03-05,54.66558074951172
2015-03-06,53.30391311645508
2015-03-09,53.86028289794922
2015-03-10,52.22770690917969
2015-03-11,53.01839065551758
2015-03-12,53.93348693847656
2015-03-13,53.743160247802734
2015-03-16,54.833988189697266
2015-03-17,55.3171501159668
2015-03-18,55.00236129760742
2015-03-19,54.7827262878418
2015-03-20,55.81495666503906
2015-03-23,55.324485778808594
2015-03-24,54.72417449951172
2015-03-25,53.640663146972656
2015-03-26,53.91887283325195
2015-03-27,53.78708267211914
2015-03-30,54.30900192260742
2015-03-31,54.05170440673828
2015-04-01,53.99290466308594
2015-04-02,54.37515640258789
2015-04-06,54.87503433227539
2015-04-07,55.279319763183594
2015-04-08,55.7056884765625
2015-04-09,56.029144287109375
2015-04-10,56.12468338012695
2015-04-13,56.345218658447266
2015-04-14,56.15409851074219
2015-04-15,56.25699996948242
2015-04-16,56.19086837768555
2015-04-17,55.632171630859375
2015-04-20,56.0732421875
2015-04-21,56.35993576049805
2015-04-22,57.2861328125
2015-04-23,57.4772834777832
2015-04-24,56.13203811645508
2015-04-27,56.551048278808594
2015-04-28,56.9553337097168
2015-04-29,57.080299377441406
2015-04-30,56.69073486328125
2015-05-01,57.080299377441406
2015-05-04,57.88154983520508
2015-05-05,57.88892364501953
2015-05-06,57.34495544433594
2015-05-07,57.462562561035156
2015-05-08,57.88892364501953
2015-05-11,57.3523063659668
2015-05-12,57.16118621826172
2015-05-13,57.33759689331055
2015-05-14,57.131771087646484
2015-05-15,57.22734069824219
