Date,HUM
2015-01-02,130.4454803466797
2015-01-05,126.9879379272461
2015-01-06,126.88758850097656
2015-01-07,129.29600524902344
2015-01-08,134.86082458496094
2015-01-09,133.8755340576172
2015-01-12,132.74436950683594
2015-01-13,133.9576873779297
2015-01-14,134.60540771484375
2015-01-15,134.94296264648438
2015-01-16,136.7857666015625
2015-01-20,135.9008331298828
2015-01-21,139.8326873779297
2015-01-22,140.1702423095703
2015-01-23,138.1815185546875
2015-01-26,138.66502380371094
2015-01-27,137.52474975585938
2015-01-28,135.8461151123047
2015-01-29,136.4937286376953
2015-01-30,133.59278869628906
2015-02-02,133.17308044433594
2015-02-03,135.54507446289062
2015-02-04,137.33303833007812
2015-02-05,137.1688995361328
2015-02-06,134.77871704101562
2015-02-09,134.240478515625
2015-02-10,138.345703125
2015-02-11,139.8692169189453
2015-02-12,140.24319458007812
2015-02-13,139.2761993408203
2015-02-17,141.27407836914062
2015-02-18,141.7667236328125
2015-02-19,139.8326873779297
2015-02-20,142.4235076904297
2015-02-23,150.08663940429688
2015-02-24,150.0136260986328
2015-02-25,150.86204528808594
2015-02-26,149.01927185058594
2015-02-27,149.9589080810547
2015-03-02,147.7876739501953
2015-03-03,146.19125366210938
2015-03-04,146.16384887695312
2015-03-05,147.8880615234375
2015-03-06,145.716796875
2015-03-09,148.09786987304688
2015-03-10,145.0509033203125
2015-03-11,146.87539672851562
2015-03-12,149.86767578125
2015-03-13,151.8928985595703
2015-03-16,159.0176544189453
2015-03-17,158.7349090576172
2015-03-18,162.95877075195312
2015-03-19,165.0843505859375
2015-03-20,166.75381469726562
2015-03-23,166.12435913085938
2015-03-24,164.5825653076172
2015-03-25,161.77285766601562
2015-03-26,160.3040313720703
2015-03-27,162.2046356201172
2015-03-30,165.548828125
2015-03-31,162.6614532470703
2015-04-01,162.31423950195312
2015-04-02,162.62496948242188
2015-04-06,162.88075256347656
2015-04-07,162.73452758789062
2015-04-08,163.3101806640625
2015-04-09,162.3964080810547
2015-04-10,163.081787109375
2015-04-13,163.1731719970703
2015-04-14,164.0594940185547
2015-04-15,161.48275756835938
2015-04-16,162.3507843017578
2015-04-17,162.16806030273438
2015-04-20,163.28274536132812
2015-04-21,164.58944702148438
2015-04-22,164.47976684570312
2015-04-23,166.2158660888672
2015-04-24,166.61788940429688
2015-04-27,164.58030700683594
2015-04-28,165.48489379882812
2015-04-29,153.55162048339844
2015-04-30,151.31292724609375
2015-05-01,152.00743103027344
2015-05-04,154.09983825683594
2015-05-05,150.07949829101562
2015-05-06,149.00128173828125
2015-05-07,150.34442138671875
2015-05-08,153.41456604003906
2015-05-11,152.24496459960938
2015-05-12,158.42172241210938
2015-05-13,158.5314483642578
2015-05-14,159.21669006347656
2015-05-15,160.72430419921875
2015-05-18,161.3730926513672
2015-05-19,162.40557861328125
2015-05-20,163.13661193847656
2015-05-21,163.3376007080078
2015-05-22,163.55691528320312
2015-05-26,162.5335235595703
2015-05-27,163.11837768554688
2015-05-28,163.01776123046875
2015-05-29,196.1312255859375
2015-06-01,196.37791442871094
2015-06-02,196.21347045898438
2015-06-03,195.1809539794922
2015-06-04,194.6235809326172
2015-06-05,195.88455200195312
2015-06-08,194.01141357421875
2015-06-09,194.1393585205078
2015-06-10,195.94847106933594
2015-06-11,195.69261169433594
2015-06-12,194.1393585205078
2015-06-15,188.75747680664062
2015-06-16,182.37965393066406
2015-06-17,183.55841064453125
2015-06-18,182.1055450439453
2015-06-19,184.85585021972656
2015-06-22,173.55308532714844
2015-06-23,173.47994995117188
2015-06-24,168.33567810058594
2015-06-25,180.3420867919922
2015-06-26,178.89625549316406
2015-06-29,176.5170440673828
2015-06-30,175.0347137451172
2015-07-01,176.73667907714844
2015-07-02,171.5756378173828
2015-07-06,172.91168212890625
2015-07-07,171.2096405029297
2015-07-08,170.07498168945312
2015-07-09,170.34951782226562
2015-07-10,171.3468780517578
2015-07-13,169.3794708251953
2015-07-14,170.3311767578125
2015-07-15,171.557373046875
2015-07-16,170.58743286132812
2015-07-17,171.52076721191406
2015-07-20,170.34951782226562
2015-07-21,170.0657958984375
2015-07-22,170.2946319580078
2015-07-23,169.04090881347656
2015-07-24,166.3231964111328
2015-07-27,168.2905731201172
2015-07-28,168.8488006591797
2015-07-29,168.7480926513672
2015-07-30,168.09841918945312
2015-07-31,166.62510681152344
2015-08-03,166.9087677001953
2015-08-04,166.84475708007812
2015-08-05,169.7821044921875
2015-08-06,168.8488006591797
2015-08-07,168.4278564453125
2015-08-10,170.4409637451172
2015-08-11,170.03836059570312
2015-08-12,170.2854461669922
2015-08-13,170.25796508789062
2015-08-14,170.66978454589844
2015-08-17,173.63453674316406
2015-08-18,174.34829711914062
2015-08-19,173.31430053710938
2015-08-20,170.2854461669922
2015-08-21,166.2957000732422
2015-08-24,160.3020477294922
2015-08-25,160.55821228027344
2015-08-26,165.38064575195312
2015-08-27,169.1140594482422
2015-08-28,168.38206481933594
2015-08-31,167.26568603515625
2015-09-01,164.0263214111328
2015-09-02,166.2682647705078
2015-09-03,166.68919372558594
2015-09-04,166.10354614257812
2015-09-08,169.26968383789062
2015-09-09,169.42529296875
2015-09-10,169.4801788330078
2015-09-11,171.4109649658203
2015-09-14,171.1180877685547
2015-09-15,171.74952697753906
2015-09-16,171.68551635742188
2015-09-17,172.57313537597656
2015-09-18,171.93251037597656
2015-09-21,172.80194091796875
2015-09-22,172.6280059814453
2015-09-23,172.65542602539062
2015-09-24,170.1756134033203
2015-09-25,165.76498413085938
2015-09-28,159.62417602539062
2015-09-29,161.09063720703125
2015-09-30,164.06024169921875
2015-10-01,165.0409393310547
2015-10-02,168.19378662109375
2015-10-05,168.05630493164062
2015-10-06,163.96856689453125
2015-10-07,165.8199462890625
2015-10-08,165.251708984375
2015-10-09,165.92996215820312
2015-10-12,166.3607940673828
