Date,KSS
2015-01-02,34.00016784667969
2015-01-05,33.794769287109375
2015-01-06,33.74913024902344
2015-01-07,34.98155212402344
2015-01-08,35.10136795043945
2015-01-09,34.35393142700195
2015-01-12,34.59355163574219
2015-01-13,34.59926986694336
2015-01-14,34.1884651184082
2015-01-15,33.40679168701172
2015-01-16,33.85752487182617
2015-01-20,33.29836654663086
2015-01-21,33.469539642333984
2015-01-22,34.34251403808594
2015-01-23,34.33681106567383
2015-01-26,35.05001449584961
2015-01-27,34.85031509399414
2015-01-28,34.6905632019043
2015-01-29,34.662025451660156
2015-01-30,34.0743522644043
2015-02-02,35.055728912353516
2015-02-03,35.87734603881836
2015-02-04,38.1539192199707
2015-02-05,38.650291442871094
2015-02-06,39.54038619995117
2015-02-09,39.72298812866211
2015-02-10,39.70015335083008
2015-02-11,39.637393951416016
2015-02-12,39.2722282409668
2015-02-13,38.9412956237793
2015-02-17,39.283634185791016
2015-02-18,39.226593017578125
2015-02-19,39.009761810302734
2015-02-20,39.65450668334961
2015-02-23,39.93977737426758
2015-02-24,39.92267608642578
2015-02-25,40.453304290771484
2015-02-26,40.90404510498047
2015-02-27,42.107967376708984
2015-03-02,42.37042236328125
2015-03-03,42.50733184814453
2015-03-04,42.39324188232422
2015-03-05,41.99383544921875
2015-03-06,41.856903076171875
2015-03-09,42.316162109375
2015-03-10,42.43100357055664
2015-03-11,42.39655303955078
2015-03-12,42.718048095703125
2015-03-13,42.54006576538086
2015-03-16,42.597476959228516
2015-03-17,42.672115325927734
2015-03-18,43.02804183959961
2015-03-19,43.40695571899414
2015-03-20,43.424171447753906
2015-03-23,43.401206970214844
2015-03-24,43.06250762939453
2015-03-25,42.8787841796875
2015-03-26,43.05099868774414
2015-03-27,43.23471450805664
2015-03-30,43.986778259277344
2015-03-31,44.92253494262695
2015-04-01,44.87087631225586
2015-04-02,45.39329528808594
2015-04-06,45.24402618408203
2015-04-07,44.985694885253906
2015-04-08,44.6355094909668
2015-04-09,44.589576721191406
2015-04-10,45.008663177490234
2015-04-13,44.62400817871094
2015-04-14,43.96379852294922
2015-04-15,43.74565124511719
2015-04-16,43.808807373046875
2015-04-17,42.75249099731445
2015-04-20,43.2462043762207
2015-04-21,43.02804183959961
2015-04-22,43.57918167114258
2015-04-23,44.07862091064453
2015-04-24,42.821372985839844
2015-04-27,41.85691452026367
2015-04-28,42.052093505859375
2015-04-29,40.81781005859375
2015-04-30,41.133544921875
2015-05-01,41.96023178100586
2015-05-04,41.98320388793945
2015-05-05,41.07614517211914
2015-05-06,41.885623931884766
2015-05-07,42.115234375
2015-05-08,42.64339828491211
2015-05-11,42.65489196777344
2015-05-12,42.65489196777344
2015-05-13,42.775455474853516
2015-05-14,37.09770202636719
2015-05-15,37.964569091796875
2015-05-18,37.93012619018555
2015-05-19,38.1769905090332
2015-05-20,37.798091888427734
2015-05-21,37.83828353881836
2015-05-22,37.947349548339844
2015-05-26,37.378997802734375
2015-05-27,37.53975296020508
