Date,GM
2015-01-02,26.835498809814453
2015-01-05,26.44266700744629
2015-01-06,26.84319496154785
2015-01-07,27.60574722290039
2015-01-08,27.883031845092773
2015-01-09,27.41318702697754
2015-01-12,27.60574722290039
2015-01-13,27.15129852294922
2015-01-14,26.419557571411133
2015-01-15,25.74944305419922
2015-01-16,25.94200897216797
2015-01-20,26.134571075439453
2015-01-21,26.103763580322266
2015-01-22,26.04984474182129
2015-01-23,25.995927810668945
2015-01-26,25.957412719726562
2015-01-27,25.741741180419922
2015-01-28,25.295001983642578
2015-01-29,25.541479110717773
2015-01-30,25.12553596496582
2015-02-02,25.50296401977539
2015-02-03,26.173084259033203
2015-02-04,27.598047256469727
2015-02-05,27.921546936035156
2015-02-06,27.728986740112305
2015-02-09,27.728986740112305
2015-02-10,28.899763107299805
2015-02-11,29.01529884338379
2015-02-12,29.284881591796875
2015-02-13,28.97679328918457
2015-02-17,28.684097290039062
2015-02-18,28.645586013793945
2015-02-19,28.892057418823242
2015-02-20,28.999897003173828
2015-02-23,29.030702590942383
2015-02-24,29.076923370361328
2015-02-25,29.161649703979492
2015-02-26,28.930583953857422
2015-02-27,28.738019943237305
2015-03-02,28.969093322753906
2015-03-03,29.11543846130371
2015-03-04,28.938276290893555
2015-03-05,28.969093322753906
2015-03-06,28.375986099243164
2015-03-09,29.245758056640625
2015-03-10,29.16033935546875
2015-03-11,29.338945388793945
2015-03-12,29.843719482421875
2015-03-13,29.54861068725586
2015-03-16,29.960201263427734
2015-03-17,29.73500633239746
2015-03-18,29.89807891845703
2015-03-19,30.01455307006836
2015-03-20,30.1854190826416
2015-03-23,29.967966079711914
2015-03-24,29.393310546875
2015-03-25,29.028322219848633
2015-03-26,29.00501251220703
2015-03-27,28.97396469116211
2015-03-30,29.261287689208984
2015-03-31,29.121505737304688
2015-04-01,28.53131675720215
2015-04-02,28.344928741455078
2015-04-06,28.469179153442383
2015-04-07,27.74696922302246
2015-04-08,28.042072296142578
2015-04-09,28.18185806274414
2015-04-10,28.399290084838867
2015-04-13,28.267276763916016
2015-04-14,28.32939338684082
2015-04-15,28.68661880493164
2015-04-16,28.795352935791016
2015-04-17,28.453659057617188
2015-04-20,28.818645477294922
2015-04-21,28.857473373413086
2015-04-22,28.857473373413086
2015-04-23,27.89451789855957
2015-04-24,27.63825225830078
2015-04-27,27.78580093383789
2015-04-28,27.73920249938965
2015-04-29,27.576122283935547
2015-04-30,27.226665496826172
2015-05-01,27.5062313079834
2015-05-04,27.49070930480957
2015-05-05,27.187833786010742
2015-05-06,27.00145721435547
2015-05-07,27.08688735961914
2015-05-08,27.428571701049805
2015-05-11,27.350914001464844
2015-05-12,26.97816276550293
2015-05-13,27.02475357055664
2015-05-14,26.908267974853516
2015-05-15,27.110177993774414
2015-05-18,27.21889305114746
2015-05-19,27.27326011657715
2015-05-20,27.195600509643555
2015-05-21,27.630481719970703
2015-05-22,27.72367286682129
2015-05-26,27.58388900756836
2015-05-27,27.809099197387695
2015-05-28,28.25950813293457
2015-05-29,27.933353424072266
2015-06-01,28.096426010131836
2015-06-02,28.12748908996582
2015-06-03,27.910051345825195
2015-06-04,27.59942054748535
2015-06-05,27.27326011657715
2015-06-08,27.453723907470703
2015-06-09,27.665569305419922
2015-06-10,27.924497604370117
2015-06-11,27.89310646057129
2015-06-12,28.018651962280273
2015-06-15,27.822494506835938
2015-06-16,27.940181732177734
2015-06-17,28.097103118896484
2015-06-18,28.403106689453125
2015-06-19,28.332496643066406
2015-06-22,28.395261764526367
2015-06-23,28.481563568115234
2015-06-24,27.58710479736328
2015-06-25,27.226181030273438
2015-06-26,26.97511100769043
2015-06-29,26.072803497314453
2015-06-30,26.151264190673828
2015-07-01,25.923715591430664
2015-07-02,26.072803497314453
2015-07-06,25.617725372314453
2015-07-07,25.782489776611328
2015-07-08,24.47218132019043
2015-07-09,24.330949783325195
2015-07-10,24.636951446533203
2015-07-13,24.856639862060547
2015-07-14,24.927255630493164
2015-07-15,24.660491943359375
2015-07-16,24.017105102539062
2015-07-17,24.04848861694336
2015-07-20,23.930797576904297
2015-07-21,23.844486236572266
2015-07-22,23.77387237548828
2015-07-23,24.715410232543945
2015-07-24,24.37017822265625
2015-07-27,24.362335205078125
2015-07-28,24.57418441772461
2015-07-29,25.06849479675293
2015-07-30,25.037099838256836
2015-07-31,24.723257064819336
2015-08-03,24.856639862060547
2015-08-04,24.731103897094727
2015-08-05,24.79387664794922
2015-08-06,24.997873306274414
2015-08-07,24.903717041015625
2015-08-10,25.06064224243164
2015-08-11,24.189716339111328
2015-08-12,24.221111297607422
2015-08-13,24.37017822265625
2015-08-14,24.707561492919922
2015-08-17,24.80171775817871
2015-08-18,24.88018226623535
2015-08-19,24.817411422729492
2015-08-20,24.197566986083984
2015-08-21,23.22464370727539
2015-08-24,21.812332153320312
2015-08-25,21.40433120727539
2015-08-26,22.047712326049805
2015-08-27,22.42432975769043
2015-08-28,22.753875732421875
2015-08-31,23.099098205566406
2015-09-01,22.471412658691406
2015-09-02,22.91864013671875
2015-09-03,22.84018325805664
2015-09-04,22.65971565246582
2015-09-08,23.444334030151367
2015-09-09,23.240331649780273
2015-09-10,23.828088760375977
2015-09-11,23.947233200073242
2015-09-14,24.399972915649414
2015-09-15,24.614418029785156
2015-09-16,24.781217575073242
2015-09-17,24.86858558654785
2015-09-18,24.233165740966797
2015-09-21,24.32054328918457
2015-09-22,23.85192108154297
2015-09-23,23.605695724487305
2015-09-24,23.383304595947266
2015-09-25,23.359466552734375
2015-09-28,22.68433952331543
2015-09-29,23.152965545654297
2015-09-30,23.843978881835938
2015-10-01,24.360254287719727
2015-10-02,25.202177047729492
2015-10-05,25.22600746154785
2015-10-06,25.59136962890625
2015-10-07,26.250612258911133
2015-10-08,26.55243492126465
2015-10-09,26.171194076538086
2015-10-12,26.226781845092773
2015-10-13,26.314165115356445
2015-10-14,26.4730167388916
2015-10-15,26.46506690979004
2015-10-16,26.330041885375977
2015-10-19,26.40152931213379
2015-10-20,26.592147827148438
2015-10-21,28.13302993774414
2015-10-22,28.13302993774414
2015-10-23,28.55399513244629
2015-10-26,28.33159637451172
2015-10-27,27.77561378479004
2015-10-28,27.97418212890625
2015-10-29,27.600868225097656
2015-10-30,27.727956771850586
2015-11-02,28.25217056274414
2015-11-03,28.418975830078125
2015-11-04,28.13302993774414
2015-11-05,28.148916244506836
2015-11-06,28.3951416015625
2015-11-09,28.33159637451172
2015-11-10,28.29189109802246
2015-11-11,28.236289978027344
2015-11-12,27.870920181274414
2015-11-13,27.251401901245117
2015-11-16,27.93447494506836
2015-11-17,27.96623420715332
2015-11-18,28.959074020385742
2015-11-19,28.70490837097168
2015-11-20,28.8637638092041
2015-11-23,28.657249450683594
2015-11-24,28.76844596862793
2015-11-25,28.8637638092041
2015-11-27,28.887588500976562
2015-11-30,28.752559661865234
2015-12-01,28.80021858215332
2015-12-02,28.379257202148438
2015-12-03,28.172744750976562
2015-12-04,28.79227638244629
2015-12-07,28.69696617126465
2015-12-08,28.18069839477539
2015-12-09,28.156862258911133
2015-12-10,28.29982566833496
2015-12-11,27.4420108795166
2015-12-14,27.31493377685547
2015-12-15,27.43408203125
2015-12-16,28.20460319519043
2015-12-17,27.37788963317871
2015-12-18,27.02473258972168
2015-12-21,27.153156280517578
2015-12-22,27.522367477416992
2015-12-23,27.91565704345703
2015-12-24,27.771181106567383
2015-12-28,27.698945999145508
2015-12-29,27.69091796875
2015-12-30,27.554473876953125
2015-12-31,27.297622680664062
