Date,WFC
2015-01-02,39.736122131347656
2015-01-05,38.64647674560547
2015-01-06,37.840126037597656
2015-01-07,38.06532669067383
2015-01-08,38.907989501953125
2015-01-09,38.26872253417969
2015-01-12,37.81105422973633
2015-01-13,37.6657829284668
2015-01-14,37.22991180419922
2015-01-15,36.84490203857422
2015-01-16,37.51322937011719
2015-01-20,37.77473831176758
2015-01-21,37.84737014770508
2015-01-22,39.060543060302734
2015-01-23,38.690067291259766
2015-01-26,38.922515869140625
2015-01-27,38.479400634765625
2015-01-28,37.89097595214844
2015-01-29,38.326847076416016
2015-01-30,37.71662902832031
2015-02-02,38.36316680908203
2015-02-03,38.82807540893555
2015-02-04,38.77688217163086
2015-02-05,39.244869232177734
2015-02-06,39.815242767333984
2015-02-09,39.63973617553711
2015-02-10,39.90298080444336
2015-02-11,39.41305923461914
2015-02-12,40.11504364013672
2015-02-13,40.45869827270508
2015-02-17,40.48796081542969
2015-02-18,39.866424560546875
2015-02-19,39.89566421508789
2015-02-20,40.09309387207031
2015-02-23,40.29053497314453
2015-02-24,40.48796081542969
2015-02-25,40.45869827270508
2015-02-26,40.327091217041016
2015-02-27,40.0638542175293
2015-03-02,40.61957931518555
2015-03-03,40.54645538330078
2015-03-04,40.085784912109375
2015-03-05,40.10041046142578
2015-03-06,39.9176025390625
2015-03-09,39.97610092163086
2015-03-10,38.967010498046875
2015-03-11,39.266822814941406
2015-03-12,40.64881896972656
2015-03-13,40.46602249145508
2015-03-16,40.751197814941406
2015-03-17,40.882808685302734
2015-03-18,41.072940826416016
2015-03-19,40.59031677246094
2015-03-20,40.9559440612793
2015-03-23,40.787757873535156
2015-03-24,40.473331451416016
2015-03-25,39.88104248046875
2015-03-26,39.8517951965332
2015-03-27,39.57392501831055
2015-03-30,40.04922103881836
2015-03-31,39.77867126464844
2015-04-01,39.44231033325195
2015-04-02,39.75672912597656
2015-04-06,39.54468536376953
2015-04-07,39.500789642333984
2015-04-08,39.48617172241211
2015-04-09,39.625099182128906
2015-04-10,39.72018051147461
2015-04-13,39.9176025390625
2015-04-14,39.625099182128906
2015-04-15,40.07847595214844
2015-04-16,40.07847595214844
2015-04-17,39.522735595703125
2015-04-20,39.74943161010742
2015-04-21,39.690921783447266
2015-04-22,39.97610092163086
2015-04-23,40.11504364013672
2015-04-24,39.99803161621094
2015-04-27,40.195457458496094
2015-04-28,40.517215728759766
2015-04-29,40.553768157958984
2015-04-30,40.29053497314453
2015-05-01,40.35634231567383
2015-05-04,40.751197814941406
2015-05-05,40.74388885498047
2015-05-06,40.431007385253906
2015-05-07,40.350032806396484
2015-05-08,41.26289749145508
2015-05-11,40.86534118652344
2015-05-12,40.8359260559082
2015-05-13,40.93161392211914
2015-05-14,41.255523681640625
2015-05-15,40.872703552246094
2015-05-18,41.04204559326172
2015-05-19,41.52056121826172
2015-05-20,41.28498840332031
2015-05-21,41.23344802856445
2015-05-22,41.2260856628418
2015-05-26,40.97578048706055
2015-05-27,41.27760696411133
2015-05-28,41.38068771362305
2015-05-29,41.19663619995117
2015-06-01,41.255523681640625
2015-06-02,41.358604431152344
2015-06-03,41.89601135253906
2015-06-04,41.32914352416992
2015-06-05,41.67515182495117
2015-06-08,41.31442642211914
2015-06-09,41.74140930175781
2015-06-10,42.116859436035156
2015-06-11,42.1536750793457
2015-06-12,42.02853012084961
2015-06-15,41.94754409790039
2015-06-16,42.124229431152344
2015-06-17,42.087406158447266
2015-06-18,42.47758483886719
2015-06-19,41.99906539916992
2015-06-22,42.6321907043457
2015-06-23,42.617469787597656
2015-06-24,42.35980987548828
2015-06-25,42.087406158447266
2015-06-26,42.28617858886719
2015-06-29,41.27025604248047
2015-06-30,41.40277099609375
2015-07-01,41.89601135253906
2015-07-02,41.7708740234375
2015-07-06,41.55000305175781
2015-07-07,41.410133361816406
2015-07-08,40.6739501953125
2015-07-09,40.857994079589844
2015-07-10,41.28498840332031
2015-07-13,41.7708740234375
2015-07-14,42.146305084228516
2015-07-15,42.53649139404297
2015-07-16,42.823604583740234
2015-07-17,42.654273986816406
2015-07-20,42.73525619506836
2015-07-21,42.6616325378418
2015-07-22,43.081260681152344
2015-07-23,42.85303497314453
2015-07-24,42.53649139404297
2015-07-27,42.396602630615234
2015-07-28,42.256736755371094
2015-07-29,42.66899871826172
2015-07-30,42.80886459350586
2015-07-31,42.60274124145508
2015-08-03,42.6321907043457
2015-08-04,42.5659294128418
2015-08-05,42.717838287353516
2015-08-06,42.62892150878906
2015-08-07,42.58445739746094
2015-08-10,42.93272018432617
2015-08-11,42.39179992675781
2015-08-12,42.028724670410156
2015-08-13,42.154693603515625
2015-08-14,42.48073196411133
2015-08-17,42.49553680419922
2015-08-18,42.636329650878906
2015-08-19,42.2806510925293
2015-08-20,41.58412551879883
2015-08-21,39.99102020263672
2015-08-24,37.97552490234375
2015-08-25,37.064117431640625
2015-08-26,38.753562927246094
2015-08-27,40.035457611083984
2015-08-28,39.672393798828125
2015-08-31,39.51678466796875
2015-09-01,37.782875061035156
2015-09-02,38.52386474609375
2015-09-03,38.849891662597656
2015-09-04,38.00517272949219
2015-09-08,39.22037124633789
2015-09-09,38.67205047607422
2015-09-10,38.94621276855469
2015-09-11,38.990684509277344
2015-09-14,39.10182189941406
2015-09-15,39.62051010131836
2015-09-16,39.805763244628906
2015-09-17,38.686866760253906
2015-09-18,37.819923400878906
2015-09-21,38.19781494140625
2015-09-22,37.560577392578125
2015-09-23,37.627262115478516
2015-09-24,37.45683670043945
2015-09-25,38.14595413208008
2015-09-28,37.323463439941406
2015-09-29,37.708770751953125
2015-09-30,38.04962921142578
2015-10-01,38.116310119628906
2015-10-02,37.982940673828125
2015-10-05,38.83507537841797
2015-10-06,38.55349349975586
2015-10-07,38.67205047607422
2015-10-08,38.931392669677734
2015-10-09,38.63499069213867
2015-10-12,38.66463851928711
2015-10-13,38.427520751953125
2015-10-14,38.1607780456543
2015-10-15,39.04254150390625
2015-10-16,39.18333435058594
2015-10-19,38.94621276855469
2015-10-20,39.3315315246582
2015-10-21,39.36117172241211
2015-10-22,40.057708740234375
2015-10-23,40.568973541259766
2015-10-26,40.22811508178711
2015-10-27,40.10215759277344
2015-10-28,41.087669372558594
2015-10-29,40.8209114074707
2015-10-30,40.116981506347656
2015-11-02,40.64307403564453
2015-11-03,40.702354431152344
2015-11-04,40.72100067138672
2015-11-05,40.929908752441406
2015-11-06,41.66852569580078
2015-11-09,41.38502502441406
2015-11-10,41.713294982910156
2015-11-11,41.6312141418457
2015-11-12,41.161197662353516
2015-11-13,40.713539123535156
2015-11-16,41.23579788208008
2015-11-17,41.00450897216797
2015-11-18,41.53422546386719
2015-11-19,41.758060455322266
2015-11-20,41.6461296081543
2015-11-23,41.48200225830078
2015-11-24,41.24325942993164
2015-11-25,41.19850158691406
2015-11-27,41.3253288269043
2015-11-30,41.10896301269531
2015-12-01,41.56407165527344
2015-12-02,41.094051361083984
2015-12-03,40.43749237060547
2015-12-04,41.53422546386719
2015-12-07,41.347721099853516
2015-12-08,40.58670425415039
2015-12-09,40.377803802490234
2015-12-10,40.54195022583008
2015-12-11,39.77347946166992
2015-12-14,39.69141387939453
2015-12-15,40.96721267700195
2015-12-16,41.66852569580078
2015-12-17,41.38502502441406
2015-12-18,40.1316032409668
2015-12-21,40.303199768066406
2015-12-22,40.54195022583008
2015-12-23,41.06420135498047
2015-12-24,40.900054931640625
2015-12-28,40.79560852050781
2015-12-29,41.250728607177734
2015-12-30,40.95229721069336
2015-12-31,40.55687713623047
