Date,LOW
2015-01-02,54.98109436035156
2015-01-05,53.665443420410156
2015-01-06,53.787261962890625
2015-01-07,55.38713073730469
2015-01-08,56.55662536621094
2015-01-09,55.49271774291992
2015-01-12,55.10289764404297
2015-01-13,55.111026763916016
2015-01-14,54.729312896728516
2015-01-15,53.884708404541016
2015-01-16,55.408660888671875
2015-01-20,54.21070098876953
2015-01-21,54.86264419555664
2015-01-22,56.680015563964844
2015-01-23,56.81039810180664
2015-01-26,57.40533447265625
2015-01-27,56.92448425292969
2015-01-28,56.41108322143555
2015-01-29,56.98967742919922
2015-01-30,55.221248626708984
2015-02-02,55.75096130371094
2015-02-03,56.745201110839844
2015-02-04,57.59274673461914
2015-02-05,58.24473190307617
2015-02-06,58.595157623291016
2015-02-09,57.82093048095703
2015-02-10,58.48106002807617
2015-02-11,58.212120056152344
2015-02-12,58.831459045410156
2015-02-13,58.7173957824707
2015-02-17,59.059669494628906
2015-02-18,59.10041427612305
2015-02-19,58.91295623779297
2015-02-20,59.947959899902344
2015-02-23,60.086517333984375
2015-02-24,60.836280822753906
2015-02-25,60.656982421875
2015-02-26,60.388038635253906
2015-02-27,60.37986373901367
2015-03-02,61.194847106933594
2015-03-03,61.1296501159668
2015-03-04,60.32284164428711
2015-03-05,60.762916564941406
2015-03-06,59.90721893310547
2015-03-09,60.5184440612793
2015-03-10,59.540489196777344
2015-03-11,59.54864501953125
2015-03-12,61.0726203918457
2015-03-13,60.43693161010742
2015-03-16,61.480079650878906
2015-03-17,60.77106475830078
2015-03-18,60.730323791503906
2015-03-19,60.762916564941406
2015-03-20,61.308929443359375
2015-03-23,61.42304992675781
2015-03-24,61.618621826171875
2015-03-25,60.5184440612793
2015-03-26,59.37751388549805
2015-03-27,60.03761291503906
2015-03-30,60.9585075378418
2015-03-31,60.62437057495117
2015-04-01,60.62437057495117
2015-04-02,60.9911003112793
2015-04-06,61.1703987121582
2015-04-07,60.396183013916016
2015-04-08,60.96665954589844
2015-04-09,60.51028823852539
2015-04-10,61.040000915527344
2015-04-13,60.15169906616211
2015-04-14,60.290252685546875
2015-04-15,59.825714111328125
2015-04-16,60.37175750732422
2015-04-17,59.124855041503906
2015-04-20,59.378299713134766
2015-04-21,59.87701416015625
2015-04-22,59.738033294677734
2015-04-23,59.98328399658203
2015-04-24,59.811622619628906
2015-04-27,58.732452392578125
2015-04-28,58.650665283203125
2015-04-29,57.5879020690918
2015-04-30,56.29615020751953
2015-05-01,57.800437927246094
2015-05-04,58.25008773803711
2015-05-05,57.57969284057617
2015-05-06,57.857666015625
2015-05-07,59.10032272338867
2015-05-08,59.89337921142578
2015-05-11,59.86065673828125
2015-05-12,60.22854995727539
2015-05-13,59.770721435546875
2015-05-14,59.075809478759766
2015-05-15,59.754371643066406
2015-05-18,59.7298469543457
2015-05-19,58.724281311035156
2015-05-20,56.0018310546875
2015-05-21,56.18170928955078
2015-05-22,56.85208511352539
2015-05-26,56.88479232788086
2015-05-27,57.81678009033203
2015-05-28,57.59602355957031
2015-05-29,57.21179962158203
2015-06-01,57.342620849609375
2015-06-02,57.35078811645508
2015-06-03,57.75959014892578
2015-06-04,57.342620849609375
2015-06-05,57.05646514892578
2015-06-08,56.148983001708984
2015-06-09,56.02635192871094
2015-06-10,56.54959487915039
2015-06-11,56.44331359863281
2015-06-12,56.43512725830078
2015-06-15,56.50056076049805
2015-06-16,56.73763656616211
2015-06-17,56.958377838134766
2015-06-18,57.35078811645508
2015-06-19,57.21997833251953
2015-06-22,57.465248107910156
2015-06-23,57.71867370605469
2015-06-24,57.293548583984375
2015-06-25,56.95018005371094
2015-06-26,56.09177017211914
2015-06-29,55.208831787109375
2015-06-30,54.75099182128906
2015-07-01,54.97173309326172
2015-07-02,54.530269622802734
2015-07-06,54.16237258911133
2015-07-07,55.07801055908203
2015-07-08,54.39127731323242
2015-07-09,54.791866302490234
2015-07-10,55.47044372558594
2015-07-13,55.83832931518555
2015-07-14,55.91191482543945
2015-07-15,55.813819885253906
2015-07-16,55.78108215332031
2015-07-17,55.208831787109375
2015-07-20,54.757293701171875
2015-07-21,54.502803802490234
2015-07-22,55.36479949951172
2015-07-23,55.578243255615234
2015-07-24,55.15134048461914
2015-07-27,55.03641891479492
2015-07-28,55.66033935546875
2015-07-29,56.4320182800293
2015-07-30,56.53055953979492
2015-07-31,56.941036224365234
2015-08-03,56.571598052978516
2015-08-04,56.941036224365234
2015-08-05,57.417171478271484
2015-08-06,56.89997863769531
2015-08-07,57.08057403564453
2015-08-10,57.11343002319336
2015-08-11,56.99028015136719
2015-08-12,56.620849609375
2015-08-13,58.45978927612305
2015-08-14,59.19862365722656
2015-08-17,59.502376556396484
2015-08-18,59.94569778442383
2015-08-19,61.05398941040039
2015-08-20,60.077049255371094
2015-08-21,58.377681732177734
2015-08-24,56.07902145385742
2015-08-25,54.99536895751953
2015-08-26,56.44025802612305
2015-08-27,56.69472885131836
2015-08-28,56.19396209716797
2015-08-31,56.78505325317383
2015-09-01,55.619293212890625
2015-09-02,56.67831802368164
2015-09-03,56.727577209472656
2015-09-04,55.66033935546875
2015-09-08,56.89997863769531
2015-09-09,55.91483688354492
2015-09-10,55.76706314086914
2015-09-11,56.34172821044922
2015-09-14,55.94768142700195
2015-09-15,57.0067138671875
2015-09-16,57.5239143371582
2015-09-17,57.86049270629883
2015-09-18,55.98051834106445
2015-09-21,57.138057708740234
2015-09-22,56.37457275390625
2015-09-23,56.423831939697266
2015-09-24,56.21861267089844
2015-09-25,56.3909912109375
2015-09-28,55.126712799072266
2015-09-29,54.81477355957031
2015-09-30,56.579803466796875
2015-10-01,57.294044494628906
2015-10-02,57.6552734375
2015-10-05,58.91950225830078
2015-10-06,58.443363189697266
2015-10-07,58.935935974121094
2015-10-08,60.068843841552734
2015-10-09,60.20018768310547
2015-10-12,60.59426498413086
2015-10-13,59.904659271240234
2015-10-14,59.14115905761719
2015-10-15,59.64194107055664
2015-10-16,59.74867630004883
2015-10-19,60.51510238647461
2015-10-20,60.028873443603516
2015-10-21,59.929969787597656
2015-10-22,60.506858825683594
2015-10-23,60.614013671875
2015-10-26,61.1166877746582
2015-10-27,60.614013671875
2015-10-28,61.00132369995117
2015-10-29,60.87772750854492
2015-10-30,60.84476089477539
2015-11-02,60.7952880859375
2015-11-03,60.94363784790039
2015-11-04,60.24313735961914
2015-11-05,60.638729095458984
2015-11-06,60.27609634399414
2015-11-09,59.35307312011719
2015-11-10,60.440921783447266
2015-11-11,59.43550109863281
2015-11-12,59.92173767089844
2015-11-13,57.7625617980957
2015-11-16,59.03994369506836
2015-11-17,60.0371208190918
2015-11-18,60.55632019042969
