Date,FFIV
2015-01-02,130.3300018310547
2015-01-05,129.75999450683594
2015-01-06,126.7300033569336
2015-01-07,128.35000610351562
2015-01-08,129.64999389648438
2015-01-09,129.88999938964844
2015-01-12,127.91999816894531
2015-01-13,128.6699981689453
2015-01-14,125.5999984741211
2015-01-15,124.22000122070312
2015-01-16,126.29000091552734
2015-01-20,126.25
2015-01-21,125.94999694824219
2015-01-22,113.4000015258789
2015-01-23,114.8499984741211
2015-01-26,114.30000305175781
2015-01-27,113.19000244140625
2015-01-28,112.83999633789062
2015-01-29,113.9800033569336
2015-01-30,111.62000274658203
2015-02-02,112.61000061035156
2015-02-03,112.3499984741211
2015-02-04,110.0999984741211
2015-02-05,111.08000183105469
2015-02-06,111.98999786376953
2015-02-09,110.44999694824219
2015-02-10,112.86000061035156
2015-02-11,113.7699966430664
2015-02-12,115.2699966430664
2015-02-13,116.63999938964844
2015-02-17,116.43000030517578
2015-02-18,117.62000274658203
2015-02-19,118.31999969482422
2015-02-20,119.36000061035156
2015-02-23,118.52999877929688
2015-02-24,119.5999984741211
2015-02-25,118.83000183105469
2015-02-26,119.04000091552734
2015-02-27,118.12000274658203
2015-03-02,119.55999755859375
2015-03-03,119.01000213623047
2015-03-04,119.23999786376953
2015-03-05,119.22000122070312
2015-03-06,117.95999908447266
2015-03-09,114.83000183105469
2015-03-10,112.29000091552734
2015-03-11,112.9000015258789
2015-03-12,113.04000091552734
2015-03-13,112.36000061035156
2015-03-16,113.2699966430664
2015-03-17,112.58999633789062
2015-03-18,114.2699966430664
2015-03-19,114.55999755859375
2015-03-20,116.3499984741211
2015-03-23,115.41999816894531
2015-03-24,115.0199966430664
2015-03-25,112.9000015258789
2015-03-26,112.2300033569336
2015-03-27,113.87000274658203
2015-03-30,115.26000213623047
2015-03-31,114.94000244140625
2015-04-01,114.30999755859375
2015-04-02,113.70999908447266
2015-04-06,111.73999786376953
2015-04-07,113.12000274658203
2015-04-08,113.43000030517578
2015-04-09,116.08999633789062
2015-04-10,113.81999969482422
2015-04-13,113.63999938964844
2015-04-14,113.33999633789062
2015-04-15,117.11000061035156
2015-04-16,118.08999633789062
2015-04-17,116.22000122070312
2015-04-20,117.43000030517578
2015-04-21,118.93000030517578
2015-04-22,120.41999816894531
2015-04-23,122.4000015258789
2015-04-24,123.18000030517578
2015-04-27,123.47000122070312
2015-04-28,125.58999633789062
2015-04-29,123.75
2015-04-30,122.0199966430664
2015-05-01,123.37000274658203
2015-05-04,124.41000366210938
2015-05-05,121.95999908447266
2015-05-06,122.9800033569336
2015-05-07,124.43000030517578
2015-05-08,126.05000305175781
2015-05-11,126.27999877929688
2015-05-12,125.02999877929688
2015-05-13,126.23999786376953
2015-05-14,127.5999984741211
2015-05-15,127.79000091552734
2015-05-18,127.3499984741211
2015-05-19,126.93000030517578
2015-05-20,126.95999908447266
2015-05-21,126.9000015258789
2015-05-22,126.7699966430664
2015-05-26,126.08000183105469
2015-05-27,125.95999908447266
2015-05-28,126.83000183105469
2015-05-29,125.69000244140625
2015-06-01,125.11000061035156
2015-06-02,125.26000213623047
2015-06-03,126.25
2015-06-04,124.58000183105469
2015-06-05,124.5199966430664
2015-06-08,124.8499984741211
2015-06-09,124.69000244140625
2015-06-10,126.93000030517578
2015-06-11,126.4800033569336
2015-06-12,125.19000244140625
2015-06-15,125.80999755859375
2015-06-16,126.31999969482422
2015-06-17,126.4800033569336
2015-06-18,126.94000244140625
2015-06-19,126.91999816894531
2015-06-22,127.87999725341797
2015-06-23,127.54000091552734
2015-06-24,126.04000091552734
2015-06-25,126.55000305175781
2015-06-26,123.56999969482422
2015-06-29,120.05000305175781
2015-06-30,120.3499984741211
2015-07-01,120.26000213623047
2015-07-02,120.44000244140625
2015-07-06,117.55000305175781
2015-07-07,118.31999969482422
2015-07-08,117.83999633789062
2015-07-09,115.3499984741211
2015-07-10,116.38999938964844
2015-07-13,116.98999786376953
2015-07-14,118.25
2015-07-15,117.8499984741211
2015-07-16,117.93000030517578
2015-07-17,116.27999877929688
2015-07-20,116.26000213623047
2015-07-21,118.2699966430664
2015-07-22,118.5
2015-07-23,127.68000030517578
2015-07-24,127.48999786376953
2015-07-27,127.80999755859375
2015-07-28,131.52000427246094
2015-07-29,132.49000549316406
2015-07-30,134.30999755859375
2015-07-31,134.13999938964844
2015-08-03,131.1999969482422
2015-08-04,131.36000061035156
2015-08-05,132.1999969482422
2015-08-06,129.85000610351562
2015-08-07,130.36000061035156
2015-08-10,132.33999633789062
2015-08-11,131.3699951171875
2015-08-12,132.7100067138672
2015-08-13,131.6300048828125
2015-08-14,132.61000061035156
2015-08-17,133.86000061035156
2015-08-18,133.0
2015-08-19,132.75
2015-08-20,126.55999755859375
2015-08-21,122.51000213623047
2015-08-24,117.47000122070312
2015-08-25,117.47000122070312
2015-08-26,122.44999694824219
2015-08-27,122.79000091552734
2015-08-28,122.97000122070312
2015-08-31,121.41000366210938
2015-09-01,118.38999938964844
2015-09-02,121.0
2015-09-03,121.23999786376953
2015-09-04,118.83999633789062
2015-09-08,121.70999908447266
2015-09-09,119.88999938964844
2015-09-10,119.73999786376953
2015-09-11,118.16999816894531
2015-09-14,117.08999633789062
2015-09-15,118.16999816894531
2015-09-16,119.12000274658203
2015-09-17,118.22000122070312
2015-09-18,115.18000030517578
2015-09-21,115.80999755859375
2015-09-22,113.30000305175781
2015-09-23,113.9000015258789
2015-09-24,115.87000274658203
2015-09-25,114.7699966430664
2015-09-28,114.08000183105469
2015-09-29,115.0
2015-09-30,115.80000305175781
2015-10-01,116.97000122070312
2015-10-02,119.83000183105469
2015-10-05,122.94000244140625
2015-10-06,117.95999908447266
2015-10-07,118.61000061035156
2015-10-08,118.93000030517578
2015-10-09,119.2699966430664
2015-10-12,119.4000015258789
2015-10-13,120.62000274658203
2015-10-14,117.47000122070312
2015-10-15,116.62999725341797
2015-10-16,118.30999755859375
2015-10-19,118.51000213623047
2015-10-20,119.9800033569336
2015-10-21,117.06999969482422
2015-10-22,120.54000091552734
2015-10-23,119.5
2015-10-26,119.94000244140625
2015-10-27,120.29000091552734
2015-10-28,121.33999633789062
2015-10-29,110.08000183105469
2015-10-30,110.19999694824219
2015-11-02,110.6500015258789
2015-11-03,112.77999877929688
2015-11-04,111.01000213623047
2015-11-05,109.5999984741211
2015-11-06,109.66999816894531
2015-11-09,109.5
2015-11-10,107.37999725341797
2015-11-11,107.87000274658203
2015-11-12,106.30999755859375
2015-11-13,101.97000122070312
2015-11-16,104.93000030517578
2015-11-17,104.0199966430664
2015-11-18,104.12999725341797
2015-11-19,103.47000122070312
2015-11-20,103.58999633789062
2015-11-23,102.8499984741211
2015-11-24,102.81999969482422
2015-11-25,102.79000091552734
2015-11-27,103.0
2015-11-30,103.0
2015-12-01,103.98999786376953
2015-12-02,104.81999969482422
2015-12-03,102.41999816894531
2015-12-04,104.61000061035156
2015-12-07,104.01000213623047
2015-12-08,103.44999694824219
2015-12-09,100.33999633789062
2015-12-10,99.05999755859375
2015-12-11,97.55999755859375
2015-12-14,96.30999755859375
2015-12-15,99.75
2015-12-16,100.5
2015-12-17,98.94000244140625
2015-12-18,97.62999725341797
2015-12-21,97.38999938964844
2015-12-22,97.44000244140625
2015-12-23,97.69000244140625
2015-12-24,97.44000244140625
2015-12-28,97.0
2015-12-29,97.55000305175781
2015-12-30,98.05999755859375
2015-12-31,96.95999908447266
