date,JNPR
2015-01-02,17.3296461838
2015-01-05,17.1366657141
2015-01-06,16.8973699316
2015-01-07,17.2756116523
2015-01-08,17.7773608736
2015-01-09,17.7927993112
2015-01-12,17.3296461838
2015-01-13,17.2910500899
2015-01-14,17.175261808
2015-01-15,16.5114089921
2015-01-16,16.696670243
2015-01-20,16.7661432121
2015-01-21,16.8587738376
2015-01-22,17.0208774322
2015-01-23,16.9900005571
2015-01-26,17.0980696201
2015-01-27,16.8510546188
2015-01-28,17.4840305596
2015-01-29,17.5303458724
2015-01-30,17.5457843099
2015-02-02,17.4145575905
2015-02-03,17.9240260307
2015-02-04,17.5535035287
2015-02-05,17.9394644682
2015-02-06,18.0861296253
2015-02-09,17.8699914991
2015-02-10,17.8468338428
2015-02-11,17.9780605622
2015-02-12,18.2559524386
2015-02-13,18.4026175956
2015-02-17,18.4720905648
2015-02-18,18.3331446265
2015-02-19,18.5261250963
2015-02-20,18.6805094721
2015-02-23,18.6264749406
2015-02-24,18.8734899418
2015-02-25,18.9120860358
2015-02-26,18.611036503
2015-02-27,18.5338443151
2015-03-02,18.6113593478
2015-03-03,18.5105898053
2015-03-04,17.9912390863
2015-03-05,17.9447300667
2015-03-06,18.270293204
2015-03-09,18.5415958183
2015-03-10,18.1230146418
2015-03-11,18.1617721582
2015-03-12,18.270293204
2015-03-13,18.1617721582
2015-03-16,18.3400567334
2015-03-17,18.2160326811
2015-03-18,18.4253232693
2015-03-19,18.3323052301
2015-03-20,18.3555597399
2015-03-23,18.4873352955
2015-03-24,18.1385176484
2015-03-25,17.6036639229
2015-03-26,17.2936037921
2015-03-27,17.2781007856
2015-03-30,17.464136864
2015-03-31,17.5028943804
2015-04-01,17.4408823542
2015-04-02,17.5028943804
2015-04-06,17.5959124196
2015-04-07,18.1540206549
2015-04-08,18.0920086288
2015-04-09,18.3478082366
2015-04-10,18.4253232693
2015-04-13,18.2935477138
2015-04-14,18.5958563412
2015-04-15,18.8981649687
2015-04-16,18.8284014393
2015-04-17,18.3943172562
2015-04-20,18.7121288903
2015-04-21,18.7353834001
2015-04-22,18.905916472
2015-04-23,18.6036078445
2015-04-24,20.262429544
2015-04-27,20.494974642
2015-04-28,20.7972832695
2015-04-29,20.6422532041
2015-04-30,20.4872231388
2015-05-01,20.8592952956
2015-05-04,20.9833193479
2015-05-05,20.6810107205
2015-05-06,20.6732592172
2015-05-07,20.7197682368
2015-05-08,20.9135558185
2015-05-11,20.9988223545
2015-05-12,20.9678163414
2015-05-13,21.0530828774
2015-05-14,21.2701249689
2015-05-15,21.1771069297
2015-05-18,21.4096520277
2015-05-19,21.3398884983
2015-05-20,21.3941490212
2015-05-21,21.3863975179
2015-05-22,21.3941490212
2015-05-26,20.9135558185
2015-05-27,21.5569305898
2015-05-28,21.4329065375
2015-05-29,21.6266941192
2015-06-01,21.0510195276
2015-06-02,21.1988278687
2015-06-03,21.2999598915
2015-06-04,21.1210340049
2015-06-05,21.2999598915
2015-06-08,21.1443721641
2015-06-09,21.3155186643
2015-06-10,21.5333414827
2015-06-11,21.7200467557
2015-06-12,21.3077392779
2015-06-15,21.1443721641
2015-06-16,21.3466362098
2015-06-17,21.331077437
2015-06-18,21.6967085966
2015-06-19,21.206607255
2015-06-22,21.0199019821
2015-06-23,21.1521515504
2015-06-24,20.9109905728
2015-06-25,20.9732256638
2015-06-26,20.685388368
2015-06-29,20.3119778221
2015-06-30,20.2030664128
2015-07-01,20.4597861632
2015-07-02,20.3119778221
2015-07-06,20.0319199126
2015-07-07,20.1408313218
2015-07-08,19.9230085034
2015-07-09,20.0008023671
2015-07-10,20.3430953675
2015-07-13,20.3353159812
2015-07-14,20.2730808902
2015-07-15,20.3430953675
2015-07-16,20.498683095
2015-07-17,20.5298006405
2015-07-20,20.5064624814
2015-07-21,20.4909037087
2015-07-22,20.374212913
2015-07-23,20.6075945043
2015-07-24,21.4244300735
2015-07-27,21.3388568234
2015-07-28,21.4477682326
2015-07-29,21.3777537553
2015-07-30,21.7511643012
2015-07-31,22.1090160744
2015-08-03,21.9145314151
2015-08-04,21.766723074
2015-08-05,21.9767665061
2015-08-06,21.7900612331
2015-08-07,21.8289581649
2015-08-10,22.0856779153
2015-08-11,21.6889292102
2015-08-12,21.8989726423
2015-08-13,21.9145314151
2015-08-14,21.9300901878
2015-08-17,22.0312222107
2015-08-18,21.8756344832
2015-08-19,21.8211787786
2015-08-20,21.2844011188
2015-08-21,20.6620502089
2015-08-24,19.8841115715
2015-08-25,19.3551132981
2015-08-26,19.8918909579
2015-08-27,20.2264045719
2015-08-28,20.2886396629
2015-08-31,20.0777877496
2015-09-01,19.47646933
2015-09-02,19.7654145446
2015-09-03,19.7341772241
2015-09-04,19.5701812915
2015-09-08,19.9528384676
2015-09-09,19.7185585639
2015-09-10,20.0075037785
2015-09-11,19.726367894
2015-09-14,19.7810332049
2015-09-15,20.1480717207
2015-09-16,20.2730210027
2015-09-17,20.1558810508
2015-09-18,19.9450291375
2015-09-21,20.1168344002
2015-09-22,19.7185585639
2015-09-23,19.8044611952
2015-09-24,19.7654145446
2015-09-25,19.7419865542
2015-09-28,19.4530413396
2015-09-29,19.5545626312
2015-09-30,20.0777877496
2015-10-01,20.3354956437
2015-10-02,21.2179499477
2015-10-05,22.2565908543
2015-10-06,22.1941162133
2015-10-07,22.9750492257
2015-10-08,23.2718037704
2015-10-09,22.9594305654
2015-10-12,23.2171384595
2015-10-13,23.2639944403
2015-10-14,23.0765705173
2015-10-15,23.4279903729
2015-10-16,23.2952317608
2015-10-19,23.3811343922
2015-10-20,23.6154142959
2015-10-21,23.2718037704
2015-10-22,23.2405664499
2015-10-23,24.5915805614
2015-10-26,24.1152114238
2015-10-27,24.630627212
2015-10-28,24.7477671639
2015-10-29,24.3573006577
2015-10-30,24.5134872602
2015-11-02,24.7868138145
2015-11-03,25.1694709906
2015-11-04,24.693101853
2015-11-05,24.5212965903
2015-11-06,24.7633858242
2015-11-09,22.8344812835
2015-11-10,23.1234264981
2015-11-11,23.0843798474
2015-11-12,23.1546638185
2015-11-13,22.4205867869
2015-11-16,22.8110532931
2015-11-17,23.0531425269
2015-11-18,23.3967530524
2015-11-19,23.5841769754
2015-11-20,23.7872195586
2015-11-23,23.9277875009
2015-11-24,23.7637915682
2015-11-25,23.748172908
2015-11-27,23.7169355875
2015-11-30,23.607243781
2015-12-01,23.8422976521
2015-12-02,23.7326058456
2015-12-03,22.9647632002
2015-12-04,23.3486845229
2015-12-07,23.37218991
2015-12-08,23.3251791358
2015-12-09,22.7453795872
2015-12-10,22.6121823936
2015-12-11,22.4241392968
2015-12-14,22.5416662323
2015-12-15,22.8629065227
2015-12-16,23.0352793615
2015-12-17,22.8080606195
2015-12-18,22.471150071
2015-12-21,21.3507266191
2015-12-22,21.554439974
2015-12-23,21.6641317805
2015-12-24,21.6406263934
2015-12-28,21.7111425547
2015-12-29,21.9697018128
2015-12-30,21.7111425547
2015-12-31,21.6249561353
